DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
KNG02-007-BLOCK DEV.OFFICER PRAGPUR,Total, ,234,18366140,3915505,560584,13890051
KNG02-007-BLOCK DEV.OFFICER PRAGPUR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 178 Dt:21/04/2017] , Billno-KNG020072017100001",1,800000,0,0,800000
KNG02-007-BLOCK DEV.OFFICER PRAGPUR,20-2515-00-102-01-S00N-V-N-01-SALARIES,"[TRVch# 21 Dt:10/04/2017] , Billno-KNG02007032017-001",1,52867,20000,808,32059
KNG02-007-BLOCK DEV.OFFICER PRAGPUR,20-2515-00-102-01-S00N-V-N-01-SALARIES,"[TRVch# 22 Dt:10/04/2017] , Billno-KNG02007032017-002",1,496823,181000,3831,311992
KNG02-007-BLOCK DEV.OFFICER PRAGPUR,20-2515-00-102-01-S00N-V-N-01-SALARIES,"[TRVch# 23 Dt:10/04/2017] , Billno-KNG02007032017-003",1,54095,0,5847,48248
KNG02-007-BLOCK DEV.OFFICER PRAGPUR,20-2515-00-102-01-S00N-V-N-01-SALARIES,"[TRVch# 24 Dt:10/04/2017] , Billno-KNG02007032017-004",1,29957,0,2858,27099
KNG02-007-BLOCK DEV.OFFICER PRAGPUR,20-2515-00-102-01-S00N-V-N-05-OFFICE EXPENSES,"[TRVch# 78 Dt:29/04/2017] , Billno-KNG020072017100002",1,15000,0,0,15000
KNG02-007-BLOCK DEV.OFFICER PRAGPUR,20-2515-00-102-01-S00N-V-N-01-SALARIES,"[TRVch# 30 Dt:09/05/2017] , Billno-KNG02007042017-001",1,37236,0,3985,33251
KNG02-007-BLOCK DEV.OFFICER PRAGPUR,20-2515-00-102-01-S00N-V-N-01-SALARIES,"[TRVch# 31 Dt:09/05/2017] , Billno-KNG02007042017-002",1,505472,183000,7831,314641
KNG02-007-BLOCK DEV.OFFICER PRAGPUR,20-2515-00-102-01-S00N-V-N-01-SALARIES,"[TRVch# 32 Dt:09/05/2017] , Billno-KNG02007042017-003",1,54780,0,5915,48865
KNG02-007-BLOCK DEV.OFFICER PRAGPUR,20-2515-00-102-01-S00N-V-N-01-SALARIES,"[TRVch# 33 Dt:09/05/2017] , Billno-KNG02007042017-004",1,30331,0,2896,27435
KNG02-007-BLOCK DEV.OFFICER PRAGPUR,20-2515-00-102-01-S00N-V-N-02-WAGES,"[TRVch# 38 Dt:09/05/2017] , Billno-KNG020072017100005",1,6000,0,0,6000
KNG02-007-BLOCK DEV.OFFICER PRAGPUR,20-2515-00-102-01-S00N-V-N-05-OFFICE EXPENSES,"[TRVch# 152 Dt:31/05/2017] , Billno-KNG020072017100011",1,35000,0,0,35000
KNG02-007-BLOCK DEV.OFFICER PRAGPUR,20-2515-00-102-01-S00N-V-N-05-OFFICE EXPENSES,"[TRVch# 37 Dt:09/05/2017] , Billno-KNG020072017100004",1,2047,0,0,2047
KNG02-007-BLOCK DEV.OFFICER PRAGPUR,20-2515-00-102-01-S00N-V-N-05-OFFICE EXPENSES,"[TRVch# 76 Dt:20/05/2017] , Billno-KNG020072017100007",1,2621,0,0,2621
KNG02-007-BLOCK DEV.OFFICER PRAGPUR,"20-2515-00-102-01-S00N-V-N-30-MOTOR VEHICLES OS,POL,REPAIR","[TRVch# 77 Dt:20/05/2017] , Billno-KNG020072017100009",1,15709,0,0,15709
KNG02-007-BLOCK DEV.OFFICER PRAGPUR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 74 Dt:08/06/2017] , Billno-KNG020072017100010",1,87506,0,0,87506
KNG02-007-BLOCK DEV.OFFICER PRAGPUR,20-2515-00-102-01-S00N-V-N-01-SALARIES,"[TRVch# 15 Dt:08/06/2017] , Billno-KNG02007052017-001",1,37236,0,3985,33251
KNG02-007-BLOCK DEV.OFFICER PRAGPUR,20-2515-00-102-01-S00N-V-N-01-SALARIES,"[TRVch# 16 Dt:08/06/2017] , Billno-KNG02007052017-002",1,505472,183000,7831,314641
KNG02-007-BLOCK DEV.OFFICER PRAGPUR,20-2515-00-102-01-S00N-V-N-01-SALARIES,"[TRVch# 17 Dt:08/06/2017] , Billno-KNG02007052017-003",1,54780,0,5915,48865
KNG02-007-BLOCK DEV.OFFICER PRAGPUR,20-2515-00-102-01-S00N-V-N-01-SALARIES,"[TRVch# 18 Dt:08/06/2017] , Billno-KNG02007052017-004",1,30331,0,2896,27435
KNG02-007-BLOCK DEV.OFFICER PRAGPUR,20-2515-00-102-01-S00N-V-N-02-WAGES,"[TRVch# 24 Dt:08/06/2017] , Billno-KNG020072017100015",1,6810,0,0,6810
KNG02-007-BLOCK DEV.OFFICER PRAGPUR,20-2515-00-102-01-S00N-V-N-05-OFFICE EXPENSES,"[TRVch# 122 Dt:30/06/2017] , Billno-KNG020072017100019",1,3400,0,0,3400
KNG02-007-BLOCK DEV.OFFICER PRAGPUR,20-2515-00-102-01-S00N-V-N-05-OFFICE EXPENSES,"[TRVch# 123 Dt:30/06/2017] , Billno-KNG020072017100025",1,1200,0,0,1200
KNG02-007-BLOCK DEV.OFFICER PRAGPUR,20-2515-00-102-01-S00N-V-N-05-OFFICE EXPENSES,"[TRVch# 20 Dt:08/06/2017] , Billno-KNG020072017100016",1,1990,0,0,1990
KNG02-007-BLOCK DEV.OFFICER PRAGPUR,20-2515-00-102-01-S00N-V-N-05-OFFICE EXPENSES,"[TRVch# 21 Dt:08/06/2017] , Billno-KNG020072017100014",1,7696,0,0,7696
KNG02-007-BLOCK DEV.OFFICER PRAGPUR,20-2515-00-102-01-S00N-V-N-06-MEDICAL REIMBURSEMENT,"[TRVch# 22 Dt:08/06/2017] , Billno-KNG020072017100012",1,1180,0,0,1180
KNG02-007-BLOCK DEV.OFFICER PRAGPUR,20-2515-00-102-01-S00N-V-N-06-MEDICAL REIMBURSEMENT,"[TRVch# 23 Dt:08/06/2017] , Billno-KNG020072017100013",1,456,0,0,456
KNG02-007-BLOCK DEV.OFFICER PRAGPUR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 822 Dt:25/07/2017] , Billno-KNG020072017100034",1,150000,0,0,150000
KNG02-007-BLOCK DEV.OFFICER PRAGPUR,20-2515-00-102-01-S00N-V-N-01-SALARIES,"[TRVch# 121 Dt:25/07/2017] , Billno-KNG020072017100037",1,835,0,9,826
KNG02-007-BLOCK DEV.OFFICER PRAGPUR,20-2515-00-102-01-S00N-V-N-01-SALARIES,"[TRVch# 122 Dt:25/07/2017] , Billno-KNG020072017100035",1,15423,0,2299,13124
KNG02-007-BLOCK DEV.OFFICER PRAGPUR,20-2515-00-102-01-S00N-V-N-01-SALARIES,"[TRVch# 31 Dt:10/07/2017] , Billno-KNG02007062017-001",1,38176,0,4465,33711
KNG02-007-BLOCK DEV.OFFICER PRAGPUR,20-2515-00-102-01-S00N-V-N-01-SALARIES,"[TRVch# 32 Dt:10/07/2017] , Billno-KNG02007062017-002",1,514105,183000,7840,323265
KNG02-007-BLOCK DEV.OFFICER PRAGPUR,20-2515-00-102-01-S00N-V-N-01-SALARIES,"[TRVch# 33 Dt:10/07/2017] , Billno-KNG02007062017-003",1,54780,0,6415,48365
KNG02-007-BLOCK DEV.OFFICER PRAGPUR,20-2515-00-102-01-S00N-V-N-01-SALARIES,"[TRVch# 34 Dt:10/07/2017] , Billno-KNG02007062017-004",1,30331,0,2896,27435
KNG02-007-BLOCK DEV.OFFICER PRAGPUR,20-2515-00-102-01-S00N-V-N-02-WAGES,"[TRVch# 86 Dt:19/07/2017] , Billno-KNG020072017100031",1,6300,0,0,6300
KNG02-007-BLOCK DEV.OFFICER PRAGPUR,20-2515-00-102-01-S00N-V-N-05-OFFICE EXPENSES,"[TRVch# 84 Dt:19/07/2017] , Billno-KNG020072017100029",1,3060,0,0,3060
KNG02-007-BLOCK DEV.OFFICER PRAGPUR,20-2515-00-102-01-S00N-V-N-05-OFFICE EXPENSES,"[TRVch# 85 Dt:19/07/2017] , Billno-KNG020072017100030",1,2205,0,0,2205
KNG02-007-BLOCK DEV.OFFICER PRAGPUR,20-2515-00-102-01-S00N-V-N-06-MEDICAL REIMBURSEMENT,"[TRVch# 117 Dt:25/07/2017] , Billno-KNG020072017100033",1,2245,0,0,2245
KNG02-007-BLOCK DEV.OFFICER PRAGPUR,20-2515-00-102-01-S00N-V-N-06-MEDICAL REIMBURSEMENT,"[TRVch# 118 Dt:25/07/2017] , Billno-KNG020072017100039",1,793,0,0,793
KNG02-007-BLOCK DEV.OFFICER PRAGPUR,20-2515-00-102-01-S00N-V-N-06-MEDICAL REIMBURSEMENT,"[TRVch# 119 Dt:25/07/2017] , Billno-KNG020072017100040",1,904,0,0,904
KNG02-007-BLOCK DEV.OFFICER PRAGPUR,"20-2515-00-102-01-S00N-V-N-30-MOTOR VEHICLES OS,POL,REPAIR","[TRVch# 120 Dt:25/07/2017] , Billno-KNG020072017100042",1,31383,0,0,31383
KNG02-007-BLOCK DEV.OFFICER PRAGPUR,29-2071-01-115-01-S00N-V-N-38-PENSIONS,"[TRVch# 266 Dt:19/07/2017] , Billno-KNG020072017100028",1,618240,0,0,618240
KNG02-007-BLOCK DEV.OFFICER PRAGPUR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 1153 Dt:31/08/2017] , Billno-KNG020072017100050",1,100000,0,0,100000
KNG02-007-BLOCK DEV.OFFICER PRAGPUR,00-8448-00-109-00-S00N-V-N-00- ,"[TRVch# 1 Dt:21/08/2017] , Billno-KNG020071788448001",1,160031,0,0,160031
KNG02-007-BLOCK DEV.OFFICER PRAGPUR,20-2230-03-003-01-S00N-V-N-01-SALARIES,"[TRVch# 181 Dt:31/08/2017] , Billno-KNG020072017100044",1,6448,0,0,6448
KNG02-007-BLOCK DEV.OFFICER PRAGPUR,20-2515-00-102-01-S00N-V-N-01-SALARIES,"[TRVch# 122 Dt:31/08/2017] , Billno-KNG020072017100046",1,6091,0,610,5481
KNG02-007-BLOCK DEV.OFFICER PRAGPUR,20-2515-00-102-01-S00N-V-N-01-SALARIES,"[TRVch# 123 Dt:31/08/2017] , Billno-KNG020072017100047",1,3322,0,329,2993
KNG02-007-BLOCK DEV.OFFICER PRAGPUR,20-2515-00-102-01-S00N-V-N-01-SALARIES,"[TRVch# 33 Dt:08/08/2017] , Billno-KNG02007072017-001",1,38223,0,4469,33754
