DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
KNG02-242-GSSS BEH DHOUNTA,Total, ,138,19725427,3799273,755694,15170460
KNG02-242-GSSS BEH DHOUNTA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 683 Dt:10/04/2017] , Billno-KNG02242032017-001",1,203664,83000,90,120574
KNG02-242-GSSS BEH DHOUNTA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 684 Dt:10/04/2017] , Billno-KNG02242032017-002",1,21410,0,2008,19402
KNG02-242-GSSS BEH DHOUNTA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 685 Dt:10/04/2017] , Billno-KNG02242032017-003",1,73322,40000,60,33262
KNG02-242-GSSS BEH DHOUNTA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 686 Dt:10/04/2017] , Billno-KNG02242032017-004",1,194399,64000,180,130219
KNG02-242-GSSS BEH DHOUNTA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 687 Dt:10/04/2017] , Billno-KNG02242032017-005",1,59054,0,4345,54709
KNG02-242-GSSS BEH DHOUNTA,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 1265 Dt:31/05/2017] , Billno-KNG022422017100006",1,300000,0,0,300000
KNG02-242-GSSS BEH DHOUNTA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 3013 Dt:20/05/2017] , Billno-KNG022422017100001",1,19176,19176,0,0
KNG02-242-GSSS BEH DHOUNTA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 3014 Dt:20/05/2017] , Billno-KNG022422017100002",1,2353,0,234,2119
KNG02-242-GSSS BEH DHOUNTA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 959 Dt:09/05/2017] , Billno-KNG02242042017-001",1,207786,90000,5590,112196
KNG02-242-GSSS BEH DHOUNTA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 960 Dt:09/05/2017] , Billno-KNG02242042017-002",1,21673,0,2034,19639
KNG02-242-GSSS BEH DHOUNTA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 3010 Dt:20/05/2017] , Billno-KNG022422017100005",1,5130,0,513,4617
KNG02-242-GSSS BEH DHOUNTA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 3011 Dt:20/05/2017] , Billno-KNG022422017100004",1,20098,20098,0,0
KNG02-242-GSSS BEH DHOUNTA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 3012 Dt:20/05/2017] , Billno-KNG022422017100003",1,8406,8406,0,0
KNG02-242-GSSS BEH DHOUNTA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 961 Dt:09/05/2017] , Billno-KNG02242042017-003",1,74256,40000,4060,30196
KNG02-242-GSSS BEH DHOUNTA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 962 Dt:09/05/2017] , Billno-KNG02242042017-004",1,211862,73000,7380,131482
KNG02-242-GSSS BEH DHOUNTA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 964 Dt:09/05/2017] , Billno-KNG02242042017-005",1,60963,0,4533,56430
KNG02-242-GSSS BEH DHOUNTA,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 729 Dt:23/06/2017] , Billno-KNG022422017100007",1,125000,0,0,125000
KNG02-242-GSSS BEH DHOUNTA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 364 Dt:08/06/2017] , Billno-KNG02242052017-001",1,209267,90000,5590,113677
KNG02-242-GSSS BEH DHOUNTA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 365 Dt:08/06/2017] , Billno-KNG02242052017-002",1,21673,0,2034,19639
KNG02-242-GSSS BEH DHOUNTA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 3747 Dt:23/06/2017] , Billno-KNG022422017100009",1,9254,0,2141,7113
KNG02-242-GSSS BEH DHOUNTA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 366 Dt:08/06/2017] , Billno-KNG02242052017-003",1,76465,40000,4060,32405
KNG02-242-GSSS BEH DHOUNTA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 367 Dt:08/06/2017] , Billno-KNG02242052017-004",1,214974,73000,7380,134594
KNG02-242-GSSS BEH DHOUNTA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 368 Dt:08/06/2017] , Billno-KNG02242052017-005",1,63663,0,4533,59130
KNG02-242-GSSS BEH DHOUNTA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 3692 Dt:23/06/2017] , Billno-KNG022422017100008",1,4500,0,0,4500
KNG02-242-GSSS BEH DHOUNTA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 3137 Dt:25/07/2017] , Billno-KNG022422017100011",1,1190,0,0,1190
KNG02-242-GSSS BEH DHOUNTA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 808 Dt:10/07/2017] , Billno-KNG02242062017-001",1,237117,90000,5608,141509
KNG02-242-GSSS BEH DHOUNTA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 809 Dt:10/07/2017] , Billno-KNG02242062017-002",1,21673,0,2034,19639
KNG02-242-GSSS BEH DHOUNTA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 3132 Dt:25/07/2017] , Billno-KNG022422017100010",1,1190,0,0,1190
KNG02-242-GSSS BEH DHOUNTA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 810 Dt:10/07/2017] , Billno-KNG02242062017-003",1,76465,50000,4060,22405
KNG02-242-GSSS BEH DHOUNTA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 811 Dt:10/07/2017] , Billno-KNG02242062017-004",1,228451,73000,7389,148062
KNG02-242-GSSS BEH DHOUNTA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 812 Dt:10/07/2017] , Billno-KNG02242062017-005",1,63663,0,4533,59130
KNG02-242-GSSS BEH DHOUNTA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 866 Dt:08/08/2017] , Billno-KNG02242072017-001",1,239331,90000,5608,143723
KNG02-242-GSSS BEH DHOUNTA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 867 Dt:08/08/2017] , Billno-KNG02242072017-002",1,21673,0,2034,19639
KNG02-242-GSSS BEH DHOUNTA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 868 Dt:08/08/2017] , Billno-KNG02242072017-003",1,76465,50000,4060,22405
KNG02-242-GSSS BEH DHOUNTA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 869 Dt:08/08/2017] , Billno-KNG02242072017-004",1,232427,73000,7389,152038
KNG02-242-GSSS BEH DHOUNTA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 870 Dt:08/08/2017] , Billno-KNG02242072017-005",1,63663,0,4533,59130
KNG02-242-GSSS BEH DHOUNTA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 801 Dt:08/09/2017] , Billno-KNG02242082017-001",1,245150,90000,5608,149542
KNG02-242-GSSS BEH DHOUNTA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 802 Dt:08/09/2017] , Billno-KNG02242082017-002",1,22074,0,2034,20040
KNG02-242-GSSS BEH DHOUNTA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 908 Dt:08/09/2017] , Billno-KNG022422017100014",1,400,0,0,400
KNG02-242-GSSS BEH DHOUNTA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 909 Dt:08/09/2017] , Billno-KNG022422017100015",1,100,0,0,100
KNG02-242-GSSS BEH DHOUNTA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 803 Dt:08/09/2017] , Billno-KNG02242082017-003",1,77747,50000,4060,23687
KNG02-242-GSSS BEH DHOUNTA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 804 Dt:08/09/2017] , Billno-KNG02242082017-004",1,238364,73000,7389,157975
KNG02-242-GSSS BEH DHOUNTA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 805 Dt:08/09/2017] , Billno-KNG02242082017-005",1,64496,0,4533,59963
KNG02-242-GSSS BEH DHOUNTA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 906 Dt:08/09/2017] , Billno-KNG022422017100012",1,100,0,0,100
KNG02-242-GSSS BEH DHOUNTA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 907 Dt:08/09/2017] , Billno-KNG022422017100013",1,296,0,0,296
KNG02-242-GSSS BEH DHOUNTA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1755 Dt:07/10/2017] , Billno-KNG02242092017-001",1,249168,90000,5608,153560
