DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
KNG03-207-PR GSSS DAHKULAHRA,Total, ,159,40402358,6160885,1650950,32590523
KNG03-207-PR GSSS DAHKULAHRA,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 1226 Dt:29/04/2017] , Billno-KNG032072017100004",1,50000,0,0,50000
KNG03-207-PR GSSS DAHKULAHRA,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 1227 Dt:29/04/2017] , Billno-KNG032072017100003",1,200000,0,0,200000
KNG03-207-PR GSSS DAHKULAHRA,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 1228 Dt:29/04/2017] , Billno-KNG032072017100002",1,500000,0,0,500000
KNG03-207-PR GSSS DAHKULAHRA,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 1229 Dt:29/04/2017] , Billno-KNG032072017100001",1,300000,0,0,300000
KNG03-207-PR GSSS DAHKULAHRA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 780 Dt:10/04/2017] , Billno-KNG03207032017-001",1,451026,114000,7893,329133
KNG03-207-PR GSSS DAHKULAHRA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 781 Dt:10/04/2017] , Billno-KNG03207032017-002",1,34849,0,6278,28571
KNG03-207-PR GSSS DAHKULAHRA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 782 Dt:10/04/2017] , Billno-KNG03207032017-003",1,73758,30000,120,43638
KNG03-207-PR GSSS DAHKULAHRA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 783 Dt:10/04/2017] , Billno-KNG03207032017-004",1,595307,154250,11994,429063
KNG03-207-PR GSSS DAHKULAHRA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 784 Dt:10/04/2017] , Billno-KNG03207032017-005",1,209854,0,20322,189532
KNG03-207-PR GSSS DAHKULAHRA,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 1483 Dt:31/05/2017] , Billno-KNG032072017100010",1,50000,0,0,50000
KNG03-207-PR GSSS DAHKULAHRA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1144 Dt:09/05/2017] , Billno-KNG03207042017-001",1,460017,119000,17959,323058
KNG03-207-PR GSSS DAHKULAHRA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1145 Dt:09/05/2017] , Billno-KNG03207042017-002",1,35295,0,6322,28973
KNG03-207-PR GSSS DAHKULAHRA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 5160 Dt:31/05/2017] , Billno-KNG032072017100009",1,4014,0,405,3609
KNG03-207-PR GSSS DAHKULAHRA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 5161 Dt:31/05/2017] , Billno-KNG032072017100005",1,50934,39092,603,11239
KNG03-207-PR GSSS DAHKULAHRA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1146 Dt:09/05/2017] , Billno-KNG03207042017-003",1,74694,30000,5120,39574
KNG03-207-PR GSSS DAHKULAHRA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1147 Dt:09/05/2017] , Billno-KNG03207042017-004",1,607258,161250,24984,421024
KNG03-207-PR GSSS DAHKULAHRA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1148 Dt:09/05/2017] , Billno-KNG03207042017-005",1,223443,0,26104,197339
KNG03-207-PR GSSS DAHKULAHRA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 5162 Dt:31/05/2017] , Billno-KNG032072017100006",1,8370,8370,0,0
KNG03-207-PR GSSS DAHKULAHRA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 5163 Dt:31/05/2017] , Billno-KNG032072017100007",1,59184,53107,611,5466
KNG03-207-PR GSSS DAHKULAHRA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 5164 Dt:31/05/2017] , Billno-KNG032072017100008",1,23828,0,2384,21444
KNG03-207-PR GSSS DAHKULAHRA,08-2202-02-109-01-S00N-V-N-05-OFFICE EXPENSES,"[TRVch# 5187 Dt:31/05/2017] , Billno-KNG032072017100013",1,1698,0,0,1698
KNG03-207-PR GSSS DAHKULAHRA,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 301 Dt:20/06/2017] , Billno-KNG032072017100020",1,475000,0,0,475000
KNG03-207-PR GSSS DAHKULAHRA,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 302 Dt:20/06/2017] , Billno-KNG032072017100018",1,150000,0,0,150000
KNG03-207-PR GSSS DAHKULAHRA,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 96 Dt:08/06/2017] , Billno-KNG032072017100014",1,50000,0,0,50000
KNG03-207-PR GSSS DAHKULAHRA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 2834 Dt:20/06/2017] , Billno-KNG032072017100027",1,1782,0,178,1604
KNG03-207-PR GSSS DAHKULAHRA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 2835 Dt:20/06/2017] , Billno-KNG032072017100028",1,17195,14531,266,2398
KNG03-207-PR GSSS DAHKULAHRA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 551 Dt:08/06/2017] , Billno-KNG03207052017-006",1,352463,94000,15899,242564
KNG03-207-PR GSSS DAHKULAHRA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 552 Dt:08/06/2017] , Billno-KNG03207052017-007",1,35295,0,6322,28973
KNG03-207-PR GSSS DAHKULAHRA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 2831 Dt:20/06/2017] , Billno-KNG032072017100023",1,16417,16417,0,0
KNG03-207-PR GSSS DAHKULAHRA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 2832 Dt:20/06/2017] , Billno-KNG032072017100025",1,100124,91525,860,7739
KNG03-207-PR GSSS DAHKULAHRA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 2833 Dt:20/06/2017] , Billno-KNG032072017100026",1,46806,0,4680,42126
KNG03-207-PR GSSS DAHKULAHRA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 553 Dt:08/06/2017] , Billno-KNG03207052017-008",1,74694,30000,5120,39574
KNG03-207-PR GSSS DAHKULAHRA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 554 Dt:08/06/2017] , Billno-KNG03207052017-009",1,616538,166250,27818,422470
KNG03-207-PR GSSS DAHKULAHRA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 555 Dt:08/06/2017] , Billno-KNG03207052017-010",1,246976,0,27867,219109
KNG03-207-PR GSSS DAHKULAHRA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 923 Dt:10/07/2017] , Billno-KNG03207062017-001",1,316958,99000,9913,208045
KNG03-207-PR GSSS DAHKULAHRA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 924 Dt:10/07/2017] , Billno-KNG03207062017-002",1,36352,0,6426,29926
KNG03-207-PR GSSS DAHKULAHRA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 925 Dt:10/07/2017] , Billno-KNG03207062017-003",1,74694,30000,5120,39574
KNG03-207-PR GSSS DAHKULAHRA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 926 Dt:10/07/2017] , Billno-KNG03207062017-004",1,616978,166250,27818,422910
KNG03-207-PR GSSS DAHKULAHRA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 927 Dt:10/07/2017] , Billno-KNG03207062017-005",1,245634,0,27754,217880
KNG03-207-PR GSSS DAHKULAHRA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 980 Dt:08/08/2017] , Billno-KNG03207072017-001",1,356293,99000,13685,243608
KNG03-207-PR GSSS DAHKULAHRA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 981 Dt:08/08/2017] , Billno-KNG03207072017-002",1,39642,0,6748,32894
KNG03-207-PR GSSS DAHKULAHRA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 982 Dt:08/08/2017] , Billno-KNG03207072017-003",1,74694,30000,5120,39574
KNG03-207-PR GSSS DAHKULAHRA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 983 Dt:08/08/2017] , Billno-KNG03207072017-004",1,616978,166250,27818,422910
KNG03-207-PR GSSS DAHKULAHRA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 984 Dt:08/08/2017] , Billno-KNG03207072017-005",1,185006,0,19373,165633
KNG03-207-PR GSSS DAHKULAHRA,08-2202-02-109-01-S00N-V-N-03-TRAVEL EXPENSES,"[TRVch# 3405 Dt:31/08/2017] , Billno-KNG032072017100029",1,558,0,0,558
KNG03-207-PR GSSS DAHKULAHRA,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 642 Dt:21/09/2017] , Billno-KNG032072017100033",1,55000,0,0,55000
KNG03-207-PR GSSS DAHKULAHRA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1018 Dt:08/09/2017] , Billno-KNG03207082017-001",1,362523,99000,14685,248838
KNG03-207-PR GSSS DAHKULAHRA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1019 Dt:08/09/2017] , Billno-KNG03207082017-002",1,40311,0,6748,33563
KNG03-207-PR GSSS DAHKULAHRA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1020 Dt:08/09/2017] , Billno-KNG03207082017-003",1,75992,30000,5120,40872
KNG03-207-PR GSSS DAHKULAHRA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1021 Dt:08/09/2017] , Billno-KNG03207082017-004",1,627033,164000,27875,435158
KNG03-207-PR GSSS DAHKULAHRA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1022 Dt:08/09/2017] , Billno-KNG03207082017-005",1,255152,0,28253,226899
KNG03-207-PR GSSS DAHKULAHRA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 3731 Dt:29/09/2017] , Billno-KNG032072017100034",1,3793,0,363,3430
KNG03-207-PR GSSS DAHKULAHRA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 3738 Dt:29/09/2017] , Billno-KNG032072017100035",1,3664,0,360,3304
KNG03-207-PR GSSS DAHKULAHRA,29-2071-01-115-01-S00N-V-N-38-PENSIONS,"[TRVch# 238 Dt:29/09/2017] , Billno-KNG032072017100036",1,446381,0,0,446381
KNG03-207-PR GSSS DAHKULAHRA,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 888 Dt:31/10/2017] , Billno-KNG032072017100038",1,50000,0,0,50000
KNG03-207-PR GSSS DAHKULAHRA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 810 Dt:07/10/2017] , Billno-KNG03207092017-001",1,370494,99000,14895,256599
KNG03-207-PR GSSS DAHKULAHRA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 811 Dt:07/10/2017] , Billno-KNG03207092017-002",1,40980,0,6815,34165
KNG03-207-PR GSSS DAHKULAHRA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 812 Dt:07/10/2017] , Billno-KNG03207092017-003",1,79525,30000,5120,44405
KNG03-207-PR GSSS DAHKULAHRA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 813 Dt:07/10/2017] , Billno-KNG03207092017-004",1,650955,162000,29185,459770
KNG03-207-PR GSSS DAHKULAHRA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 814 Dt:07/10/2017] , Billno-KNG03207092017-005",1,260512,0,28760,231752
KNG03-207-PR GSSS DAHKULAHRA,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 1153 Dt:30/11/2017] , Billno-KNG032072017100052",1,250000,0,0,250000
KNG03-207-PR GSSS DAHKULAHRA,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 1154 Dt:30/11/2017] , Billno-KNG032072017100053",1,40000,0,0,40000
KNG03-207-PR GSSS DAHKULAHRA,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 57 Dt:07/11/2017] , Billno-KNG032072017100047",1,1890941,0,0,1890941
KNG03-207-PR GSSS DAHKULAHRA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 506 Dt:07/11/2017] , Billno-KNG03207102017-001",1,410167,109000,13913,287254
KNG03-207-PR GSSS DAHKULAHRA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 566 Dt:07/11/2017] , Billno-KNG032072017100042",1,45083,38139,695,6249
