DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
KNG04-031-AE IPH SUB DIV NURPUR,Total, ,27,304005,0,0,304005
KNG04-031-AE IPH SUB DIV NURPUR,13-2215-01-101-05-S00N-V-N-02-WAGES,"[TRVch# 126 Dt:18/12/2017] , Billno-KNG040312017000015",1,6300,0,0,6300
KNG04-031-AE IPH SUB DIV NURPUR,13-2215-01-101-05-S00N-V-N-02-WAGES,"[TRVch# 157 Dt:23/08/2017] , Billno-KNG040312017000007",1,13020,0,0,13020
KNG04-031-AE IPH SUB DIV NURPUR,13-2215-01-101-05-S00N-V-N-02-WAGES,"[TRVch# 159 Dt:22/09/2017] , Billno-KNG040312017000009",1,13020,0,0,13020
KNG04-031-AE IPH SUB DIV NURPUR,13-2215-01-101-05-S00N-V-N-02-WAGES,"[TRVch# 165 Dt:22/11/2017] , Billno-KNG040312017000013",1,6510,0,0,6510
KNG04-031-AE IPH SUB DIV NURPUR,13-2215-01-101-05-S00N-V-N-02-WAGES,"[TRVch# 172 Dt:22/02/2018] , Billno-KNG040312017000020",1,6510,0,0,6510
KNG04-031-AE IPH SUB DIV NURPUR,13-2215-01-101-05-S00N-V-N-02-WAGES,"[TRVch# 185 Dt:24/05/2017] , Billno-KNG040312017000001",1,12600,0,0,12600
KNG04-031-AE IPH SUB DIV NURPUR,13-2215-01-101-05-S00N-V-N-02-WAGES,"[TRVch# 188 Dt:20/01/2018] , Billno-KNG040312017000018",1,6510,0,0,6510
KNG04-031-AE IPH SUB DIV NURPUR,13-2215-01-101-05-S00N-V-N-02-WAGES,"[TRVch# 250 Dt:25/07/2017] , Billno-KNG040312017000005",1,12600,0,0,12600
KNG04-031-AE IPH SUB DIV NURPUR,13-2215-01-101-05-S00N-V-N-02-WAGES,"[TRVch# 283 Dt:30/06/2017] , Billno-KNG040312017000003",1,13020,0,0,13020
KNG04-031-AE IPH SUB DIV NURPUR,13-2215-01-101-05-S00N-V-N-02-WAGES,"[TRVch# 399 Dt:31/03/2018] , Billno-KNG040312017000022",1,5880,0,0,5880
KNG04-031-AE IPH SUB DIV NURPUR,13-2215-01-101-05-S00N-V-N-02-WAGES,"[TRVch# 409 Dt:31/03/2018] , Billno-KNG040312017000023",1,6510,0,0,6510
KNG04-031-AE IPH SUB DIV NURPUR,13-2215-01-101-05-S00N-V-N-02-WAGES,"[TRVch# 65 Dt:07/11/2017] , Billno-KNG040312017000011",1,12180,0,0,12180
KNG04-031-AE IPH SUB DIV NURPUR,13-2215-01-102-13-S00N-V-N-02-WAGES,"[TRVch# 125 Dt:18/12/2017] , Billno-KNG040312017000016",1,12600,0,0,12600
KNG04-031-AE IPH SUB DIV NURPUR,13-2215-01-102-13-S00N-V-N-02-WAGES,"[TRVch# 158 Dt:23/08/2017] , Billno-KNG040312017000008",1,13020,0,0,13020
KNG04-031-AE IPH SUB DIV NURPUR,13-2215-01-102-13-S00N-V-N-02-WAGES,"[TRVch# 160 Dt:22/09/2017] , Billno-KNG040312017000010",1,13020,0,0,13020
KNG04-031-AE IPH SUB DIV NURPUR,13-2215-01-102-13-S00N-V-N-02-WAGES,"[TRVch# 166 Dt:22/11/2017] , Billno-KNG040312017000014",1,13020,0,0,13020
KNG04-031-AE IPH SUB DIV NURPUR,13-2215-01-102-13-S00N-V-N-02-WAGES,"[TRVch# 171 Dt:22/02/2018] , Billno-KNG040312017000019",1,13020,0,0,13020
KNG04-031-AE IPH SUB DIV NURPUR,13-2215-01-102-13-S00N-V-N-02-WAGES,"[TRVch# 186 Dt:24/05/2017] , Billno-KNG040312017000002",1,12600,0,0,12600
KNG04-031-AE IPH SUB DIV NURPUR,13-2215-01-102-13-S00N-V-N-02-WAGES,"[TRVch# 187 Dt:20/01/2018] , Billno-KNG040312017000017",1,13020,0,0,13020
KNG04-031-AE IPH SUB DIV NURPUR,13-2215-01-102-13-S00N-V-N-02-WAGES,"[TRVch# 221 Dt:22/06/2018] , Billno-KNG040312018000001",1,18270,0,0,18270
KNG04-031-AE IPH SUB DIV NURPUR,13-2215-01-102-13-S00N-V-N-02-WAGES,"[TRVch# 222 Dt:22/06/2018] , Billno-KNG040312018000002",1,11025,0,0,11025
KNG04-031-AE IPH SUB DIV NURPUR,13-2215-01-102-13-S00N-V-N-02-WAGES,"[TRVch# 249 Dt:25/07/2017] , Billno-KNG040312017000006",1,12600,0,0,12600
KNG04-031-AE IPH SUB DIV NURPUR,13-2215-01-102-13-S00N-V-N-02-WAGES,"[TRVch# 284 Dt:30/06/2017] , Billno-KNG040312017000004",1,13020,0,0,13020
KNG04-031-AE IPH SUB DIV NURPUR,13-2215-01-102-13-S00N-V-N-02-WAGES,"[TRVch# 400 Dt:31/03/2018] , Billno-KNG040312017000021",1,11760,0,0,11760
KNG04-031-AE IPH SUB DIV NURPUR,13-2215-01-102-13-S00N-V-N-02-WAGES,"[TRVch# 410 Dt:31/03/2018] , Billno-KNG040312017000024",1,13020,0,0,13020
KNG04-031-AE IPH SUB DIV NURPUR,13-2215-01-102-13-S00N-V-N-02-WAGES,"[TRVch# 66 Dt:07/11/2017] , Billno-KNG040312017000012",1,12600,0,0,12600
KNG04-031-AE IPH SUB DIV NURPUR,13-2215-01-102-13-S00N-V-N-02-WAGES,"[TRVch# 85 Dt:07/08/2018] , Billno-KNG040312018000003",1,6750,0,0,6750
