DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
KNG04-731-IPH DIVISION NURPUR,Total, ,1058,688940364,62786846,56311906,569841612
KNG04-731-IPH DIVISION NURPUR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 1040 Dt:29/04/2017] , Billno-KNG047312017100024",1,121213,0,0,121213
KNG04-731-IPH DIVISION NURPUR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 1051 Dt:29/04/2017] , Billno-KNG047312017100028",1,200000,0,0,200000
KNG04-731-IPH DIVISION NURPUR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 1052 Dt:29/04/2017] , Billno-KNG047312017100029",1,550000,0,0,550000
KNG04-731-IPH DIVISION NURPUR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 1053 Dt:29/04/2017] , Billno-KNG047312017100025",1,20000,0,0,20000
KNG04-731-IPH DIVISION NURPUR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 1063 Dt:29/04/2017] , Billno-KNG047312017100037",1,50000,0,0,50000
KNG04-731-IPH DIVISION NURPUR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 1064 Dt:29/04/2017] , Billno-KNG047312017100032",1,200000,0,0,200000
KNG04-731-IPH DIVISION NURPUR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 1065 Dt:29/04/2017] , Billno-KNG047312017100033",1,80000,0,0,80000
KNG04-731-IPH DIVISION NURPUR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 1066 Dt:29/04/2017] , Billno-KNG047312017100036",1,100000,0,0,100000
KNG04-731-IPH DIVISION NURPUR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 481 Dt:21/04/2017] , Billno-KNG047312017100001",1,400000,0,0,400000
KNG04-731-IPH DIVISION NURPUR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 482 Dt:21/04/2017] , Billno-KNG047312017100002",1,50000,0,0,50000
KNG04-731-IPH DIVISION NURPUR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 484 Dt:21/04/2017] , Billno-KNG047312017100008",1,100000,0,0,100000
