DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
KNG05-013-SR.MEDICAL OFFICER PALAMPUR,Total, ,465,188492781,32707353,16532197,139253231
KNG05-013-SR.MEDICAL OFFICER PALAMPUR,00-8009-01-101-01-S00N-V-N-47-ADVANCES,"[TRVch# 219 Dt:21/04/2017] , Billno-KNG050132017100001",1,85000,0,0,85000
KNG05-013-SR.MEDICAL OFFICER PALAMPUR,00-8009-01-101-01-S00N-V-N-47-ADVANCES,"[TRVch# 220 Dt:21/04/2017] , Billno-KNG050132017100002",1,50000,0,0,50000
KNG05-013-SR.MEDICAL OFFICER PALAMPUR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 1244 Dt:29/04/2017] , Billno-KNG050132017100005",1,1400000,0,0,1400000
KNG05-013-SR.MEDICAL OFFICER PALAMPUR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 1245 Dt:29/04/2017] , Billno-KNG050132017100006",1,200000,0,0,200000
KNG05-013-SR.MEDICAL OFFICER PALAMPUR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 1274 Dt:29/04/2017] , Billno-KNG050132017100003",1,977361,0,0,977361
KNG05-013-SR.MEDICAL OFFICER PALAMPUR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 1332 Dt:29/04/2017] , Billno-KNG050132017100007",1,190000,0,0,190000
KNG05-013-SR.MEDICAL OFFICER PALAMPUR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 1333 Dt:29/04/2017] , Billno-KNG050132017100008",1,250000,0,0,250000
KNG05-013-SR.MEDICAL OFFICER PALAMPUR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 1334 Dt:29/04/2017] , Billno-KNG050132017100009",1,1500000,0,0,1500000
KNG05-013-SR.MEDICAL OFFICER PALAMPUR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 1335 Dt:29/04/2017] , Billno-KNG050132017100010",1,900000,0,0,900000
KNG05-013-SR.MEDICAL OFFICER PALAMPUR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 1336 Dt:29/04/2017] , Billno-KNG050132017100011",1,300000,0,0,300000
KNG05-013-SR.MEDICAL OFFICER PALAMPUR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 1361 Dt:29/04/2017] , Billno-KNG050132017100018",1,800000,0,0,800000
KNG05-013-SR.MEDICAL OFFICER PALAMPUR,09-2210-01-110-03-S00N-V-N-01-SALARIES,"[TRVch# 142 Dt:10/04/2017] , Billno-KNG05013032017-001",1,2779150,670000,556768,1552382
KNG05-013-SR.MEDICAL OFFICER PALAMPUR,09-2210-01-110-03-S00N-V-N-01-SALARIES,"[TRVch# 143 Dt:10/04/2017] , Billno-KNG05013032017-002",1,529141,0,92177,436964
KNG05-013-SR.MEDICAL OFFICER PALAMPUR,09-2210-01-110-03-S00N-V-N-01-SALARIES,"[TRVch# 144 Dt:10/04/2017] , Billno-KNG05013032017-003",1,2020633,789400,84400,1146833
KNG05-013-SR.MEDICAL OFFICER PALAMPUR,09-2210-01-110-03-S00N-V-N-01-SALARIES,"[TRVch# 145 Dt:10/04/2017] , Billno-KNG05013032017-004",1,441441,0,40823,400618
KNG05-013-SR.MEDICAL OFFICER PALAMPUR,09-2210-01-200-01-S00N-V-N-01-SALARIES,"[TRVch# 146 Dt:10/04/2017] , Billno-KNG05013032017-005",1,174125,60000,25870,88255
KNG05-013-SR.MEDICAL OFFICER PALAMPUR,09-2210-01-200-01-S00N-V-N-01-SALARIES,"[TRVch# 147 Dt:10/04/2017] , Billno-KNG05013032017-006",1,56045,25000,2190,28855
KNG05-013-SR.MEDICAL OFFICER PALAMPUR,29-2071-01-104-02-S00N-V-N-38-PENSIONS,"[TRVch# 173 Dt:29/04/2017] , Billno-KNG050132017100004",1,1000000,0,0,1000000
KNG05-013-SR.MEDICAL OFFICER PALAMPUR,00-8009-01-101-01-S00N-V-N-47-ADVANCES,"[TRVch# 1306 Dt:31/05/2017] , Billno-KNG050132017100035",1,48000,0,0,48000
KNG05-013-SR.MEDICAL OFFICER PALAMPUR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 1307 Dt:31/05/2017] , Billno-KNG050132017100034",1,90000,0,0,90000
KNG05-013-SR.MEDICAL OFFICER PALAMPUR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 650 Dt:20/05/2017] , Billno-KNG050132017100025",1,300000,0,0,300000
KNG05-013-SR.MEDICAL OFFICER PALAMPUR,09-2210-01-110-03-S00N-V-N-01-SALARIES,"[TRVch# 194 Dt:09/05/2017] , Billno-KNG05013042017-006",1,2814445,690000,556768,1567677
KNG05-013-SR.MEDICAL OFFICER PALAMPUR,09-2210-01-110-03-S00N-V-N-01-SALARIES,"[TRVch# 195 Dt:09/05/2017] , Billno-KNG05013042017-005",1,602257,0,103404,498853
KNG05-013-SR.MEDICAL OFFICER PALAMPUR,09-2210-01-110-03-S00N-V-N-01-SALARIES,"[TRVch# 196 Dt:09/05/2017] , Billno-KNG05013042017-004",1,2031978,854400,85722,1091856
KNG05-013-SR.MEDICAL OFFICER PALAMPUR,09-2210-01-110-03-S00N-V-N-01-SALARIES,"[TRVch# 197 Dt:09/05/2017] , Billno-KNG05013042017-003",1,454144,0,28186,425958
KNG05-013-SR.MEDICAL OFFICER PALAMPUR,09-2210-01-110-03-S00N-V-N-01-SALARIES,"[TRVch# 336 Dt:20/05/2017] , Billno-KNG050132017100020",1,40000,0,15450,24550
KNG05-013-SR.MEDICAL OFFICER PALAMPUR,09-2210-01-110-03-S00N-V-N-01-SALARIES,"[TRVch# 337 Dt:20/05/2017] , Billno-KNG050132017100021",1,40000,0,15450,24550
KNG05-013-SR.MEDICAL OFFICER PALAMPUR,09-2210-01-110-03-S00N-V-N-01-SALARIES,"[TRVch# 338 Dt:20/05/2017] , Billno-KNG050132017100022",1,48502,25000,1580,21922
KNG05-013-SR.MEDICAL OFFICER PALAMPUR,09-2210-01-110-03-S00N-V-N-01-SALARIES,"[TRVch# 343 Dt:20/05/2017] , Billno-KNG050132017100012",1,314125,314125,0,0
KNG05-013-SR.MEDICAL OFFICER PALAMPUR,09-2210-01-110-03-S00N-V-N-01-SALARIES,"[TRVch# 344 Dt:20/05/2017] , Billno-KNG050132017100013",1,59755,0,5776,53979
KNG05-013-SR.MEDICAL OFFICER PALAMPUR,09-2210-01-110-03-S00N-V-N-01-SALARIES,"[TRVch# 345 Dt:20/05/2017] , Billno-KNG050132017100014",1,233962,224430,0,9532
KNG05-013-SR.MEDICAL OFFICER PALAMPUR,09-2210-01-110-03-S00N-V-N-01-SALARIES,"[TRVch# 346 Dt:20/05/2017] , Billno-KNG050132017100015",1,29527,0,2874,26653
KNG05-013-SR.MEDICAL OFFICER PALAMPUR,09-2210-01-110-03-S00N-V-N-01-SALARIES,"[TRVch# 671 Dt:31/05/2017] , Billno-KNG050132017100036",1,65969,0,10646,55323
KNG05-013-SR.MEDICAL OFFICER PALAMPUR,09-2210-01-110-03-S00N-V-N-01-SALARIES,"[TRVch# 674 Dt:31/05/2017] , Billno-KNG050132017100040",1,36341,0,0,36341
KNG05-013-SR.MEDICAL OFFICER PALAMPUR,09-2210-01-110-03-S00N-V-N-05-OFFICE EXPENSES,"[TRVch# 238 Dt:09/05/2017] , Billno-KNG050132017100019",1,59588,0,0,59588
KNG05-013-SR.MEDICAL OFFICER PALAMPUR,09-2210-01-110-03-S00N-V-N-05-OFFICE EXPENSES,"[TRVch# 341 Dt:20/05/2017] , Billno-KNG050132017100027",1,5816,0,0,5816
KNG05-013-SR.MEDICAL OFFICER PALAMPUR,09-2210-01-110-03-S00N-V-N-05-OFFICE EXPENSES,"[TRVch# 342 Dt:20/05/2017] , Billno-KNG050132017100026",1,202311,0,0,202311
KNG05-013-SR.MEDICAL OFFICER PALAMPUR,09-2210-01-110-03-S00N-V-N-05-OFFICE EXPENSES,"[TRVch# 680 Dt:31/05/2017] , Billno-KNG050132017100042",1,92764,0,0,92764
KNG05-013-SR.MEDICAL OFFICER PALAMPUR,09-2210-01-110-03-S00N-V-N-06-MEDICAL REIMBURSEMENT,"[TRVch# 350 Dt:20/05/2017] , Billno-KNG050132017100031",1,51865,0,0,51865
KNG05-013-SR.MEDICAL OFFICER PALAMPUR,09-2210-01-110-03-S00N-V-N-06-MEDICAL REIMBURSEMENT,"[TRVch# 351 Dt:20/05/2017] , Billno-KNG050132017100028",1,44766,0,0,44766
KNG05-013-SR.MEDICAL OFFICER PALAMPUR,09-2210-01-110-03-S00N-V-N-06-MEDICAL REIMBURSEMENT,"[TRVch# 352 Dt:20/05/2017] , Billno-KNG050132017100029",1,36984,0,0,36984
