DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
KNG05-233-PR GOVT DEGREE COLLEGE PALAMPUR,Total, ,240,98243947,20926714,11203612,66113621
KNG05-233-PR GOVT DEGREE COLLEGE PALAMPUR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 217 Dt:21/04/2017] , Billno-KNG052332017100001",1,898000,0,0,898000
KNG05-233-PR GOVT DEGREE COLLEGE PALAMPUR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 218 Dt:21/04/2017] , Billno-KNG052332017100004",1,300000,0,0,300000
KNG05-233-PR GOVT DEGREE COLLEGE PALAMPUR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 240 Dt:21/04/2017] , Billno-KNG052332017100005",1,200000,0,0,200000
KNG05-233-PR GOVT DEGREE COLLEGE PALAMPUR,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 1254 Dt:10/04/2017] , Billno-KNG05233032017-001",1,2740771,946600,168568,1625603
KNG05-233-PR GOVT DEGREE COLLEGE PALAMPUR,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 1255 Dt:10/04/2017] , Billno-KNG05233032017-002",1,847095,0,168437,678658
KNG05-233-PR GOVT DEGREE COLLEGE PALAMPUR,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 1256 Dt:10/04/2017] , Billno-KNG05233032017-003",1,79214,0,1556,77658
KNG05-233-PR GOVT DEGREE COLLEGE PALAMPUR,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 1257 Dt:10/04/2017] , Billno-KNG05233032017-004",1,122071,25000,120,96951
KNG05-233-PR GOVT DEGREE COLLEGE PALAMPUR,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 1258 Dt:10/04/2017] , Billno-KNG05233032017-005",1,325824,136000,1196,188628
KNG05-233-PR GOVT DEGREE COLLEGE PALAMPUR,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 1259 Dt:10/04/2017] , Billno-KNG05233032017-006",1,40059,0,3746,36313
KNG05-233-PR GOVT DEGREE COLLEGE PALAMPUR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 1339 Dt:31/05/2017] , Billno-KNG052332017100012",1,300000,0,0,300000
KNG05-233-PR GOVT DEGREE COLLEGE PALAMPUR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 1359 Dt:31/05/2017] , Billno-KNG052332017100020",1,72000,0,0,72000
KNG05-233-PR GOVT DEGREE COLLEGE PALAMPUR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 1360 Dt:31/05/2017] , Billno-KNG052332017100022",1,50000,0,0,50000
KNG05-233-PR GOVT DEGREE COLLEGE PALAMPUR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 1361 Dt:31/05/2017] , Billno-KNG052332017100021",1,1000000,0,0,1000000
KNG05-233-PR GOVT DEGREE COLLEGE PALAMPUR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 1403 Dt:31/05/2017] , Billno-KNG052332017100024",1,700000,0,0,700000
KNG05-233-PR GOVT DEGREE COLLEGE PALAMPUR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 1404 Dt:31/05/2017] , Billno-KNG052332017100023",1,400000,0,0,400000
KNG05-233-PR GOVT DEGREE COLLEGE PALAMPUR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 1416 Dt:31/05/2017] , Billno-KNG052332017100028",1,600000,0,0,600000
KNG05-233-PR GOVT DEGREE COLLEGE PALAMPUR,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 1683 Dt:09/05/2017] , Billno-KNG05233042017-001",1,2776009,952600,424760,1398649
KNG05-233-PR GOVT DEGREE COLLEGE PALAMPUR,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 1684 Dt:09/05/2017] , Billno-KNG05233042017-002",1,909419,0,168731,740688
KNG05-233-PR GOVT DEGREE COLLEGE PALAMPUR,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 1685 Dt:09/05/2017] , Billno-KNG05233042017-003",1,82418,0,778,81640
