DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
KNG06-005-C.D.P.O. FATEHPUR,Total, ,306,39395862,1381847,305630,37708385
KNG06-005-C.D.P.O. FATEHPUR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 887 Dt:29/04/2017] , Billno-KNG060052017100005",1,200000,0,0,200000
KNG06-005-C.D.P.O. FATEHPUR,19-2235-02-102-05-C90N-V-P-02-WAGES,"[TRVch# 115 Dt:29/04/2017] , Billno-KNG060052017100003",1,18600,0,0,18600
KNG06-005-C.D.P.O. FATEHPUR,"19-2235-02-102-05-C90N-V-P-30-MOTOR VEHICLES OS,POL,REPAIR","[TRVch# 116 Dt:29/04/2017] , Billno-KNG060052017100004",1,16500,0,0,16500
KNG06-005-C.D.P.O. FATEHPUR,19-2235-02-102-05-C90N-V-P-99-HONORARIUM,"[TRVch# 117 Dt:29/04/2017] , Billno-KNG060052017100001",1,1238417,0,0,1238417
KNG06-005-C.D.P.O. FATEHPUR,19-2235-02-102-11-S00N-V-N-99-HONORARIUM,"[TRVch# 118 Dt:29/04/2017] , Billno-KNG060052017100002",1,203900,0,0,203900
KNG06-005-C.D.P.O. FATEHPUR,32-2235-02-789-01-C90N-V-P-01-SALARIES,"[TRVch# 47 Dt:10/04/2017] , Billno-KNG06005032017-001",1,69821,30000,360,39461
KNG06-005-C.D.P.O. FATEHPUR,32-2235-02-789-01-C90N-V-P-01-SALARIES,"[TRVch# 48 Dt:10/04/2017] , Billno-KNG06005032017-002",1,76859,27000,60,49799
KNG06-005-C.D.P.O. FATEHPUR,32-2235-02-789-01-C90N-V-P-01-SALARIES,"[TRVch# 49 Dt:10/04/2017] , Billno-KNG06005032017-003",1,120331,0,8672,111659
KNG06-005-C.D.P.O. FATEHPUR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 789 Dt:20/05/2017] , Billno-KNG060052017100012",1,120000,0,0,120000
KNG06-005-C.D.P.O. FATEHPUR,19-2235-02-102-05-C90N-V-P-02-WAGES,"[TRVch# 138 Dt:09/05/2017] , Billno-KNG060052017100008",1,18900,0,0,18900
KNG06-005-C.D.P.O. FATEHPUR,"19-2235-02-102-05-C90N-V-P-30-MOTOR VEHICLES OS,POL,REPAIR","[TRVch# 137 Dt:09/05/2017] , Billno-KNG060052017100009",1,17900,0,0,17900
KNG06-005-C.D.P.O. FATEHPUR,19-2235-02-102-05-C90N-V-P-99-HONORARIUM,"[TRVch# 140 Dt:09/05/2017] , Billno-KNG060052017100010",1,1235398,0,0,1235398
KNG06-005-C.D.P.O. FATEHPUR,19-2235-02-102-11-S00N-V-N-99-HONORARIUM,"[TRVch# 139 Dt:09/05/2017] , Billno-KNG060052017100011",1,203450,0,0,203450
KNG06-005-C.D.P.O. FATEHPUR,32-2235-02-789-01-C90N-V-P-01-SALARIES,"[TRVch# 134 Dt:09/05/2017] , Billno-KNG06005042017-001",1,70713,30000,5360,35353
KNG06-005-C.D.P.O. FATEHPUR,32-2235-02-789-01-C90N-V-P-01-SALARIES,"[TRVch# 135 Dt:09/05/2017] , Billno-KNG06005042017-002",1,77837,27000,60,50777
KNG06-005-C.D.P.O. FATEHPUR,32-2235-02-789-01-C90N-V-P-01-SALARIES,"[TRVch# 136 Dt:09/05/2017] , Billno-KNG06005042017-003",1,123069,0,9286,113783
KNG06-005-C.D.P.O. FATEHPUR,32-2235-02-789-01-C90N-V-P-01-SALARIES,"[TRVch# 323 Dt:20/05/2017] , Billno-KNG060052017100007",1,1600,0,0,1600
KNG06-005-C.D.P.O. FATEHPUR,32-2235-02-789-01-C90N-V-P-01-SALARIES,"[TRVch# 324 Dt:20/05/2017] , Billno-KNG060052017100006",1,1600,0,0,1600
KNG06-005-C.D.P.O. FATEHPUR,32-2235-02-789-01-C90N-V-P-01-SALARIES,"[TRVch# 328 Dt:20/05/2017] , Billno-KNG060052017100016",1,810,0,0,810
KNG06-005-C.D.P.O. FATEHPUR,32-2235-02-789-01-C90N-V-P-05-OFFICE EXPENSES,"[TRVch# 326 Dt:20/05/2017] , Billno-KNG060052017100013",1,15115,0,0,15115
KNG06-005-C.D.P.O. FATEHPUR,32-2235-02-789-01-C90N-V-P-05-OFFICE EXPENSES,"[TRVch# 329 Dt:20/05/2017] , Billno-KNG060052017100015",1,2180,0,0,2180
KNG06-005-C.D.P.O. FATEHPUR,32-2235-02-789-01-C90N-V-P-10-HOSPITALITY AND ENT.EXPENSES,"[TRVch# 327 Dt:20/05/2017] , Billno-KNG060052017100014",1,700,0,0,700
KNG06-005-C.D.P.O. FATEHPUR,19-2235-02-102-05-C90N-V-P-01-SALARIES,"[TRVch# 636 Dt:30/06/2017] , Billno-KNG060052017100028",1,558,0,0,558
KNG06-005-C.D.P.O. FATEHPUR,19-2235-02-102-05-C90N-V-P-02-WAGES,"[TRVch# 305 Dt:20/06/2017] , Billno-KNG060052017100017",1,19530,0,0,19530
KNG06-005-C.D.P.O. FATEHPUR,"19-2235-02-102-05-C90N-V-P-30-MOTOR VEHICLES OS,POL,REPAIR","[TRVch# 306 Dt:20/06/2017] , Billno-KNG060052017100018",1,17900,0,0,17900
KNG06-005-C.D.P.O. FATEHPUR,19-2235-02-102-05-C90N-V-P-99-HONORARIUM,"[TRVch# 307 Dt:20/06/2017] , Billno-KNG060052017100019",1,1134837,0,0,1134837
KNG06-005-C.D.P.O. FATEHPUR,19-2235-02-102-05-C90N-V-P-99-HONORARIUM,"[TRVch# 309 Dt:20/06/2017] , Billno-KNG060052017100021",1,100624,0,0,100624
KNG06-005-C.D.P.O. FATEHPUR,19-2235-02-102-11-S00N-V-N-99-HONORARIUM,"[TRVch# 310 Dt:20/06/2017] , Billno-KNG060052017100022",1,509900,0,0,509900
KNG06-005-C.D.P.O. FATEHPUR,19-2235-02-102-11-S00N-V-N-99-HONORARIUM,"[TRVch# 311 Dt:20/06/2017] , Billno-KNG060052017100023",1,44875,0,0,44875
KNG06-005-C.D.P.O. FATEHPUR,32-2235-02-789-01-C90N-V-P-01-SALARIES,"[TRVch# 130 Dt:08/06/2017] , Billno-KNG06005052017-001",1,70713,30000,5360,35353
KNG06-005-C.D.P.O. FATEHPUR,32-2235-02-789-01-C90N-V-P-01-SALARIES,"[TRVch# 131 Dt:08/06/2017] , Billno-KNG06005052017-002",1,77837,27000,60,50777
KNG06-005-C.D.P.O. FATEHPUR,32-2235-02-789-01-C90N-V-P-01-SALARIES,"[TRVch# 132 Dt:08/06/2017] , Billno-KNG06005052017-003",1,123069,0,9286,113783
KNG06-005-C.D.P.O. FATEHPUR,32-2235-02-789-01-C90N-V-P-01-SALARIES,"[TRVch# 633 Dt:30/06/2017] , Billno-KNG060052017100026",1,8676,8676,0,0
KNG06-005-C.D.P.O. FATEHPUR,32-2235-02-789-01-C90N-V-P-01-SALARIES,"[TRVch# 634 Dt:30/06/2017] , Billno-KNG060052017100025",1,7136,7136,0,0
KNG06-005-C.D.P.O. FATEHPUR,32-2235-02-789-01-C90N-V-P-01-SALARIES,"[TRVch# 635 Dt:30/06/2017] , Billno-KNG060052017100027",1,10004,0,998,9006
KNG06-005-C.D.P.O. FATEHPUR,32-2235-02-789-01-C90N-V-P-01-SALARIES,"[TRVch# 640 Dt:30/06/2017] , Billno-KNG060052017100031",1,3007,0,0,3007
