DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
KNG06-217-GSSS LATHIAL,Total, ,107,11237876,1231606,287122,9719148
KNG06-217-GSSS LATHIAL,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1444 Dt:10/04/2017] , Billno-KNG06217032017-001",1,64000,12000,15,51985
KNG06-217-GSSS LATHIAL,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1445 Dt:10/04/2017] , Billno-KNG06217032017-002",1,50016,0,5351,44665
KNG06-217-GSSS LATHIAL,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1446 Dt:10/04/2017] , Billno-KNG06217032017-003",1,80860,35000,120,45740
KNG06-217-GSSS LATHIAL,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1447 Dt:10/04/2017] , Billno-KNG06217032017-004",1,121015,40000,120,80895
KNG06-217-GSSS LATHIAL,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1886 Dt:09/05/2017] , Billno-KNG06217042017-001",1,66093,13000,15,53078
KNG06-217-GSSS LATHIAL,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1887 Dt:09/05/2017] , Billno-KNG06217042017-002",1,50647,0,6414,44233
KNG06-217-GSSS LATHIAL,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 4049 Dt:31/05/2017] , Billno-KNG062172017100005",1,3449,3449,0,0
KNG06-217-GSSS LATHIAL,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 4050 Dt:31/05/2017] , Billno-KNG062172017100006",1,5679,0,567,5112
KNG06-217-GSSS LATHIAL,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1888 Dt:09/05/2017] , Billno-KNG06217042017-003",1,81889,49000,5120,27769
KNG06-217-GSSS LATHIAL,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1889 Dt:09/05/2017] , Billno-KNG06217042017-004",1,124383,45000,5120,74263
KNG06-217-GSSS LATHIAL,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 4047 Dt:31/05/2017] , Billno-KNG062172017100007",1,13677,13677,0,0
KNG06-217-GSSS LATHIAL,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 4048 Dt:31/05/2017] , Billno-KNG062172017100002",1,9261,9261,0,0
KNG06-217-GSSS LATHIAL,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1345 Dt:08/06/2017] , Billno-KNG06217052017-001",1,66093,13000,15,53078
KNG06-217-GSSS LATHIAL,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1346 Dt:08/06/2017] , Billno-KNG06217052017-002",1,50647,0,6414,44233
KNG06-217-GSSS LATHIAL,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1347 Dt:08/06/2017] , Billno-KNG06217052017-003",1,81889,49000,5120,27769
KNG06-217-GSSS LATHIAL,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1348 Dt:08/06/2017] , Billno-KNG06217052017-004",1,60817,20000,2560,38257
KNG06-217-GSSS LATHIAL,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1688 Dt:10/07/2017] , Billno-KNG06217062017-001",1,66093,13000,15,53078
KNG06-217-GSSS LATHIAL,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1689 Dt:10/07/2017] , Billno-KNG06217062017-002",1,68728,0,6559,62169
KNG06-217-GSSS LATHIAL,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1690 Dt:10/07/2017] , Billno-KNG06217062017-003",1,81889,49000,5120,27769
KNG06-217-GSSS LATHIAL,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1691 Dt:10/07/2017] , Billno-KNG06217062017-004",1,60817,20000,2560,38257
KNG06-217-GSSS LATHIAL,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1421 Dt:08/08/2017] , Billno-KNG06217072017-001",1,66093,13000,15,53078
KNG06-217-GSSS LATHIAL,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1422 Dt:08/08/2017] , Billno-KNG06217072017-002",1,68728,0,6559,62169
KNG06-217-GSSS LATHIAL,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 2623 Dt:21/08/2017] , Billno-KNG062172017100008",1,8568,0,0,8568
KNG06-217-GSSS LATHIAL,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1423 Dt:08/08/2017] , Billno-KNG06217072017-003",1,84309,49000,5120,30189
KNG06-217-GSSS LATHIAL,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1424 Dt:08/08/2017] , Billno-KNG06217072017-004",1,60817,20000,2560,38257
KNG06-217-GSSS LATHIAL,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1805 Dt:08/09/2017] , Billno-KNG06217082017-001",1,67072,13000,15,54057
KNG06-217-GSSS LATHIAL,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1806 Dt:08/09/2017] , Billno-KNG06217082017-002",1,69644,0,6559,63085
KNG06-217-GSSS LATHIAL,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 3137 Dt:21/09/2017] , Billno-KNG062172017100012",1,50,0,0,50
KNG06-217-GSSS LATHIAL,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 3138 Dt:21/09/2017] , Billno-KNG062172017100011",1,50,0,0,50
KNG06-217-GSSS LATHIAL,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1807 Dt:08/09/2017] , Billno-KNG06217082017-003",1,86123,49000,5120,32003
KNG06-217-GSSS LATHIAL,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1808 Dt:08/09/2017] , Billno-KNG06217082017-004",1,62838,20000,2560,40278
KNG06-217-GSSS LATHIAL,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 3136 Dt:21/09/2017] , Billno-KNG062172017100010",1,50,0,0,50
KNG06-217-GSSS LATHIAL,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 2407 Dt:09/10/2017] , Billno-KNG06217092017-001",1,67596,13000,15,54581
KNG06-217-GSSS LATHIAL,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 2408 Dt:09/10/2017] , Billno-KNG06217092017-002",1,70510,0,6645,63865
KNG06-217-GSSS LATHIAL,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 2409 Dt:09/10/2017] , Billno-KNG06217092017-003",1,87537,49000,5120,33417
KNG06-217-GSSS LATHIAL,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 2410 Dt:09/10/2017] , Billno-KNG06217092017-004",1,63870,20000,2560,41310
KNG06-217-GSSS LATHIAL,08-2202-02-109-01-S00N-V-N-05-OFFICE EXPENSES,"[TRVch# 3606 Dt:21/10/2017] , Billno-KNG062172017100009",1,750,0,0,750
KNG06-217-GSSS LATHIAL,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1754 Dt:07/11/2017] , Billno-KNG06217102017-001",1,67596,13000,15,54581
KNG06-217-GSSS LATHIAL,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1755 Dt:07/11/2017] , Billno-KNG06217102017-002",1,70510,0,6645,63865
KNG06-217-GSSS LATHIAL,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 3103 Dt:21/11/2017] , Billno-KNG062172017100013",1,4162,4162,0,0
KNG06-217-GSSS LATHIAL,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 3104 Dt:21/11/2017] , Billno-KNG062172017100014",1,6803,0,681,6122
KNG06-217-GSSS LATHIAL,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 3107 Dt:21/11/2017] , Billno-KNG062172017100018",1,15355,0,0,15355
KNG06-217-GSSS LATHIAL,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1756 Dt:07/11/2017] , Billno-KNG06217102017-003",1,87537,49000,5120,33417
KNG06-217-GSSS LATHIAL,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1757 Dt:07/11/2017] , Billno-KNG06217102017-004",1,63870,20000,2560,41310
KNG06-217-GSSS LATHIAL,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 3105 Dt:21/11/2017] , Billno-KNG062172017100016",1,8144,8144,0,0
KNG06-217-GSSS LATHIAL,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 3106 Dt:21/11/2017] , Billno-KNG062172017100017",1,11060,11060,0,0
KNG06-217-GSSS LATHIAL,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 896 Dt:30/12/2017] , Billno-KNG062172017100020",1,2000000,0,0,2000000
