DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
KNG07-212-GSSS SIALKAR KANGRI,Total, ,144,14520426,3982630,792301,9745495
KNG07-212-GSSS SIALKAR KANGRI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1497 Dt:10/04/2017] , Billno-KNG07212032017-001",1,240685,80000,75,160610
KNG07-212-GSSS SIALKAR KANGRI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1498 Dt:10/04/2017] , Billno-KNG07212032017-002",1,39890,0,6587,33303
KNG07-212-GSSS SIALKAR KANGRI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1499 Dt:10/04/2017] , Billno-KNG07212032017-003",1,76864,30000,120,46744
KNG07-212-GSSS SIALKAR KANGRI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1500 Dt:10/04/2017] , Billno-KNG07212032017-004",1,252584,117000,120,135464
KNG07-212-GSSS SIALKAR KANGRI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1501 Dt:10/04/2017] , Billno-KNG07212032017-005",1,35599,0,7280,28319
KNG07-212-GSSS SIALKAR KANGRI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 2267 Dt:29/04/2017] , Billno-KNG072122017100001",1,26037,0,0,26037
KNG07-212-GSSS SIALKAR KANGRI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1966 Dt:09/05/2017] , Billno-KNG07212042017-001",1,246983,83000,7800,156183
KNG07-212-GSSS SIALKAR KANGRI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1967 Dt:09/05/2017] , Billno-KNG07212042017-002",1,40392,0,6638,33754
KNG07-212-GSSS SIALKAR KANGRI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 4060 Dt:31/05/2017] , Billno-KNG072122017100002",1,17726,17726,0,0
KNG07-212-GSSS SIALKAR KANGRI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 4061 Dt:31/05/2017] , Billno-KNG072122017100003",1,4206,0,422,3784
KNG07-212-GSSS SIALKAR KANGRI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1968 Dt:09/05/2017] , Billno-KNG07212042017-003",1,77837,30000,7330,40507
KNG07-212-GSSS SIALKAR KANGRI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1969 Dt:09/05/2017] , Billno-KNG07212042017-004",1,258308,140000,8935,109373
KNG07-212-GSSS SIALKAR KANGRI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1970 Dt:09/05/2017] , Billno-KNG07212042017-005",1,36045,0,7324,28721
KNG07-212-GSSS SIALKAR KANGRI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 4062 Dt:31/05/2017] , Billno-KNG072122017100004",1,8757,8757,0,0
KNG07-212-GSSS SIALKAR KANGRI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 4063 Dt:31/05/2017] , Billno-KNG072122017100005",1,26763,26763,0,0
KNG07-212-GSSS SIALKAR KANGRI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 4064 Dt:31/05/2017] , Billno-KNG072122017100006",1,4014,0,405,3609
KNG07-212-GSSS SIALKAR KANGRI,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 1074 Dt:30/06/2017] , Billno-KNG072122017100009",1,600000,0,0,600000
KNG07-212-GSSS SIALKAR KANGRI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1423 Dt:08/06/2017] , Billno-KNG07212052017-001",1,246949,83000,7800,156149
