DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
KNG08-500-DISTRICT TREASURY OFFICER DHARAMSALA,Total, ,119,108174,0,108174,0
KNG08-500-DISTRICT TREASURY OFFICER DHARAMSALA,05-2030-01-101-01-S00N-V-N-20-OTHER CHARGES,"[TRVch# 101 Dt:19/07/2017] , Billno-KNG085001772030003",1,54,0,54,0
KNG08-500-DISTRICT TREASURY OFFICER DHARAMSALA,05-2030-01-101-01-S00N-V-N-20-OTHER CHARGES,"[TRVch# 110 Dt:18/06/2018] , Billno-KNG085001862030003",1,100,0,100,0
KNG08-500-DISTRICT TREASURY OFFICER DHARAMSALA,05-2030-01-101-01-S00N-V-N-20-OTHER CHARGES,"[TRVch# 112 Dt:18/06/2018] , Billno-KNG085001862030005",1,54,0,54,0
KNG08-500-DISTRICT TREASURY OFFICER DHARAMSALA,05-2030-01-101-01-S00N-V-N-20-OTHER CHARGES,"[TRVch# 130 Dt:20/06/2017] , Billno-KNG085001762030004",1,18,0,18,0
KNG08-500-DISTRICT TREASURY OFFICER DHARAMSALA,05-2030-01-101-01-S00N-V-N-20-OTHER CHARGES,"[TRVch# 132 Dt:20/06/2017] , Billno-KNG085001762030006",1,40,0,40,0
KNG08-500-DISTRICT TREASURY OFFICER DHARAMSALA,05-2030-01-101-01-S00N-V-N-20-OTHER CHARGES,"[TRVch# 134 Dt:20/06/2017] , Billno-KNG085001762030008",1,18,0,18,0
KNG08-500-DISTRICT TREASURY OFFICER DHARAMSALA,05-2030-01-101-01-S00N-V-N-20-OTHER CHARGES,"[TRVch# 137 Dt:21/08/2017] , Billno-KNG085001782030002",1,100,0,100,0
KNG08-500-DISTRICT TREASURY OFFICER DHARAMSALA,05-2030-01-101-01-S00N-V-N-20-OTHER CHARGES,"[TRVch# 138 Dt:19/02/2018] , Billno-KNG085001722030001",1,30,0,30,0
KNG08-500-DISTRICT TREASURY OFFICER DHARAMSALA,05-2030-01-101-01-S00N-V-N-20-OTHER CHARGES,"[TRVch# 139 Dt:21/08/2017] , Billno-KNG085001782030004",1,30,0,30,0
