DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
KNG09-203-GSSS PAPROLA,Total, ,233,41010242,9022802,2869513,29117927
KNG09-203-GSSS PAPROLA,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 930 Dt:29/04/2017] , Billno-KNG092032017100001",1,500000,0,0,500000
KNG09-203-GSSS PAPROLA,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 957 Dt:29/04/2017] , Billno-KNG092032017100002",1,315000,0,0,315000
KNG09-203-GSSS PAPROLA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1531 Dt:10/04/2017] , Billno-KNG09203032017-001",1,118263,50000,6560,61703
KNG09-203-GSSS PAPROLA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1532 Dt:10/04/2017] , Billno-KNG09203032017-002",1,171790,0,21611,150179
KNG09-203-GSSS PAPROLA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1533 Dt:10/04/2017] , Billno-KNG09203032017-003",1,82996,50000,13120,19876
KNG09-203-GSSS PAPROLA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1534 Dt:10/04/2017] , Billno-KNG09203032017-004",1,793099,324000,40240,428859
KNG09-203-GSSS PAPROLA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1535 Dt:10/04/2017] , Billno-KNG09203032017-005",1,232999,0,31925,201074
KNG09-203-GSSS PAPROLA,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 716 Dt:20/05/2017] , Billno-KNG092032017100009",1,200000,0,0,200000
KNG09-203-GSSS PAPROLA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 2091 Dt:09/05/2017] , Billno-KNG09203042017-001",1,119765,50000,6560,63205
KNG09-203-GSSS PAPROLA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 2092 Dt:09/05/2017] , Billno-KNG09203042017-002",1,186507,0,21815,164692
KNG09-203-GSSS PAPROLA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 4635 Dt:31/05/2017] , Billno-KNG092032017100012",1,16688,0,1670,15018
KNG09-203-GSSS PAPROLA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 4636 Dt:31/05/2017] , Billno-KNG092032017100011",1,13342,13342,0,0
KNG09-203-GSSS PAPROLA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 2093 Dt:09/05/2017] , Billno-KNG09203042017-003",1,84055,50000,13120,20935
KNG09-203-GSSS PAPROLA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 2094 Dt:09/05/2017] , Billno-KNG09203042017-004",1,807173,324000,40240,442933
KNG09-203-GSSS PAPROLA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 2095 Dt:09/05/2017] , Billno-KNG09203042017-005",1,283578,0,34566,249012
KNG09-203-GSSS PAPROLA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 4634 Dt:31/05/2017] , Billno-KNG092032017100013",1,79737,79737,0,0
KNG09-203-GSSS PAPROLA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 4637 Dt:31/05/2017] , Billno-KNG092032017100014",1,29544,0,2810,26734
KNG09-203-GSSS PAPROLA,08-2202-02-109-01-S00N-V-N-02-WAGES,"[TRVch# 3317 Dt:20/05/2017] , Billno-KNG092032017100008",1,6000,0,0,6000
KNG09-203-GSSS PAPROLA,08-2202-02-109-01-S00N-V-N-05-OFFICE EXPENSES,"[TRVch# 3316 Dt:20/05/2017] , Billno-KNG092032017100007",1,5230,0,0,5230
