DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
KNG09-622-E.E. PWD DIVISIN BAIJNATH,Total, ,999,688436544,65977066,6832199,615627279
KNG09-622-E.E. PWD DIVISIN BAIJNATH,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 364 Dt:21/04/2017] , Billno-KNG096222017100001",1,100000,0,0,100000
KNG09-622-E.E. PWD DIVISIN BAIJNATH,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 365 Dt:21/04/2017] , Billno-KNG096222017100002",1,290000,0,0,290000
KNG09-622-E.E. PWD DIVISIN BAIJNATH,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 904 Dt:29/04/2017] , Billno-KNG096222017100003",1,1174337,0,0,1174337
KNG09-622-E.E. PWD DIVISIN BAIJNATH,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 905 Dt:29/04/2017] , Billno-KNG096222017100004",1,206311,0,0,206311
KNG09-622-E.E. PWD DIVISIN BAIJNATH,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 906 Dt:29/04/2017] , Billno-KNG096222017100005",1,138782,0,0,138782
KNG09-622-E.E. PWD DIVISIN BAIJNATH,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 907 Dt:29/04/2017] , Billno-KNG096222017100006",1,1457357,0,0,1457357
KNG09-622-E.E. PWD DIVISIN BAIJNATH,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 908 Dt:29/04/2017] , Billno-KNG096222017100007",1,456747,0,0,456747
KNG09-622-E.E. PWD DIVISIN BAIJNATH,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 909 Dt:29/04/2017] , Billno-KNG096222017100008",1,300000,0,0,300000
KNG09-622-E.E. PWD DIVISIN BAIJNATH,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 910 Dt:29/04/2017] , Billno-KNG096222017100016",1,50000,0,0,50000
KNG09-622-E.E. PWD DIVISIN BAIJNATH,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 947 Dt:29/04/2017] , Billno-KNG096222017100009",1,300000,0,0,300000
KNG09-622-E.E. PWD DIVISIN BAIJNATH,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 948 Dt:29/04/2017] , Billno-KNG096222017100010",1,100000,0,0,100000
KNG09-622-E.E. PWD DIVISIN BAIJNATH,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 949 Dt:29/04/2017] , Billno-KNG096222017100011",1,100000,0,0,100000
KNG09-622-E.E. PWD DIVISIN BAIJNATH,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 950 Dt:29/04/2017] , Billno-KNG096222017100013",1,225000,0,0,225000
KNG09-622-E.E. PWD DIVISIN BAIJNATH,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 951 Dt:29/04/2017] , Billno-KNG096222017100018",1,300000,0,0,300000
KNG09-622-E.E. PWD DIVISIN BAIJNATH,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 952 Dt:29/04/2017] , Billno-KNG096222017100019",1,100000,0,0,100000
KNG09-622-E.E. PWD DIVISIN BAIJNATH,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 953 Dt:29/04/2017] , Billno-KNG096222017100022",1,100000,0,0,100000
KNG09-622-E.E. PWD DIVISIN BAIJNATH,10-2059-80-053-03-S00N-V-N-01-SALARIES,"[TRVch# 64 Dt:10/04/2017] , Billno-KNG09622032017-001",1,193950,40000,2336,151614
KNG09-622-E.E. PWD DIVISIN BAIJNATH,10-2059-80-053-03-S00N-V-N-01-SALARIES,"[TRVch# 65 Dt:10/04/2017] , Billno-KNG09622032017-002",1,145572,38000,2548,105024
KNG09-622-E.E. PWD DIVISIN BAIJNATH,10-2059-80-053-05-S00N-V-N-01-SALARIES,"[TRVch# 66 Dt:10/04/2017] , Billno-KNG09622032017-003",1,1842213,617000,3072,1222141
KNG09-622-E.E. PWD DIVISIN BAIJNATH,10-2059-80-053-05-S00N-V-N-01-SALARIES,"[TRVch# 67 Dt:10/04/2017] , Billno-KNG09622032017-004",1,347000,0,36385,310615
KNG09-622-E.E. PWD DIVISIN BAIJNATH,10-3054-03-103-10-S00N-V-N-01-SALARIES,"[TRVch# 119 Dt:10/04/2017] , Billno-KNG09622032017-005",1,80064,30000,448,49616
KNG09-622-E.E. PWD DIVISIN BAIJNATH,10-3054-03-103-10-S00N-V-N-01-SALARIES,"[TRVch# 120 Dt:10/04/2017] , Billno-KNG09622032017-006",1,1064239,355500,43529,665210
KNG09-622-E.E. PWD DIVISIN BAIJNATH,10-3054-03-103-10-S00N-V-N-01-SALARIES,"[TRVch# 121 Dt:10/04/2017] , Billno-KNG09622032017-007",1,195412,0,20646,174766
KNG09-622-E.E. PWD DIVISIN BAIJNATH,10-3054-04-105-07-S00N-V-N-01-SALARIES,"[TRVch# 122 Dt:10/04/2017] , Billno-KNG09622032017-008",1,9380426,2104300,140616,7135510
KNG09-622-E.E. PWD DIVISIN BAIJNATH,10-3054-04-105-07-S00N-V-N-01-SALARIES,"[TRVch# 123 Dt:10/04/2017] , Billno-KNG09622032017-009",1,857875,0,84966,772909
KNG09-622-E.E. PWD DIVISIN BAIJNATH,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 384 Dt:09/05/2017] , Billno-KNG096222017100017",1,100000,0,0,100000
KNG09-622-E.E. PWD DIVISIN BAIJNATH,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 387 Dt:09/05/2017] , Billno-KNG096222017100027",1,250000,0,0,250000
KNG09-622-E.E. PWD DIVISIN BAIJNATH,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 388 Dt:09/05/2017] , Billno-KNG096222017100026",1,200000,0,0,200000
KNG09-622-E.E. PWD DIVISIN BAIJNATH,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 389 Dt:09/05/2017] , Billno-KNG096222017100025",1,500000,0,0,500000
KNG09-622-E.E. PWD DIVISIN BAIJNATH,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 390 Dt:09/05/2017] , Billno-KNG096222017100024",1,100000,0,0,100000
KNG09-622-E.E. PWD DIVISIN BAIJNATH,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 391 Dt:09/05/2017] , Billno-KNG096222017100023",1,150000,0,0,150000
KNG09-622-E.E. PWD DIVISIN BAIJNATH,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 717 Dt:20/05/2017] , Billno-KNG096222017100029",1,30000,0,0,30000
KNG09-622-E.E. PWD DIVISIN BAIJNATH,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 718 Dt:20/05/2017] , Billno-KNG096222017100030",1,100000,0,0,100000
KNG09-622-E.E. PWD DIVISIN BAIJNATH,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 117 Dt:20/05/2017] , Billno-KNG096220017107703",1,2957300,0,0,2957300
KNG09-622-E.E. PWD DIVISIN BAIJNATH,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 118 Dt:20/05/2017] , Billno-KNG096220017107704",1,115540,0,0,115540
KNG09-622-E.E. PWD DIVISIN BAIJNATH,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 281 Dt:31/05/2017] , Billno-KNG096220000160296",1,50000,0,0,50000
KNG09-622-E.E. PWD DIVISIN BAIJNATH,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 282 Dt:31/05/2017] , Billno-KNG096220000160298",1,100000,0,0,100000
KNG09-622-E.E. PWD DIVISIN BAIJNATH,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 46 Dt:09/05/2017] , Billno-KNG096220017107701",1,4123807,0,0,4123807
KNG09-622-E.E. PWD DIVISIN BAIJNATH,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 47 Dt:09/05/2017] , Billno-KNG096220017107702",1,463839,0,0,463839
KNG09-622-E.E. PWD DIVISIN BAIJNATH,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 48 Dt:09/05/2017] , Billno-KNG096220000160297",1,200000,0,0,200000
KNG09-622-E.E. PWD DIVISIN BAIJNATH,10-2059-80-053-03-S00N-V-N-01-SALARIES,"[TRVch# 66 Dt:09/05/2017] , Billno-KNG09622042017-001",1,196450,40000,28836,127614
KNG09-622-E.E. PWD DIVISIN BAIJNATH,10-2059-80-053-03-S00N-V-N-01-SALARIES,"[TRVch# 67 Dt:09/05/2017] , Billno-KNG09622042017-002",1,147429,38000,9569,99860
KNG09-622-E.E. PWD DIVISIN BAIJNATH,10-2059-80-053-05-S00N-V-N-01-SALARIES,"[TRVch# 68 Dt:09/05/2017] , Billno-KNG09622042017-003",1,1860151,628000,3057,1229094
KNG09-622-E.E. PWD DIVISIN BAIJNATH,10-2059-80-053-05-S00N-V-N-01-SALARIES,"[TRVch# 69 Dt:09/05/2017] , Billno-KNG09622042017-004",1,350358,0,36921,313437
KNG09-622-E.E. PWD DIVISIN BAIJNATH,10-3054-03-103-10-S00N-V-N-01-SALARIES,"[TRVch# 121 Dt:09/05/2017] , Billno-KNG09622042017-005",1,80064,30000,6948,43116
KNG09-622-E.E. PWD DIVISIN BAIJNATH,10-3054-03-103-10-S00N-V-N-01-SALARIES,"[TRVch# 122 Dt:09/05/2017] , Billno-KNG09622042017-006",1,1085054,372472,28329,684253
KNG09-622-E.E. PWD DIVISIN BAIJNATH,10-3054-03-103-10-S00N-V-N-01-SALARIES,"[TRVch# 123 Dt:09/05/2017] , Billno-KNG09622042017-007",1,198246,0,22394,175852
KNG09-622-E.E. PWD DIVISIN BAIJNATH,10-3054-04-105-07-S00N-V-N-01-SALARIES,"[TRVch# 124 Dt:09/05/2017] , Billno-KNG09622042017-008",1,9411079,2168500,137839,7104740
KNG09-622-E.E. PWD DIVISIN BAIJNATH,10-3054-04-105-07-S00N-V-N-01-SALARIES,"[TRVch# 125 Dt:09/05/2017] , Billno-KNG09622042017-009",1,842230,0,83843,758387
KNG09-622-E.E. PWD DIVISIN BAIJNATH,00-8009-01-101-01-S00N-V-N-47-ADVANCES,"[TRVch# 1110 Dt:30/06/2017] , Billno-KNG096222017100096",1,39000,0,0,39000
KNG09-622-E.E. PWD DIVISIN BAIJNATH,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 1111 Dt:30/06/2017] , Billno-KNG096222017100095",1,295000,0,0,295000
KNG09-622-E.E. PWD DIVISIN BAIJNATH,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 1112 Dt:30/06/2017] , Billno-KNG096222017100094",1,250000,0,0,250000
KNG09-622-E.E. PWD DIVISIN BAIJNATH,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 1113 Dt:30/06/2017] , Billno-KNG096222017100093",1,130000,0,0,130000
KNG09-622-E.E. PWD DIVISIN BAIJNATH,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 1114 Dt:30/06/2017] , Billno-KNG096222017100092",1,500000,0,0,500000
KNG09-622-E.E. PWD DIVISIN BAIJNATH,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 1135 Dt:30/06/2017] , Billno-KNG096222017100112",1,300000,0,0,300000
KNG09-622-E.E. PWD DIVISIN BAIJNATH,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 147 Dt:08/06/2017] , Billno-KNG096222017100035",1,300000,0,0,300000
KNG09-622-E.E. PWD DIVISIN BAIJNATH,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 148 Dt:08/06/2017] , Billno-KNG096222017100036",1,170000,0,0,170000
KNG09-622-E.E. PWD DIVISIN BAIJNATH,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 149 Dt:08/06/2017] , Billno-KNG096222017100037",1,400000,0,0,400000
KNG09-622-E.E. PWD DIVISIN BAIJNATH,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 150 Dt:08/06/2017] , Billno-KNG096222017100031",1,50000,0,0,50000
KNG09-622-E.E. PWD DIVISIN BAIJNATH,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 151 Dt:08/06/2017] , Billno-KNG096222017100032",1,200000,0,0,200000
KNG09-622-E.E. PWD DIVISIN BAIJNATH,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 152 Dt:08/06/2017] , Billno-KNG096222017100033",1,500000,0,0,500000
KNG09-622-E.E. PWD DIVISIN BAIJNATH,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 153 Dt:08/06/2017] , Billno-KNG096222017100034",1,500000,0,0,500000
KNG09-622-E.E. PWD DIVISIN BAIJNATH,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 432 Dt:20/06/2017] , Billno-KNG096222017100040",1,642977,0,0,642977
KNG09-622-E.E. PWD DIVISIN BAIJNATH,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 446 Dt:20/06/2017] , Billno-KNG096222017100064",1,125000,0,0,125000
KNG09-622-E.E. PWD DIVISIN BAIJNATH,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 112 Dt:20/06/2017] , Billno-KNG096220017107706",1,7400,0,0,7400
KNG09-622-E.E. PWD DIVISIN BAIJNATH,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 113 Dt:20/06/2017] , Billno-KNG096220017107707",1,1745280,0,0,1745280
KNG09-622-E.E. PWD DIVISIN BAIJNATH,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 114 Dt:20/06/2017] , Billno-KNG096220017107708",1,825945,0,0,825945
KNG09-622-E.E. PWD DIVISIN BAIJNATH,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 284 Dt:30/06/2017] , Billno-KNG096220100210526",1,10000,0,0,10000
KNG09-622-E.E. PWD DIVISIN BAIJNATH,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 285 Dt:30/06/2017] , Billno-KNG096220100210525",1,3644,0,0,3644
KNG09-622-E.E. PWD DIVISIN BAIJNATH,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 41 Dt:08/06/2017] , Billno-KNG096220017107705",1,8990977,0,0,8990977
KNG09-622-E.E. PWD DIVISIN BAIJNATH,10-2059-80-053-03-S00N-V-N-01-SALARIES,"[TRVch# 238 Dt:30/06/2017] , Billno-KNG096222017100091",1,9324,9324,0,0
KNG09-622-E.E. PWD DIVISIN BAIJNATH,10-2059-80-053-03-S00N-V-N-01-SALARIES,"[TRVch# 85 Dt:08/06/2017] , Billno-KNG09622052017-001",1,161623,45000,14046,102577
KNG09-622-E.E. PWD DIVISIN BAIJNATH,10-2059-80-053-03-S00N-V-N-01-SALARIES,"[TRVch# 86 Dt:08/06/2017] , Billno-KNG09622052017-002",1,147429,38000,9569,99860
KNG09-622-E.E. PWD DIVISIN BAIJNATH,10-2059-80-053-05-S00N-V-N-01-SALARIES,"[TRVch# 235 Dt:30/06/2017] , Billno-KNG096222017100089",1,19000,0,1857,17143
KNG09-622-E.E. PWD DIVISIN BAIJNATH,10-2059-80-053-05-S00N-V-N-01-SALARIES,"[TRVch# 236 Dt:30/06/2017] , Billno-KNG096222017100099",1,62626,18000,30,44596
KNG09-622-E.E. PWD DIVISIN BAIJNATH,10-2059-80-053-05-S00N-V-N-01-SALARIES,"[TRVch# 237 Dt:30/06/2017] , Billno-KNG096222017100104",1,37573,0,3510,34063
KNG09-622-E.E. PWD DIVISIN BAIJNATH,10-2059-80-053-05-S00N-V-N-01-SALARIES,"[TRVch# 87 Dt:08/06/2017] , Billno-KNG09622052017-003",1,1828249,632000,3057,1193192
KNG09-622-E.E. PWD DIVISIN BAIJNATH,10-2059-80-053-05-S00N-V-N-01-SALARIES,"[TRVch# 88 Dt:08/06/2017] , Billno-KNG09622052017-004",1,330432,0,34937,295495
KNG09-622-E.E. PWD DIVISIN BAIJNATH,10-3054-03-103-10-S00N-V-N-01-SALARIES,"[TRVch# 164 Dt:08/06/2017] , Billno-KNG09622052017-005",1,80064,30000,7448,42616
KNG09-622-E.E. PWD DIVISIN BAIJNATH,10-3054-03-103-10-S00N-V-N-01-SALARIES,"[TRVch# 165 Dt:08/06/2017] , Billno-KNG09622052017-006",1,1087522,375472,28385,683665
KNG09-622-E.E. PWD DIVISIN BAIJNATH,10-3054-03-103-10-S00N-V-N-01-SALARIES,"[TRVch# 166 Dt:08/06/2017] , Billno-KNG09622052017-007",1,198646,0,22166,176480
KNG09-622-E.E. PWD DIVISIN BAIJNATH,10-3054-03-103-10-S00N-V-N-01-SALARIES,"[TRVch# 287 Dt:20/06/2017] , Billno-KNG096222017100028",1,2585,0,0,2585
KNG09-622-E.E. PWD DIVISIN BAIJNATH,10-3054-03-103-10-S00N-V-N-01-SALARIES,"[TRVch# 385 Dt:30/06/2017] , Billno-KNG096222017100106",1,21713,0,2173,19540
KNG09-622-E.E. PWD DIVISIN BAIJNATH,10-3054-03-103-14-S00N-V-N-01-SALARIES,"[TRVch# 169 Dt:08/06/2017] , Billno-KNG096222017100038",1,77764,0,0,77764
KNG09-622-E.E. PWD DIVISIN BAIJNATH,10-3054-04-105-07-S00N-V-N-01-SALARIES,"[TRVch# 167 Dt:08/06/2017] , Billno-KNG09622052017-008",1,9177412,2140000,136495,6900917
KNG09-622-E.E. PWD DIVISIN BAIJNATH,10-3054-04-105-07-S00N-V-N-01-SALARIES,"[TRVch# 168 Dt:08/06/2017] , Billno-KNG09622052017-009",1,854193,0,85013,769180
KNG09-622-E.E. PWD DIVISIN BAIJNATH,10-3054-04-105-07-S00N-V-N-01-SALARIES,"[TRVch# 288 Dt:20/06/2017] , Billno-KNG096222017100087",1,29540,0,2818,26722
KNG09-622-E.E. PWD DIVISIN BAIJNATH,10-3054-04-105-07-S00N-V-N-01-SALARIES,"[TRVch# 289 Dt:20/06/2017] , Billno-KNG096222017100088",1,30976,0,0,30976
KNG09-622-E.E. PWD DIVISIN BAIJNATH,10-3054-04-105-07-S00N-V-N-01-SALARIES,"[TRVch# 383 Dt:30/06/2017] , Billno-KNG096222017100090",1,15815,0,15,15800
KNG09-622-E.E. PWD DIVISIN BAIJNATH,10-3054-04-105-07-S00N-V-N-01-SALARIES,"[TRVch# 384 Dt:30/06/2017] , Billno-KNG096222017100108",1,92219,0,8986,83233
KNG09-622-E.E. PWD DIVISIN BAIJNATH,19-2235-60-104-01-S00N-V-N-20-OTHER CHARGES,"[TRVch# 649 Dt:30/06/2017] , Billno-KNG096222017100084",1,30000,0,0,30000
KNG09-622-E.E. PWD DIVISIN BAIJNATH,19-2235-60-104-01-S00N-V-N-20-OTHER CHARGES,"[TRVch# 650 Dt:30/06/2017] , Billno-KNG096222017100082",1,30000,0,0,30000
KNG09-622-E.E. PWD DIVISIN BAIJNATH,29-2071-01-104-02-S00N-V-N-38-PENSIONS,"[TRVch# 442 Dt:30/06/2017] , Billno-KNG096222017100056",1,13923,0,0,13923
KNG09-622-E.E. PWD DIVISIN BAIJNATH,29-2071-01-104-02-S00N-V-N-38-PENSIONS,"[TRVch# 443 Dt:30/06/2017] , Billno-KNG096222017100066",1,370219,0,0,370219
KNG09-622-E.E. PWD DIVISIN BAIJNATH,29-2071-01-104-02-S00N-V-N-38-PENSIONS,"[TRVch# 444 Dt:30/06/2017] , Billno-KNG096222017100071",1,10051,0,0,10051
KNG09-622-E.E. PWD DIVISIN BAIJNATH,29-2071-01-104-02-S00N-V-N-38-PENSIONS,"[TRVch# 448 Dt:30/06/2017] , Billno-KNG096222017100079",1,8292,0,0,8292
KNG09-622-E.E. PWD DIVISIN BAIJNATH,29-2071-01-104-02-S00N-V-N-38-PENSIONS,"[TRVch# 449 Dt:30/06/2017] , Billno-KNG096222017100081",1,10985,0,0,10985
KNG09-622-E.E. PWD DIVISIN BAIJNATH,29-2071-01-104-02-S00N-V-N-38-PENSIONS,"[TRVch# 450 Dt:30/06/2017] , Billno-KNG096222017100075",1,4888,0,0,4888
KNG09-622-E.E. PWD DIVISIN BAIJNATH,29-2071-01-104-02-S00N-V-N-38-PENSIONS,"[TRVch# 451 Dt:30/06/2017] , Billno-KNG096222017100076",1,7740,0,0,7740
KNG09-622-E.E. PWD DIVISIN BAIJNATH,29-2071-01-104-02-S00N-V-N-38-PENSIONS,"[TRVch# 452 Dt:30/06/2017] , Billno-KNG096222017100077",1,2957,0,0,2957
KNG09-622-E.E. PWD DIVISIN BAIJNATH,29-2071-01-104-02-S00N-V-N-38-PENSIONS,"[TRVch# 453 Dt:30/06/2017] , Billno-KNG096222017100078",1,9191,0,0,9191
KNG09-622-E.E. PWD DIVISIN BAIJNATH,29-2071-01-104-02-S00N-V-N-38-PENSIONS,"[TRVch# 454 Dt:30/06/2017] , Billno-KNG096222017100054",1,739939,0,0,739939
