DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
KNG10-005-SUB-DIV AYU. MED. OFFICER JAIS,Total, ,294,35298847,4895747,2986450,27416650
KNG10-005-SUB-DIV AYU. MED. OFFICER JAIS,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 413 Dt:21/04/2017] , Billno-KNG100052017100001",1,800000,0,0,800000
KNG10-005-SUB-DIV AYU. MED. OFFICER JAIS,09-2210-02-001-02-S00N-V-N-01-SALARIES,"[TRVch# 236 Dt:10/04/2017] , Billno-KNG10005032017-001",1,313141,73000,46287,193854
KNG10-005-SUB-DIV AYU. MED. OFFICER JAIS,09-2210-02-001-02-S00N-V-N-01-SALARIES,"[TRVch# 237 Dt:10/04/2017] , Billno-KNG10005032017-002",1,143871,53000,6318,84553
KNG10-005-SUB-DIV AYU. MED. OFFICER JAIS,09-2210-02-001-02-S00N-V-N-01-SALARIES,"[TRVch# 238 Dt:10/04/2017] , Billno-KNG10005032017-003",1,42662,0,4025,38637
KNG10-005-SUB-DIV AYU. MED. OFFICER JAIS,09-2210-04-101-02-S00N-V-N-01-SALARIES,"[TRVch# 239 Dt:10/04/2017] , Billno-KNG10005032017-004",1,569965,76417,74865,418683
KNG10-005-SUB-DIV AYU. MED. OFFICER JAIS,09-2210-04-101-02-S00N-V-N-01-SALARIES,"[TRVch# 240 Dt:10/04/2017] , Billno-KNG10005032017-005",1,69411,0,13008,56403
KNG10-005-SUB-DIV AYU. MED. OFFICER JAIS,09-2210-04-101-02-S00N-V-N-01-SALARIES,"[TRVch# 241 Dt:10/04/2017] , Billno-KNG10005032017-006",1,172513,51000,2135,119378
KNG10-005-SUB-DIV AYU. MED. OFFICER JAIS,09-2210-04-101-02-S00N-V-N-01-SALARIES,"[TRVch# 242 Dt:10/04/2017] , Billno-KNG10005032017-007",1,20296,0,1899,18397
KNG10-005-SUB-DIV AYU. MED. OFFICER JAIS,09-2210-04-101-02-S00N-V-N-02-WAGES,"[TRVch# 262 Dt:21/04/2017] , Billno-KNG100052017100002",1,24800,0,0,24800
KNG10-005-SUB-DIV AYU. MED. OFFICER JAIS,32-2210-04-789-01-S00N-V-P-01-SALARIES,"[TRVch# 243 Dt:10/04/2017] , Billno-KNG10005032017-008",1,46457,0,6017,40440
KNG10-005-SUB-DIV AYU. MED. OFFICER JAIS,32-2210-04-789-01-S00N-V-P-01-SALARIES,"[TRVch# 244 Dt:10/04/2017] , Billno-KNG10005032017-009",1,54265,10000,1638,42627
KNG10-005-SUB-DIV AYU. MED. OFFICER JAIS,09-2210-02-001-02-S00N-V-N-01-SALARIES,"[TRVch# 297 Dt:09/05/2017] , Billno-KNG10005042017-001",1,317116,73000,46431,197685
KNG10-005-SUB-DIV AYU. MED. OFFICER JAIS,09-2210-02-001-02-S00N-V-N-01-SALARIES,"[TRVch# 298 Dt:09/05/2017] , Billno-KNG10005042017-002",1,128501,53000,4695,70806
KNG10-005-SUB-DIV AYU. MED. OFFICER JAIS,09-2210-02-001-02-S00N-V-N-01-SALARIES,"[TRVch# 299 Dt:09/05/2017] , Billno-KNG10005042017-003",1,43190,0,4078,39112
KNG10-005-SUB-DIV AYU. MED. OFFICER JAIS,09-2210-02-001-02-S00N-V-N-01-SALARIES,"[TRVch# 503 Dt:31/05/2017] , Billno-KNG100052017100004",1,12792,0,1274,11518
KNG10-005-SUB-DIV AYU. MED. OFFICER JAIS,09-2210-02-001-02-S00N-V-N-01-SALARIES,"[TRVch# 504 Dt:31/05/2017] , Billno-KNG100052017100005",1,22411,22411,0,0
KNG10-005-SUB-DIV AYU. MED. OFFICER JAIS,09-2210-02-001-02-S00N-V-N-01-SALARIES,"[TRVch# 505 Dt:31/05/2017] , Billno-KNG100052017100006",1,13131,13131,0,0
KNG10-005-SUB-DIV AYU. MED. OFFICER JAIS,09-2210-02-001-02-S00N-V-N-01-SALARIES,"[TRVch# 506 Dt:31/05/2017] , Billno-KNG100052017100007",1,1926,0,0,1926
KNG10-005-SUB-DIV AYU. MED. OFFICER JAIS,09-2210-02-001-02-S00N-V-N-01-SALARIES,"[TRVch# 507 Dt:31/05/2017] , Billno-KNG100052017100008",1,4672,0,467,4205
KNG10-005-SUB-DIV AYU. MED. OFFICER JAIS,09-2210-02-001-02-S00N-V-N-05-OFFICE EXPENSES,"[TRVch# 518 Dt:31/05/2017] , Billno-KNG100052017100019",1,5128,0,0,5128
KNG10-005-SUB-DIV AYU. MED. OFFICER JAIS,09-2210-04-101-02-S00N-V-N-01-SALARIES,"[TRVch# 300 Dt:09/05/2017] , Billno-KNG10005042017-004",1,580403,59417,73080,447906
KNG10-005-SUB-DIV AYU. MED. OFFICER JAIS,09-2210-04-101-02-S00N-V-N-01-SALARIES,"[TRVch# 301 Dt:09/05/2017] , Billno-KNG10005042017-005",1,70297,0,13097,57200
KNG10-005-SUB-DIV AYU. MED. OFFICER JAIS,09-2210-04-101-02-S00N-V-N-01-SALARIES,"[TRVch# 302 Dt:09/05/2017] , Billno-KNG10005042017-006",1,175038,51000,2135,121903
KNG10-005-SUB-DIV AYU. MED. OFFICER JAIS,09-2210-04-101-02-S00N-V-N-01-SALARIES,"[TRVch# 303 Dt:09/05/2017] , Billno-KNG10005042017-007",1,20545,0,1924,18621
KNG10-005-SUB-DIV AYU. MED. OFFICER JAIS,09-2210-04-101-02-S00N-V-N-01-SALARIES,"[TRVch# 508 Dt:31/05/2017] , Billno-KNG100052017100009",1,34138,0,2440,31698
KNG10-005-SUB-DIV AYU. MED. OFFICER JAIS,09-2210-04-101-02-S00N-V-N-01-SALARIES,"[TRVch# 509 Dt:31/05/2017] , Billno-KNG100052017100010",1,25089,25089,0,0
KNG10-005-SUB-DIV AYU. MED. OFFICER JAIS,09-2210-04-101-02-S00N-V-N-01-SALARIES,"[TRVch# 510 Dt:31/05/2017] , Billno-KNG100052017100011",1,7922,0,795,7127
KNG10-005-SUB-DIV AYU. MED. OFFICER JAIS,09-2210-04-101-02-S00N-V-N-01-SALARIES,"[TRVch# 511 Dt:31/05/2017] , Billno-KNG100052017100012",1,18132,18132,0,0
KNG10-005-SUB-DIV AYU. MED. OFFICER JAIS,09-2210-04-101-02-S00N-V-N-01-SALARIES,"[TRVch# 515 Dt:31/05/2017] , Billno-KNG100052017100013",1,2185,0,218,1967
KNG10-005-SUB-DIV AYU. MED. OFFICER JAIS,09-2210-04-101-02-S00N-V-N-02-WAGES,"[TRVch# 306 Dt:09/05/2017] , Billno-KNG100052017100003",1,24000,0,0,24000
KNG10-005-SUB-DIV AYU. MED. OFFICER JAIS,09-2210-04-101-02-S00N-V-N-02-WAGES,"[TRVch# 520 Dt:31/05/2017] , Billno-KNG100052017100022",1,1200,0,0,1200
KNG10-005-SUB-DIV AYU. MED. OFFICER JAIS,09-2210-04-101-02-S00N-V-N-03-TRAVEL EXPENSES,"[TRVch# 516 Dt:31/05/2017] , Billno-KNG100052017100017",1,4027,0,0,4027
