DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
KNG10-218-GSSS DHUPKIYARA,Total, ,210,15145493,3126274,489456,11529763
KNG10-218-GSSS DHUPKIYARA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1757 Dt:10/04/2017] , Billno-KNG10218032017-001",1,96760,28500,45,68215
KNG10-218-GSSS DHUPKIYARA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1758 Dt:10/04/2017] , Billno-KNG10218032017-002",1,49966,0,6591,43375
KNG10-218-GSSS DHUPKIYARA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1759 Dt:10/04/2017] , Billno-KNG10218032017-003",1,73569,30000,60,43509
KNG10-218-GSSS DHUPKIYARA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1760 Dt:10/04/2017] , Billno-KNG10218032017-004",1,202137,56875,150,145112
KNG10-218-GSSS DHUPKIYARA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1761 Dt:10/04/2017] , Billno-KNG10218032017-005",1,19667,0,1842,17825
KNG10-218-GSSS DHUPKIYARA,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 1135 Dt:31/05/2017] , Billno-KNG102182017100012",1,400000,0,0,400000
KNG10-218-GSSS DHUPKIYARA,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 740 Dt:20/05/2017] , Billno-KNG102182017100010",1,125000,0,0,125000
KNG10-218-GSSS DHUPKIYARA,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 741 Dt:20/05/2017] , Billno-KNG102182017100009",1,400000,0,0,400000
KNG10-218-GSSS DHUPKIYARA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 2343 Dt:09/05/2017] , Billno-KNG10218042017-001",1,98575,31000,1545,66030
KNG10-218-GSSS DHUPKIYARA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 2344 Dt:09/05/2017] , Billno-KNG10218042017-002",1,50597,0,7654,42943
KNG10-218-GSSS DHUPKIYARA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 2412 Dt:09/05/2017] , Billno-KNG102182017100001",1,9096,8496,600,0
KNG10-218-GSSS DHUPKIYARA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 2413 Dt:09/05/2017] , Billno-KNG102182017100002",1,5679,0,1135,4544
KNG10-218-GSSS DHUPKIYARA,08-2202-01-800-05-S00N-V-P-41-GIA GENERAL (Salary),"[TRVch# 3385 Dt:20/05/2017] , Billno-KNG102182017100006",1,9572,0,0,9572
KNG10-218-GSSS DHUPKIYARA,08-2202-01-800-05-S00N-V-P-41-GIA GENERAL (Salary),"[TRVch# 3386 Dt:20/05/2017] , Billno-KNG102182017100007",1,12111,0,0,12111
KNG10-218-GSSS DHUPKIYARA,08-2202-01-800-05-S00N-V-P-41-GIA GENERAL (Salary),"[TRVch# 3387 Dt:20/05/2017] , Billno-KNG102182017100008",1,28260,0,0,28260
KNG10-218-GSSS DHUPKIYARA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 2345 Dt:09/05/2017] , Billno-KNG10218042017-003",1,74501,35000,5060,34441
KNG10-218-GSSS DHUPKIYARA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 2346 Dt:09/05/2017] , Billno-KNG10218042017-004",1,207591,58875,4150,144566
KNG10-218-GSSS DHUPKIYARA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 2347 Dt:09/05/2017] , Billno-KNG10218042017-005",1,35468,0,1882,33586
KNG10-218-GSSS DHUPKIYARA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 2414 Dt:09/05/2017] , Billno-KNG102182017100003",1,8248,7423,825,0
KNG10-218-GSSS DHUPKIYARA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 2415 Dt:09/05/2017] , Billno-KNG102182017100004",1,16874,15617,1257,0
KNG10-218-GSSS DHUPKIYARA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 2416 Dt:09/05/2017] , Billno-KNG102182017100005",1,2169,0,216,1953
KNG10-218-GSSS DHUPKIYARA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 4160 Dt:31/05/2017] , Billno-KNG102182017100011",1,3752,0,376,3376
KNG10-218-GSSS DHUPKIYARA,00-8009-01-101-01-S00N-V-N-47-ADVANCES,"[TRVch# 583 Dt:21/06/2017] , Billno-KNG102182017100015",1,50000,0,0,50000
KNG10-218-GSSS DHUPKIYARA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1821 Dt:08/06/2017] , Billno-KNG10218052017-001",1,98575,31000,1545,66030
KNG10-218-GSSS DHUPKIYARA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1822 Dt:08/06/2017] , Billno-KNG10218052017-002",1,50597,0,7654,42943
