DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
KNG11-202-GSSS GHAMROOR,Total, ,136,23486861,5099126,1042004,17345731
KNG11-202-GSSS GHAMROOR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 438 Dt:21/04/2017] , Billno-KNG112022017100001",1,1000000,0,0,1000000
KNG11-202-GSSS GHAMROOR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 451 Dt:21/04/2017] , Billno-KNG112022017100004",1,700000,0,0,700000
KNG11-202-GSSS GHAMROOR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 452 Dt:21/04/2017] , Billno-KNG112022017100003",1,400000,0,0,400000
KNG11-202-GSSS GHAMROOR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 453 Dt:21/04/2017] , Billno-KNG112022017100002",1,500000,0,0,500000
KNG11-202-GSSS GHAMROOR,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1813 Dt:10/04/2017] , Billno-KNG11202032017-001",1,154910,69000,90,85820
KNG11-202-GSSS GHAMROOR,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1814 Dt:10/04/2017] , Billno-KNG11202032017-002",1,81050,35000,60,45990
KNG11-202-GSSS GHAMROOR,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1815 Dt:10/04/2017] , Billno-KNG11202032017-003",1,562841,142000,18373,402468
KNG11-202-GSSS GHAMROOR,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 2449 Dt:09/05/2017] , Billno-KNG11202042017-001",1,169325,75000,2105,92220
KNG11-202-GSSS GHAMROOR,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 4209 Dt:31/05/2017] , Billno-KNG112022017100005",1,17259,17259,0,0
KNG11-202-GSSS GHAMROOR,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 2450 Dt:09/05/2017] , Billno-KNG11202042017-002",1,82079,40000,8060,34019
KNG11-202-GSSS GHAMROOR,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 2451 Dt:09/05/2017] , Billno-KNG11202042017-003",1,574381,157000,39343,378038
KNG11-202-GSSS GHAMROOR,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 4202 Dt:31/05/2017] , Billno-KNG112022017100007",1,61712,40914,2088,18710
KNG11-202-GSSS GHAMROOR,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 4203 Dt:31/05/2017] , Billno-KNG112022017100006",1,9231,9231,0,0
KNG11-202-GSSS GHAMROOR,08-2202-02-109-01-S00N-V-N-03-TRAVEL EXPENSES,"[TRVch# 4216 Dt:31/05/2017] , Billno-KNG112022017100010",1,15540,0,0,15540
KNG11-202-GSSS GHAMROOR,08-2202-02-109-01-S00N-V-N-03-TRAVEL EXPENSES,"[TRVch# 4217 Dt:31/05/2017] , Billno-KNG112022017100008",1,354,0,0,354
KNG11-202-GSSS GHAMROOR,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1932 Dt:08/06/2017] , Billno-KNG11202052017-001",1,172443,75000,2105,95338
KNG11-202-GSSS GHAMROOR,08-2202-01-101-03-S00N-V-N-03-TRAVEL EXPENSES,"[TRVch# 3445 Dt:21/06/2017] , Billno-KNG112022017100015",1,420,0,0,420
KNG11-202-GSSS GHAMROOR,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1933 Dt:08/06/2017] , Billno-KNG11202052017-002",1,82079,40000,8060,34019
KNG11-202-GSSS GHAMROOR,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1934 Dt:08/06/2017] , Billno-KNG11202052017-003",1,576214,157000,39343,379871
KNG11-202-GSSS GHAMROOR,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 3440 Dt:21/06/2017] , Billno-KNG112022017100014",1,1157,0,0,1157
KNG11-202-GSSS GHAMROOR,08-2202-02-109-01-S00N-V-N-03-TRAVEL EXPENSES,"[TRVch# 3443 Dt:21/06/2017] , Billno-KNG112022017100016",1,790,0,0,790
KNG11-202-GSSS GHAMROOR,08-2202-02-109-01-S00N-V-N-05-OFFICE EXPENSES,"[TRVch# 1984 Dt:08/06/2017] , Billno-KNG112022017100013",1,570,0,0,570
KNG11-202-GSSS GHAMROOR,08-2202-02-109-01-S00N-V-N-05-OFFICE EXPENSES,"[TRVch# 1994 Dt:08/06/2017] , Billno-KNG112022017100011",1,3841,0,0,3841
KNG11-202-GSSS GHAMROOR,08-2202-02-109-01-S00N-V-N-05-OFFICE EXPENSES,"[TRVch# 4281 Dt:30/06/2017] , Billno-KNG112022017100020",1,3156,0,0,3156
KNG11-202-GSSS GHAMROOR,08-2202-02-109-01-S00N-V-N-06-MEDICAL REIMBURSEMENT,"[TRVch# 1983 Dt:08/06/2017] , Billno-KNG112022017100009",1,2021,0,0,2021
KNG11-202-GSSS GHAMROOR,08-2202-02-800-01-S00N-V-N-41-GIA GENERAL (Salary),"[TRVch# 1985 Dt:08/06/2017] , Billno-KNG112022017100012",1,29880,0,0,29880
KNG11-202-GSSS GHAMROOR,32-2202-01-789-15-S00N-V-P-41-GIA GENERAL (Salary),"[TRVch# 3444 Dt:21/06/2017] , Billno-KNG112022017100017",1,22500,0,0,22500
KNG11-202-GSSS GHAMROOR,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 2242 Dt:10/07/2017] , Billno-KNG11202062017-001",1,172443,75000,2105,95338
KNG11-202-GSSS GHAMROOR,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 2243 Dt:10/07/2017] , Billno-KNG11202062017-002",1,82079,40000,8060,34019
KNG11-202-GSSS GHAMROOR,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 2244 Dt:10/07/2017] , Billno-KNG11202062017-003",1,576214,157000,39343,379871
KNG11-202-GSSS GHAMROOR,08-2202-02-800-01-S00N-V-N-41-GIA GENERAL (Salary),"[TRVch# 2288 Dt:10/07/2017] , Billno-KNG112022017100021",1,12450,0,0,12450
KNG11-202-GSSS GHAMROOR,32-2202-01-789-15-S00N-V-P-41-GIA GENERAL (Salary),"[TRVch# 2287 Dt:10/07/2017] , Billno-KNG112022017100018",1,9000,0,0,9000
KNG11-202-GSSS GHAMROOR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 1246 Dt:31/08/2017] , Billno-KNG112022017100028",1,200000,0,0,200000
KNG11-202-GSSS GHAMROOR,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 159 Dt:04/08/2017] , Billno-KNG11202072017-001",1,172443,75000,2105,95338
KNG11-202-GSSS GHAMROOR,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 160 Dt:04/08/2017] , Billno-KNG11202072017-002",1,82079,40000,8060,34019
KNG11-202-GSSS GHAMROOR,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 161 Dt:04/08/2017] , Billno-KNG11202072017-003",1,576631,157000,39343,380288
KNG11-202-GSSS GHAMROOR,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 3352 Dt:31/08/2017] , Billno-KNG112022017100027",1,278,0,0,278
KNG11-202-GSSS GHAMROOR,08-2202-02-109-01-S00N-V-N-05-OFFICE EXPENSES,"[TRVch# 3350 Dt:31/08/2017] , Billno-KNG112022017100025",1,2433,0,0,2433
KNG11-202-GSSS GHAMROOR,08-2202-02-800-01-S00N-V-N-41-GIA GENERAL (Salary),"[TRVch# 3351 Dt:31/08/2017] , Billno-KNG112022017100026",1,2258,0,0,2258
KNG11-202-GSSS GHAMROOR,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 2406 Dt:08/09/2017] , Billno-KNG11202082017-001",1,175880,75000,2105,98775
KNG11-202-GSSS GHAMROOR,08-2202-01-101-03-S00N-V-N-03-TRAVEL EXPENSES,"[TRVch# 3678 Dt:27/09/2017] , Billno-KNG112022017100034",1,1130,0,0,1130
KNG11-202-GSSS GHAMROOR,08-2202-01-101-03-S00N-V-N-05-OFFICE EXPENSES,"[TRVch# 2476 Dt:08/09/2017] , Billno-KNG112022017100031",1,3000,0,0,3000
KNG11-202-GSSS GHAMROOR,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 2407 Dt:08/09/2017] , Billno-KNG11202082017-002",1,86063,40000,8060,38003
KNG11-202-GSSS GHAMROOR,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 2408 Dt:08/09/2017] , Billno-KNG11202082017-003",1,608210,157000,39497,411713
KNG11-202-GSSS GHAMROOR,08-2202-02-800-01-S00N-V-N-41-GIA GENERAL (Salary),"[TRVch# 2456 Dt:08/09/2017] , Billno-KNG112022017100030",1,17650,0,0,17650
KNG11-202-GSSS GHAMROOR,32-2202-01-789-15-S00N-V-P-41-GIA GENERAL (Salary),"[TRVch# 2457 Dt:08/09/2017] , Billno-KNG112022017100029",1,11700,0,0,11700
KNG11-202-GSSS GHAMROOR,32-2202-01-789-15-S00N-V-P-41-GIA GENERAL (Salary),"[TRVch# 3677 Dt:27/09/2017] , Billno-KNG112022017100032",1,4911,0,0,4911
KNG11-202-GSSS GHAMROOR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 746 Dt:25/10/2017] , Billno-KNG112022017100040",1,200000,0,0,200000
KNG11-202-GSSS GHAMROOR,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 2603 Dt:10/10/2017] , Billno-KNG11202092017-001",1,178318,75000,4956,98362
KNG11-202-GSSS GHAMROOR,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 4246 Dt:25/10/2017] , Billno-KNG112022017100035",1,21910,20720,120,1070
KNG11-202-GSSS GHAMROOR,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 4256 Dt:25/10/2017] , Billno-KNG112022017100041",1,4240,0,0,4240
KNG11-202-GSSS GHAMROOR,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 2604 Dt:10/10/2017] , Billno-KNG11202092017-002",1,87377,45000,9060,33317
KNG11-202-GSSS GHAMROOR,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 2605 Dt:10/10/2017] , Billno-KNG11202092017-003",1,618593,162000,45316,411277
KNG11-202-GSSS GHAMROOR,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 4247 Dt:25/10/2017] , Billno-KNG112022017100036",1,11018,11018,0,0
KNG11-202-GSSS GHAMROOR,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 4248 Dt:25/10/2017] , Billno-KNG112022017100037",1,74458,49227,2521,22710
KNG11-202-GSSS GHAMROOR,08-2202-02-800-01-S00N-V-N-41-GIA GENERAL (Salary),"[TRVch# 2662 Dt:10/10/2017] , Billno-KNG112022017100039",1,17650,0,0,17650
KNG11-202-GSSS GHAMROOR,32-2202-01-789-15-S00N-V-P-41-GIA GENERAL (Salary),"[TRVch# 2661 Dt:10/10/2017] , Billno-KNG112022017100038",1,14040,0,0,14040
KNG11-202-GSSS GHAMROOR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 142 Dt:07/11/2017] , Billno-KNG112022017100042",1,200000,0,0,200000
KNG11-202-GSSS GHAMROOR,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 2200 Dt:07/11/2017] , Billno-KNG11202102017-001",1,194218,75000,4956,114262
KNG11-202-GSSS GHAMROOR,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 2201 Dt:07/11/2017] , Billno-KNG11202102017-002",1,87377,45000,9060,33317
KNG11-202-GSSS GHAMROOR,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 2202 Dt:07/11/2017] , Billno-KNG11202102017-003",1,619176,162000,45372,411804
KNG11-202-GSSS GHAMROOR,08-2202-02-109-01-S00N-V-N-03-TRAVEL EXPENSES,"[TRVch# 2260 Dt:07/11/2017] , Billno-KNG112022017100044",1,3920,0,0,3920
