DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
KNG11-537-TEHSILDAR KASWAN KOTLA,Total, ,147,9547473,1837500,234176,7475797
KNG11-537-TEHSILDAR KASWAN KOTLA,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 454 Dt:21/04/2017] , Billno-KNG115372017100001",1,200000,0,0,200000
KNG11-537-TEHSILDAR KASWAN KOTLA,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 986 Dt:29/04/2017] , Billno-KNG115372017100002",1,100000,0,0,100000
KNG11-537-TEHSILDAR KASWAN KOTLA,05-2029-00-103-02-S00N-V-N-01-SALARIES,"[TRVch# 69 Dt:10/04/2017] , Billno-KNG11537032017-001",1,88159,15000,136,73023
KNG11-537-TEHSILDAR KASWAN KOTLA,05-2029-00-103-02-S00N-V-N-01-SALARIES,"[TRVch# 70 Dt:10/04/2017] , Billno-KNG11537032017-002",1,43556,14001,30,29525
KNG11-537-TEHSILDAR KASWAN KOTLA,05-2029-00-103-04-S00N-V-N-01-SALARIES,"[TRVch# 71 Dt:10/04/2017] , Billno-KNG11537032017-003",1,90477,26000,60,64417
KNG11-537-TEHSILDAR KASWAN KOTLA,05-2053-00-093-01-S00N-V-N-01-SALARIES,"[TRVch# 87 Dt:10/04/2017] , Billno-KNG11537032017-004",1,126208,30501,639,95068
KNG11-537-TEHSILDAR KASWAN KOTLA,05-2053-00-094-01-S00N-V-N-01-SALARIES,"[TRVch# 88 Dt:10/04/2017] , Billno-KNG11537032017-005",1,69268,29000,448,39820
KNG11-537-TEHSILDAR KASWAN KOTLA,05-2029-00-103-02-S00N-V-N-01-SALARIES,"[TRVch# 125 Dt:31/05/2017] , Billno-KNG115372017100003",1,7814,5510,0,2304
KNG11-537-TEHSILDAR KASWAN KOTLA,05-2029-00-103-02-S00N-V-N-01-SALARIES,"[TRVch# 127 Dt:31/05/2017] , Billno-KNG115372017100006",1,4853,4853,0,0
KNG11-537-TEHSILDAR KASWAN KOTLA,05-2029-00-103-02-S00N-V-N-01-SALARIES,"[TRVch# 68 Dt:09/05/2017] , Billno-KNG11537042017-001",1,89992,15000,636,74356
KNG11-537-TEHSILDAR KASWAN KOTLA,05-2029-00-103-02-S00N-V-N-01-SALARIES,"[TRVch# 69 Dt:09/05/2017] , Billno-KNG11537042017-002",1,44097,15001,530,28566
KNG11-537-TEHSILDAR KASWAN KOTLA,05-2029-00-103-04-S00N-V-N-01-SALARIES,"[TRVch# 126 Dt:31/05/2017] , Billno-KNG115372017100004",1,10170,10170,0,0
KNG11-537-TEHSILDAR KASWAN KOTLA,05-2029-00-103-04-S00N-V-N-01-SALARIES,"[TRVch# 70 Dt:09/05/2017] , Billno-KNG11537042017-003",1,91623,26000,1360,64263
KNG11-537-TEHSILDAR KASWAN KOTLA,05-2053-00-093-01-S00N-V-N-01-SALARIES,"[TRVch# 101 Dt:09/05/2017] , Billno-KNG11537042017-004",1,127804,30501,2139,95164
KNG11-537-TEHSILDAR KASWAN KOTLA,05-2053-00-093-01-S00N-V-N-01-SALARIES,"[TRVch# 164 Dt:31/05/2017] , Billno-KNG115372017100007",1,14137,10099,0,4038
KNG11-537-TEHSILDAR KASWAN KOTLA,05-2053-00-094-01-S00N-V-N-01-SALARIES,"[TRVch# 102 Dt:09/05/2017] , Billno-KNG11537042017-005",1,70157,34000,5448,30709
KNG11-537-TEHSILDAR KASWAN KOTLA,05-2053-00-094-01-S00N-V-N-01-SALARIES,"[TRVch# 165 Dt:31/05/2017] , Billno-KNG115372017100005",1,7839,7839,0,0
KNG11-537-TEHSILDAR KASWAN KOTLA,05-2029-00-103-02-S00N-V-N-01-SALARIES,"[TRVch# 82 Dt:08/06/2017] , Billno-KNG11537052017-001",1,89992,15000,636,74356
KNG11-537-TEHSILDAR KASWAN KOTLA,05-2029-00-103-02-S00N-V-N-01-SALARIES,"[TRVch# 83 Dt:08/06/2017] , Billno-KNG11537052017-002",1,44147,15001,530,28616
KNG11-537-TEHSILDAR KASWAN KOTLA,05-2029-00-103-04-S00N-V-N-01-SALARIES,"[TRVch# 84 Dt:08/06/2017] , Billno-KNG11537052017-003",1,91723,26000,1360,64363
KNG11-537-TEHSILDAR KASWAN KOTLA,05-2053-00-093-01-S00N-V-N-01-SALARIES,"[TRVch# 127 Dt:08/06/2017] , Billno-KNG11537052017-004",1,127904,30501,2139,95264
KNG11-537-TEHSILDAR KASWAN KOTLA,05-2053-00-094-01-S00N-V-N-01-SALARIES,"[TRVch# 128 Dt:08/06/2017] , Billno-KNG11537052017-005",1,70157,34000,5448,30709
KNG11-537-TEHSILDAR KASWAN KOTLA,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 547 Dt:19/07/2017] , Billno-KNG115372017100009",1,150000,0,0,150000
KNG11-537-TEHSILDAR KASWAN KOTLA,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 548 Dt:19/07/2017] , Billno-KNG115372017100010",1,250000,0,0,250000
KNG11-537-TEHSILDAR KASWAN KOTLA,05-2029-00-103-02-S00N-V-N-01-SALARIES,"[TRVch# 154 Dt:31/07/2017] , Billno-KNG115372017100012",1,78081,0,0,78081
KNG11-537-TEHSILDAR KASWAN KOTLA,05-2029-00-103-02-S00N-V-N-01-SALARIES,"[TRVch# 77 Dt:10/07/2017] , Billno-KNG11537062017-001",1,89992,15000,636,74356
KNG11-537-TEHSILDAR KASWAN KOTLA,05-2029-00-103-02-S00N-V-N-01-SALARIES,"[TRVch# 78 Dt:10/07/2017] , Billno-KNG11537062017-002",1,44147,15001,530,28616
KNG11-537-TEHSILDAR KASWAN KOTLA,05-2029-00-103-04-S00N-V-N-01-SALARIES,"[TRVch# 79 Dt:10/07/2017] , Billno-KNG11537062017-003",1,91723,26000,1360,64363
KNG11-537-TEHSILDAR KASWAN KOTLA,05-2053-00-093-01-S00N-V-N-01-SALARIES,"[TRVch# 116 Dt:10/07/2017] , Billno-KNG11537062017-004",1,127904,30501,2139,95264
KNG11-537-TEHSILDAR KASWAN KOTLA,05-2053-00-093-01-S00N-V-N-01-SALARIES,"[TRVch# 118 Dt:10/07/2017] , Billno-KNG115372017100008",1,304987,0,0,304987
KNG11-537-TEHSILDAR KASWAN KOTLA,05-2053-00-094-01-S00N-V-N-01-SALARIES,"[TRVch# 117 Dt:10/07/2017] , Billno-KNG11537062017-005",1,70157,34000,5448,30709
KNG11-537-TEHSILDAR KASWAN KOTLA,05-2029-00-103-02-S00N-V-N-01-SALARIES,"[TRVch# 174 Dt:31/08/2017] , Billno-KNG115372017100014",1,110708,0,0,110708
KNG11-537-TEHSILDAR KASWAN KOTLA,05-2029-00-103-02-S00N-V-N-01-SALARIES,"[TRVch# 175 Dt:31/08/2017] , Billno-KNG115372017100015",1,17810,0,0,17810
KNG11-537-TEHSILDAR KASWAN KOTLA,05-2029-00-103-02-S00N-V-N-01-SALARIES,"[TRVch# 23 Dt:04/08/2017] , Billno-KNG11537072017-001",1,90733,15000,636,75097
KNG11-537-TEHSILDAR KASWAN KOTLA,05-2029-00-103-02-S00N-V-N-01-SALARIES,"[TRVch# 24 Dt:04/08/2017] , Billno-KNG11537072017-002",1,44147,15001,530,28616
KNG11-537-TEHSILDAR KASWAN KOTLA,05-2029-00-103-02-S00N-V-N-01-SALARIES,"[TRVch# 26 Dt:04/08/2017] , Billno-KNG115372017100011",1,17810,0,0,17810
KNG11-537-TEHSILDAR KASWAN KOTLA,05-2029-00-103-04-S00N-V-N-01-SALARIES,"[TRVch# 25 Dt:04/08/2017] , Billno-KNG11537072017-003",1,91773,26000,1360,64413
KNG11-537-TEHSILDAR KASWAN KOTLA,05-2053-00-093-01-S00N-V-N-01-SALARIES,"[TRVch# 271 Dt:31/08/2017] , Billno-KNG115372017100013",1,110708,0,0,110708
KNG11-537-TEHSILDAR KASWAN KOTLA,05-2053-00-093-01-S00N-V-N-01-SALARIES,"[TRVch# 31 Dt:04/08/2017] , Billno-KNG11537072017-004",1,128675,30501,2139,96035
KNG11-537-TEHSILDAR KASWAN KOTLA,05-2053-00-094-01-S00N-V-N-01-SALARIES,"[TRVch# 32 Dt:04/08/2017] , Billno-KNG11537072017-005",1,70207,34000,5448,30759
KNG11-537-TEHSILDAR KASWAN KOTLA,05-2029-00-103-02-S00N-V-N-01-SALARIES,"[TRVch# 78 Dt:08/09/2017] , Billno-KNG11537082017-001",1,92019,15000,636,76383
KNG11-537-TEHSILDAR KASWAN KOTLA,05-2029-00-103-02-S00N-V-N-01-SALARIES,"[TRVch# 79 Dt:08/09/2017] , Billno-KNG11537082017-002",1,44918,15001,530,29387
KNG11-537-TEHSILDAR KASWAN KOTLA,05-2029-00-103-04-S00N-V-N-01-SALARIES,"[TRVch# 80 Dt:08/09/2017] , Billno-KNG11537082017-003",1,93400,26000,1360,66040
KNG11-537-TEHSILDAR KASWAN KOTLA,05-2053-00-093-01-S00N-V-N-01-SALARIES,"[TRVch# 102 Dt:08/09/2017] , Billno-KNG11537082017-004",1,132873,25001,2139,105733
KNG11-537-TEHSILDAR KASWAN KOTLA,05-2053-00-094-01-S00N-V-N-01-SALARIES,"[TRVch# 103 Dt:08/09/2017] , Billno-KNG11537082017-005",1,71442,34000,5448,31994
KNG11-537-TEHSILDAR KASWAN KOTLA,05-2029-00-103-02-S00N-V-N-01-SALARIES,"[TRVch# 172 Dt:31/10/2017] , Billno-KNG115372017100020",1,5768,5768,0,0
KNG11-537-TEHSILDAR KASWAN KOTLA,05-2029-00-103-02-S00N-V-N-01-SALARIES,"[TRVch# 173 Dt:31/10/2017] , Billno-KNG115372017100017",1,9411,6663,0,2748
KNG11-537-TEHSILDAR KASWAN KOTLA,05-2029-00-103-02-S00N-V-N-01-SALARIES,"[TRVch# 73 Dt:10/10/2017] , Billno-KNG11537092017-001",1,93106,15000,636,77470
KNG11-537-TEHSILDAR KASWAN KOTLA,05-2029-00-103-02-S00N-V-N-01-SALARIES,"[TRVch# 74 Dt:10/10/2017] , Billno-KNG11537092017-002",1,45639,15001,530,30108
KNG11-537-TEHSILDAR KASWAN KOTLA,05-2029-00-103-02-S00N-V-N-01-SALARIES,"[TRVch# 76 Dt:10/10/2017] , Billno-KNG115372017100016",1,17810,0,0,17810
KNG11-537-TEHSILDAR KASWAN KOTLA,05-2029-00-103-04-S00N-V-N-01-SALARIES,"[TRVch# 174 Dt:31/10/2017] , Billno-KNG115372017100018",1,12216,12216,0,0
