DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
KNG12-211-HM GHS GHARJAROT,Total, ,130,27941931,4381505,870990,22689436
KNG12-211-HM GHS GHARJAROT,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 1028 Dt:29/04/2017] , Billno-KNG122112017100001",1,500000,0,0,500000
KNG12-211-HM GHS GHARJAROT,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 1029 Dt:29/04/2017] , Billno-KNG122112017100002",1,150000,0,0,150000
KNG12-211-HM GHS GHARJAROT,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 2040 Dt:10/04/2017] , Billno-KNG12211032017-001",1,167436,59000,90,108346
KNG12-211-HM GHS GHARJAROT,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 2041 Dt:10/04/2017] , Billno-KNG12211032017-002",1,73665,27000,60,46605
KNG12-211-HM GHS GHARJAROT,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 2042 Dt:10/04/2017] , Billno-KNG12211032017-003",1,590280,136000,14268,440012
KNG12-211-HM GHS GHARJAROT,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 2043 Dt:10/04/2017] , Billno-KNG12211032017-004",1,41630,0,3909,37721
KNG12-211-HM GHS GHARJAROT,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 2569 Dt:09/05/2017] , Billno-KNG12211042017-001",1,187829,65000,5590,117239
KNG12-211-HM GHS GHARJAROT,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 4341 Dt:31/05/2017] , Billno-KNG122112017100003",1,18961,17009,1952,0
KNG12-211-HM GHS GHARJAROT,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 2570 Dt:09/05/2017] , Billno-KNG12211042017-002",1,74600,27000,3560,44040
KNG12-211-HM GHS GHARJAROT,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 2571 Dt:09/05/2017] , Billno-KNG12211042017-003",1,459585,108000,25474,326111
KNG12-211-HM GHS GHARJAROT,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 2572 Dt:09/05/2017] , Billno-KNG12211042017-004",1,67088,0,3976,63112
KNG12-211-HM GHS GHARJAROT,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 4342 Dt:31/05/2017] , Billno-KNG122112017100004",1,8415,7542,873,0
KNG12-211-HM GHS GHARJAROT,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 4343 Dt:31/05/2017] , Billno-KNG122112017100006",1,4540,0,450,4090
KNG12-211-HM GHS GHARJAROT,08-2202-02-109-01-S00N-V-N-03-TRAVEL EXPENSES,"[TRVch# 4344 Dt:31/05/2017] , Billno-KNG122112017100007",1,1060,0,0,1060
KNG12-211-HM GHS GHARJAROT,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 477 Dt:20/06/2017] , Billno-KNG122112017100014",1,400000,0,0,400000
KNG12-211-HM GHS GHARJAROT,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 478 Dt:20/06/2017] , Billno-KNG122112017100015",1,200000,0,0,200000
KNG12-211-HM GHS GHARJAROT,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 2058 Dt:08/06/2017] , Billno-KNG12211052017-001",1,187829,65000,5590,117239
KNG12-211-HM GHS GHARJAROT,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 2059 Dt:08/06/2017] , Billno-KNG12211052017-002",1,74600,27000,3560,44040
KNG12-211-HM GHS GHARJAROT,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 2060 Dt:08/06/2017] , Billno-KNG12211052017-003",1,534730,128000,28034,378696
KNG12-211-HM GHS GHARJAROT,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 2061 Dt:08/06/2017] , Billno-KNG12211052017-004",1,73312,0,3976,69336
KNG12-211-HM GHS GHARJAROT,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 3176 Dt:20/06/2017] , Billno-KNG122112017100010",1,35121,31510,3611,0
KNG12-211-HM GHS GHARJAROT,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 3177 Dt:20/06/2017] , Billno-KNG122112017100011",1,15766,0,1579,14187
KNG12-211-HM GHS GHARJAROT,08-2202-02-109-01-S00N-V-N-06-MEDICAL REIMBURSEMENT,"[TRVch# 3178 Dt:20/06/2017] , Billno-KNG122112017100012",1,2621,0,0,2621
KNG12-211-HM GHS GHARJAROT,19-2235-60-800-33-S00N-V-N-06-MEDICAL REIMBURSEMENT,"[TRVch# 352 Dt:20/06/2017] , Billno-KNG122112017100013",1,20666,0,0,20666
KNG12-211-HM GHS GHARJAROT,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 1082 Dt:29/07/2017] , Billno-KNG122112017100016",1,1000000,0,0,1000000
KNG12-211-HM GHS GHARJAROT,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 2354 Dt:10/07/2017] , Billno-KNG12211062017-001",1,204742,65000,5599,134143
KNG12-211-HM GHS GHARJAROT,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 2355 Dt:10/07/2017] , Billno-KNG12211062017-002",1,74600,27000,3560,44040
KNG12-211-HM GHS GHARJAROT,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 2356 Dt:10/07/2017] , Billno-KNG12211062017-003",1,550244,128000,28043,394201
KNG12-211-HM GHS GHARJAROT,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 2357 Dt:10/07/2017] , Billno-KNG12211062017-004",1,73312,0,3976,69336
KNG12-211-HM GHS GHARJAROT,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1990 Dt:08/08/2017] , Billno-KNG12211072017-001",1,206316,65000,5599,135717
KNG12-211-HM GHS GHARJAROT,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1991 Dt:08/08/2017] , Billno-KNG12211072017-002",1,76809,27000,3560,46249
KNG12-211-HM GHS GHARJAROT,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1992 Dt:08/08/2017] , Billno-KNG12211072017-003",1,550244,128000,28043,394201
