DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
KNG12-221-GOVT DEGREE COLLEGE NAGROTA,Total, ,141,15217531,3690584,1359853,10167094
KNG12-221-GOVT DEGREE COLLEGE NAGROTA,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 2091 Dt:10/04/2017] , Billno-KNG12221032017-001",1,357937,130501,53094,174342
KNG12-221-GOVT DEGREE COLLEGE NAGROTA,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 2092 Dt:10/04/2017] , Billno-KNG12221032017-002",1,77167,0,5459,71708
KNG12-221-GOVT DEGREE COLLEGE NAGROTA,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 2093 Dt:10/04/2017] , Billno-KNG12221032017-003",1,95781,36000,1625,58156
KNG12-221-GOVT DEGREE COLLEGE NAGROTA,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 2094 Dt:10/04/2017] , Billno-KNG12221032017-004",1,21387,0,2006,19381
KNG12-221-GOVT DEGREE COLLEGE NAGROTA,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 2620 Dt:09/05/2017] , Billno-KNG12221042017-001",1,434004,162501,57314,214189
KNG12-221-GOVT DEGREE COLLEGE NAGROTA,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 2621 Dt:09/05/2017] , Billno-KNG12221042017-002",1,104515,0,5608,98907
KNG12-221-GOVT DEGREE COLLEGE NAGROTA,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 2622 Dt:09/05/2017] , Billno-KNG12221042017-003",1,97349,36000,1625,59724
KNG12-221-GOVT DEGREE COLLEGE NAGROTA,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 2623 Dt:09/05/2017] , Billno-KNG12221042017-004",1,47229,0,2062,45167
KNG12-221-GOVT DEGREE COLLEGE NAGROTA,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 3461 Dt:20/05/2017] , Billno-KNG122212017100001",1,69115,32000,4220,32895
KNG12-221-GOVT DEGREE COLLEGE NAGROTA,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 3462 Dt:20/05/2017] , Billno-KNG122212017100002",1,535,0,0,535
KNG12-221-GOVT DEGREE COLLEGE NAGROTA,08-2202-03-103-01-S00N-V-N-02-WAGES,"[TRVch# 3463 Dt:20/05/2017] , Billno-KNG122212017100003",1,12200,0,0,12200
KNG12-221-GOVT DEGREE COLLEGE NAGROTA,08-2202-03-103-01-S00N-V-N-03-TRAVEL EXPENSES,"[TRVch# 4370 Dt:31/05/2017] , Billno-KNG122212017100006",1,1388,0,0,1388
KNG12-221-GOVT DEGREE COLLEGE NAGROTA,08-2202-03-103-01-S00N-V-N-03-TRAVEL EXPENSES,"[TRVch# 4371 Dt:31/05/2017] , Billno-KNG122212017100007",1,984,0,0,984
KNG12-221-GOVT DEGREE COLLEGE NAGROTA,08-2202-03-103-01-S00N-V-N-03-TRAVEL EXPENSES,"[TRVch# 4372 Dt:31/05/2017] , Billno-KNG122212017100008",1,2866,0,0,2866
KNG12-221-GOVT DEGREE COLLEGE NAGROTA,08-2202-03-103-01-S00N-V-N-03-TRAVEL EXPENSES,"[TRVch# 4373 Dt:31/05/2017] , Billno-KNG122212017100009",1,1812,0,0,1812
KNG12-221-GOVT DEGREE COLLEGE NAGROTA,08-2202-03-103-01-S00N-V-N-03-TRAVEL EXPENSES,"[TRVch# 4374 Dt:31/05/2017] , Billno-KNG122212017100010",1,2012,0,0,2012
KNG12-221-GOVT DEGREE COLLEGE NAGROTA,08-2202-03-103-01-S00N-V-N-03-TRAVEL EXPENSES,"[TRVch# 4375 Dt:31/05/2017] , Billno-KNG122212017100011",1,304,0,0,304
KNG12-221-GOVT DEGREE COLLEGE NAGROTA,08-2202-03-103-01-S00N-V-N-03-TRAVEL EXPENSES,"[TRVch# 4376 Dt:31/05/2017] , Billno-KNG122212017100012",1,994,0,0,994
KNG12-221-GOVT DEGREE COLLEGE NAGROTA,08-2202-03-103-01-S00N-V-N-05-OFFICE EXPENSES,"[TRVch# 4368 Dt:31/05/2017] , Billno-KNG122212017100004",1,13359,0,0,13359
KNG12-221-GOVT DEGREE COLLEGE NAGROTA,08-2202-03-103-01-S00N-V-N-05-OFFICE EXPENSES,"[TRVch# 4369 Dt:31/05/2017] , Billno-KNG122212017100005",1,1137,0,0,1137
KNG12-221-GOVT DEGREE COLLEGE NAGROTA,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 2110 Dt:08/06/2017] , Billno-KNG12221052017-001",1,274696,92000,27040,155656
