DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
KNG13-214-GHS CHOWKI,Total, ,122,10844035,2246539,338074,8259422
KNG13-214-GHS CHOWKI,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 1172 Dt:29/04/2017] , Billno-KNG132142017100001",1,1514000,0,0,1514000
KNG13-214-GHS CHOWKI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1922 Dt:10/04/2017] , Billno-KNG13214032017-001",1,128011,72000,75,55936
KNG13-214-GHS CHOWKI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1923 Dt:10/04/2017] , Billno-KNG13214032017-002",1,17368,0,0,17368
KNG13-214-GHS CHOWKI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1924 Dt:10/04/2017] , Billno-KNG13214032017-003",1,113392,55000,90,58302
KNG13-214-GHS CHOWKI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1925 Dt:10/04/2017] , Billno-KNG13214032017-004",1,51058,0,4938,46120
KNG13-214-GHS CHOWKI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 2699 Dt:09/05/2017] , Billno-KNG13214042017-001",1,129624,77000,1575,51049
KNG13-214-GHS CHOWKI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 2700 Dt:09/05/2017] , Billno-KNG13214042017-002",1,18268,0,0,18268
KNG13-214-GHS CHOWKI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 2730 Dt:09/05/2017] , Billno-KNG132142017100002",1,14355,14355,0,0
KNG13-214-GHS CHOWKI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 2701 Dt:09/05/2017] , Billno-KNG13214042017-003",1,114827,65000,5590,44237
KNG13-214-GHS CHOWKI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 2702 Dt:09/05/2017] , Billno-KNG13214042017-004",1,51707,0,5003,46704
KNG13-214-GHS CHOWKI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 2731 Dt:09/05/2017] , Billno-KNG132142017100003",1,12915,12915,0,0
KNG13-214-GHS CHOWKI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 2732 Dt:09/05/2017] , Billno-KNG132142017100004",1,5841,0,585,5256
