DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
KNG14-207-GSSS RAJIANA BAANDH,Total, ,170,26723363,5381013,1041029,20301321
KNG14-207-GSSS RAJIANA BAANDH,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 437 Dt:21/04/2017] , Billno-KNG142072017100001",1,800000,0,0,800000
KNG14-207-GSSS RAJIANA BAANDH,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1961 Dt:10/04/2017] , Billno-KNG14207032017-004",1,69718,25000,30,44688
KNG14-207-GSSS RAJIANA BAANDH,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1962 Dt:10/04/2017] , Billno-KNG14207032017-005",1,53688,0,5079,48609
KNG14-207-GSSS RAJIANA BAANDH,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1958 Dt:10/04/2017] , Billno-KNG14207032017-001",1,49866,0,4802,45064
KNG14-207-GSSS RAJIANA BAANDH,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1959 Dt:10/04/2017] , Billno-KNG14207032017-002",1,75008,40000,60,34948
KNG14-207-GSSS RAJIANA BAANDH,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1960 Dt:10/04/2017] , Billno-KNG14207032017-003",1,541814,245000,2271,294543
KNG14-207-GSSS RAJIANA BAANDH,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 1152 Dt:31/05/2017] , Billno-KNG142072017100008",1,400000,0,0,400000
KNG14-207-GSSS RAJIANA BAANDH,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 2794 Dt:09/05/2017] , Billno-KNG14207042017-001",1,71286,25000,1530,44756
KNG14-207-GSSS RAJIANA BAANDH,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 2795 Dt:09/05/2017] , Billno-KNG14207042017-002",1,54385,0,5145,49240
KNG14-207-GSSS RAJIANA BAANDH,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 4235 Dt:31/05/2017] , Billno-KNG142072017100003",1,5955,5955,0,0
KNG14-207-GSSS RAJIANA BAANDH,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 4236 Dt:31/05/2017] , Billno-KNG142072017100004",1,6003,0,603,5400
KNG14-207-GSSS RAJIANA BAANDH,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 2796 Dt:09/05/2017] , Billno-KNG14207042017-003",1,75965,42000,5060,28905
KNG14-207-GSSS RAJIANA BAANDH,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 2797 Dt:09/05/2017] , Billno-KNG14207042017-004",1,428323,196000,20381,211942
KNG14-207-GSSS RAJIANA BAANDH,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 2798 Dt:09/05/2017] , Billno-KNG14207042017-005",1,128829,0,10828,118001
