DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
KNR00-504-AC TO DC KINNAUR,Total, ,655,171959563,10300863,3258733,158399967
KNR00-504-AC TO DC KINNAUR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 109 Dt:27/04/2017] , Billno-KNR005042017100015",1,25000,0,0,25000
KNR00-504-AC TO DC KINNAUR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 113 Dt:29/04/2017] , Billno-KNR005042017000001",1,359618,0,0,359618
KNR00-504-AC TO DC KINNAUR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 18 Dt:10/04/2017] , Billno-KNR005042017100002",1,175000,0,0,175000
KNR00-504-AC TO DC KINNAUR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 5 Dt:03/04/2017] , Billno-KNR005042017100001",1,300000,0,0,300000
KNR00-504-AC TO DC KINNAUR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 72 Dt:20/04/2017] , Billno-KNR005042017100009",1,500000,0,0,500000
KNR00-504-AC TO DC KINNAUR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 83 Dt:21/04/2017] , Billno-KNR005042017100010",1,350000,0,0,350000
KNR00-504-AC TO DC KINNAUR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 84 Dt:21/04/2017] , Billno-KNR005042017100004",1,700000,0,0,700000
KNR00-504-AC TO DC KINNAUR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 96 Dt:24/04/2017] , Billno-KNR005042017100011",1,384000,0,0,384000
KNR00-504-AC TO DC KINNAUR,05-2029-00-103-02-S00N-V-N-01-SALARIES,"[TRVch# 1 Dt:03/04/2017] , Billno-KNR00504032017-001",1,82408,22000,6599,53809
KNR00-504-AC TO DC KINNAUR,29-2071-01-104-02-S00N-V-N-38-PENSIONS,"[TRVch# 2 Dt:21/04/2017] , Billno-KNR005042017100007",1,25971,0,0,25971
KNR00-504-AC TO DC KINNAUR,29-2071-01-104-02-S00N-V-N-38-PENSIONS,"[TRVch# 3 Dt:21/04/2017] , Billno-KNR005042017100006",1,948189,0,0,948189
KNR00-504-AC TO DC KINNAUR,31-2029-00-796-01-S00N-V-N-01-SALARIES,"[TRVch# 2 Dt:03/04/2017] , Billno-KNR00504032017-002",1,314907,113000,11250,190657
KNR00-504-AC TO DC KINNAUR,31-2029-00-796-01-S00N-V-N-01-SALARIES,"[TRVch# 3 Dt:03/04/2017] , Billno-KNR00504032017-003",1,28784,0,1773,27011
KNR00-504-AC TO DC KINNAUR,31-2029-00-796-03-S00N-V-N-01-SALARIES,"[TRVch# 4 Dt:03/04/2017] , Billno-KNR00504032017-004",1,54170,0,1735,52435
KNR00-504-AC TO DC KINNAUR,31-2047-00-796-01-S00N-V-N-01-SALARIES,"[TRVch# 1 Dt:03/04/2017] , Billno-KNR00504032017-005",1,57142,15000,418,41724
KNR00-504-AC TO DC KINNAUR,31-2053-00-796-01-S00N-V-N-01-SALARIES,"[TRVch# 1 Dt:03/04/2017] , Billno-KNR00504032017-006",1,238156,130000,4756,103400
KNR00-504-AC TO DC KINNAUR,31-2053-00-796-01-S00N-V-N-01-SALARIES,"[TRVch# 2 Dt:03/04/2017] , Billno-KNR00504032017-007",1,52810,0,6451,46359
KNR00-504-AC TO DC KINNAUR,31-2053-00-796-01-S00N-V-N-01-SALARIES,"[TRVch# 3 Dt:03/04/2017] , Billno-KNR00504032017-008",1,539777,177840,18586,343351
KNR00-504-AC TO DC KINNAUR,31-2053-00-796-01-S00N-V-N-01-SALARIES,"[TRVch# 4 Dt:03/04/2017] , Billno-KNR00504032017-009",1,247549,50000,13643,183906
KNR00-504-AC TO DC KINNAUR,31-2053-00-796-01-S00N-V-N-01-SALARIES,"[TRVch# 5 Dt:03/04/2017] , Billno-KNR00504032017-010",1,260268,0,43056,217212
KNR00-504-AC TO DC KINNAUR,31-2053-00-796-02-S00N-V-N-01-SALARIES,"[TRVch# 6 Dt:03/04/2017] , Billno-KNR00504032017-011",1,39534,0,5362,34172
KNR00-504-AC TO DC KINNAUR,31-2506-00-796-01-S00N-V-N-01-SALARIES,"[TRVch# 1 Dt:03/04/2017] , Billno-KNR00504032017-012",1,84722,19000,3539,62183
KNR00-504-AC TO DC KINNAUR,31-2506-00-796-01-S00N-V-N-01-SALARIES,"[TRVch# 2 Dt:03/04/2017] , Billno-KNR00504032017-013",1,21557,0,2006,19551
KNR00-504-AC TO DC KINNAUR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 113 Dt:23/05/2017] , Billno-KNR005042017100040",1,300000,0,0,300000
KNR00-504-AC TO DC KINNAUR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 2 Dt:01/05/2017] , Billno-KNR005042017100019",1,50000,0,0,50000
KNR00-504-AC TO DC KINNAUR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 3 Dt:01/05/2017] , Billno-KNR005042017100020",1,25000,0,0,25000
KNR00-504-AC TO DC KINNAUR,00-8443-00-800-01-S00N-V-N-99-HONORARIUM,"[TRVch# 4 Dt:24/05/2017] , Billno-KNR005042017000004",1,288544,0,0,288544
KNR00-504-AC TO DC KINNAUR,04-2053-00-800-01-S00N-V-N-20-OTHER CHARGES,"[TRVch# 47 Dt:20/05/2017] , Billno-KNR005042017100021",1,50000,0,0,50000
KNR00-504-AC TO DC KINNAUR,05-2029-00-103-02-S00N-V-N-01-SALARIES,"[TRVch# 1 Dt:01/05/2017] , Billno-KNR00504042017-001",1,83755,22000,6699,55056
KNR00-504-AC TO DC KINNAUR,19-2235-60-800-83-S00N-V-N-06-MEDICAL REIMBURSEMENT,"[TRVch# 36 Dt:24/05/2017] , Billno-KNR005042017100033",1,15871,0,0,15871
KNR00-504-AC TO DC KINNAUR,19-2235-60-800-83-S00N-V-N-06-MEDICAL REIMBURSEMENT,"[TRVch# 40 Dt:26/05/2017] , Billno-KNR005042017100046",1,13866,0,0,13866
KNR00-504-AC TO DC KINNAUR,31-2029-00-796-01-S00N-V-N-01-SALARIES,"[TRVch# 2 Dt:01/05/2017] , Billno-KNR00504042017-002",1,376824,113000,15485,248339
KNR00-504-AC TO DC KINNAUR,31-2029-00-796-01-S00N-V-N-01-SALARIES,"[TRVch# 3 Dt:01/05/2017] , Billno-KNR00504042017-003",1,29643,0,1796,27847
KNR00-504-AC TO DC KINNAUR,31-2029-00-796-01-S00N-V-N-01-SALARIES,"[TRVch# 4 Dt:02/05/2017] , Billno-KNR005042017100014",1,1500,0,0,1500
KNR00-504-AC TO DC KINNAUR,31-2029-00-796-01-S00N-V-N-01-SALARIES,"[TRVch# 5 Dt:02/05/2017] , Billno-KNR005042017100013",1,12000,0,0,12000
KNR00-504-AC TO DC KINNAUR,31-2029-00-796-01-S00N-V-N-01-SALARIES,"[TRVch# 6 Dt:02/05/2017] , Billno-KNR005042017100018",1,1872,0,186,1686
KNR00-504-AC TO DC KINNAUR,31-2029-00-796-01-S00N-V-N-01-SALARIES,"[TRVch# 7 Dt:02/05/2017] , Billno-KNR005042017100017",1,6147,0,0,6147
KNR00-504-AC TO DC KINNAUR,31-2029-00-796-01-S00N-V-N-01-SALARIES,"[TRVch# 8 Dt:02/05/2017] , Billno-KNR005042017100016",1,50449,50449,0,0
KNR00-504-AC TO DC KINNAUR,31-2047-00-796-01-S00N-V-N-01-SALARIES,"[TRVch# 1 Dt:01/05/2017] , Billno-KNR00504042017-004",1,59738,25000,1918,32820
KNR00-504-AC TO DC KINNAUR,31-2053-00-796-01-S00N-V-N-01-SALARIES,"[TRVch# 4 Dt:01/05/2017] , Billno-KNR00504042017-005",1,239465,130000,27756,81709
KNR00-504-AC TO DC KINNAUR,31-2053-00-796-01-S00N-V-N-01-SALARIES,"[TRVch# 44 Dt:18/05/2017] , Billno-KNR005042017000003",1,56633,12000,948,43685
KNR00-504-AC TO DC KINNAUR,31-2053-00-796-01-S00N-V-N-01-SALARIES,"[TRVch# 45 Dt:18/05/2017] , Billno-KNR005042017000002",1,55776,12000,448,43328
KNR00-504-AC TO DC KINNAUR,31-2053-00-796-01-S00N-V-N-01-SALARIES,"[TRVch# 5 Dt:01/05/2017] , Billno-KNR00504042017-006",1,53628,0,7517,46111
KNR00-504-AC TO DC KINNAUR,31-2053-00-796-01-S00N-V-N-01-SALARIES,"[TRVch# 52 Dt:23/05/2017] , Billno-KNR005042017100042",1,15675,0,0,15675
KNR00-504-AC TO DC KINNAUR,31-2053-00-796-01-S00N-V-N-01-SALARIES,"[TRVch# 54 Dt:26/05/2017] , Billno-KNR005042017100045",1,58089,0,0,58089
KNR00-504-AC TO DC KINNAUR,31-2053-00-796-01-S00N-V-N-01-SALARIES,"[TRVch# 6 Dt:01/05/2017] , Billno-KNR00504042017-007",1,550502,183840,20386,346276
KNR00-504-AC TO DC KINNAUR,31-2053-00-796-01-S00N-V-N-01-SALARIES,"[TRVch# 7 Dt:01/05/2017] , Billno-KNR00504042017-008",1,300704,56000,13188,231516
KNR00-504-AC TO DC KINNAUR,31-2053-00-796-01-S00N-V-N-01-SALARIES,"[TRVch# 8 Dt:01/05/2017] , Billno-KNR00504042017-009",1,264987,0,43877,221110
KNR00-504-AC TO DC KINNAUR,31-2053-00-796-01-S00N-V-N-02-WAGES,"[TRVch# 40 Dt:09/05/2017] , Billno-KNR005042017100022",1,423919,0,0,423919
KNR00-504-AC TO DC KINNAUR,31-2053-00-796-01-S00N-V-N-03-TRAVEL EXPENSES,"[TRVch# 36 Dt:09/05/2017] , Billno-KNR005042017100026",1,1275,0,0,1275
KNR00-504-AC TO DC KINNAUR,31-2053-00-796-01-S00N-V-N-03-TRAVEL EXPENSES,"[TRVch# 39 Dt:09/05/2017] , Billno-KNR005042017100024",1,2311,0,0,2311
KNR00-504-AC TO DC KINNAUR,31-2053-00-796-01-S00N-V-N-03-TRAVEL EXPENSES,"[TRVch# 48 Dt:23/05/2017] , Billno-KNR005042017100028",1,10887,0,0,10887
KNR00-504-AC TO DC KINNAUR,31-2053-00-796-01-S00N-V-N-03-TRAVEL EXPENSES,"[TRVch# 49 Dt:23/05/2017] , Billno-KNR005042017100031",1,2830,0,0,2830
KNR00-504-AC TO DC KINNAUR,31-2053-00-796-01-S00N-V-N-03-TRAVEL EXPENSES,"[TRVch# 50 Dt:23/05/2017] , Billno-KNR005042017100032",1,3055,0,0,3055
KNR00-504-AC TO DC KINNAUR,31-2053-00-796-01-S00N-V-N-03-TRAVEL EXPENSES,"[TRVch# 53 Dt:23/05/2017] , Billno-KNR005042017100043",1,3721,0,0,3721
KNR00-504-AC TO DC KINNAUR,31-2053-00-796-01-S00N-V-N-05-OFFICE EXPENSES,"[TRVch# 35 Dt:09/05/2017] , Billno-KNR005042017100027",1,2900,0,0,2900
KNR00-504-AC TO DC KINNAUR,31-2053-00-796-01-S00N-V-N-05-OFFICE EXPENSES,"[TRVch# 46 Dt:20/05/2017] , Billno-KNR005042017100039",1,72132,0,0,72132
KNR00-504-AC TO DC KINNAUR,31-2053-00-796-01-S00N-V-N-06-MEDICAL REIMBURSEMENT,"[TRVch# 37 Dt:09/05/2017] , Billno-KNR005042017100025",1,22380,0,0,22380
KNR00-504-AC TO DC KINNAUR,31-2053-00-796-01-S00N-V-N-06-MEDICAL REIMBURSEMENT,"[TRVch# 38 Dt:09/05/2017] , Billno-KNR005042017100023",1,18737,0,0,18737
KNR00-504-AC TO DC KINNAUR,31-2053-00-796-01-S00N-V-N-06-MEDICAL REIMBURSEMENT,"[TRVch# 51 Dt:23/05/2017] , Billno-KNR005042017100041",1,18739,0,0,18739
KNR00-504-AC TO DC KINNAUR,"31-2053-00-796-01-S00N-V-N-30-MOTOR VEHICLES OS,POL,REPAIR","[TRVch# 55 Dt:26/05/2017] , Billno-KNR005042017100044",1,47054,0,0,47054
KNR00-504-AC TO DC KINNAUR,31-2053-00-796-02-S00N-V-N-01-SALARIES,"[TRVch# 9 Dt:01/05/2017] , Billno-KNR00504042017-010",1,36355,0,718,35637
KNR00-504-AC TO DC KINNAUR,31-2506-00-796-01-S00N-V-N-01-SALARIES,"[TRVch# 1 Dt:01/05/2017] , Billno-KNR00504042017-011",1,85784,19000,3539,63245
KNR00-504-AC TO DC KINNAUR,31-2506-00-796-01-S00N-V-N-01-SALARIES,"[TRVch# 2 Dt:01/05/2017] , Billno-KNR00504042017-012",1,21970,0,2032,19938
KNR00-504-AC TO DC KINNAUR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 49 Dt:20/06/2017] , Billno-KNR005042017100051",1,110000,0,0,110000
KNR00-504-AC TO DC KINNAUR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 50 Dt:20/06/2017] , Billno-KNR005042017100062",1,350000,0,0,350000
KNR00-504-AC TO DC KINNAUR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 78 Dt:23/06/2017] , Billno-KNR005042017000006",1,779378,0,0,779378
KNR00-504-AC TO DC KINNAUR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 86 Dt:27/06/2017] , Billno-KNR005042017100066",1,300000,0,0,300000
KNR00-504-AC TO DC KINNAUR,05-2029-00-103-02-S00N-V-N-01-SALARIES,"[TRVch# 1 Dt:01/06/2017] , Billno-KNR00504052017-001",1,83755,22000,6699,55056
KNR00-504-AC TO DC KINNAUR,29-2071-01-115-01-S00N-V-N-38-PENSIONS,"[TRVch# 33 Dt:27/06/2017] , Billno-KNR005042017100073",1,168283,0,0,168283
