DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
KNR00-528-CO. HOME GAURD 1ST BN. RECKONG PEO,Total, ,368,50002193,3706882,851529,45443782
KNR00-528-CO. HOME GAURD 1ST BN. RECKONG PEO,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 33 Dt:10/04/2017] , Billno-KNR005282017100001",1,50000,0,0,50000
KNR00-528-CO. HOME GAURD 1ST BN. RECKONG PEO,31-2070-00-796-01-S00N-V-N-01-SALARIES,"[TRVch# 1 Dt:03/04/2017] , Billno-KNR00528032017-001",1,250118,61437,3352,185329
KNR00-528-CO. HOME GAURD 1ST BN. RECKONG PEO,31-2070-00-796-01-S00N-V-N-01-SALARIES,"[TRVch# 2 Dt:03/04/2017] , Billno-KNR00528032017-002",1,150666,0,10971,139695
KNR00-528-CO. HOME GAURD 1ST BN. RECKONG PEO,31-2070-00-796-01-S00N-V-N-01-SALARIES,"[TRVch# 3 Dt:03/04/2017] , Billno-KNR00528032017-003",1,35679,0,3256,32423
KNR00-528-CO. HOME GAURD 1ST BN. RECKONG PEO,31-2070-00-796-03-S75N-V-N-01-SALARIES,"[TRVch# 4 Dt:03/04/2017] , Billno-KNR00528032017-004",1,347743,162000,14675,171068
KNR00-528-CO. HOME GAURD 1ST BN. RECKONG PEO,31-2070-00-796-03-S75N-V-N-01-SALARIES,"[TRVch# 5 Dt:03/04/2017] , Billno-KNR00528032017-005",1,64247,0,7540,56707
KNR00-528-CO. HOME GAURD 1ST BN. RECKONG PEO,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 15 Dt:05/05/2017] , Billno-KNR005282017100010",1,200000,0,0,200000
KNR00-528-CO. HOME GAURD 1ST BN. RECKONG PEO,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 16 Dt:05/05/2017] , Billno-KNR005282017100011",1,200000,0,0,200000
KNR00-528-CO. HOME GAURD 1ST BN. RECKONG PEO,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 17 Dt:05/05/2017] , Billno-KNR005282017100012",1,400000,0,0,400000
KNR00-528-CO. HOME GAURD 1ST BN. RECKONG PEO,19-2235-60-800-21-S00N-V-N-06-MEDICAL REIMBURSEMENT,"[TRVch# 41 Dt:29/05/2017] , Billno-KNR005282017100037",1,15192,0,0,15192
KNR00-528-CO. HOME GAURD 1ST BN. RECKONG PEO,29-2071-01-104-02-S00N-V-N-38-PENSIONS,"[TRVch# 7 Dt:03/05/2017] , Billno-KNR005282017100014",1,847193,103100,0,744093
KNR00-528-CO. HOME GAURD 1ST BN. RECKONG PEO,29-2071-01-115-01-S00N-V-N-38-PENSIONS,"[TRVch# 6 Dt:03/05/2017] , Billno-KNR005282017100013",1,456628,0,0,456628
KNR00-528-CO. HOME GAURD 1ST BN. RECKONG PEO,31-2070-00-796-01-S00N-V-N-01-SALARIES,"[TRVch# 1 Dt:01/05/2017] , Billno-KNR00528042017-001",1,197115,60000,3322,133793
KNR00-528-CO. HOME GAURD 1ST BN. RECKONG PEO,31-2070-00-796-01-S00N-V-N-01-SALARIES,"[TRVch# 10 Dt:05/05/2017] , Billno-KNR005282017100003",1,21986,0,1976,20010
KNR00-528-CO. HOME GAURD 1ST BN. RECKONG PEO,31-2070-00-796-01-S00N-V-N-01-SALARIES,"[TRVch# 12 Dt:09/05/2017] , Billno-KNR005282017100026",1,5100,0,0,5100
KNR00-528-CO. HOME GAURD 1ST BN. RECKONG PEO,31-2070-00-796-01-S00N-V-N-01-SALARIES,"[TRVch# 15 Dt:09/05/2017] , Billno-KNR005282017100022",1,7500,0,0,7500
KNR00-528-CO. HOME GAURD 1ST BN. RECKONG PEO,31-2070-00-796-01-S00N-V-N-01-SALARIES,"[TRVch# 18 Dt:09/05/2017] , Billno-KNR005282017100007",1,10628,0,1053,9575
KNR00-528-CO. HOME GAURD 1ST BN. RECKONG PEO,31-2070-00-796-01-S00N-V-N-01-SALARIES,"[TRVch# 19 Dt:09/05/2017] , Billno-KNR005282017100006",1,21877,15712,0,6165
KNR00-528-CO. HOME GAURD 1ST BN. RECKONG PEO,31-2070-00-796-01-S00N-V-N-01-SALARIES,"[TRVch# 2 Dt:01/05/2017] , Billno-KNR00528042017-002",1,155174,0,11117,144057
KNR00-528-CO. HOME GAURD 1ST BN. RECKONG PEO,31-2070-00-796-01-S00N-V-N-01-SALARIES,"[TRVch# 26 Dt:22/05/2017] , Billno-KNR005282017100029",1,1500,0,0,1500
KNR00-528-CO. HOME GAURD 1ST BN. RECKONG PEO,31-2070-00-796-01-S00N-V-N-01-SALARIES,"[TRVch# 3 Dt:01/05/2017] , Billno-KNR00528042017-003",1,36299,0,3298,33001
KNR00-528-CO. HOME GAURD 1ST BN. RECKONG PEO,31-2070-00-796-01-S00N-V-N-01-SALARIES,"[TRVch# 31 Dt:29/05/2017] , Billno-KNR005282017100038",1,29136,0,0,29136
KNR00-528-CO. HOME GAURD 1ST BN. RECKONG PEO,31-2070-00-796-01-S00N-V-N-01-SALARIES,"[TRVch# 9 Dt:05/05/2017] , Billno-KNR005282017100002",1,17436,0,558,16878
KNR00-528-CO. HOME GAURD 1ST BN. RECKONG PEO,31-2070-00-796-01-S00N-V-N-02-WAGES,"[TRVch# 13 Dt:09/05/2017] , Billno-KNR005282017100025",1,17952,0,0,17952
KNR00-528-CO. HOME GAURD 1ST BN. RECKONG PEO,31-2070-00-796-01-S00N-V-N-02-WAGES,"[TRVch# 6 Dt:04/05/2017] , Billno-KNR005282017100018",1,111996,0,0,111996
KNR00-528-CO. HOME GAURD 1ST BN. RECKONG PEO,31-2070-00-796-01-S00N-V-N-03-TRAVEL EXPENSES,"[TRVch# 29 Dt:29/05/2017] , Billno-KNR005282017100035",1,4963,0,0,4963
KNR00-528-CO. HOME GAURD 1ST BN. RECKONG PEO,31-2070-00-796-01-S00N-V-N-05-OFFICE EXPENSES,"[TRVch# 24 Dt:22/05/2017] , Billno-KNR005282017100031",1,868,0,0,868
KNR00-528-CO. HOME GAURD 1ST BN. RECKONG PEO,"31-2070-00-796-01-S00N-V-N-30-MOTOR VEHICLES OS,POL,REPAIR","[TRVch# 25 Dt:22/05/2017] , Billno-KNR005282017100030",1,19966,0,0,19966
KNR00-528-CO. HOME GAURD 1ST BN. RECKONG PEO,31-2070-00-796-01-S00N-V-N-33-MATERIAL AND SUPPLY,"[TRVch# 32 Dt:29/05/2017] , Billno-KNR005282017100032",1,400,0,0,400
KNR00-528-CO. HOME GAURD 1ST BN. RECKONG PEO,31-2070-00-796-03-S75N-V-N-01-SALARIES,"[TRVch# 16 Dt:09/05/2017] , Billno-KNR005282017100020",1,2700,0,0,2700
KNR00-528-CO. HOME GAURD 1ST BN. RECKONG PEO,31-2070-00-796-03-S75N-V-N-01-SALARIES,"[TRVch# 17 Dt:09/05/2017] , Billno-KNR005282017100019",1,12000,0,0,12000
KNR00-528-CO. HOME GAURD 1ST BN. RECKONG PEO,31-2070-00-796-03-S75N-V-N-01-SALARIES,"[TRVch# 20 Dt:09/05/2017] , Billno-KNR005282017100005",1,3278,0,256,3022
KNR00-528-CO. HOME GAURD 1ST BN. RECKONG PEO,31-2070-00-796-03-S75N-V-N-01-SALARIES,"[TRVch# 21 Dt:09/05/2017] , Billno-KNR005282017100004",1,38758,38758,0,0
KNR00-528-CO. HOME GAURD 1ST BN. RECKONG PEO,31-2070-00-796-03-S75N-V-N-01-SALARIES,"[TRVch# 4 Dt:01/05/2017] , Billno-KNR00528042017-004",1,353163,160000,14675,178488
KNR00-528-CO. HOME GAURD 1ST BN. RECKONG PEO,31-2070-00-796-03-S75N-V-N-01-SALARIES,"[TRVch# 5 Dt:01/05/2017] , Billno-KNR00528042017-005",1,66936,0,7583,59353
KNR00-528-CO. HOME GAURD 1ST BN. RECKONG PEO,31-2070-00-796-03-S75N-V-N-02-WAGES,"[TRVch# 14 Dt:09/05/2017] , Billno-KNR005282017100023",1,123872,0,0,123872
KNR00-528-CO. HOME GAURD 1ST BN. RECKONG PEO,31-2070-00-796-03-S75N-V-N-02-WAGES,"[TRVch# 22 Dt:12/05/2017] , Billno-KNR005282017100027",1,807562,0,0,807562
KNR00-528-CO. HOME GAURD 1ST BN. RECKONG PEO,31-2070-00-796-03-S75N-V-N-02-WAGES,"[TRVch# 23 Dt:17/05/2017] , Billno-KNR005282017100028",1,34296,0,0,34296
KNR00-528-CO. HOME GAURD 1ST BN. RECKONG PEO,31-2070-00-796-03-S75N-V-N-02-WAGES,"[TRVch# 7 Dt:04/05/2017] , Billno-KNR005282017100017",1,871458,0,0,871458
KNR00-528-CO. HOME GAURD 1ST BN. RECKONG PEO,31-2070-00-796-03-S75N-V-N-02-WAGES,"[TRVch# 8 Dt:04/05/2017] , Billno-KNR005282017100016",1,245056,0,0,245056
KNR00-528-CO. HOME GAURD 1ST BN. RECKONG PEO,31-2070-00-796-03-S75N-V-N-05-OFFICE EXPENSES,"[TRVch# 11 Dt:05/05/2017] , Billno-KNR005282017100015",1,5882,0,0,5882
KNR00-528-CO. HOME GAURD 1ST BN. RECKONG PEO,31-2070-00-796-03-S75N-V-N-05-OFFICE EXPENSES,"[TRVch# 27 Dt:22/05/2017] , Billno-KNR005282017100033",1,4516,0,0,4516
KNR00-528-CO. HOME GAURD 1ST BN. RECKONG PEO,31-2070-00-796-03-S75N-V-N-06-MEDICAL REIMBURSEMENT,"[TRVch# 30 Dt:29/05/2017] , Billno-KNR005282017100036",1,7015,0,0,7015
KNR00-528-CO. HOME GAURD 1ST BN. RECKONG PEO,31-2070-00-796-03-S75N-V-N-33-MATERIAL AND SUPPLY,"[TRVch# 28 Dt:22/05/2017] , Billno-KNR005282017100034",1,1316,0,0,1316
KNR00-528-CO. HOME GAURD 1ST BN. RECKONG PEO,00-8011-00-107-02-S00N-V-N-00- ,"[TRVch# 2 Dt:07/06/2017] , Billno-KNR005282017100042",1,21654,0,0,21654
KNR00-528-CO. HOME GAURD 1ST BN. RECKONG PEO,31-2070-00-796-01-S00N-V-N-01-SALARIES,"[TRVch# 1 Dt:01/06/2017] , Billno-KNR00528052017-001",1,198309,60000,3322,134987
KNR00-528-CO. HOME GAURD 1ST BN. RECKONG PEO,31-2070-00-796-01-S00N-V-N-01-SALARIES,"[TRVch# 2 Dt:01/06/2017] , Billno-KNR00528052017-002",1,155174,0,12163,143011
KNR00-528-CO. HOME GAURD 1ST BN. RECKONG PEO,31-2070-00-796-01-S00N-V-N-01-SALARIES,"[TRVch# 3 Dt:01/06/2017] , Billno-KNR00528052017-003",1,36299,0,3298,33001
KNR00-528-CO. HOME GAURD 1ST BN. RECKONG PEO,31-2070-00-796-01-S00N-V-N-01-SALARIES,"[TRVch# 9 Dt:06/06/2017] , Billno-KNR005282017100047",1,29136,0,0,29136
KNR00-528-CO. HOME GAURD 1ST BN. RECKONG PEO,31-2070-00-796-01-S00N-V-N-02-WAGES,"[TRVch# 6 Dt:02/06/2017] , Billno-KNR005282017100044",1,69922,0,0,69922
KNR00-528-CO. HOME GAURD 1ST BN. RECKONG PEO,31-2070-00-796-01-S00N-V-N-05-OFFICE EXPENSES,"[TRVch# 11 Dt:22/06/2017] , Billno-KNR005282017100049",1,6813,0,0,6813
KNR00-528-CO. HOME GAURD 1ST BN. RECKONG PEO,31-2070-00-796-01-S00N-V-N-06-MEDICAL REIMBURSEMENT,"[TRVch# 18 Dt:27/06/2017] , Billno-KNR005282017100055",1,6670,0,0,6670
KNR00-528-CO. HOME GAURD 1ST BN. RECKONG PEO,"31-2070-00-796-01-S00N-V-N-30-MOTOR VEHICLES OS,POL,REPAIR","[TRVch# 16 Dt:27/06/2017] , Billno-KNR005282017100050",1,33630,0,0,33630
KNR00-528-CO. HOME GAURD 1ST BN. RECKONG PEO,31-2070-00-796-01-S00N-V-N-33-MATERIAL AND SUPPLY,"[TRVch# 15 Dt:27/06/2017] , Billno-KNR005282017100048",1,2200,0,0,2200
KNR00-528-CO. HOME GAURD 1ST BN. RECKONG PEO,31-2070-00-796-03-C25N-V-N-02-WAGES,"[TRVch# 8 Dt:06/06/2017] , Billno-KNR005282017100046",1,795136,0,0,795136
KNR00-528-CO. HOME GAURD 1ST BN. RECKONG PEO,31-2070-00-796-03-S75N-V-N-01-SALARIES,"[TRVch# 4 Dt:01/06/2017] , Billno-KNR00528052017-004",1,353313,160000,16083,177230
KNR00-528-CO. HOME GAURD 1ST BN. RECKONG PEO,31-2070-00-796-03-S75N-V-N-01-SALARIES,"[TRVch# 5 Dt:01/06/2017] , Billno-KNR00528052017-005",1,66936,0,7583,59353
KNR00-528-CO. HOME GAURD 1ST BN. RECKONG PEO,31-2070-00-796-03-S75N-V-N-02-WAGES,"[TRVch# 7 Dt:02/06/2017] , Billno-KNR005282017100043",1,992827,0,0,992827
KNR00-528-CO. HOME GAURD 1ST BN. RECKONG PEO,31-2070-00-796-03-S75N-V-N-05-OFFICE EXPENSES,"[TRVch# 10 Dt:06/06/2017] , Billno-KNR005282017100041",1,3707,0,0,3707
KNR00-528-CO. HOME GAURD 1ST BN. RECKONG PEO,31-2070-00-796-03-S75N-V-N-05-OFFICE EXPENSES,"[TRVch# 14 Dt:22/06/2017] , Billno-KNR005282017100053",1,14510,0,0,14510
KNR00-528-CO. HOME GAURD 1ST BN. RECKONG PEO,"31-2070-00-796-03-S75N-V-N-07-RENT, RATES AND TAXES","[TRVch# 12 Dt:22/06/2017] , Billno-KNR005282017100051",1,13020,0,0,13020
KNR00-528-CO. HOME GAURD 1ST BN. RECKONG PEO,"31-2070-00-796-03-S75N-V-N-30-MOTOR VEHICLES OS,POL,REPAIR","[TRVch# 13 Dt:22/06/2017] , Billno-KNR005282017100052",1,2537,0,0,2537
KNR00-528-CO. HOME GAURD 1ST BN. RECKONG PEO,"31-2070-00-796-03-S75N-V-N-30-MOTOR VEHICLES OS,POL,REPAIR","[TRVch# 19 Dt:27/06/2017] , Billno-KNR005282017100056",1,5358,0,0,5358
KNR00-528-CO. HOME GAURD 1ST BN. RECKONG PEO,31-2070-00-796-03-S75N-V-N-33-MATERIAL AND SUPPLY,"[TRVch# 17 Dt:27/06/2017] , Billno-KNR005282017100054",1,2469,0,0,2469
KNR00-528-CO. HOME GAURD 1ST BN. RECKONG PEO,19-2235-60-800-21-S00N-V-N-06-MEDICAL REIMBURSEMENT,"[TRVch# 30 Dt:20/07/2017] , Billno-KNR005282017100065",1,14959,0,0,14959
KNR00-528-CO. HOME GAURD 1ST BN. RECKONG PEO,29-2071-01-104-02-S00N-V-N-38-PENSIONS,"[TRVch# 55 Dt:28/07/2017] , Billno-KNR005282017100070",1,584678,0,0,584678
KNR00-528-CO. HOME GAURD 1ST BN. RECKONG PEO,29-2071-01-115-01-S00N-V-N-38-PENSIONS,"[TRVch# 49 Dt:26/07/2017] , Billno-KNR005282017100069",1,359030,0,0,359030
KNR00-528-CO. HOME GAURD 1ST BN. RECKONG PEO,31-2070-00-796-01-S00N-V-N-01-SALARIES,"[TRVch# 1 Dt:01/07/2017] , Billno-KNR00528062017-001",1,198309,40000,3322,154987
KNR00-528-CO. HOME GAURD 1ST BN. RECKONG PEO,31-2070-00-796-01-S00N-V-N-01-SALARIES,"[TRVch# 2 Dt:01/07/2017] , Billno-KNR00528062017-002",1,181566,0,12163,169403
KNR00-528-CO. HOME GAURD 1ST BN. RECKONG PEO,31-2070-00-796-01-S00N-V-N-01-SALARIES,"[TRVch# 3 Dt:01/07/2017] , Billno-KNR00528062017-003",1,36299,0,3298,33001
KNR00-528-CO. HOME GAURD 1ST BN. RECKONG PEO,31-2070-00-796-01-S00N-V-N-01-SALARIES,"[TRVch# 8 Dt:05/07/2017] , Billno-KNR005282017100060",1,29136,0,0,29136
KNR00-528-CO. HOME GAURD 1ST BN. RECKONG PEO,31-2070-00-796-01-S00N-V-N-02-WAGES,"[TRVch# 6 Dt:04/07/2017] , Billno-KNR005282017100058",1,79986,0,0,79986
KNR00-528-CO. HOME GAURD 1ST BN. RECKONG PEO,31-2070-00-796-01-S00N-V-N-05-OFFICE EXPENSES,"[TRVch# 11 Dt:20/07/2017] , Billno-KNR005282017100064",1,541,0,0,541
KNR00-528-CO. HOME GAURD 1ST BN. RECKONG PEO,31-2070-00-796-03-S75N-V-N-01-SALARIES,"[TRVch# 10 Dt:05/07/2017] , Billno-KNR005282017100061",1,10857,0,0,10857
