DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
KNR01-003-C.D.P.O. POOH,Total, ,208,14451615,995033,477669,12978913
KNR01-003-C.D.P.O. POOH,31-2235-02-796-03-C90N-V-P-01-SALARIES,"[TRVch# 6 Dt:10/04/2017] , Billno-KNR01003032017-001",1,67915,30000,5290,32625
KNR01-003-C.D.P.O. POOH,31-2235-02-796-03-C90N-V-P-01-SALARIES,"[TRVch# 7 Dt:10/04/2017] , Billno-KNR01003032017-002",1,36092,12000,562,23530
KNR01-003-C.D.P.O. POOH,31-2235-02-796-03-C90N-V-P-01-SALARIES,"[TRVch# 8 Dt:10/04/2017] , Billno-KNR01003032017-003",1,170833,0,20618,150215
KNR01-003-C.D.P.O. POOH,19-2235-02-102-11-S00N-V-N-99-HONORARIUM,"[TRVch# 47 Dt:31/05/2017] , Billno-KNR010032017100004",1,52350,0,0,52350
KNR01-003-C.D.P.O. POOH,31-2235-02-796-03-C90N-V-P-01-SALARIES,"[TRVch# 12 Dt:08/05/2017] , Billno-KNR01003042017-001",1,68624,30000,5290,33334
KNR01-003-C.D.P.O. POOH,31-2235-02-796-03-C90N-V-P-01-SALARIES,"[TRVch# 13 Dt:08/05/2017] , Billno-KNR01003042017-002",1,36387,16000,562,19825
KNR01-003-C.D.P.O. POOH,31-2235-02-796-03-C90N-V-P-01-SALARIES,"[TRVch# 14 Dt:08/05/2017] , Billno-KNR01003042017-003",1,173733,0,20793,152940
KNR01-003-C.D.P.O. POOH,31-2235-02-796-03-C90N-V-P-02-WAGES,"[TRVch# 44 Dt:31/05/2017] , Billno-KNR010032017100005",1,23625,0,0,23625
KNR01-003-C.D.P.O. POOH,"31-2235-02-796-03-C90N-V-P-07-RENT, RATES AND TAXES","[TRVch# 45 Dt:31/05/2017] , Billno-KNR010032017100001",1,15750,0,0,15750
KNR01-003-C.D.P.O. POOH,31-2235-02-796-03-C90N-V-P-99-HONORARIUM,"[TRVch# 46 Dt:31/05/2017] , Billno-KNR010032017100003",1,314844,0,0,314844
KNR01-003-C.D.P.O. POOH,19-2235-02-102-11-S00N-V-N-99-HONORARIUM,"[TRVch# 20 Dt:08/06/2017] , Billno-KNR010032017100011",1,142800,0,0,142800
KNR01-003-C.D.P.O. POOH,31-2235-02-796-03-C90N-V-P-01-SALARIES,"[TRVch# 12 Dt:08/06/2017] , Billno-KNR01003052017-001",1,68624,30000,5290,33334
KNR01-003-C.D.P.O. POOH,31-2235-02-796-03-C90N-V-P-01-SALARIES,"[TRVch# 13 Dt:08/06/2017] , Billno-KNR01003052017-002",1,36387,16000,562,19825
KNR01-003-C.D.P.O. POOH,31-2235-02-796-03-C90N-V-P-01-SALARIES,"[TRVch# 14 Dt:08/06/2017] , Billno-KNR01003052017-003",1,173733,0,20793,152940
KNR01-003-C.D.P.O. POOH,31-2235-02-796-03-C90N-V-P-01-SALARIES,"[TRVch# 15 Dt:08/06/2017] , Billno-KNR010032017100006",1,7731,7731,0,0
KNR01-003-C.D.P.O. POOH,31-2235-02-796-03-C90N-V-P-01-SALARIES,"[TRVch# 16 Dt:08/06/2017] , Billno-KNR010032017100007",1,3907,3907,0,0
KNR01-003-C.D.P.O. POOH,31-2235-02-796-03-C90N-V-P-01-SALARIES,"[TRVch# 17 Dt:08/06/2017] , Billno-KNR010032017100008",1,15477,0,1544,13933
KNR01-003-C.D.P.O. POOH,31-2235-02-796-03-C90N-V-P-02-WAGES,"[TRVch# 21 Dt:08/06/2017] , Billno-KNR010032017100012",1,24414,0,0,24414
KNR01-003-C.D.P.O. POOH,31-2235-02-796-03-C90N-V-P-03-TRAVEL EXPENSES,"[TRVch# 51 Dt:30/06/2017] , Billno-KNR010032017100016",1,13897,0,0,13897
KNR01-003-C.D.P.O. POOH,31-2235-02-796-03-C90N-V-P-05-OFFICE EXPENSES,"[TRVch# 48 Dt:30/06/2017] , Billno-KNR010032017100013",1,13812,0,0,13812
KNR01-003-C.D.P.O. POOH,31-2235-02-796-03-C90N-V-P-05-OFFICE EXPENSES,"[TRVch# 49 Dt:30/06/2017] , Billno-KNR010032017100014",1,13650,0,0,13650
KNR01-003-C.D.P.O. POOH,"31-2235-02-796-03-C90N-V-P-07-RENT, RATES AND TAXES","[TRVch# 18 Dt:08/06/2017] , Billno-KNR010032017100009",1,15000,0,0,15000
KNR01-003-C.D.P.O. POOH,"31-2235-02-796-03-C90N-V-P-30-MOTOR VEHICLES OS,POL,REPAIR","[TRVch# 50 Dt:30/06/2017] , Billno-KNR010032017100015",1,35800,0,0,35800
KNR01-003-C.D.P.O. POOH,31-2235-02-796-03-C90N-V-P-99-HONORARIUM,"[TRVch# 19 Dt:08/06/2017] , Billno-KNR010032017100010",1,317844,0,0,317844
KNR01-003-C.D.P.O. POOH,19-2235-02-102-11-S00N-V-N-99-HONORARIUM,"[TRVch# 32 Dt:21/07/2017] , Billno-KNR010032017100017",1,142200,0,0,142200
KNR01-003-C.D.P.O. POOH,31-2235-02-796-03-C90N-V-P-01-SALARIES,"[TRVch# 11 Dt:10/07/2017] , Billno-KNR01003062017-001",1,68624,30000,5290,33334
KNR01-003-C.D.P.O. POOH,31-2235-02-796-03-C90N-V-P-01-SALARIES,"[TRVch# 12 Dt:10/07/2017] , Billno-KNR01003062017-002",1,36387,16000,562,19825
KNR01-003-C.D.P.O. POOH,31-2235-02-796-03-C90N-V-P-01-SALARIES,"[TRVch# 13 Dt:10/07/2017] , Billno-KNR01003062017-003",1,175393,0,20793,154600
