DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
KNR01-203-GSSS  LEO,Total, ,162,9179680,1155598,439183,7584899
KNR01-203-GSSS  LEO,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 122 Dt:29/04/2017] , Billno-KNR012032017100001",1,230000,0,0,230000
KNR01-203-GSSS  LEO,31-2202-01-796-10-S00N-V-P-01-SALARIES,"[TRVch# 75 Dt:10/04/2017] , Billno-KNR01203032017-001",1,31820,0,0,31820
KNR01-203-GSSS  LEO,31-2202-02-796-02-S00N-V-N-01-SALARIES,"[TRVch# 278 Dt:29/04/2017] , Billno-KNR012032017100004",1,6000,0,0,6000
KNR01-203-GSSS  LEO,31-2202-02-796-02-S00N-V-N-01-SALARIES,"[TRVch# 76 Dt:10/04/2017] , Billno-KNR01203032017-002",1,170662,0,14407,156255
KNR01-203-GSSS  LEO,31-2202-02-796-03-S00N-V-N-01-SALARIES,"[TRVch# 77 Dt:10/04/2017] , Billno-KNR01203032017-003",1,72243,30000,4560,37683
KNR01-203-GSSS  LEO,31-2202-02-796-03-S00N-V-N-01-SALARIES,"[TRVch# 78 Dt:10/04/2017] , Billno-KNR01203032017-004",1,53709,18000,730,34979
KNR01-203-GSSS  LEO,31-2202-02-796-03-S00N-V-N-01-SALARIES,"[TRVch# 79 Dt:10/04/2017] , Billno-KNR01203032017-005",1,32945,0,5,32940
KNR01-203-GSSS  LEO,31-2202-01-796-10-S00N-V-P-01-SALARIES,"[TRVch# 108 Dt:08/05/2017] , Billno-KNR01203042017-001",1,33420,0,0,33420
KNR01-203-GSSS  LEO,31-2202-02-796-02-S00N-V-N-01-SALARIES,"[TRVch# 109 Dt:08/05/2017] , Billno-KNR01203042017-002",1,174757,0,14599,160158
KNR01-203-GSSS  LEO,31-2202-02-796-03-S00N-V-N-01-SALARIES,"[TRVch# 110 Dt:08/05/2017] , Billno-KNR01203042017-003",1,73302,40000,4560,28742
KNR01-203-GSSS  LEO,31-2202-02-796-03-S00N-V-N-01-SALARIES,"[TRVch# 111 Dt:08/05/2017] , Billno-KNR01203042017-004",1,54529,20000,730,33799
KNR01-203-GSSS  LEO,31-2202-02-796-03-S00N-V-N-01-SALARIES,"[TRVch# 112 Dt:08/05/2017] , Billno-KNR01203042017-005",1,34181,0,5,34176
KNR01-203-GSSS  LEO,31-2202-01-796-10-S00N-V-P-01-SALARIES,"[TRVch# 108 Dt:08/06/2017] , Billno-KNR01203052017-001",1,33420,0,0,33420
KNR01-203-GSSS  LEO,31-2202-02-796-02-S00N-V-N-01-SALARIES,"[TRVch# 109 Dt:08/06/2017] , Billno-KNR01203052017-002",1,191087,0,14604,176483
KNR01-203-GSSS  LEO,31-2202-02-796-03-S00N-V-N-01-SALARIES,"[TRVch# 110 Dt:08/06/2017] , Billno-KNR01203052017-003",1,85989,35000,5120,45869
KNR01-203-GSSS  LEO,31-2202-02-796-03-S00N-V-N-01-SALARIES,"[TRVch# 111 Dt:08/06/2017] , Billno-KNR01203052017-004",1,54529,20000,730,33799
