DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
KNR02-201-GSSS  RAKCHHAM,Total, ,142,8772567,576847,504371,7691349
KNR02-201-GSSS  RAKCHHAM,31-2202-02-796-02-S00N-V-N-01-SALARIES,"[TRVch# 101 Dt:10/04/2017] , Billno-KNR02201032017-001",1,43032,8000,423,34609
KNR02-201-GSSS  RAKCHHAM,31-2202-02-796-02-S00N-V-N-01-SALARIES,"[TRVch# 102 Dt:10/04/2017] , Billno-KNR02201032017-002",1,103312,0,6869,96443
KNR02-201-GSSS  RAKCHHAM,31-2202-02-796-03-S00N-V-N-01-SALARIES,"[TRVch# 103 Dt:10/04/2017] , Billno-KNR02201032017-003",1,52423,0,5298,47125
KNR02-201-GSSS  RAKCHHAM,31-2202-02-796-03-S00N-V-N-01-SALARIES,"[TRVch# 104 Dt:10/04/2017] , Billno-KNR02201032017-004",1,117295,0,19716,97579
KNR02-201-GSSS  RAKCHHAM,31-2202-02-796-10-S00N-V-P-01-SALARIES,"[TRVch# 105 Dt:10/04/2017] , Billno-KNR02201032017-005",1,86414,0,0,86414
KNR02-201-GSSS  RAKCHHAM,31-2202-02-796-02-S00N-V-N-01-SALARIES,"[TRVch# 134 Dt:08/05/2017] , Billno-KNR02201042017-001",1,44101,10000,423,33678
KNR02-201-GSSS  RAKCHHAM,31-2202-02-796-02-S00N-V-N-01-SALARIES,"[TRVch# 135 Dt:08/05/2017] , Billno-KNR02201042017-002",1,107128,0,6916,100212
KNR02-201-GSSS  RAKCHHAM,31-2202-02-796-03-S00N-V-N-01-SALARIES,"[TRVch# 136 Dt:08/05/2017] , Billno-KNR02201042017-003",1,52935,0,6364,46571
KNR02-201-GSSS  RAKCHHAM,31-2202-02-796-03-S00N-V-N-01-SALARIES,"[TRVch# 137 Dt:08/05/2017] , Billno-KNR02201042017-004",1,120020,0,20142,99878
KNR02-201-GSSS  RAKCHHAM,31-2202-02-796-03-S00N-V-N-01-SALARIES,"[TRVch# 138 Dt:08/05/2017] , Billno-KNR02201042017-005",1,91514,0,0,91514
KNR02-201-GSSS  RAKCHHAM,31-2202-01-796-17-S00N-V-P-41-GIA GENERAL (Salary),"[TRVch# 578 Dt:30/06/2017] , Billno-KNR022012017100012",1,23400,0,0,23400
KNR02-201-GSSS  RAKCHHAM,31-2202-02-796-02-S00N-V-N-01-SALARIES,"[TRVch# 148 Dt:08/06/2017] , Billno-KNR02201052017-001",1,44101,10000,423,33678
KNR02-201-GSSS  RAKCHHAM,31-2202-02-796-02-S00N-V-N-01-SALARIES,"[TRVch# 149 Dt:08/06/2017] , Billno-KNR02201052017-002",1,107128,0,6916,100212
KNR02-201-GSSS  RAKCHHAM,31-2202-02-796-02-S00N-V-N-01-SALARIES,"[TRVch# 471 Dt:21/06/2017] , Billno-KNR022012017100005",1,2831,2831,0,0
KNR02-201-GSSS  RAKCHHAM,31-2202-02-796-02-S00N-V-N-01-SALARIES,"[TRVch# 472 Dt:21/06/2017] , Billno-KNR022012017100006",1,3900,0,393,3507
KNR02-201-GSSS  RAKCHHAM,31-2202-02-796-02-S00N-V-N-05-OFFICE EXPENSES,"[TRVch# 579 Dt:30/06/2017] , Billno-KNR022012017100013",1,4685,0,0,4685
KNR02-201-GSSS  RAKCHHAM,31-2202-02-796-03-S00N-V-N-01-SALARIES,"[TRVch# 150 Dt:08/06/2017] , Billno-KNR02201052017-003",1,120020,0,13790,106230
KNR02-201-GSSS  RAKCHHAM,31-2202-02-796-03-S00N-V-N-01-SALARIES,"[TRVch# 151 Dt:08/06/2017] , Billno-KNR02201052017-004",1,91514,0,0,91514
KNR02-201-GSSS  RAKCHHAM,31-2202-02-796-03-S00N-V-N-01-SALARIES,"[TRVch# 473 Dt:21/06/2017] , Billno-KNR022012017100007",1,4011,0,528,3483
KNR02-201-GSSS  RAKCHHAM,31-2202-02-796-03-S00N-V-N-01-SALARIES,"[TRVch# 474 Dt:21/06/2017] , Billno-KNR022012017100008",1,12829,0,1292,11537
KNR02-201-GSSS  RAKCHHAM,31-2202-02-796-03-S00N-V-N-03-TRAVEL EXPENSES,"[TRVch# 477 Dt:21/06/2017] , Billno-KNR022012017100010",1,11294,0,0,11294
KNR02-201-GSSS  RAKCHHAM,31-2202-02-796-03-S00N-V-P-02-WAGES,"[TRVch# 470 Dt:21/06/2017] , Billno-KNR022012017100003",1,3435,0,0,3435
KNR02-201-GSSS  RAKCHHAM,31-2202-02-796-03-S00N-V-P-02-WAGES,"[TRVch# 476 Dt:21/06/2017] , Billno-KNR022012017100002",1,133950,0,0,133950
KNR02-201-GSSS  RAKCHHAM,31-2202-02-796-03-S00N-V-P-64-TRANSFER EXPENSES,"[TRVch# 475 Dt:21/06/2017] , Billno-KNR022012017100011",1,2711,0,0,2711
KNR02-201-GSSS  RAKCHHAM,31-2202-02-796-02-S00N-V-N-01-SALARIES,"[TRVch# 122 Dt:10/07/2017] , Billno-KNR02201062017-003",1,107128,0,6916,100212
KNR02-201-GSSS  RAKCHHAM,31-2202-02-796-02-S00N-V-N-01-SALARIES,"[TRVch# 123 Dt:10/07/2017] , Billno-KNR02201062017-004",1,44101,10000,423,33678
KNR02-201-GSSS  RAKCHHAM,31-2202-02-796-02-S00N-V-N-01-SALARIES,"[TRVch# 395 Dt:21/07/2017] , Billno-KNR022012017100015",1,1248,1248,0,0
KNR02-201-GSSS  RAKCHHAM,31-2202-02-796-02-S00N-V-N-01-SALARIES,"[TRVch# 396 Dt:21/07/2017] , Billno-KNR022012017100017",1,1668,0,0,1668
KNR02-201-GSSS  RAKCHHAM,31-2202-02-796-03-S00N-V-N-01-SALARIES,"[TRVch# 120 Dt:10/07/2017] , Billno-KNR02201062017-001",1,120020,0,13790,106230
