DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
KNR03-203-GSSS GIABONG,Total, ,209,21101969,3314475,754310,17033184
KNR03-203-GSSS GIABONG,31-2202-02-796-02-S00N-V-N-01-SALARIES,"[TRVch# 164 Dt:10/04/2017] , Billno-KNR03203032017-006",1,70335,0,6689,63646
KNR03-203-GSSS GIABONG,31-2202-02-796-02-S00N-V-N-01-SALARIES,"[TRVch# 165 Dt:10/04/2017] , Billno-KNR03203032017-007",1,97177,0,9,97168
KNR03-203-GSSS GIABONG,31-2202-02-796-02-S00N-V-N-01-SALARIES,"[TRVch# 166 Dt:10/04/2017] , Billno-KNR03203032017-008",1,88930,30500,2045,56385
KNR03-203-GSSS GIABONG,31-2202-02-796-02-S00N-V-P-01-SALARIES,"[TRVch# 162 Dt:10/04/2017] , Billno-KNR03203032017-004",1,64681,0,0,64681
KNR03-203-GSSS GIABONG,31-2202-02-796-02-S00N-V-P-01-SALARIES,"[TRVch# 163 Dt:10/04/2017] , Billno-KNR03203032017-005",1,29129,12000,15,17114
KNR03-203-GSSS GIABONG,31-2202-02-796-03-S00N-V-N-01-SALARIES,"[TRVch# 159 Dt:10/04/2017] , Billno-KNR03203032017-001",1,120398,0,10780,109618
KNR03-203-GSSS GIABONG,31-2202-02-796-03-S00N-V-N-01-SALARIES,"[TRVch# 160 Dt:10/04/2017] , Billno-KNR03203032017-002",1,220467,90000,10269,120198
KNR03-203-GSSS GIABONG,31-2202-02-796-03-S00N-V-N-01-SALARIES,"[TRVch# 161 Dt:10/04/2017] , Billno-KNR03203032017-003",1,81755,30000,7226,44529
KNR03-203-GSSS GIABONG,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 160 Dt:31/05/2017] , Billno-KNR032032017100003",1,500000,0,0,500000
KNR03-203-GSSS GIABONG,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 31 Dt:08/05/2017] , Billno-KNR032032017100001",1,200000,0,0,200000
KNR03-203-GSSS GIABONG,31-2202-01-796-10-S00N-V-P-01-SALARIES,"[TRVch# 205 Dt:08/05/2017] , Billno-KNR03203042017-007",1,100984,0,0,100984
KNR03-203-GSSS GIABONG,31-2202-02-796-02-S00N-V-N-01-SALARIES,"[TRVch# 202 Dt:08/05/2017] , Billno-KNR03203042017-004",1,71211,0,6776,64435
KNR03-203-GSSS GIABONG,31-2202-02-796-02-S00N-V-N-01-SALARIES,"[TRVch# 203 Dt:08/05/2017] , Billno-KNR03203042017-005",1,50835,0,9,50826
KNR03-203-GSSS GIABONG,31-2202-02-796-02-S00N-V-N-01-SALARIES,"[TRVch# 204 Dt:08/05/2017] , Billno-KNR03203042017-006",1,119518,42500,2060,74958
KNR03-203-GSSS GIABONG,31-2202-02-796-03-S00N-V-N-01-SALARIES,"[TRVch# 199 Dt:08/05/2017] , Billno-KNR03203042017-001",1,122727,0,10908,111819
KNR03-203-GSSS GIABONG,31-2202-02-796-03-S00N-V-N-01-SALARIES,"[TRVch# 200 Dt:08/05/2017] , Billno-KNR03203042017-002",1,224154,90000,10269,123885
KNR03-203-GSSS GIABONG,31-2202-02-796-03-S00N-V-N-01-SALARIES,"[TRVch# 201 Dt:08/05/2017] , Billno-KNR03203042017-003",1,82795,30000,7226,45569
KNR03-203-GSSS GIABONG,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 59 Dt:21/06/2017] , Billno-KNR032032017100004",1,700000,0,0,700000
KNR03-203-GSSS GIABONG,31-2202-01-796-10-S00N-V-P-01-SALARIES,"[TRVch# 236 Dt:08/06/2017] , Billno-KNR03203052017-001",1,100984,0,0,100984
KNR03-203-GSSS GIABONG,31-2202-02-796-02-S00N-V-N-01-SALARIES,"[TRVch# 237 Dt:08/06/2017] , Billno-KNR03203052017-002",1,119968,42500,2060,75408
KNR03-203-GSSS GIABONG,31-2202-02-796-02-S00N-V-N-01-SALARIES,"[TRVch# 238 Dt:08/06/2017] , Billno-KNR03203052017-003",1,71511,0,6776,64735
KNR03-203-GSSS GIABONG,31-2202-02-796-02-S00N-V-N-01-SALARIES,"[TRVch# 239 Dt:08/06/2017] , Billno-KNR03203052017-004",1,51972,0,9,51963
KNR03-203-GSSS GIABONG,31-2202-02-796-02-S00N-V-N-01-SALARIES,"[TRVch# 498 Dt:21/06/2017] , Billno-KNR032032017100005",1,12923,12923,0,0
KNR03-203-GSSS GIABONG,31-2202-02-796-02-S00N-V-N-01-SALARIES,"[TRVch# 499 Dt:21/06/2017] , Billno-KNR032032017100006",1,3753,0,0,3753
KNR03-203-GSSS GIABONG,31-2202-02-796-02-S00N-V-N-01-SALARIES,"[TRVch# 502 Dt:21/06/2017] , Billno-KNR032032017100007",1,7806,0,786,7020
KNR03-203-GSSS GIABONG,31-2202-02-796-02-S00N-V-N-01-SALARIES,"[TRVch# 596 Dt:30/06/2017] , Billno-KNR032032017100013",1,4500,0,0,4500
