DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
KNR04-214-HM GHS CHAURA,Total, ,123,8036280,1447175,282255,6306850
KNR04-214-HM GHS CHAURA,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 150 Dt:29/04/2017] , Billno-KNR042142017100002",1,800000,0,0,800000
KNR04-214-HM GHS CHAURA,31-2202-02-796-02-S00N-V-N-01-SALARIES,"[TRVch# 270 Dt:10/04/2017] , Billno-KNR04214032017-001",1,83497,0,1688,81809
KNR04-214-HM GHS CHAURA,31-2202-02-796-03-S00N-V-N-01-SALARIES,"[TRVch# 271 Dt:10/04/2017] , Billno-KNR04214032017-002",1,62281,10000,3552,48729
KNR04-214-HM GHS CHAURA,31-2202-02-796-03-S00N-V-N-01-SALARIES,"[TRVch# 272 Dt:10/04/2017] , Billno-KNR04214032017-003",1,62083,42000,30,20053
KNR04-214-HM GHS CHAURA,31-2202-02-796-03-S00N-V-N-01-SALARIES,"[TRVch# 273 Dt:10/04/2017] , Billno-KNR04214032017-004",1,36119,0,3406,32713
KNR04-214-HM GHS CHAURA,31-2202-02-796-02-S00N-V-N-01-SALARIES,"[TRVch# 312 Dt:08/05/2017] , Billno-KNR04214042017-001",1,87268,0,1710,85558
KNR04-214-HM GHS CHAURA,31-2202-02-796-03-S00N-V-N-01-SALARIES,"[TRVch# 313 Dt:08/05/2017] , Billno-KNR04214042017-002",1,63217,10000,5052,48165
KNR04-214-HM GHS CHAURA,31-2202-02-796-03-S00N-V-N-01-SALARIES,"[TRVch# 314 Dt:08/05/2017] , Billno-KNR04214042017-003",1,63014,42000,230,20784
KNR04-214-HM GHS CHAURA,31-2202-02-796-03-S00N-V-N-01-SALARIES,"[TRVch# 315 Dt:08/05/2017] , Billno-KNR04214042017-004",1,36715,0,3450,33265
