DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
KNR04-500-TREASURY OFFICER NICHAR,Total, ,137,42140,0,42140,0
KNR04-500-TREASURY OFFICER NICHAR,05-2030-01-101-01-S00N-V-N-20-OTHER CHARGES,"[TRVch# 18 Dt:29/04/2017] , Billno-KNR045001742030005",1,40,0,40,0
KNR04-500-TREASURY OFFICER NICHAR,05-2030-01-101-01-S00N-V-N-20-OTHER CHARGES,"[TRVch# 19 Dt:29/04/2017] , Billno-KNR045001742030006",1,100,0,100,0
KNR04-500-TREASURY OFFICER NICHAR,05-2030-02-102-01-S00N-V-N-20-OTHER CHARGES,"[TRVch# 14 Dt:29/04/2017] , Billno-KNR045001742030001",1,200,0,200,0
KNR04-500-TREASURY OFFICER NICHAR,05-2030-02-102-01-S00N-V-N-20-OTHER CHARGES,"[TRVch# 15 Dt:29/04/2017] , Billno-KNR045001742030002",1,80,0,80,0
KNR04-500-TREASURY OFFICER NICHAR,05-2030-02-102-01-S00N-V-N-20-OTHER CHARGES,"[TRVch# 16 Dt:29/04/2017] , Billno-KNR045001742030003",1,200,0,200,0
KNR04-500-TREASURY OFFICER NICHAR,05-2030-02-102-01-S00N-V-N-20-OTHER CHARGES,"[TRVch# 17 Dt:29/04/2017] , Billno-KNR045001742030004",1,200,0,200,0
KNR04-500-TREASURY OFFICER NICHAR,05-2030-02-102-01-S00N-V-N-20-OTHER CHARGES,"[TRVch# 20 Dt:29/04/2017] , Billno-KNR045001742030007",1,160,0,160,0
KNR04-500-TREASURY OFFICER NICHAR,05-2030-01-101-01-S00N-V-N-20-OTHER CHARGES,"[TRVch# 17 Dt:31/05/2017] , Billno-KNR045001752030002",1,40,0,40,0
KNR04-500-TREASURY OFFICER NICHAR,05-2030-01-101-01-S00N-V-N-20-OTHER CHARGES,"[TRVch# 20 Dt:31/05/2017] , Billno-KNR045001752030005",1,100,0,100,0
KNR04-500-TREASURY OFFICER NICHAR,05-2030-02-102-01-S00N-V-N-20-OTHER CHARGES,"[TRVch# 18 Dt:31/05/2017] , Billno-KNR045001752030003",1,200,0,200,0
KNR04-500-TREASURY OFFICER NICHAR,05-2030-02-102-01-S00N-V-N-20-OTHER CHARGES,"[TRVch# 19 Dt:31/05/2017] , Billno-KNR045001752030004",1,1600,0,1600,0
KNR04-500-TREASURY OFFICER NICHAR,05-2030-02-102-01-S00N-V-N-20-OTHER CHARGES,"[TRVch# 21 Dt:31/05/2017] , Billno-KNR045001752030006",1,600,0,600,0
KNR04-500-TREASURY OFFICER NICHAR,05-2030-02-102-01-S00N-V-N-20-OTHER CHARGES,"[TRVch# 22 Dt:31/05/2017] , Billno-KNR045001752030007",1,200,0,200,0
KNR04-500-TREASURY OFFICER NICHAR,05-2030-02-102-01-S00N-V-N-20-OTHER CHARGES,"[TRVch# 23 Dt:31/05/2017] , Billno-KNR045001752030008",1,1600,0,1600,0
KNR04-500-TREASURY OFFICER NICHAR,05-2030-02-102-01-S00N-V-N-20-OTHER CHARGES,"[TRVch# 6 Dt:08/05/2017] , Billno-KNR045001752030001",1,400,0,400,0
KNR04-500-TREASURY OFFICER NICHAR,05-2030-01-101-01-S00N-V-N-20-OTHER CHARGES,"[TRVch# 31 Dt:30/06/2017] , Billno-KNR045001762030010",1,40,0,40,0
KNR04-500-TREASURY OFFICER NICHAR,05-2030-01-101-01-S00N-V-N-20-OTHER CHARGES,"[TRVch# 8 Dt:08/06/2017] , Billno-KNR045001762030002",1,40,0,40,0
