DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
KZA00-653-E. E PWD DIVISION SPITI KAZA,Total, ,674,443257166,21100256,19925900,402231010
KZA00-653-E. E PWD DIVISION SPITI KAZA,31-2059-80-796-01-S00N-V-N-01-SALARIES,"[TRVch# 1 Dt:03/04/2017] , Billno-KZA00653032017-001",1,114711,65000,40529,9182
KZA00-653-E. E PWD DIVISION SPITI KAZA,31-2059-80-796-02-S00N-V-N-01-SALARIES,"[TRVch# 2 Dt:03/04/2017] , Billno-KZA00653032017-002",1,67566,0,4537,63029
KZA00-653-E. E PWD DIVISION SPITI KAZA,31-2059-80-796-02-S00N-V-N-01-SALARIES,"[TRVch# 3 Dt:03/04/2017] , Billno-KZA00653032017-003",1,261361,2000,21626,237735
KZA00-653-E. E PWD DIVISION SPITI KAZA,31-2059-80-796-02-S00N-V-N-01-SALARIES,"[TRVch# 4 Dt:03/04/2017] , Billno-KZA00653032017-004",1,240288,42000,120,198168
KZA00-653-E. E PWD DIVISION SPITI KAZA,31-3054-04-796-01-S00N-V-N-01-SALARIES,"[TRVch# 1 Dt:03/04/2017] , Billno-KZA00653032017-005",1,140374,65400,23144,51830
KZA00-653-E. E PWD DIVISION SPITI KAZA,31-3054-04-796-01-S00N-V-N-01-SALARIES,"[TRVch# 2 Dt:03/04/2017] , Billno-KZA00653032017-006",1,1078063,245748,58789,773526
KZA00-653-E. E PWD DIVISION SPITI KAZA,31-3054-04-796-01-S00N-V-N-01-SALARIES,"[TRVch# 3 Dt:03/04/2017] , Billno-KZA00653032017-007",1,202040,0,32885,169155
KZA00-653-E. E PWD DIVISION SPITI KAZA,31-3054-04-796-01-S00N-V-N-01-SALARIES,"[TRVch# 4 Dt:03/04/2017] , Billno-KZA00653032017-008",1,94772,0,684,94088
KZA00-653-E. E PWD DIVISION SPITI KAZA,31-3054-04-796-02-S00N-V-N-01-SALARIES,"[TRVch# 10 Dt:03/04/2017] , Billno-KZA00653032017-014",1,636586,0,57959,578627
KZA00-653-E. E PWD DIVISION SPITI KAZA,31-3054-04-796-02-S00N-V-N-01-SALARIES,"[TRVch# 11 Dt:03/04/2017] , Billno-KZA00653032017-015",1,9760,0,0,9760
