DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
LHL00-002-PROJECT OFFICER ITDP KEYLONG,Total, ,148,25973106,1025114,228087,24719905
LHL00-002-PROJECT OFFICER ITDP KEYLONG,31-2053-00-796-03-S00N-V-N-01-SALARIES,"[TRVch# 1 Dt:03/04/2017] , Billno-LHL00002032017-001",1,35402,25000,883,9519
LHL00-002-PROJECT OFFICER ITDP KEYLONG,31-2053-00-796-03-S00N-V-N-01-SALARIES,"[TRVch# 2 Dt:03/04/2017] , Billno-LHL00002032017-002",1,160528,44000,1864,114664
LHL00-002-PROJECT OFFICER ITDP KEYLONG,31-2053-00-796-03-S00N-V-N-01-SALARIES,"[TRVch# 3 Dt:03/04/2017] , Billno-LHL00002032017-003",1,43071,0,2969,40102
LHL00-002-PROJECT OFFICER ITDP KEYLONG,31-2053-00-796-03-S00N-V-N-01-SALARIES,"[TRVch# 10 Dt:05/05/2017] , Billno-LHL000022017100003",1,115000,0,0,115000
LHL00-002-PROJECT OFFICER ITDP KEYLONG,31-2053-00-796-03-S00N-V-N-01-SALARIES,"[TRVch# 11 Dt:05/05/2017] , Billno-LHL000022017100005",1,16727,16727,0,0
LHL00-002-PROJECT OFFICER ITDP KEYLONG,31-2053-00-796-03-S00N-V-N-01-SALARIES,"[TRVch# 12 Dt:05/05/2017] , Billno-LHL000022017100006",1,2907,0,292,2615
LHL00-002-PROJECT OFFICER ITDP KEYLONG,31-2053-00-796-03-S00N-V-N-01-SALARIES,"[TRVch# 13 Dt:05/05/2017] , Billno-LHL000022017100007",1,76051,25000,7883,43168
LHL00-002-PROJECT OFFICER ITDP KEYLONG,31-2053-00-796-03-S00N-V-N-01-SALARIES,"[TRVch# 14 Dt:05/05/2017] , Billno-LHL000022017100008",1,162124,44000,2894,115230
LHL00-002-PROJECT OFFICER ITDP KEYLONG,31-2053-00-796-03-S00N-V-N-01-SALARIES,"[TRVch# 15 Dt:05/05/2017] , Billno-LHL000022017100009",1,44199,0,3002,41197
LHL00-002-PROJECT OFFICER ITDP KEYLONG,31-2053-00-796-03-S00N-V-N-01-SALARIES,"[TRVch# 16 Dt:05/05/2017] , Billno-LHL000022017100004",1,5082,5082,0,0
LHL00-002-PROJECT OFFICER ITDP KEYLONG,31-2053-00-796-03-S00N-V-N-01-SALARIES,"[TRVch# 17 Dt:05/05/2017] , Billno-LHL000022017100010",1,223340,0,0,223340
LHL00-002-PROJECT OFFICER ITDP KEYLONG,31-2053-00-796-03-S00N-V-N-01-SALARIES,"[TRVch# 18 Dt:05/05/2017] , Billno-LHL000022017100002",1,265000,0,0,265000
LHL00-002-PROJECT OFFICER ITDP KEYLONG,31-2053-00-796-03-S00N-V-N-01-SALARIES,"[TRVch# 1 Dt:01/06/2017] , Billno-LHL00002052017-002",1,33033,25000,7883,150
LHL00-002-PROJECT OFFICER ITDP KEYLONG,31-2053-00-796-03-S00N-V-N-01-SALARIES,"[TRVch# 2 Dt:01/06/2017] , Billno-LHL00002052017-003",1,66585,35000,1758,29827
LHL00-002-PROJECT OFFICER ITDP KEYLONG,31-2053-00-796-03-S00N-V-N-01-SALARIES,"[TRVch# 3 Dt:01/06/2017] , Billno-LHL00002052017-004",1,21199,0,3002,18197
LHL00-002-PROJECT OFFICER ITDP KEYLONG,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 17 Dt:13/07/2017] , Billno-LHL000022017100014",1,50000,0,0,50000
LHL00-002-PROJECT OFFICER ITDP KEYLONG,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 18 Dt:13/07/2017] , Billno-LHL000022017100013",1,100000,0,0,100000
LHL00-002-PROJECT OFFICER ITDP KEYLONG,31-2053-00-796-03-S00N-V-N-01-SALARIES,"[TRVch# 1 Dt:01/07/2017] , Billno-LHL00002062017-001",1,33033,25000,7883,150
LHL00-002-PROJECT OFFICER ITDP KEYLONG,31-2053-00-796-03-S00N-V-N-01-SALARIES,"[TRVch# 2 Dt:01/07/2017] , Billno-LHL00002062017-002",1,67314,35000,1758,30556
LHL00-002-PROJECT OFFICER ITDP KEYLONG,31-2053-00-796-03-S00N-V-N-01-SALARIES,"[TRVch# 3 Dt:01/07/2017] , Billno-LHL00002062017-003",1,21199,0,3002,18197
LHL00-002-PROJECT OFFICER ITDP KEYLONG,31-2053-00-796-03-S00N-V-P-05-OFFICE EXPENSES,"[TRVch# 26 Dt:12/07/2017] , Billno-LHL000022017100012",1,54800,0,0,54800
