DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
LHL00-015-AE PWD MECH SUB DIV KARGA,Total, ,20,483127,0,0,483127
LHL00-015-AE PWD MECH SUB DIV KARGA,31-3054-04-796-03-S00N-V-N-02-WAGES,"[TRVch# 1 Dt:03/08/2018] , Billno-LHL000152018000004",1,19194,0,0,19194
LHL00-015-AE PWD MECH SUB DIV KARGA,31-3054-04-796-03-S00N-V-N-02-WAGES,"[TRVch# 1 Dt:05/06/2018] , Billno-LHL000152018000002",1,31542,0,0,31542
LHL00-015-AE PWD MECH SUB DIV KARGA,31-3054-04-796-03-S00N-V-N-02-WAGES,"[TRVch# 1 Dt:06/07/2018] , Billno-LHL000152018000003",1,26805,0,0,26805
LHL00-015-AE PWD MECH SUB DIV KARGA,31-3054-04-796-03-S00N-V-N-02-WAGES,"[TRVch# 1 Dt:08/08/2017] , Billno-LHL000152017000007",1,39564,0,0,39564
LHL00-015-AE PWD MECH SUB DIV KARGA,31-3054-04-796-03-S00N-V-N-02-WAGES,"[TRVch# 16 Dt:14/07/2017] , Billno-LHL000152017000006",1,36083,0,0,36083
LHL00-015-AE PWD MECH SUB DIV KARGA,31-3054-04-796-03-S00N-V-N-02-WAGES,"[TRVch# 18 Dt:08/09/2017] , Billno-LHL000152017000008",1,20034,0,0,20034
LHL00-015-AE PWD MECH SUB DIV KARGA,31-3054-04-796-03-S00N-V-N-02-WAGES,"[TRVch# 22 Dt:22/06/2017] , Billno-LHL000152017000001",1,9378,0,0,9378
LHL00-015-AE PWD MECH SUB DIV KARGA,31-3054-04-796-03-S00N-V-N-02-WAGES,"[TRVch# 23 Dt:22/06/2017] , Billno-LHL000152017000002",1,9378,0,0,9378
LHL00-015-AE PWD MECH SUB DIV KARGA,31-3054-04-796-03-S00N-V-N-02-WAGES,"[TRVch# 24 Dt:22/06/2017] , Billno-LHL000152017000003",1,23537,0,0,23537
LHL00-015-AE PWD MECH SUB DIV KARGA,31-3054-04-796-03-S00N-V-N-02-WAGES,"[TRVch# 25 Dt:22/06/2017] , Billno-LHL000152017000004",1,27713,0,0,27713
LHL00-015-AE PWD MECH SUB DIV KARGA,31-3054-04-796-03-S00N-V-N-02-WAGES,"[TRVch# 26 Dt:22/06/2017] , Billno-LHL000152017000005",1,29799,0,0,29799
LHL00-015-AE PWD MECH SUB DIV KARGA,31-3054-04-796-03-S00N-V-N-02-WAGES,"[TRVch# 8 Dt:28/05/2018] , Billno-LHL000152018000001",1,30192,0,0,30192
LHL00-015-AE PWD MECH SUB DIV KARGA,31-3054-04-796-04-S00N-V-N-02-WAGES,"[TRVch# 10 Dt:13/03/2018] , Billno-LHL000152017000014",1,12084,0,0,12084
LHL00-015-AE PWD MECH SUB DIV KARGA,31-3054-04-796-04-S00N-V-N-02-WAGES,"[TRVch# 17 Dt:08/09/2017] , Billno-LHL000152017000009",1,19530,0,0,19530
LHL00-015-AE PWD MECH SUB DIV KARGA,31-3054-04-796-04-S00N-V-N-02-WAGES,"[TRVch# 19 Dt:13/10/2017] , Billno-LHL000152017000010",1,35138,0,0,35138
LHL00-015-AE PWD MECH SUB DIV KARGA,31-3054-04-796-04-S00N-V-N-02-WAGES,"[TRVch# 23 Dt:06/12/2017] , Billno-LHL000152017000012",1,28838,0,0,28838
LHL00-015-AE PWD MECH SUB DIV KARGA,31-3054-04-796-04-S00N-V-N-02-WAGES,"[TRVch# 36 Dt:08/11/2017] , Billno-LHL000152017000011",1,29799,0,0,29799
LHL00-015-AE PWD MECH SUB DIV KARGA,31-3054-04-796-04-S00N-V-N-02-WAGES,"[TRVch# 47 Dt:31/03/2018] , Billno-LHL000152017000016",1,20034,0,0,20034
LHL00-015-AE PWD MECH SUB DIV KARGA,31-3054-04-796-04-S00N-V-N-02-WAGES,"[TRVch# 8 Dt:13/03/2018] , Billno-LHL000152017000015",1,14451,0,0,14451
LHL00-015-AE PWD MECH SUB DIV KARGA,31-3054-04-796-04-S00N-V-N-02-WAGES,"[TRVch# 9 Dt:13/03/2018] , Billno-LHL000152017000013",1,20034,0,0,20034
