DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
LHL01-201-PR.SR.SEC.SCH. UDAIPUR,Total, ,179,21374648,3278657,1130172,16965819
LHL01-201-PR.SR.SEC.SCH. UDAIPUR,31-2202-02-796-02-S00N-V-N-01-SALARIES,"[TRVch# 193 Dt:27/04/2017] , Billno-LHL012012017100002",1,921000,0,0,921000
LHL01-201-PR.SR.SEC.SCH. UDAIPUR,31-2202-02-796-02-S00N-V-N-01-SALARIES,"[TRVch# 80 Dt:10/04/2017] , Billno-LHL01201032017-001",1,151621,67000,75,84546
LHL01-201-PR.SR.SEC.SCH. UDAIPUR,31-2202-02-796-02-S00N-V-N-01-SALARIES,"[TRVch# 81 Dt:10/04/2017] , Billno-LHL01201032017-002",1,97435,0,16821,80614
LHL01-201-PR.SR.SEC.SCH. UDAIPUR,31-2202-02-796-03-S00N-V-N-01-SALARIES,"[TRVch# 192 Dt:27/04/2017] , Billno-LHL012012017100001",1,2337000,0,0,2337000
LHL01-201-PR.SR.SEC.SCH. UDAIPUR,31-2202-02-796-03-S00N-V-N-01-SALARIES,"[TRVch# 82 Dt:10/04/2017] , Billno-LHL01201032017-003",1,82905,15000,2030,65875
LHL01-201-PR.SR.SEC.SCH. UDAIPUR,31-2202-02-796-03-S00N-V-N-01-SALARIES,"[TRVch# 83 Dt:10/04/2017] , Billno-LHL01201032017-004",1,339690,120000,240,219450
LHL01-201-PR.SR.SEC.SCH. UDAIPUR,31-2202-02-796-03-S00N-V-N-01-SALARIES,"[TRVch# 84 Dt:10/04/2017] , Billno-LHL01201032017-005",1,177875,0,13467,164408
LHL01-201-PR.SR.SEC.SCH. UDAIPUR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 31 Dt:30/05/2017] , Billno-LHL012012017100003",1,100000,0,0,100000
LHL01-201-PR.SR.SEC.SCH. UDAIPUR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 39 Dt:30/05/2017] , Billno-LHL012012017100005",1,100000,0,0,100000
LHL01-201-PR.SR.SEC.SCH. UDAIPUR,31-2202-02-796-02-S00N-V-N-01-SALARIES,"[TRVch# 247 Dt:30/05/2017] , Billno-LHL012012017100008",1,16699,16699,0,0
LHL01-201-PR.SR.SEC.SCH. UDAIPUR,31-2202-02-796-02-S00N-V-N-01-SALARIES,"[TRVch# 248 Dt:30/05/2017] , Billno-LHL012012017100009",1,11002,0,1108,9894
LHL01-201-PR.SR.SEC.SCH. UDAIPUR,31-2202-02-796-02-S00N-V-N-01-SALARIES,"[TRVch# 85 Dt:02/05/2017] , Billno-LHL01201042017-004",1,46185,0,16950,29235
LHL01-201-PR.SR.SEC.SCH. UDAIPUR,31-2202-02-796-02-S00N-V-N-01-SALARIES,"[TRVch# 86 Dt:02/05/2017] , Billno-LHL01201042017-005",1,78546,67000,75,11471
LHL01-201-PR.SR.SEC.SCH. UDAIPUR,31-2202-02-796-02-S00N-V-N-05-OFFICE EXPENSES,"[TRVch# 250 Dt:30/05/2017] , Billno-LHL012012017100011",1,2111,0,0,2111
LHL01-201-PR.SR.SEC.SCH. UDAIPUR,31-2202-02-796-03-S00N-V-N-01-SALARIES,"[TRVch# 238 Dt:30/05/2017] , Billno-LHL012012017100004",1,240000,0,0,240000
LHL01-201-PR.SR.SEC.SCH. UDAIPUR,31-2202-02-796-03-S00N-V-N-01-SALARIES,"[TRVch# 245 Dt:30/05/2017] , Billno-LHL012012017100006",1,37374,37374,0,0
LHL01-201-PR.SR.SEC.SCH. UDAIPUR,31-2202-02-796-03-S00N-V-N-01-SALARIES,"[TRVch# 246 Dt:30/05/2017] , Billno-LHL012012017100007",1,22338,0,2246,20092
LHL01-201-PR.SR.SEC.SCH. UDAIPUR,31-2202-02-796-03-S00N-V-N-01-SALARIES,"[TRVch# 249 Dt:30/05/2017] , Billno-LHL012012017100010",1,54305,0,6212,48093
LHL01-201-PR.SR.SEC.SCH. UDAIPUR,31-2202-02-796-03-S00N-V-N-01-SALARIES,"[TRVch# 251 Dt:30/05/2017] , Billno-LHL012012017100012",1,1739,0,170,1569
LHL01-201-PR.SR.SEC.SCH. UDAIPUR,31-2202-02-796-03-S00N-V-N-01-SALARIES,"[TRVch# 82 Dt:02/05/2017] , Billno-LHL01201042017-001",1,50120,0,15068,35052
LHL01-201-PR.SR.SEC.SCH. UDAIPUR,31-2202-02-796-03-S00N-V-N-01-SALARIES,"[TRVch# 83 Dt:02/05/2017] , Billno-LHL01201042017-002",1,141668,120000,240,21428
LHL01-201-PR.SR.SEC.SCH. UDAIPUR,31-2202-02-796-03-S00N-V-N-01-SALARIES,"[TRVch# 84 Dt:02/05/2017] , Billno-LHL01201042017-003",1,27739,15000,2030,10709
LHL01-201-PR.SR.SEC.SCH. UDAIPUR,31-2202-02-796-02-S00N-V-N-01-SALARIES,"[TRVch# 227 Dt:30/06/2017] , Billno-LHL012012017100015",1,120000,0,0,120000
LHL01-201-PR.SR.SEC.SCH. UDAIPUR,31-2202-02-796-02-S00N-V-N-01-SALARIES,"[TRVch# 77 Dt:01/06/2017] , Billno-LHL01201052017-001",1,78546,67000,4195,7351
LHL01-201-PR.SR.SEC.SCH. UDAIPUR,31-2202-02-796-02-S00N-V-N-01-SALARIES,"[TRVch# 78 Dt:01/06/2017] , Billno-LHL01201052017-002",1,46185,0,16950,29235
LHL01-201-PR.SR.SEC.SCH. UDAIPUR,31-2202-02-796-03-S00N-V-N-01-SALARIES,"[TRVch# 132 Dt:01/06/2017] , Billno-LHL012012017100013",1,124000,0,0,124000
LHL01-201-PR.SR.SEC.SCH. UDAIPUR,31-2202-02-796-03-S00N-V-N-01-SALARIES,"[TRVch# 79 Dt:01/06/2017] , Billno-LHL01201052017-003",1,141668,120000,4875,16793
LHL01-201-PR.SR.SEC.SCH. UDAIPUR,31-2202-02-796-03-S00N-V-N-01-SALARIES,"[TRVch# 80 Dt:01/06/2017] , Billno-LHL01201052017-004",1,58164,0,21975,36189
LHL01-201-PR.SR.SEC.SCH. UDAIPUR,31-2202-02-796-02-S00N-V-N-01-SALARIES,"[TRVch# 110 Dt:07/07/2017] , Billno-LHL01201062017-001",1,80170,67000,4195,8975
LHL01-201-PR.SR.SEC.SCH. UDAIPUR,31-2202-02-796-02-S00N-V-N-01-SALARIES,"[TRVch# 111 Dt:07/07/2017] , Billno-LHL01201062017-002",1,32919,0,16959,15960
LHL01-201-PR.SR.SEC.SCH. UDAIPUR,31-2202-02-796-03-S00N-V-N-01-SALARIES,"[TRVch# 112 Dt:07/07/2017] , Billno-LHL01201062017-003",1,141668,120000,4875,16793
LHL01-201-PR.SR.SEC.SCH. UDAIPUR,31-2202-02-796-03-S00N-V-N-01-SALARIES,"[TRVch# 113 Dt:07/07/2017] , Billno-LHL01201062017-004",1,44204,0,21984,22220
LHL01-201-PR.SR.SEC.SCH. UDAIPUR,31-2202-02-796-03-S00N-V-N-01-SALARIES,"[TRVch# 207 Dt:31/07/2017] , Billno-LHL012012017100016",1,5171,0,18,5153
LHL01-201-PR.SR.SEC.SCH. UDAIPUR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 26 Dt:30/08/2017] , Billno-LHL012012017100019",1,200000,0,0,200000
LHL01-201-PR.SR.SEC.SCH. UDAIPUR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 27 Dt:30/08/2017] , Billno-LHL012012017100020",1,300000,0,0,300000
LHL01-201-PR.SR.SEC.SCH. UDAIPUR,31-2202-02-796-02-S00N-V-N-01-SALARIES,"[TRVch# 86 Dt:08/08/2017] , Billno-LHL01201072017-001",1,81254,67000,4195,10059
LHL01-201-PR.SR.SEC.SCH. UDAIPUR,31-2202-02-796-02-S00N-V-N-01-SALARIES,"[TRVch# 87 Dt:08/08/2017] , Billno-LHL01201072017-002",1,34893,0,20350,14543
LHL01-201-PR.SR.SEC.SCH. UDAIPUR,31-2202-02-796-03-S00N-V-N-01-SALARIES,"[TRVch# 88 Dt:08/08/2017] , Billno-LHL01201072017-003",1,28928,20000,4060,4868
LHL01-201-PR.SR.SEC.SCH. UDAIPUR,31-2202-02-796-03-S00N-V-N-01-SALARIES,"[TRVch# 89 Dt:08/08/2017] , Billno-LHL01201072017-004",1,109438,90000,4815,14623
LHL01-201-PR.SR.SEC.SCH. UDAIPUR,31-2202-02-796-03-S00N-V-N-01-SALARIES,"[TRVch# 90 Dt:08/08/2017] , Billno-LHL01201072017-005",1,45734,0,25464,20270
LHL01-201-PR.SR.SEC.SCH. UDAIPUR,31-2202-02-796-02-S00N-V-N-01-SALARIES,"[TRVch# 260 Dt:29/09/2017] , Billno-LHL012012017100022",1,995000,0,0,995000
LHL01-201-PR.SR.SEC.SCH. UDAIPUR,31-2202-02-796-02-S00N-V-N-01-SALARIES,"[TRVch# 82 Dt:05/09/2017] , Billno-LHL01201082017-004",1,83950,67000,4195,12755
LHL01-201-PR.SR.SEC.SCH. UDAIPUR,31-2202-02-796-02-S00N-V-N-01-SALARIES,"[TRVch# 83 Dt:05/09/2017] , Billno-LHL01201082017-005",1,37416,0,18210,19206
LHL01-201-PR.SR.SEC.SCH. UDAIPUR,31-2202-02-796-03-S00N-V-N-01-SALARIES,"[TRVch# 261 Dt:29/09/2017] , Billno-LHL012012017100023",1,2275000,0,0,2275000
LHL01-201-PR.SR.SEC.SCH. UDAIPUR,31-2202-02-796-03-S00N-V-N-01-SALARIES,"[TRVch# 79 Dt:05/09/2017] , Billno-LHL01201082017-001",1,52733,0,25713,27020
LHL01-201-PR.SR.SEC.SCH. UDAIPUR,31-2202-02-796-03-S00N-V-N-01-SALARIES,"[TRVch# 80 Dt:05/09/2017] , Billno-LHL01201082017-002",1,115658,90000,4815,20843
LHL01-201-PR.SR.SEC.SCH. UDAIPUR,31-2202-02-796-03-S00N-V-N-01-SALARIES,"[TRVch# 81 Dt:05/09/2017] , Billno-LHL01201082017-003",1,75148,20000,4060,51088
LHL01-201-PR.SR.SEC.SCH. UDAIPUR,31-2202-02-796-03-S00N-V-P-05-OFFICE EXPENSES,"[TRVch# 239 Dt:29/09/2017] , Billno-LHL012012017100021",1,130217,0,0,130217
LHL01-201-PR.SR.SEC.SCH. UDAIPUR,31-2202-02-796-02-S00N-V-N-01-SALARIES,"[TRVch# 237 Dt:31/10/2017] , Billno-LHL012012017100028",1,20065,20065,0,0
LHL01-201-PR.SR.SEC.SCH. UDAIPUR,31-2202-02-796-02-S00N-V-N-01-SALARIES,"[TRVch# 238 Dt:31/10/2017] , Billno-LHL012012017100029",1,15600,0,1564,14036
LHL01-201-PR.SR.SEC.SCH. UDAIPUR,31-2202-02-796-02-S00N-V-N-01-SALARIES,"[TRVch# 77 Dt:03/10/2017] , Billno-LHL01201092017-001",1,86496,67000,6255,13241
LHL01-201-PR.SR.SEC.SCH. UDAIPUR,31-2202-02-796-02-S00N-V-N-01-SALARIES,"[TRVch# 78 Dt:03/10/2017] , Billno-LHL01201092017-002",1,45571,0,14254,31317
LHL01-201-PR.SR.SEC.SCH. UDAIPUR,31-2202-02-796-03-S00N-V-N-01-SALARIES,"[TRVch# 211 Dt:31/10/2017] , Billno-LHL012012017100024",1,5577,0,3496,2081
LHL01-201-PR.SR.SEC.SCH. UDAIPUR,31-2202-02-796-03-S00N-V-N-01-SALARIES,"[TRVch# 239 Dt:31/10/2017] , Billno-LHL012012017100030",1,9526,9526,0,0
LHL01-201-PR.SR.SEC.SCH. UDAIPUR,31-2202-02-796-03-S00N-V-N-01-SALARIES,"[TRVch# 240 Dt:31/10/2017] , Billno-LHL012012017100031",1,27204,27204,0,0
LHL01-201-PR.SR.SEC.SCH. UDAIPUR,31-2202-02-796-03-S00N-V-N-01-SALARIES,"[TRVch# 241 Dt:31/10/2017] , Billno-LHL012012017100032",1,34734,0,3480,31254
LHL01-201-PR.SR.SEC.SCH. UDAIPUR,31-2202-02-796-03-S00N-V-N-01-SALARIES,"[TRVch# 243 Dt:31/10/2017] , Billno-LHL012012017100033",1,180000,0,0,180000
LHL01-201-PR.SR.SEC.SCH. UDAIPUR,31-2202-02-796-03-S00N-V-N-01-SALARIES,"[TRVch# 79 Dt:03/10/2017] , Billno-LHL01201092017-003",1,31369,20000,4060,7309
LHL01-201-PR.SR.SEC.SCH. UDAIPUR,31-2202-02-796-03-S00N-V-N-01-SALARIES,"[TRVch# 80 Dt:03/10/2017] , Billno-LHL01201092017-004",1,83816,60000,3755,20061
LHL01-201-PR.SR.SEC.SCH. UDAIPUR,31-2202-02-796-03-S00N-V-N-01-SALARIES,"[TRVch# 81 Dt:03/10/2017] , Billno-LHL01201092017-005",1,64066,0,30297,33769
LHL01-201-PR.SR.SEC.SCH. UDAIPUR,31-2202-02-796-03-S00N-V-N-05-OFFICE EXPENSES,"[TRVch# 212 Dt:31/10/2017] , Billno-LHL012012017100027",1,3264,0,0,3264
LHL01-201-PR.SR.SEC.SCH. UDAIPUR,31-2202-02-796-10-S00N-V-P-41-GIA GENERAL (Salary),"[TRVch# 229 Dt:31/10/2017] , Billno-LHL012012017100025",1,14940,0,0,14940
LHL01-201-PR.SR.SEC.SCH. UDAIPUR,31-2202-02-796-10-S00N-V-P-41-GIA GENERAL (Salary),"[TRVch# 230 Dt:31/10/2017] , Billno-LHL012012017100026",1,66920,0,0,66920
LHL01-201-PR.SR.SEC.SCH. UDAIPUR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 45 Dt:30/11/2017] , Billno-LHL012012017100039",1,80000,0,0,80000
LHL01-201-PR.SR.SEC.SCH. UDAIPUR,19-2235-60-800-33-S00N-V-N-06-MEDICAL REIMBURSEMENT,"[TRVch# 28 Dt:30/11/2017] , Billno-LHL012012017100042",1,6218,0,0,6218
LHL01-201-PR.SR.SEC.SCH. UDAIPUR,19-2235-60-800-33-S00N-V-N-06-MEDICAL REIMBURSEMENT,"[TRVch# 29 Dt:30/11/2017] , Billno-LHL012012017100043",1,1450,0,0,1450
LHL01-201-PR.SR.SEC.SCH. UDAIPUR,19-2235-60-800-33-S00N-V-N-06-MEDICAL REIMBURSEMENT,"[TRVch# 30 Dt:30/11/2017] , Billno-LHL012012017100041",1,20863,0,0,20863
LHL01-201-PR.SR.SEC.SCH. UDAIPUR,31-2202-02-796-02-S00N-V-N-01-SALARIES,"[TRVch# 127 Dt:08/11/2017] , Billno-LHL01201102017-001",1,79996,67000,6255,6741
LHL01-201-PR.SR.SEC.SCH. UDAIPUR,31-2202-02-796-02-S00N-V-N-01-SALARIES,"[TRVch# 128 Dt:08/11/2017] , Billno-LHL01201102017-002",1,36571,0,14254,22317
LHL01-201-PR.SR.SEC.SCH. UDAIPUR,31-2202-02-796-02-S00N-V-N-03-TRAVEL EXPENSES,"[TRVch# 282 Dt:30/11/2017] , Billno-LHL012012017100035",1,752,0,0,752
LHL01-201-PR.SR.SEC.SCH. UDAIPUR,31-2202-02-796-02-S00N-V-N-05-OFFICE EXPENSES,"[TRVch# 318 Dt:30/11/2017] , Billno-LHL012012017100036",1,2870,0,0,2870
LHL01-201-PR.SR.SEC.SCH. UDAIPUR,31-2202-02-796-03-S00N-V-N-01-SALARIES,"[TRVch# 129 Dt:08/11/2017] , Billno-LHL01201102017-003",1,26369,20000,4060,2309
LHL01-201-PR.SR.SEC.SCH. UDAIPUR,31-2202-02-796-03-S00N-V-N-01-SALARIES,"[TRVch# 130 Dt:08/11/2017] , Billno-LHL01201102017-004",1,72816,60000,3755,9061
LHL01-201-PR.SR.SEC.SCH. UDAIPUR,31-2202-02-796-03-S00N-V-N-01-SALARIES,"[TRVch# 131 Dt:08/11/2017] , Billno-LHL01201102017-005",1,93548,0,31829,61719
LHL01-201-PR.SR.SEC.SCH. UDAIPUR,31-2202-02-796-03-S00N-V-N-01-SALARIES,"[TRVch# 320 Dt:30/11/2017] , Billno-LHL012012017100038",1,6472,0,648,5824
LHL01-201-PR.SR.SEC.SCH. UDAIPUR,31-2202-02-796-03-S00N-V-N-05-OFFICE EXPENSES,"[TRVch# 319 Dt:30/11/2017] , Billno-LHL012012017100037",1,715,0,0,715
LHL01-201-PR.SR.SEC.SCH. UDAIPUR,31-2202-02-796-03-S00N-V-N-05-OFFICE EXPENSES,"[TRVch# 342 Dt:30/11/2017] , Billno-LHL012012017100044",1,2800,0,0,2800
LHL01-201-PR.SR.SEC.SCH. UDAIPUR,31-2202-02-796-10-S00N-V-P-41-GIA GENERAL (Salary),"[TRVch# 340 Dt:30/11/2017] , Billno-LHL012012017100040",1,55560,0,0,55560
LHL01-201-PR.SR.SEC.SCH. UDAIPUR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 29 Dt:30/12/2017] , Billno-LHL012012017100045",1,100000,0,0,100000
LHL01-201-PR.SR.SEC.SCH. UDAIPUR,31-2202-02-796-02-S00N-V-N-01-SALARIES,"[TRVch# 85 Dt:04/12/2017] , Billno-LHL01201112017-001",1,80896,67000,6495,7401
LHL01-201-PR.SR.SEC.SCH. UDAIPUR,31-2202-02-796-02-S00N-V-N-01-SALARIES,"[TRVch# 86 Dt:04/12/2017] , Billno-LHL01201112017-002",1,37771,0,14574,23197
LHL01-201-PR.SR.SEC.SCH. UDAIPUR,31-2202-02-796-03-S00N-V-N-01-SALARIES,"[TRVch# 87 Dt:04/12/2017] , Billno-LHL01201112017-003",1,26669,20000,4140,2529
LHL01-201-PR.SR.SEC.SCH. UDAIPUR,31-2202-02-796-03-S00N-V-N-01-SALARIES,"[TRVch# 88 Dt:04/12/2017] , Billno-LHL01201112017-004",1,76188,60000,4155,12033
LHL01-201-PR.SR.SEC.SCH. UDAIPUR,31-2202-02-796-03-S00N-V-N-01-SALARIES,"[TRVch# 89 Dt:04/12/2017] , Billno-LHL01201112017-005",1,51410,0,32513,18897
LHL01-201-PR.SR.SEC.SCH. UDAIPUR,31-2202-02-796-03-S00N-V-P-05-OFFICE EXPENSES,"[TRVch# 285 Dt:30/12/2017] , Billno-LHL012012017100046",1,165898,0,0,165898
LHL01-201-PR.SR.SEC.SCH. UDAIPUR,31-2202-02-796-10-S00N-V-P-41-GIA GENERAL (Salary),"[TRVch# 296 Dt:30/12/2017] , Billno-LHL012012017100047",1,18520,0,0,18520
LHL01-201-PR.SR.SEC.SCH. UDAIPUR,31-2202-02-796-02-S00N-V-N-01-SALARIES,"[TRVch# 120 Dt:10/01/2018] , Billno-LHL01201122017-001",1,80896,67000,6925,6971
LHL01-201-PR.SR.SEC.SCH. UDAIPUR,31-2202-02-796-02-S00N-V-N-01-SALARIES,"[TRVch# 121 Dt:10/01/2018] , Billno-LHL01201122017-002",1,38913,0,14364,24549
