DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
MDI00-243-GSSS GHARAN,Total, ,330,33002375,6977887,1797575,24226913
MDI00-243-GSSS GHARAN,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 120 Dt:12/04/2017] , Billno-MDI002432017100001",1,400000,0,0,400000
MDI00-243-GSSS GHARAN,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 121 Dt:12/04/2017] , Billno-MDI002432017100002",1,200000,0,0,200000
MDI00-243-GSSS GHARAN,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 685 Dt:25/04/2017] , Billno-MDI002432017100003",1,400000,0,0,400000
MDI00-243-GSSS GHARAN,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 222 Dt:03/04/2017] , Billno-MDI00243032017-001",1,176996,25000,3980,148016
MDI00-243-GSSS GHARAN,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 223 Dt:03/04/2017] , Billno-MDI00243032017-002",1,93143,20000,3215,69928
MDI00-243-GSSS GHARAN,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 224 Dt:03/04/2017] , Billno-MDI00243032017-003",1,36630,0,3555,33075
MDI00-243-GSSS GHARAN,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 225 Dt:03/04/2017] , Billno-MDI00243032017-004",1,49148,0,4731,44417
MDI00-243-GSSS GHARAN,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 226 Dt:03/04/2017] , Billno-MDI00243032017-005",1,21037,0,2006,19031
MDI00-243-GSSS GHARAN,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 227 Dt:03/04/2017] , Billno-MDI00243032017-006",1,71549,25000,30,46519
MDI00-243-GSSS GHARAN,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 228 Dt:03/04/2017] , Billno-MDI00243032017-007",1,673010,242000,510,430500
MDI00-243-GSSS GHARAN,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 229 Dt:03/04/2017] , Billno-MDI00243032017-008",1,40806,0,3964,36842
MDI00-243-GSSS GHARAN,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 230 Dt:03/04/2017] , Billno-MDI00243032017-009",1,22472,0,2146,20326
MDI00-243-GSSS GHARAN,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 231 Dt:03/04/2017] , Billno-MDI00243032017-010",1,47111,0,4556,42555
MDI00-243-GSSS GHARAN,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 232 Dt:03/04/2017] , Billno-MDI00243032017-011",1,39476,0,6694,32782
MDI00-243-GSSS GHARAN,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 233 Dt:03/04/2017] , Billno-MDI00243032017-012",1,58824,31000,30,27794
MDI00-243-GSSS GHARAN,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 260 Dt:12/05/2017] , Billno-MDI002432017100007",1,380000,0,0,380000
MDI00-243-GSSS GHARAN,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 237 Dt:01/05/2017] , Billno-MDI00243042017-001",1,182894,27000,4024,151870
MDI00-243-GSSS GHARAN,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 238 Dt:01/05/2017] , Billno-MDI00243042017-002",1,95360,20000,5354,70006
MDI00-243-GSSS GHARAN,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 239 Dt:01/05/2017] , Billno-MDI00243042017-003",1,37096,0,3602,33494
MDI00-243-GSSS GHARAN,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 240 Dt:01/05/2017] , Billno-MDI00243042017-004",1,51249,0,5338,45911
MDI00-243-GSSS GHARAN,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 241 Dt:01/05/2017] , Billno-MDI00243042017-005",1,21300,0,2032,19268
MDI00-243-GSSS GHARAN,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 2430 Dt:12/05/2017] , Billno-MDI002432017100006",1,268144,0,0,268144
MDI00-243-GSSS GHARAN,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 4342 Dt:29/05/2017] , Billno-MDI002432017100010",1,6399,0,644,5755
MDI00-243-GSSS GHARAN,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 4343 Dt:29/05/2017] , Billno-MDI002432017100011",1,3942,0,396,3546
MDI00-243-GSSS GHARAN,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 4345 Dt:29/05/2017] , Billno-MDI002432017100013",1,11300,11300,0,0
MDI00-243-GSSS GHARAN,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 4346 Dt:29/05/2017] , Billno-MDI002432017100014",1,6255,0,630,5625
MDI00-243-GSSS GHARAN,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 4347 Dt:29/05/2017] , Billno-MDI002432017100015",1,9315,0,936,8379
MDI00-243-GSSS GHARAN,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 4351 Dt:29/05/2017] , Billno-MDI002432017100020",1,6687,0,666,6021
MDI00-243-GSSS GHARAN,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 4352 Dt:29/05/2017] , Billno-MDI002432017100021",1,11160,11160,0,0
MDI00-243-GSSS GHARAN,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 242 Dt:01/05/2017] , Billno-MDI00243042017-006",1,151077,65000,12620,73457
MDI00-243-GSSS GHARAN,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 243 Dt:01/05/2017] , Billno-MDI00243042017-007",1,606082,236000,29950,340132
MDI00-243-GSSS GHARAN,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 244 Dt:01/05/2017] , Billno-MDI00243042017-008",1,41326,0,4016,37310
MDI00-243-GSSS GHARAN,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 245 Dt:01/05/2017] , Billno-MDI00243042017-009",1,22752,0,2174,20578
MDI00-243-GSSS GHARAN,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 246 Dt:01/05/2017] , Billno-MDI00243042017-010",1,47709,0,4616,43093
MDI00-243-GSSS GHARAN,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 247 Dt:01/05/2017] , Billno-MDI00243042017-011",1,39960,0,6742,33218
