DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
MDI00-527-GENERAL MANAGER D.I.C. MANDI,Total, ,310,24731921,3397096,1439606,19895219
MDI00-527-GENERAL MANAGER D.I.C. MANDI,18-2851-00-102-13-S00N-V-N-01-SALARIES,"[TRVch# 4 Dt:03/04/2017] , Billno-MDI00527032017-001",1,318642,60000,25564,233078
MDI00-527-GENERAL MANAGER D.I.C. MANDI,18-2851-00-102-13-S00N-V-N-01-SALARIES,"[TRVch# 5 Dt:03/04/2017] , Billno-MDI00527032017-002",1,507951,125500,27050,355401
MDI00-527-GENERAL MANAGER D.I.C. MANDI,18-2851-00-102-13-S00N-V-N-01-SALARIES,"[TRVch# 6 Dt:03/04/2017] , Billno-MDI00527032017-003",1,50188,0,7226,42962
MDI00-527-GENERAL MANAGER D.I.C. MANDI,18-2851-00-102-13-S00N-V-N-06-MEDICAL REIMBURSEMENT,"[TRVch# 9 Dt:24/04/2017] , Billno-MDI005272017100001",1,13002,0,0,13002
MDI00-527-GENERAL MANAGER D.I.C. MANDI,29-2071-01-104-02-S00N-V-N-38-PENSIONS,"[TRVch# 44 Dt:24/04/2017] , Billno-MDI005272017100002",1,1000000,0,0,1000000
MDI00-527-GENERAL MANAGER D.I.C. MANDI,00-8011-00-107-02-S00N-V-N-00- ,"[TRVch# 40 Dt:26/05/2017] , Billno-MDI005272017100015",1,1399,0,0,1399
MDI00-527-GENERAL MANAGER D.I.C. MANDI,00-8011-00-107-02-S00N-V-N-00- ,"[TRVch# 41 Dt:26/05/2017] , Billno-MDI005272017100008",1,26962,0,0,26962
MDI00-527-GENERAL MANAGER D.I.C. MANDI,18-2851-00-102-13-S00N-V-N-01-SALARIES,"[TRVch# 16 Dt:22/05/2017] , Billno-MDI005272017100011",1,24582,16374,0,8208
MDI00-527-GENERAL MANAGER D.I.C. MANDI,18-2851-00-102-13-S00N-V-N-01-SALARIES,"[TRVch# 17 Dt:22/05/2017] , Billno-MDI005272017100010",1,10089,0,1008,9081
MDI00-527-GENERAL MANAGER D.I.C. MANDI,18-2851-00-102-13-S00N-V-N-01-SALARIES,"[TRVch# 18 Dt:22/05/2017] , Billno-MDI005272017100013",1,36567,35437,0,1130
MDI00-527-GENERAL MANAGER D.I.C. MANDI,18-2851-00-102-13-S00N-V-N-01-SALARIES,"[TRVch# 19 Dt:22/05/2017] , Billno-MDI005272017100014",1,7365,0,556,6809
MDI00-527-GENERAL MANAGER D.I.C. MANDI,18-2851-00-102-13-S00N-V-N-01-SALARIES,"[TRVch# 20 Dt:22/05/2017] , Billno-MDI005272017100009",1,234,0,0,234
MDI00-527-GENERAL MANAGER D.I.C. MANDI,18-2851-00-102-13-S00N-V-N-01-SALARIES,"[TRVch# 21 Dt:22/05/2017] , Billno-MDI005272017100012",1,23357,0,1344,22013
MDI00-527-GENERAL MANAGER D.I.C. MANDI,18-2851-00-102-13-S00N-V-N-01-SALARIES,"[TRVch# 4 Dt:01/05/2017] , Billno-MDI00527042017-001",1,250639,62000,24809,163830
MDI00-527-GENERAL MANAGER D.I.C. MANDI,18-2851-00-102-13-S00N-V-N-01-SALARIES,"[TRVch# 5 Dt:01/05/2017] , Billno-MDI00527042017-002",1,514782,124000,27293,363489
MDI00-527-GENERAL MANAGER D.I.C. MANDI,18-2851-00-102-13-S00N-V-N-01-SALARIES,"[TRVch# 6 Dt:01/05/2017] , Billno-MDI00527042017-003",1,50822,0,7290,43532
MDI00-527-GENERAL MANAGER D.I.C. MANDI,18-2851-00-102-13-S00N-V-N-06-MEDICAL REIMBURSEMENT,"[TRVch# 23 Dt:26/05/2017] , Billno-MDI005272017100026",1,384,0,0,384
MDI00-527-GENERAL MANAGER D.I.C. MANDI,18-2851-00-102-13-S00N-V-P-05-OFFICE EXPENSES,"[TRVch# 22 Dt:26/05/2017] , Billno-MDI005272017100025",1,6505,0,0,6505
MDI00-527-GENERAL MANAGER D.I.C. MANDI,18-2851-00-102-13-S00N-V-P-05-OFFICE EXPENSES,"[TRVch# 7 Dt:09/05/2017] , Billno-MDI005272017100007",1,11925,0,0,11925
MDI00-527-GENERAL MANAGER D.I.C. MANDI,"18-2851-00-102-13-S00N-V-P-30-MOTOR VEHICLES OS,POL,REPAIR","[TRVch# 8 Dt:09/05/2017] , Billno-MDI005272017100006",1,31102,0,0,31102
MDI00-527-GENERAL MANAGER D.I.C. MANDI,19-2235-60-800-16-S00N-V-N-06-MEDICAL REIMBURSEMENT,"[TRVch# 613 Dt:26/05/2017] , Billno-MDI005272017100022",1,16014,0,0,16014
MDI00-527-GENERAL MANAGER D.I.C. MANDI,19-2235-60-800-16-S00N-V-N-06-MEDICAL REIMBURSEMENT,"[TRVch# 614 Dt:26/05/2017] , Billno-MDI005272017100020",1,1666,0,0,1666
MDI00-527-GENERAL MANAGER D.I.C. MANDI,19-2235-60-800-16-S00N-V-N-06-MEDICAL REIMBURSEMENT,"[TRVch# 615 Dt:26/05/2017] , Billno-MDI005272017100021",1,1765,0,0,1765
MDI00-527-GENERAL MANAGER D.I.C. MANDI,19-2235-60-800-16-S00N-V-N-06-MEDICAL REIMBURSEMENT,"[TRVch# 616 Dt:26/05/2017] , Billno-MDI005272017100019",1,23731,0,0,23731
MDI00-527-GENERAL MANAGER D.I.C. MANDI,19-2235-60-800-16-S00N-V-N-06-MEDICAL REIMBURSEMENT,"[TRVch# 617 Dt:26/05/2017] , Billno-MDI005272017100016",1,8544,0,0,8544
MDI00-527-GENERAL MANAGER D.I.C. MANDI,19-2235-60-800-16-S00N-V-N-06-MEDICAL REIMBURSEMENT,"[TRVch# 642 Dt:29/05/2017] , Billno-MDI005272017100023",1,3188,0,0,3188
MDI00-527-GENERAL MANAGER D.I.C. MANDI,19-2235-60-800-16-S00N-V-N-06-MEDICAL REIMBURSEMENT,"[TRVch# 643 Dt:29/05/2017] , Billno-MDI005272017100018",1,27669,0,0,27669
MDI00-527-GENERAL MANAGER D.I.C. MANDI,18-2851-00-102-13-S00N-V-N-01-SALARIES,"[TRVch# 4 Dt:01/06/2017] , Billno-MDI00527052017-001",1,250639,62000,26809,161830
MDI00-527-GENERAL MANAGER D.I.C. MANDI,18-2851-00-102-13-S00N-V-N-01-SALARIES,"[TRVch# 5 Dt:01/06/2017] , Billno-MDI00527052017-002",1,517148,124000,29682,363466
MDI00-527-GENERAL MANAGER D.I.C. MANDI,18-2851-00-102-13-S00N-V-N-01-SALARIES,"[TRVch# 6 Dt:01/06/2017] , Billno-MDI00527052017-003",1,50822,0,7290,43532
