DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
MDI01-237-PRINCIPAL GOVT. POLYTECHNIC COLLEGE UDAIPUR DISTT. LAHAUL SPITI,Total, ,222,19787000,3655207,1154798,14976995
MDI01-237-PRINCIPAL GOVT. POLYTECHNIC COLLEGE UDAIPUR DISTT. LAHAUL SPITI,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 740 Dt:27/04/2017] , Billno-MDI012372017100001",1,60000,0,0,60000
MDI01-237-PRINCIPAL GOVT. POLYTECHNIC COLLEGE UDAIPUR DISTT. LAHAUL SPITI,27-2203-00-105-01-S00N-V-P-01-SALARIES,"[TRVch# 11 Dt:07/04/2017] , Billno-MDI01237032017-001",1,398089,90000,360,307729
MDI01-237-PRINCIPAL GOVT. POLYTECHNIC COLLEGE UDAIPUR DISTT. LAHAUL SPITI,27-2203-00-105-01-S00N-V-P-01-SALARIES,"[TRVch# 12 Dt:07/04/2017] , Billno-MDI01237032017-002",1,194023,62500,4087,127436
MDI01-237-PRINCIPAL GOVT. POLYTECHNIC COLLEGE UDAIPUR DISTT. LAHAUL SPITI,27-2203-00-105-01-S00N-V-P-01-SALARIES,"[TRVch# 14 Dt:07/04/2017] , Billno-MDI01237032017-003",1,20246,0,1899,18347
MDI01-237-PRINCIPAL GOVT. POLYTECHNIC COLLEGE UDAIPUR DISTT. LAHAUL SPITI,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 1040 Dt:31/05/2017] , Billno-MDI012372017100026",1,210000,0,0,210000
MDI01-237-PRINCIPAL GOVT. POLYTECHNIC COLLEGE UDAIPUR DISTT. LAHAUL SPITI,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 1050 Dt:31/05/2017] , Billno-MDI012372017100027",1,70000,0,0,70000
MDI01-237-PRINCIPAL GOVT. POLYTECHNIC COLLEGE UDAIPUR DISTT. LAHAUL SPITI,27-2203-00-105-01-S00N-V-P-01-SALARIES,"[TRVch# 106 Dt:31/05/2017] , Billno-MDI012372017100020",1,16384,16384,0,0
MDI01-237-PRINCIPAL GOVT. POLYTECHNIC COLLEGE UDAIPUR DISTT. LAHAUL SPITI,27-2203-00-105-01-S00N-V-P-01-SALARIES,"[TRVch# 107 Dt:31/05/2017] , Billno-MDI012372017100021",1,4522,0,449,4073
MDI01-237-PRINCIPAL GOVT. POLYTECHNIC COLLEGE UDAIPUR DISTT. LAHAUL SPITI,27-2203-00-105-01-S00N-V-P-01-SALARIES,"[TRVch# 108 Dt:31/05/2017] , Billno-MDI012372017100022",1,7216,7216,0,0
MDI01-237-PRINCIPAL GOVT. POLYTECHNIC COLLEGE UDAIPUR DISTT. LAHAUL SPITI,27-2203-00-105-01-S00N-V-P-01-SALARIES,"[TRVch# 109 Dt:31/05/2017] , Billno-MDI012372017100023",1,2006,0,203,1803
MDI01-237-PRINCIPAL GOVT. POLYTECHNIC COLLEGE UDAIPUR DISTT. LAHAUL SPITI,27-2203-00-105-01-S00N-V-P-01-SALARIES,"[TRVch# 22 Dt:08/05/2017] , Billno-MDI01237042017-001",1,429466,115000,39360,275106
MDI01-237-PRINCIPAL GOVT. POLYTECHNIC COLLEGE UDAIPUR DISTT. LAHAUL SPITI,27-2203-00-105-01-S00N-V-P-01-SALARIES,"[TRVch# 23 Dt:08/05/2017] , Billno-MDI01237042017-002",1,197088,72500,8852,115736
MDI01-237-PRINCIPAL GOVT. POLYTECHNIC COLLEGE UDAIPUR DISTT. LAHAUL SPITI,27-2203-00-105-01-S00N-V-P-01-SALARIES,"[TRVch# 24 Dt:08/05/2017] , Billno-MDI01237042017-003",1,20495,0,1924,18571
MDI01-237-PRINCIPAL GOVT. POLYTECHNIC COLLEGE UDAIPUR DISTT. LAHAUL SPITI,27-2203-00-105-01-S00N-V-P-01-SALARIES,"[TRVch# 31 Dt:08/05/2017] , Billno-MDI012372017100009",1,630,0,0,630
MDI01-237-PRINCIPAL GOVT. POLYTECHNIC COLLEGE UDAIPUR DISTT. LAHAUL SPITI,27-2203-00-105-01-S00N-V-P-01-SALARIES,"[TRVch# 32 Dt:08/05/2017] , Billno-MDI012372017100011",1,13309,0,0,13309
MDI01-237-PRINCIPAL GOVT. POLYTECHNIC COLLEGE UDAIPUR DISTT. LAHAUL SPITI,27-2203-00-105-01-S00N-V-P-01-SALARIES,"[TRVch# 33 Dt:08/05/2017] , Billno-MDI012372017100002",1,219,0,0,219
MDI01-237-PRINCIPAL GOVT. POLYTECHNIC COLLEGE UDAIPUR DISTT. LAHAUL SPITI,27-2203-00-105-01-S00N-V-P-01-SALARIES,"[TRVch# 63 Dt:22/05/2017] , Billno-MDI012372017100014",1,973,0,97,876
MDI01-237-PRINCIPAL GOVT. POLYTECHNIC COLLEGE UDAIPUR DISTT. LAHAUL SPITI,27-2203-00-105-01-S00N-V-P-01-SALARIES,"[TRVch# 64 Dt:22/05/2017] , Billno-MDI012372017100017",1,2206,0,221,1985
MDI01-237-PRINCIPAL GOVT. POLYTECHNIC COLLEGE UDAIPUR DISTT. LAHAUL SPITI,27-2203-00-105-01-S00N-V-P-01-SALARIES,"[TRVch# 65 Dt:22/05/2017] , Billno-MDI012372017100012",1,16425,9201,0,7224
MDI01-237-PRINCIPAL GOVT. POLYTECHNIC COLLEGE UDAIPUR DISTT. LAHAUL SPITI,27-2203-00-105-01-S00N-V-P-01-SALARIES,"[TRVch# 66 Dt:22/05/2017] , Billno-MDI012372017100015",1,43028,32186,0,10842
MDI01-237-PRINCIPAL GOVT. POLYTECHNIC COLLEGE UDAIPUR DISTT. LAHAUL SPITI,27-2203-00-105-01-S00N-V-P-02-WAGES,"[TRVch# 35 Dt:08/05/2017] , Billno-MDI012372017100004",1,8349,0,0,8349
MDI01-237-PRINCIPAL GOVT. POLYTECHNIC COLLEGE UDAIPUR DISTT. LAHAUL SPITI,27-2203-00-105-01-S00N-V-P-03-TRAVEL EXPENSES,"[TRVch# 110 Dt:31/05/2017] , Billno-MDI012372017100024",1,4358,0,0,4358
