DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
MDI01-239-PR GOVT DEGREE COLLEGE DEHAR,Total, ,128,9956547,1630105,1200733,7125709
MDI01-239-PR GOVT DEGREE COLLEGE DEHAR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 232 Dt:20/11/2017] , Billno-MDI012392017100025",1,1200000,0,0,1200000
MDI01-239-PR GOVT DEGREE COLLEGE DEHAR,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 1804 Dt:09/08/2018] , Billno-MDI01239072018-001",1,317424,110000,60240,147184
MDI01-239-PR GOVT DEGREE COLLEGE DEHAR,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 1805 Dt:09/08/2018] , Billno-MDI01239072018-002",1,203775,0,20002,183773
MDI01-239-PR GOVT DEGREE COLLEGE DEHAR,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 1806 Dt:09/08/2018] , Billno-MDI01239072018-003",1,74772,30000,5060,39712
MDI01-239-PR GOVT DEGREE COLLEGE DEHAR,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 1807 Dt:09/08/2018] , Billno-MDI01239072018-004",1,76436,0,9831,66605
MDI01-239-PR GOVT DEGREE COLLEGE DEHAR,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 2463 Dt:20/11/2017] , Billno-MDI012392017100017",1,2584,0,256,2328
MDI01-239-PR GOVT DEGREE COLLEGE DEHAR,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 2464 Dt:20/11/2017] , Billno-MDI012392017100015",1,1480,0,0,1480
MDI01-239-PR GOVT DEGREE COLLEGE DEHAR,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 2465 Dt:20/11/2017] , Billno-MDI012392017100014",1,10685,0,718,9967
MDI01-239-PR GOVT DEGREE COLLEGE DEHAR,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 2467 Dt:21/09/2017] , Billno-MDI012392017100009",1,8606,0,0,8606
MDI01-239-PR GOVT DEGREE COLLEGE DEHAR,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 2487 Dt:20/11/2017] , Billno-MDI012392017100026",1,164169,40000,30620,93549
MDI01-239-PR GOVT DEGREE COLLEGE DEHAR,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 2588 Dt:23/07/2018] , Billno-MDI012392018100012",1,28248,0,0,28248
MDI01-239-PR GOVT DEGREE COLLEGE DEHAR,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 3215 Dt:31/08/2018] , Billno-MDI012392018100024",1,22259,0,0,22259
MDI01-239-PR GOVT DEGREE COLLEGE DEHAR,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 336 Dt:07/07/2018] , Billno-MDI01239062018-001",1,317424,110000,60240,147184
MDI01-239-PR GOVT DEGREE COLLEGE DEHAR,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 3364 Dt:31/07/2018] , Billno-MDI012392018100013",1,21488,0,1913,19575
MDI01-239-PR GOVT DEGREE COLLEGE DEHAR,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 337 Dt:07/07/2018] , Billno-MDI01239062018-002",1,173773,0,19838,153935
MDI01-239-PR GOVT DEGREE COLLEGE DEHAR,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 338 Dt:07/07/2018] , Billno-MDI01239062018-003",1,54948,0,7903,47045
MDI01-239-PR GOVT DEGREE COLLEGE DEHAR,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 377 Dt:07/04/2018] , Billno-MDI01239032018-001",1,317424,90000,60240,167184
MDI01-239-PR GOVT DEGREE COLLEGE DEHAR,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 378 Dt:07/04/2018] , Billno-MDI01239032018-002",1,170369,0,19362,151007
MDI01-239-PR GOVT DEGREE COLLEGE DEHAR,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 379 Dt:07/04/2018] , Billno-MDI01239032018-003",1,54948,0,1997,52951
MDI01-239-PR GOVT DEGREE COLLEGE DEHAR,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 392 Dt:10/05/2018] , Billno-MDI01239042018-001",1,317424,90000,60240,167184
MDI01-239-PR GOVT DEGREE COLLEGE DEHAR,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 393 Dt:10/05/2018] , Billno-MDI01239042018-002",1,170369,0,19530,150839
MDI01-239-PR GOVT DEGREE COLLEGE DEHAR,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 394 Dt:10/05/2018] , Billno-MDI01239042018-003",1,65874,0,4970,60904
MDI01-239-PR GOVT DEGREE COLLEGE DEHAR,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 3992 Dt:28/02/2018] , Billno-MDI012392017100045",1,21959,21959,0,0
MDI01-239-PR GOVT DEGREE COLLEGE DEHAR,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 3993 Dt:28/02/2018] , Billno-MDI012392017100047",1,3888,0,390,3498
MDI01-239-PR GOVT DEGREE COLLEGE DEHAR,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 3994 Dt:28/02/2018] , Billno-MDI012392017100048",1,2130,0,114,2016
MDI01-239-PR GOVT DEGREE COLLEGE DEHAR,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 3998 Dt:28/02/2018] , Billno-MDI012392017100049",1,1473,0,147,1326
MDI01-239-PR GOVT DEGREE COLLEGE DEHAR,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 3999 Dt:28/02/2018] , Billno-MDI012392017100051",1,8010,0,804,7206
MDI01-239-PR GOVT DEGREE COLLEGE DEHAR,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 4404 Dt:31/10/2017] , Billno-MDI012392017100016",1,20121,20121,0,0
MDI01-239-PR GOVT DEGREE COLLEGE DEHAR,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 445 Dt:07/02/2018] , Billno-MDI01239012018-001",1,303369,90000,50740,162629
MDI01-239-PR GOVT DEGREE COLLEGE DEHAR,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 446 Dt:07/02/2018] , Billno-MDI01239012018-002",1,111244,0,14207,97037
MDI01-239-PR GOVT DEGREE COLLEGE DEHAR,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 447 Dt:07/02/2018] , Billno-MDI01239012018-003",1,53836,0,5155,48681
MDI01-239-PR GOVT DEGREE COLLEGE DEHAR,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 448 Dt:07/02/2018] , Billno-MDI01239012018-004",1,47676,0,1484,46192
MDI01-239-PR GOVT DEGREE COLLEGE DEHAR,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 449 Dt:07/02/2018] , Billno-MDI01239012018-005",1,21507,0,1987,19520
MDI01-239-PR GOVT DEGREE COLLEGE DEHAR,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 458 Dt:08/06/2018] , Billno-MDI01239052018-001",1,317424,110000,60240,147184
MDI01-239-PR GOVT DEGREE COLLEGE DEHAR,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 459 Dt:08/06/2018] , Billno-MDI01239052018-002",1,173773,0,19838,153935
MDI01-239-PR GOVT DEGREE COLLEGE DEHAR,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 460 Dt:08/06/2018] , Billno-MDI01239052018-003",1,71336,0,7918,63418
MDI01-239-PR GOVT DEGREE COLLEGE DEHAR,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 464 Dt:06/12/2017] , Billno-MDI01239112017-001",1,299689,90000,50900,158789
MDI01-239-PR GOVT DEGREE COLLEGE DEHAR,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 465 Dt:06/12/2017] , Billno-MDI01239112017-002",1,109909,0,7209,102700
MDI01-239-PR GOVT DEGREE COLLEGE DEHAR,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 466 Dt:06/12/2017] , Billno-MDI01239112017-003",1,53188,0,5170,48018
MDI01-239-PR GOVT DEGREE COLLEGE DEHAR,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 466 Dt:07/06/2017] , Billno-MDI01239052017-001",1,147487,60000,21120,66367
MDI01-239-PR GOVT DEGREE COLLEGE DEHAR,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 467 Dt:06/12/2017] , Billno-MDI01239112017-004",1,47118,0,1706,45412
MDI01-239-PR GOVT DEGREE COLLEGE DEHAR,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 468 Dt:06/12/2017] , Billno-MDI01239112017-005",1,21258,0,2042,19216
MDI01-239-PR GOVT DEGREE COLLEGE DEHAR,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 4761 Dt:31/10/2017] , Billno-MDI012392017100013",1,34586,34586,0,0
MDI01-239-PR GOVT DEGREE COLLEGE DEHAR,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 477 Dt:07/03/2018] , Billno-MDI01239022018-001",1,313182,90000,129169,94013
MDI01-239-PR GOVT DEGREE COLLEGE DEHAR,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 478 Dt:07/03/2018] , Billno-MDI01239022018-002",1,114805,0,58049,56756
MDI01-239-PR GOVT DEGREE COLLEGE DEHAR,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 479 Dt:07/03/2018] , Billno-MDI01239022018-003",1,55564,0,11521,44043
MDI01-239-PR GOVT DEGREE COLLEGE DEHAR,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 480 Dt:07/03/2018] , Billno-MDI01239022018-004",1,32776,0,10,32766
MDI01-239-PR GOVT DEGREE COLLEGE DEHAR,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 481 Dt:07/03/2018] , Billno-MDI01239022018-005",1,22172,0,1987,20185
MDI01-239-PR GOVT DEGREE COLLEGE DEHAR,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 483 Dt:09/01/2018] , Billno-MDI01239122017-001",1,299689,90000,50740,158949
MDI01-239-PR GOVT DEGREE COLLEGE DEHAR,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 484 Dt:09/01/2018] , Billno-MDI01239122017-002",1,109909,0,14073,95836
MDI01-239-PR GOVT DEGREE COLLEGE DEHAR,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 485 Dt:09/01/2018] , Billno-MDI01239122017-003",1,53188,0,5090,48098
MDI01-239-PR GOVT DEGREE COLLEGE DEHAR,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 486 Dt:09/01/2018] , Billno-MDI01239122017-004",1,47118,0,7214,39904
MDI01-239-PR GOVT DEGREE COLLEGE DEHAR,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 487 Dt:09/01/2018] , Billno-MDI01239122017-005",1,21258,0,1962,19296
MDI01-239-PR GOVT DEGREE COLLEGE DEHAR,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 525 Dt:08/11/2017] , Billno-MDI01239102017-001",1,135520,50000,20120,65400
MDI01-239-PR GOVT DEGREE COLLEGE DEHAR,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 526 Dt:08/11/2017] , Billno-MDI01239102017-002",1,109909,0,7049,102860
MDI01-239-PR GOVT DEGREE COLLEGE DEHAR,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 527 Dt:08/11/2017] , Billno-MDI01239102017-003",1,53188,0,36,53152
MDI01-239-PR GOVT DEGREE COLLEGE DEHAR,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 528 Dt:08/11/2017] , Billno-MDI01239102017-004",1,38503,0,1466,37037
MDI01-239-PR GOVT DEGREE COLLEGE DEHAR,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 529 Dt:08/11/2017] , Billno-MDI01239102017-005",1,21258,0,1962,19296
MDI01-239-PR GOVT DEGREE COLLEGE DEHAR,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 580 Dt:09/08/2017] , Billno-MDI01239072017-001",1,274764,78000,31240,165524
MDI01-239-PR GOVT DEGREE COLLEGE DEHAR,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 581 Dt:09/08/2017] , Billno-MDI01239072017-002",1,54887,0,6922,47965
MDI01-239-PR GOVT DEGREE COLLEGE DEHAR,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 582 Dt:09/08/2017] , Billno-MDI01239072017-003",1,45630,0,15,45615
MDI01-239-PR GOVT DEGREE COLLEGE DEHAR,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 583 Dt:09/08/2017] , Billno-MDI01239072017-004",1,19955,0,1871,18084
MDI01-239-PR GOVT DEGREE COLLEGE DEHAR,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 583 Dt:09/10/2017] , Billno-MDI01239092017-001",1,299689,110000,45240,144449
MDI01-239-PR GOVT DEGREE COLLEGE DEHAR,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 584 Dt:09/10/2017] , Billno-MDI01239092017-002",1,109909,0,7049,102860
MDI01-239-PR GOVT DEGREE COLLEGE DEHAR,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 585 Dt:09/10/2017] , Billno-MDI01239092017-003",1,31412,0,10,31402
MDI01-239-PR GOVT DEGREE COLLEGE DEHAR,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 586 Dt:09/10/2017] , Billno-MDI01239092017-004",1,20650,0,1903,18747
MDI01-239-PR GOVT DEGREE COLLEGE DEHAR,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 614 Dt:10/07/2017] , Billno-MDI01239062017-001",1,275164,78000,31240,165924
MDI01-239-PR GOVT DEGREE COLLEGE DEHAR,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 615 Dt:10/07/2017] , Billno-MDI01239062017-002",1,53313,0,6268,47045
MDI01-239-PR GOVT DEGREE COLLEGE DEHAR,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 616 Dt:10/07/2017] , Billno-MDI01239062017-003",1,43124,0,15,43109
MDI01-239-PR GOVT DEGREE COLLEGE DEHAR,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 6299 Dt:28/03/2018] , Billno-MDI012392017100061",1,14548,0,749,13799
MDI01-239-PR GOVT DEGREE COLLEGE DEHAR,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 6300 Dt:28/03/2018] , Billno-MDI012392017100060",1,16036,0,0,16036
MDI01-239-PR GOVT DEGREE COLLEGE DEHAR,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 6301 Dt:28/03/2018] , Billno-MDI012392017100059",1,3499,0,0,3499
MDI01-239-PR GOVT DEGREE COLLEGE DEHAR,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 6302 Dt:28/03/2018] , Billno-MDI012392017100058",1,59108,0,12177,46931
MDI01-239-PR GOVT DEGREE COLLEGE DEHAR,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 6303 Dt:28/03/2018] , Billno-MDI012392017100057",1,230735,159439,71296,0
MDI01-239-PR GOVT DEGREE COLLEGE DEHAR,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 635 Dt:08/09/2017] , Billno-MDI01239082017-001",1,279414,78000,31240,170174
MDI01-239-PR GOVT DEGREE COLLEGE DEHAR,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 636 Dt:08/09/2017] , Billno-MDI01239082017-002",1,108128,0,6958,101170
MDI01-239-PR GOVT DEGREE COLLEGE DEHAR,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 637 Dt:08/09/2017] , Billno-MDI01239082017-003",1,30916,0,10,30906
MDI01-239-PR GOVT DEGREE COLLEGE DEHAR,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 638 Dt:08/09/2017] , Billno-MDI01239082017-004",1,20277,0,1871,18406
MDI01-239-PR GOVT DEGREE COLLEGE DEHAR,08-2202-03-103-01-S00N-V-N-02-WAGES,"[TRVch# 1812 Dt:09/08/2018] , Billno-MDI012392018100020",1,6975,0,0,6975
MDI01-239-PR GOVT DEGREE COLLEGE DEHAR,08-2202-03-103-01-S00N-V-N-02-WAGES,"[TRVch# 2059 Dt:27/04/2018] , Billno-MDI012392018100001",1,6510,0,0,6510
MDI01-239-PR GOVT DEGREE COLLEGE DEHAR,08-2202-03-103-01-S00N-V-N-02-WAGES,"[TRVch# 2218 Dt:24/08/2017] , Billno-MDI012392017100005",1,8820,0,0,8820
MDI01-239-PR GOVT DEGREE COLLEGE DEHAR,08-2202-03-103-01-S00N-V-N-02-WAGES,"[TRVch# 2366 Dt:24/05/2018] , Billno-MDI012392018100002",1,6750,0,0,6750
MDI01-239-PR GOVT DEGREE COLLEGE DEHAR,08-2202-03-103-01-S00N-V-N-02-WAGES,"[TRVch# 2465 Dt:21/09/2017] , Billno-MDI012392017100008",1,6510,0,0,6510
