DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
MDI02-017-A.E. DEVELOPMENT JOGINDERNAGAR,Total, ,17,598425,0,70933,527492
MDI02-017-A.E. DEVELOPMENT JOGINDERNAGAR,20-2515-00-102-01-S00N-V-N-01-SALARIES,"[TRVch# 102 Dt:31/08/2018] , Billno-MDI020172018100003",1,7208,0,656,6552
MDI02-017-A.E. DEVELOPMENT JOGINDERNAGAR,20-2515-00-102-01-S00N-V-N-01-SALARIES,"[TRVch# 127 Dt:28/02/2018] , Billno-MDI020172017100005",1,2067,0,207,1860
MDI02-017-A.E. DEVELOPMENT JOGINDERNAGAR,20-2515-00-102-01-S00N-V-N-01-SALARIES,"[TRVch# 18 Dt:07/03/2018] , Billno-MDI02017022018-001",1,59044,0,12369,46675
MDI02-017-A.E. DEVELOPMENT JOGINDERNAGAR,20-2515-00-102-01-S00N-V-N-01-SALARIES,"[TRVch# 18 Dt:07/04/2018] , Billno-MDI02017032018-001",1,59044,0,12369,46675
MDI02-017-A.E. DEVELOPMENT JOGINDERNAGAR,20-2515-00-102-01-S00N-V-N-01-SALARIES,"[TRVch# 20 Dt:07/02/2018] , Billno-MDI02017012018-001",1,57208,0,12369,44839
MDI02-017-A.E. DEVELOPMENT JOGINDERNAGAR,20-2515-00-102-01-S00N-V-N-01-SALARIES,"[TRVch# 20 Dt:10/05/2018] , Billno-MDI02017042018-001",1,59044,0,6999,52045
MDI02-017-A.E. DEVELOPMENT JOGINDERNAGAR,20-2515-00-102-01-S00N-V-N-01-SALARIES,"[TRVch# 22 Dt:06/12/2017] , Billno-MDI02017112017-001",1,56519,0,1640,54879
MDI02-017-A.E. DEVELOPMENT JOGINDERNAGAR,20-2515-00-102-01-S00N-V-N-01-SALARIES,"[TRVch# 22 Dt:08/06/2018] , Billno-MDI02017052018-001",1,59044,0,6999,52045
MDI02-017-A.E. DEVELOPMENT JOGINDERNAGAR,20-2515-00-102-01-S00N-V-N-01-SALARIES,"[TRVch# 26 Dt:07/07/2018] , Billno-MDI02017062018-001",1,59044,0,6999,52045
MDI02-017-A.E. DEVELOPMENT JOGINDERNAGAR,20-2515-00-102-01-S00N-V-N-01-SALARIES,"[TRVch# 32 Dt:09/01/2018] , Billno-MDI02017122017-001",1,56519,0,1560,54959
MDI02-017-A.E. DEVELOPMENT JOGINDERNAGAR,20-2515-00-102-01-S00N-V-N-01-SALARIES,"[TRVch# 63 Dt:09/08/2018] , Billno-MDI02017072018-001",1,59044,0,6999,52045
MDI02-017-A.E. DEVELOPMENT JOGINDERNAGAR,20-2515-00-102-01-S00N-V-N-01-SALARIES,"[TRVch# 74 Dt:24/11/2017] , Billno-MDI020172017100002",1,56519,0,1560,54959
MDI02-017-A.E. DEVELOPMENT JOGINDERNAGAR,20-2515-00-102-01-S00N-V-N-01-SALARIES,"[TRVch# 90 Dt:22/02/2018] , Billno-MDI020172017100003",1,2067,0,207,1860
MDI02-017-A.E. DEVELOPMENT JOGINDERNAGAR,20-2515-00-102-01-S00N-V-N-05-OFFICE EXPENSES,"[TRVch# 126 Dt:28/02/2018] , Billno-MDI020172017100004",1,511,0,0,511
MDI02-017-A.E. DEVELOPMENT JOGINDERNAGAR,20-2515-00-102-01-S00N-V-N-05-OFFICE EXPENSES,"[TRVch# 152 Dt:28/03/2018] , Billno-MDI020172017100007",1,2054,0,0,2054
MDI02-017-A.E. DEVELOPMENT JOGINDERNAGAR,20-2515-00-102-01-S00N-V-N-05-OFFICE EXPENSES,"[TRVch# 64 Dt:09/08/2018] , Billno-MDI020172018100002",1,893,0,0,893
MDI02-017-A.E. DEVELOPMENT JOGINDERNAGAR,20-2515-00-102-01-S00N-V-N-05-OFFICE EXPENSES,"[TRVch# 73 Dt:24/11/2017] , Billno-MDI020172017100001",1,2596,0,0,2596
