DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
MDI02-818-FOREST DIVISION JOGINDERNAGAR,Total, ,735,135075827,22090028,3375347,109610452
MDI02-818-FOREST DIVISION JOGINDERNAGAR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 904 Dt:27/04/2017] , Billno-MDI028182017100001",1,250000,0,0,250000
MDI02-818-FOREST DIVISION JOGINDERNAGAR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 995 Dt:29/04/2017] , Billno-MDI028182017100013",1,650973,0,0,650973
MDI02-818-FOREST DIVISION JOGINDERNAGAR,16-2406-01-001-02-S00N-V-N-01-SALARIES,"[TRVch# 15 Dt:07/04/2017] , Billno-MDI02818032017-001",1,79614,29965,8318,41331
MDI02-818-FOREST DIVISION JOGINDERNAGAR,16-2406-01-001-02-S00N-V-N-01-SALARIES,"[TRVch# 16 Dt:07/04/2017] , Billno-MDI02818032017-002",1,53445,0,7418,46027
MDI02-818-FOREST DIVISION JOGINDERNAGAR,16-2406-01-001-02-S00N-V-N-01-SALARIES,"[TRVch# 17 Dt:07/04/2017] , Billno-MDI02818032017-003",1,2557156,965000,34180,1557976
MDI02-818-FOREST DIVISION JOGINDERNAGAR,16-2406-01-001-02-S00N-V-N-01-SALARIES,"[TRVch# 18 Dt:07/04/2017] , Billno-MDI02818032017-004",1,37135,0,3587,33548
MDI02-818-FOREST DIVISION JOGINDERNAGAR,16-2406-01-001-02-S00N-V-N-01-SALARIES,"[TRVch# 19 Dt:07/04/2017] , Billno-MDI02818032017-005",1,1284431,9000,99668,1175763
MDI02-818-FOREST DIVISION JOGINDERNAGAR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 160 Dt:08/05/2017] , Billno-MDI028182017100023",1,100000,0,0,100000
MDI02-818-FOREST DIVISION JOGINDERNAGAR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 507 Dt:22/05/2017] , Billno-MDI028182017100064",1,150000,0,0,150000
MDI02-818-FOREST DIVISION JOGINDERNAGAR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 845 Dt:31/05/2017] , Billno-MDI028182017100065",1,250000,0,0,250000
MDI02-818-FOREST DIVISION JOGINDERNAGAR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 851 Dt:31/05/2017] , Billno-MDI028182017100063",1,256101,0,0,256101
MDI02-818-FOREST DIVISION JOGINDERNAGAR,16-2406-01-001-02-S00N-V-N-01-SALARIES,"[TRVch# 103 Dt:22/05/2017] , Billno-MDI028182017100002",1,9183,9183,0,0
MDI02-818-FOREST DIVISION JOGINDERNAGAR,16-2406-01-001-02-S00N-V-N-01-SALARIES,"[TRVch# 104 Dt:22/05/2017] , Billno-MDI028182017100003",1,6152,0,617,5535
MDI02-818-FOREST DIVISION JOGINDERNAGAR,16-2406-01-001-02-S00N-V-N-01-SALARIES,"[TRVch# 105 Dt:22/05/2017] , Billno-MDI028182017100005",1,262878,262878,0,0
MDI02-818-FOREST DIVISION JOGINDERNAGAR,16-2406-01-001-02-S00N-V-N-01-SALARIES,"[TRVch# 106 Dt:22/05/2017] , Billno-MDI028182017100006",1,6080,0,467,5613
MDI02-818-FOREST DIVISION JOGINDERNAGAR,16-2406-01-001-02-S00N-V-N-01-SALARIES,"[TRVch# 107 Dt:22/05/2017] , Billno-MDI028182017100008",1,4188,0,420,3768
MDI02-818-FOREST DIVISION JOGINDERNAGAR,16-2406-01-001-02-S00N-V-N-01-SALARIES,"[TRVch# 108 Dt:22/05/2017] , Billno-MDI028182017100009",1,46208,0,0,46208
MDI02-818-FOREST DIVISION JOGINDERNAGAR,16-2406-01-001-02-S00N-V-N-01-SALARIES,"[TRVch# 109 Dt:22/05/2017] , Billno-MDI028182017100010",1,13724,0,0,13724
MDI02-818-FOREST DIVISION JOGINDERNAGAR,16-2406-01-001-02-S00N-V-N-01-SALARIES,"[TRVch# 110 Dt:22/05/2017] , Billno-MDI028182017100011",1,101828,0,10194,91634
MDI02-818-FOREST DIVISION JOGINDERNAGAR,16-2406-01-001-02-S00N-V-N-01-SALARIES,"[TRVch# 111 Dt:22/05/2017] , Billno-MDI028182017100012",1,2955,2955,0,0
MDI02-818-FOREST DIVISION JOGINDERNAGAR,16-2406-01-001-02-S00N-V-N-01-SALARIES,"[TRVch# 142 Dt:31/05/2017] , Billno-MDI028182017100025",1,11037,0,0,11037
MDI02-818-FOREST DIVISION JOGINDERNAGAR,16-2406-01-001-02-S00N-V-N-01-SALARIES,"[TRVch# 143 Dt:31/05/2017] , Billno-MDI028182017100027",1,20407,0,0,20407
MDI02-818-FOREST DIVISION JOGINDERNAGAR,16-2406-01-001-02-S00N-V-N-01-SALARIES,"[TRVch# 144 Dt:31/05/2017] , Billno-MDI028182017100028",1,20119,0,0,20119
MDI02-818-FOREST DIVISION JOGINDERNAGAR,16-2406-01-001-02-S00N-V-N-01-SALARIES,"[TRVch# 145 Dt:31/05/2017] , Billno-MDI028182017100030",1,20694,0,0,20694
MDI02-818-FOREST DIVISION JOGINDERNAGAR,16-2406-01-001-02-S00N-V-N-01-SALARIES,"[TRVch# 146 Dt:31/05/2017] , Billno-MDI028182017100031",1,20407,0,0,20407
MDI02-818-FOREST DIVISION JOGINDERNAGAR,16-2406-01-001-02-S00N-V-N-01-SALARIES,"[TRVch# 147 Dt:31/05/2017] , Billno-MDI028182017100034",1,21269,0,0,21269
MDI02-818-FOREST DIVISION JOGINDERNAGAR,16-2406-01-001-02-S00N-V-N-01-SALARIES,"[TRVch# 148 Dt:31/05/2017] , Billno-MDI028182017100035",1,20119,0,0,20119
MDI02-818-FOREST DIVISION JOGINDERNAGAR,16-2406-01-001-02-S00N-V-N-01-SALARIES,"[TRVch# 149 Dt:31/05/2017] , Billno-MDI028182017100036",1,20407,0,0,20407
MDI02-818-FOREST DIVISION JOGINDERNAGAR,16-2406-01-001-02-S00N-V-N-01-SALARIES,"[TRVch# 150 Dt:31/05/2017] , Billno-MDI028182017100041",1,19545,0,0,19545
MDI02-818-FOREST DIVISION JOGINDERNAGAR,16-2406-01-001-02-S00N-V-N-01-SALARIES,"[TRVch# 151 Dt:31/05/2017] , Billno-MDI028182017100043",1,20407,0,0,20407
MDI02-818-FOREST DIVISION JOGINDERNAGAR,16-2406-01-001-02-S00N-V-N-01-SALARIES,"[TRVch# 152 Dt:31/05/2017] , Billno-MDI028182017100044",1,28455,0,0,28455
