DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
MDI03-006-S.P.M THUNAG,Total, ,49,13850000,0,0,13850000
MDI03-006-S.P.M THUNAG,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 1 Dt:07/06/2017] , Billno-MDI030061768658001",1,300000,0,0,300000
MDI03-006-S.P.M THUNAG,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 1 Dt:09/10/2017] , Billno-MDI030061708658001",1,200000,0,0,200000
MDI03-006-S.P.M THUNAG,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 10 Dt:24/10/2017] , Billno-MDI030061708658002",1,300000,0,0,300000
MDI03-006-S.P.M THUNAG,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 11 Dt:22/05/2017] , Billno-MDI030061758658001",1,100000,0,0,100000
MDI03-006-S.P.M THUNAG,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 11 Dt:22/06/2017] , Billno-MDI030061768658003",1,300000,0,0,300000
MDI03-006-S.P.M THUNAG,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 12 Dt:22/05/2017] , Billno-MDI030061758658002",1,150000,0,0,150000
MDI03-006-S.P.M THUNAG,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 12 Dt:22/06/2017] , Billno-MDI030061768658004",1,300000,0,0,300000
MDI03-006-S.P.M THUNAG,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 13 Dt:22/05/2017] , Billno-MDI030061758658003",1,300000,0,0,300000
MDI03-006-S.P.M THUNAG,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 13 Dt:22/09/2017] , Billno-MDI030061798658001",1,500000,0,0,500000
MDI03-006-S.P.M THUNAG,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 14 Dt:22/09/2017] , Billno-MDI030061798658002",1,500000,0,0,500000
MDI03-006-S.P.M THUNAG,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 17 Dt:24/05/2018] , Billno-MDI030061858658003",1,500000,0,0,500000
MDI03-006-S.P.M THUNAG,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 18 Dt:24/05/2018] , Billno-MDI030061858658004",1,200000,0,0,200000
MDI03-006-S.P.M THUNAG,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 19 Dt:24/05/2018] , Billno-MDI030061858658005",1,300000,0,0,300000
MDI03-006-S.P.M THUNAG,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 2 Dt:07/02/2018] , Billno-MDI030061728658001",1,300000,0,0,300000
MDI03-006-S.P.M THUNAG,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 2 Dt:07/06/2017] , Billno-MDI030061768658002",1,300000,0,0,300000
MDI03-006-S.P.M THUNAG,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 21 Dt:31/08/2018] , Billno-MDI030061888658001",1,500000,0,0,500000
MDI03-006-S.P.M THUNAG,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 24 Dt:22/03/2018] , Billno-MDI030061738658002",1,200000,0,0,200000
MDI03-006-S.P.M THUNAG,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 25 Dt:22/03/2018] , Billno-MDI030061738658003",1,100000,0,0,100000
MDI03-006-S.P.M THUNAG,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 26 Dt:22/03/2018] , Billno-MDI030061738658004",1,100000,0,0,100000
MDI03-006-S.P.M THUNAG,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 26 Dt:31/10/2017] , Billno-MDI030061708658003",1,200000,0,0,200000
MDI03-006-S.P.M THUNAG,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 27 Dt:22/03/2018] , Billno-MDI030061738658005",1,500000,0,0,500000
MDI03-006-S.P.M THUNAG,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 27 Dt:30/06/2018] , Billno-MDI030061868658003",1,150000,0,0,150000
MDI03-006-S.P.M THUNAG,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 28 Dt:22/03/2018] , Billno-MDI030061738658006",1,200000,0,0,200000
MDI03-006-S.P.M THUNAG,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 29 Dt:31/07/2018] , Billno-MDI030061878658001",1,200000,0,0,200000
MDI03-006-S.P.M THUNAG,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 3 Dt:07/02/2018] , Billno-MDI030061728658002",1,200000,0,0,200000
MDI03-006-S.P.M THUNAG,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 3 Dt:10/05/2018] , Billno-MDI030061858658001",1,200000,0,0,200000
MDI03-006-S.P.M THUNAG,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 30 Dt:22/02/2018] , Billno-MDI030061728658003",1,100000,0,0,100000
MDI03-006-S.P.M THUNAG,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 30 Dt:31/05/2017] , Billno-MDI030061758658004",1,450000,0,0,450000
MDI03-006-S.P.M THUNAG,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 31 Dt:22/02/2018] , Billno-MDI030061728658004",1,120000,0,0,120000
MDI03-006-S.P.M THUNAG,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 32 Dt:22/02/2018] , Billno-MDI030061728658005",1,50000,0,0,50000
MDI03-006-S.P.M THUNAG,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 33 Dt:22/02/2018] , Billno-MDI030061728658006",1,230000,0,0,230000
MDI03-006-S.P.M THUNAG,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 37 Dt:27/04/2018] , Billno-MDI030061848658005",1,200000,0,0,200000
MDI03-006-S.P.M THUNAG,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 38 Dt:27/04/2018] , Billno-MDI030061848658006",1,500000,0,0,500000
MDI03-006-S.P.M THUNAG,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 39 Dt:27/04/2018] , Billno-MDI030061848658007",1,200000,0,0,200000
MDI03-006-S.P.M THUNAG,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 4 Dt:10/05/2018] , Billno-MDI030061858658002",1,100000,0,0,100000
MDI03-006-S.P.M THUNAG,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 41 Dt:28/03/2018] , Billno-MDI030061738658007",1,400000,0,0,400000
MDI03-006-S.P.M THUNAG,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 42 Dt:28/03/2018] , Billno-MDI030061738658008",1,300000,0,0,300000
MDI03-006-S.P.M THUNAG,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 49 Dt:31/05/2018] , Billno-MDI030061858658006",1,500000,0,0,500000
MDI03-006-S.P.M THUNAG,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 50 Dt:31/05/2018] , Billno-MDI030061858658007",1,500000,0,0,500000
MDI03-006-S.P.M THUNAG,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 6 Dt:21/06/2018] , Billno-MDI030061868658001",1,300000,0,0,300000
MDI03-006-S.P.M THUNAG,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 66 Dt:30/01/2018] , Billno-MDI030061718658001",1,300000,0,0,300000
MDI03-006-S.P.M THUNAG,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 67 Dt:30/01/2018] , Billno-MDI030061718658002",1,200000,0,0,200000
MDI03-006-S.P.M THUNAG,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 7 Dt:21/04/2017] , Billno-MDI030061748658001",1,500000,0,0,500000
MDI03-006-S.P.M THUNAG,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 7 Dt:21/06/2018] , Billno-MDI030061868658002",1,200000,0,0,200000
MDI03-006-S.P.M THUNAG,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 7 Dt:24/04/2018] , Billno-MDI030061848658003",1,300000,0,0,300000
MDI03-006-S.P.M THUNAG,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 8 Dt:21/04/2017] , Billno-MDI030061748658002",1,300000,0,0,300000
MDI03-006-S.P.M THUNAG,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 8 Dt:24/04/2018] , Billno-MDI030061848658004",1,100000,0,0,100000
MDI03-006-S.P.M THUNAG,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 9 Dt:07/03/2018] , Billno-MDI030061738658001",1,600000,0,0,600000
MDI03-006-S.P.M THUNAG,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 9 Dt:21/04/2017] , Billno-MDI030061748658003",1,300000,0,0,300000
