DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
MDI03-211-GSSS  SHIKAWADI,Total, ,127,9983790,2389765,559767,7034258
MDI03-211-GSSS  SHIKAWADI,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 996 Dt:29/04/2017] , Billno-MDI032112017100001",1,300000,0,0,300000
MDI03-211-GSSS  SHIKAWADI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 550 Dt:07/04/2017] , Billno-MDI03211032017-001",1,109939,30000,5200,74739
MDI03-211-GSSS  SHIKAWADI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 551 Dt:07/04/2017] , Billno-MDI03211032017-002",1,81317,30000,4987,46330
MDI03-211-GSSS  SHIKAWADI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 552 Dt:07/04/2017] , Billno-MDI03211032017-003",1,240968,47000,11069,182899
MDI03-211-GSSS  SHIKAWADI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 847 Dt:08/05/2017] , Billno-MDI03211042017-001",1,112303,35000,6886,70417
MDI03-211-GSSS  SHIKAWADI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 885 Dt:08/05/2017] , Billno-MDI032112017100002",1,12330,5586,1236,5508
MDI03-211-GSSS  SHIKAWADI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 848 Dt:08/05/2017] , Billno-MDI03211042017-002",1,82352,35000,11987,35365
MDI03-211-GSSS  SHIKAWADI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 849 Dt:08/05/2017] , Billno-MDI03211042017-003",1,245440,57000,13213,175227
MDI03-211-GSSS  SHIKAWADI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 886 Dt:08/05/2017] , Billno-MDI032112017100003",1,9191,8271,920,0
MDI03-211-GSSS  SHIKAWADI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 887 Dt:08/05/2017] , Billno-MDI032112017100004",1,23415,9957,2452,11006
MDI03-211-GSSS  SHIKAWADI,08-2202-02-109-01-S00N-V-N-03-TRAVEL EXPENSES,"[TRVch# 3169 Dt:22/05/2017] , Billno-MDI032112017100006",1,1916,0,0,1916
MDI03-211-GSSS  SHIKAWADI,08-2202-02-109-01-S00N-V-N-03-TRAVEL EXPENSES,"[TRVch# 3170 Dt:22/05/2017] , Billno-MDI032112017100005",1,8311,0,0,8311
MDI03-211-GSSS  SHIKAWADI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 919 Dt:07/06/2017] , Billno-MDI03211052017-001",1,112303,35000,6886,70417
MDI03-211-GSSS  SHIKAWADI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 920 Dt:07/06/2017] , Billno-MDI03211052017-002",1,82352,35000,11987,35365
MDI03-211-GSSS  SHIKAWADI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 921 Dt:07/06/2017] , Billno-MDI03211052017-003",1,245440,57000,14117,174323
MDI03-211-GSSS  SHIKAWADI,08-2202-02-109-01-S00N-V-N-06-MEDICAL REIMBURSEMENT,"[TRVch# 942 Dt:07/06/2017] , Billno-MDI032112017100009",1,747,0,0,747
MDI03-211-GSSS  SHIKAWADI,08-2202-02-800-01-S00N-V-N-41-GIA GENERAL (Salary),"[TRVch# 941 Dt:07/06/2017] , Billno-MDI032112017100008",1,119520,0,0,119520
MDI03-211-GSSS  SHIKAWADI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 865 Dt:10/07/2017] , Billno-MDI03211062017-001",1,78185,35000,3624,39561
MDI03-211-GSSS  SHIKAWADI,08-2202-01-800-06-S00N-V-P-41-GIA GENERAL (Salary),"[TRVch# 887 Dt:10/07/2017] , Billno-MDI032112017100011",1,31500,0,0,31500
MDI03-211-GSSS  SHIKAWADI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 866 Dt:10/07/2017] , Billno-MDI03211062017-002",1,82352,35000,11987,35365
MDI03-211-GSSS  SHIKAWADI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 867 Dt:10/07/2017] , Billno-MDI03211062017-003",1,246075,57000,14179,174896
MDI03-211-GSSS  SHIKAWADI,08-2202-02-800-01-S00N-V-N-41-GIA GENERAL (Salary),"[TRVch# 886 Dt:10/07/2017] , Billno-MDI032112017100010",1,44820,0,0,44820
MDI03-211-GSSS  SHIKAWADI,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 151 Dt:09/08/2017] , Billno-MDI032112017100016",1,150000,0,0,150000
MDI03-211-GSSS  SHIKAWADI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 786 Dt:09/08/2017] , Billno-MDI03211072017-001",1,78185,35000,3624,39561
MDI03-211-GSSS  SHIKAWADI,08-2202-01-800-06-S00N-V-P-41-GIA GENERAL (Salary),"[TRVch# 813 Dt:09/08/2017] , Billno-MDI032112017100012",1,2700,0,0,2700
MDI03-211-GSSS  SHIKAWADI,08-2202-01-800-06-S00N-V-P-41-GIA GENERAL (Salary),"[TRVch# 814 Dt:09/08/2017] , Billno-MDI032112017100013",1,11700,0,0,11700
MDI03-211-GSSS  SHIKAWADI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 787 Dt:09/08/2017] , Billno-MDI03211072017-002",1,82352,40000,11987,30365
MDI03-211-GSSS  SHIKAWADI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 788 Dt:09/08/2017] , Billno-MDI03211072017-003",1,195487,57000,8270,130217
MDI03-211-GSSS  SHIKAWADI,08-2202-02-800-01-S00N-V-N-41-GIA GENERAL (Salary),"[TRVch# 815 Dt:09/08/2017] , Billno-MDI032112017100014",1,8130,0,0,8130
MDI03-211-GSSS  SHIKAWADI,08-2202-02-800-01-S00N-V-N-41-GIA GENERAL (Salary),"[TRVch# 816 Dt:09/08/2017] , Billno-MDI032112017100015",1,42702,0,0,42702
MDI03-211-GSSS  SHIKAWADI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 877 Dt:08/09/2017] , Billno-MDI03211082017-001",1,79576,35000,3624,40952
MDI03-211-GSSS  SHIKAWADI,08-2202-01-800-06-S00N-V-P-41-GIA GENERAL (Salary),"[TRVch# 902 Dt:08/09/2017] , Billno-MDI032112017100017",1,11700,0,0,11700
MDI03-211-GSSS  SHIKAWADI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 878 Dt:08/09/2017] , Billno-MDI03211082017-002",1,83731,40000,11987,31744
MDI03-211-GSSS  SHIKAWADI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 879 Dt:08/09/2017] , Billno-MDI03211082017-003",1,200594,57000,8329,135265
MDI03-211-GSSS  SHIKAWADI,08-2202-02-109-01-S00N-V-N-03-TRAVEL EXPENSES,"[TRVch# 904 Dt:08/09/2017] , Billno-MDI032112017100019",1,288,0,0,288
MDI03-211-GSSS  SHIKAWADI,08-2202-02-800-01-S00N-V-N-41-GIA GENERAL (Salary),"[TRVch# 903 Dt:08/09/2017] , Billno-MDI032112017100018",1,52950,0,0,52950
MDI03-211-GSSS  SHIKAWADI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 4027 Dt:31/10/2017] , Billno-MDI032112017100026",1,2841,0,283,2558
MDI03-211-GSSS  SHIKAWADI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 4028 Dt:31/10/2017] , Billno-MDI032112017100027",1,7432,6688,744,0
MDI03-211-GSSS  SHIKAWADI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 784 Dt:09/10/2017] , Billno-MDI03211092017-001",1,80867,35000,3660,42207
MDI03-211-GSSS  SHIKAWADI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 4025 Dt:31/10/2017] , Billno-MDI032112017100023",1,11040,9936,1104,0
MDI03-211-GSSS  SHIKAWADI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 4026 Dt:31/10/2017] , Billno-MDI032112017100025",1,6946,0,1396,5550
MDI03-211-GSSS  SHIKAWADI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 4029 Dt:31/10/2017] , Billno-MDI032112017100028",1,8281,0,822,7459
MDI03-211-GSSS  SHIKAWADI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 4030 Dt:31/10/2017] , Billno-MDI032112017100029",1,12635,12003,632,0
MDI03-211-GSSS  SHIKAWADI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 785 Dt:09/10/2017] , Billno-MDI03211092017-002",1,85111,40000,11987,33124
MDI03-211-GSSS  SHIKAWADI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 786 Dt:09/10/2017] , Billno-MDI03211092017-003",1,200960,57000,8830,135130
MDI03-211-GSSS  SHIKAWADI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 787 Dt:09/10/2017] , Billno-MDI03211092017-004",1,55426,0,6271,49155
MDI03-211-GSSS  SHIKAWADI,08-2202-02-109-01-S00N-V-N-06-MEDICAL REIMBURSEMENT,"[TRVch# 2783 Dt:24/10/2017] , Billno-MDI032112017100020",1,884,0,0,884
MDI03-211-GSSS  SHIKAWADI,08-2202-02-800-01-S00N-V-N-41-GIA GENERAL (Salary),"[TRVch# 2784 Dt:24/10/2017] , Billno-MDI032112017100021",1,52950,0,0,52950
MDI03-211-GSSS  SHIKAWADI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 751 Dt:08/11/2017] , Billno-MDI03211102017-001",1,82568,35000,3660,43908
MDI03-211-GSSS  SHIKAWADI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 752 Dt:08/11/2017] , Billno-MDI03211102017-002",1,85111,40000,11987,33124
MDI03-211-GSSS  SHIKAWADI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 753 Dt:08/11/2017] , Billno-MDI03211102017-003",1,200960,57000,8830,135130
MDI03-211-GSSS  SHIKAWADI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 754 Dt:08/11/2017] , Billno-MDI03211102017-004",1,55426,0,6271,49155
MDI03-211-GSSS  SHIKAWADI,08-2202-02-109-01-S00N-V-N-05-OFFICE EXPENSES,"[TRVch# 2948 Dt:24/11/2017] , Billno-MDI032112017100033",1,1350,0,0,1350
MDI03-211-GSSS  SHIKAWADI,08-2202-02-800-01-S00N-V-N-41-GIA GENERAL (Salary),"[TRVch# 778 Dt:08/11/2017] , Billno-MDI032112017100031",1,55560,0,0,55560
MDI03-211-GSSS  SHIKAWADI,32-2202-01-789-15-S00N-V-P-41-GIA GENERAL (Salary),"[TRVch# 777 Dt:08/11/2017] , Billno-MDI032112017100030",1,28080,0,0,28080
MDI03-211-GSSS  SHIKAWADI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 719 Dt:06/12/2017] , Billno-MDI03211112017-001",1,59510,35000,1610,22900
MDI03-211-GSSS  SHIKAWADI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 720 Dt:06/12/2017] , Billno-MDI03211112017-002",1,23058,0,2210,20848
MDI03-211-GSSS  SHIKAWADI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 721 Dt:06/12/2017] , Billno-MDI03211112017-003",1,87638,40000,12067,35571
MDI03-211-GSSS  SHIKAWADI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 722 Dt:06/12/2017] , Billno-MDI03211112017-004",1,157216,0,14521,142695
MDI03-211-GSSS  SHIKAWADI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 723 Dt:06/12/2017] , Billno-MDI03211112017-005",1,100459,57000,1220,42239
MDI03-211-GSSS  SHIKAWADI,08-2202-02-800-01-S00N-V-N-41-GIA GENERAL (Salary),"[TRVch# 2487 Dt:21/12/2017] , Billno-MDI032112017100034",1,55560,0,0,55560
MDI03-211-GSSS  SHIKAWADI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 736 Dt:09/01/2018] , Billno-MDI03211122017-001",1,59510,35000,1530,22980
MDI03-211-GSSS  SHIKAWADI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 737 Dt:09/01/2018] , Billno-MDI03211122017-002",1,23058,0,2130,20928
MDI03-211-GSSS  SHIKAWADI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 738 Dt:09/01/2018] , Billno-MDI03211122017-003",1,87638,40000,16963,30675
MDI03-211-GSSS  SHIKAWADI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 739 Dt:09/01/2018] , Billno-MDI03211122017-004",1,157216,0,14041,143175
MDI03-211-GSSS  SHIKAWADI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 740 Dt:09/01/2018] , Billno-MDI03211122017-005",1,100459,57000,3060,40399
MDI03-211-GSSS  SHIKAWADI,08-2202-02-109-01-S00N-V-P-33-MATERIAL AND SUPPLY,"[TRVch# 2475 Dt:22/01/2018] , Billno-MDI032112017100041",1,59094,0,0,59094
MDI03-211-GSSS  SHIKAWADI,08-2202-02-800-01-S00N-V-N-41-GIA GENERAL (Salary),"[TRVch# 2474 Dt:22/01/2018] , Billno-MDI032112017100040",1,55560,0,0,55560
MDI03-211-GSSS  SHIKAWADI,32-2202-01-789-15-S00N-V-P-41-GIA GENERAL (Salary),"[TRVch# 2476 Dt:22/01/2018] , Billno-MDI032112017100039",1,7020,0,0,7020
MDI03-211-GSSS  SHIKAWADI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 4127 Dt:28/02/2018] , Billno-MDI032112017100043",1,4245,3141,1104,0
MDI03-211-GSSS  SHIKAWADI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 4128 Dt:28/02/2018] , Billno-MDI032112017100044",1,1626,0,162,1464
MDI03-211-GSSS  SHIKAWADI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 692 Dt:07/02/2018] , Billno-MDI03211012018-001",1,60228,35000,1530,23698
MDI03-211-GSSS  SHIKAWADI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 693 Dt:07/02/2018] , Billno-MDI03211012018-002",1,23329,0,2158,21171
