DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
MDI04-206-PR GSSS KATWACHI,Total, ,186,17426696,2586967,1029085,13810644
MDI04-206-PR GSSS KATWACHI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 608 Dt:07/04/2017] , Billno-MDI04206032017-001",1,168311,0,14010,154301
MDI04-206-PR GSSS KATWACHI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 609 Dt:07/04/2017] , Billno-MDI04206032017-002",1,64681,0,0,64681
MDI04-206-PR GSSS KATWACHI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 610 Dt:07/04/2017] , Billno-MDI04206032017-003",1,142942,65000,120,77822
MDI04-206-PR GSSS KATWACHI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 611 Dt:07/04/2017] , Billno-MDI04206032017-004",1,49391,0,4770,44621
MDI04-206-PR GSSS KATWACHI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 612 Dt:07/04/2017] , Billno-MDI04206032017-005",1,235509,97000,210,138299
MDI04-206-PR GSSS KATWACHI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 613 Dt:07/04/2017] , Billno-MDI04206032017-006",1,67405,0,6490,60915
MDI04-206-PR GSSS KATWACHI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 614 Dt:07/04/2017] , Billno-MDI04206032017-007",1,68008,0,0,68008
MDI04-206-PR GSSS KATWACHI,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 171 Dt:08/05/2017] , Billno-MDI042062017100007",1,600000,0,0,600000
MDI04-206-PR GSSS KATWACHI,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 886 Dt:31/05/2017] , Billno-MDI042062017100009",1,500000,0,0,500000
MDI04-206-PR GSSS KATWACHI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1000 Dt:08/05/2017] , Billno-MDI042062017100002",1,18739,0,1876,16863
MDI04-206-PR GSSS KATWACHI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 4642 Dt:31/05/2017] , Billno-MDI042062017000002",1,48459,0,9637,38822
MDI04-206-PR GSSS KATWACHI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 950 Dt:08/05/2017] , Billno-MDI04206042017-001",1,172403,0,17592,154811
MDI04-206-PR GSSS KATWACHI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 951 Dt:08/05/2017] , Billno-MDI04206042017-002",1,67981,0,0,67981
MDI04-206-PR GSSS KATWACHI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1001 Dt:08/05/2017] , Billno-MDI042062017100003",1,16362,16362,0,0
MDI04-206-PR GSSS KATWACHI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1002 Dt:08/05/2017] , Billno-MDI042062017100004",1,5562,0,554,5008
MDI04-206-PR GSSS KATWACHI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1003 Dt:08/05/2017] , Billno-MDI042062017100005",1,7647,0,762,6885
MDI04-206-PR GSSS KATWACHI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1004 Dt:08/05/2017] , Billno-MDI042062017100006",1,26846,26846,0,0
MDI04-206-PR GSSS KATWACHI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 952 Dt:08/05/2017] , Billno-MDI04206042017-003",1,146899,70000,12120,64779
MDI04-206-PR GSSS KATWACHI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 953 Dt:08/05/2017] , Billno-MDI04206042017-004",1,50013,0,5833,44180
MDI04-206-PR GSSS KATWACHI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 954 Dt:08/05/2017] , Billno-MDI04206042017-005",1,254059,97000,7225,149834
MDI04-206-PR GSSS KATWACHI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 955 Dt:08/05/2017] , Billno-MDI04206042017-006",1,68257,0,7575,60682
MDI04-206-PR GSSS KATWACHI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 956 Dt:08/05/2017] , Billno-MDI04206042017-007",1,71908,0,0,71908
MDI04-206-PR GSSS KATWACHI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 999 Dt:08/05/2017] , Billno-MDI042062017100001",1,6526,0,5,6521
MDI04-206-PR GSSS KATWACHI,08-2202-02-109-01-S00N-V-N-03-TRAVEL EXPENSES,"[TRVch# 1005 Dt:08/05/2017] , Billno-MDI042062017100008",1,2444,0,0,2444
