DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
MDI05-009-AE PWD SUB DIV LADBHAROL,Total, ,16,621000,0,480,620520
MDI05-009-AE PWD SUB DIV LADBHAROL,10-3054-04-105-02-S00N-V-N-02-WAGES,"[TRVch# 1041 Dt:31/03/2018] , Billno-MDI050092017000012",1,26040,0,0,26040
MDI05-009-AE PWD SUB DIV LADBHAROL,10-3054-04-105-02-S00N-V-N-02-WAGES,"[TRVch# 159 Dt:09/01/2018] , Billno-MDI050092017000009",1,38640,0,0,38640
MDI05-009-AE PWD SUB DIV LADBHAROL,10-3054-04-105-02-S00N-V-N-02-WAGES,"[TRVch# 306 Dt:24/08/2017] , Billno-MDI050092017000004",1,51240,0,0,51240
MDI05-009-AE PWD SUB DIV LADBHAROL,10-3054-04-105-02-S00N-V-N-02-WAGES,"[TRVch# 339 Dt:23/10/2017] , Billno-MDI050092017000006",1,46200,0,0,46200
MDI05-009-AE PWD SUB DIV LADBHAROL,10-3054-04-105-02-S00N-V-N-02-WAGES,"[TRVch# 347 Dt:24/11/2017] , Billno-MDI050092017000007",1,38640,0,0,38640
MDI05-009-AE PWD SUB DIV LADBHAROL,10-3054-04-105-02-S00N-V-N-02-WAGES,"[TRVch# 356 Dt:22/06/2017] , Billno-MDI050092017000002",1,70980,0,0,70980
MDI05-009-AE PWD SUB DIV LADBHAROL,10-3054-04-105-02-S00N-V-N-02-WAGES,"[TRVch# 368 Dt:22/09/2017] , Billno-MDI050092017000005",1,52080,0,0,52080
MDI05-009-AE PWD SUB DIV LADBHAROL,10-3054-04-105-02-S00N-V-N-02-WAGES,"[TRVch# 372 Dt:27/08/2018] , Billno-MDI050092018000005",1,13950,0,0,13950
MDI05-009-AE PWD SUB DIV LADBHAROL,10-3054-04-105-02-S00N-V-N-02-WAGES,"[TRVch# 381 Dt:23/07/2018] , Billno-MDI050092018000003",1,13500,0,0,13500
MDI05-009-AE PWD SUB DIV LADBHAROL,10-3054-04-105-02-S00N-V-N-02-WAGES,"[TRVch# 415 Dt:22/03/2018] , Billno-MDI050092017000011",1,23520,0,0,23520
MDI05-009-AE PWD SUB DIV LADBHAROL,10-3054-04-105-02-S00N-V-N-02-WAGES,"[TRVch# 423 Dt:21/12/2017] , Billno-MDI050092017000008",1,37380,0,480,36900
MDI05-009-AE PWD SUB DIV LADBHAROL,10-3054-04-105-02-S00N-V-N-02-WAGES,"[TRVch# 438 Dt:24/05/2018] , Billno-MDI050092018000001",1,18480,0,0,18480
MDI05-009-AE PWD SUB DIV LADBHAROL,10-3054-04-105-02-S00N-V-N-02-WAGES,"[TRVch# 467 Dt:31/05/2017] , Billno-MDI050092017000001",1,69300,0,0,69300
MDI05-009-AE PWD SUB DIV LADBHAROL,10-3054-04-105-02-S00N-V-N-02-WAGES,"[TRVch# 475 Dt:22/02/2018] , Billno-MDI050092017000010",1,38010,0,0,38010
MDI05-009-AE PWD SUB DIV LADBHAROL,10-3054-04-105-02-S00N-V-N-02-WAGES,"[TRVch# 487 Dt:29/07/2017] , Billno-MDI050092017000003",1,69090,0,0,69090
MDI05-009-AE PWD SUB DIV LADBHAROL,10-3054-04-105-02-S00N-V-N-02-WAGES,"[TRVch# 568 Dt:21/06/2018] , Billno-MDI050092018000002",1,13950,0,0,13950
