DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
MDI07-685-E E GOHAR DIVISION,Total, ,20,4183150,0,253221,3929929
MDI07-685-E E GOHAR DIVISION,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 143 Dt:21/09/2017] , Billno-MDI076850300154335",1,20000,0,0,20000
MDI07-685-E E GOHAR DIVISION,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 144 Dt:21/09/2017] , Billno-MDI076850300154336",1,10000,0,0,10000
MDI07-685-E E GOHAR DIVISION,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 167 Dt:28/02/2018] , Billno-MDI076850300204870",1,1015,0,0,1015
MDI07-685-E E GOHAR DIVISION,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 207 Dt:30/12/2017] , Billno-MDI076850300204867",1,3152,0,0,3152
MDI07-685-E E GOHAR DIVISION,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 218 Dt:29/09/2017] , Billno-MDI076850300204865",1,9950,0,0,9950
MDI07-685-E E GOHAR DIVISION,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 218 Dt:30/01/2018] , Billno-MDI076850300204868",1,1037,0,0,1037
MDI07-685-E E GOHAR DIVISION,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 218 Dt:30/06/2018] , Billno-MDI076850300204875",1,1018,0,0,1018
MDI07-685-E E GOHAR DIVISION,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 219 Dt:30/11/2017] , Billno-MDI076850300204866",1,3472402,0,0,3472402
MDI07-685-E E GOHAR DIVISION,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 236 Dt:28/03/2018] , Billno-MDI076850300204872",1,98888,0,0,98888
MDI07-685-E E GOHAR DIVISION,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 247 Dt:31/07/2018] , Billno-MDI076850300204876",1,23133,0,0,23133
MDI07-685-E E GOHAR DIVISION,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 414 Dt:31/03/2018] , Billno-MDI076850300204873",1,20027,0,0,20027
MDI07-685-E E GOHAR DIVISION,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 51 Dt:24/05/2018] , Billno-MDI076850300204874",1,63154,0,0,63154
MDI07-685-E E GOHAR DIVISION,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 58 Dt:23/08/2018] , Billno-MDI076850300204877",1,62686,0,0,62686
MDI07-685-E E GOHAR DIVISION,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 60 Dt:22/02/2018] , Billno-MDI076850300204869",1,93467,0,0,93467
MDI07-685-E E GOHAR DIVISION,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 65 Dt:19/03/2018] , Billno-MDI076850300204871",1,22000,0,0,22000
MDI07-685-E E GOHAR DIVISION,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 75 Dt:21/04/2017] , Billno-MDI076851748782001",1,23767,0,23767,0
MDI07-685-E E GOHAR DIVISION,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 76 Dt:21/04/2017] , Billno-MDI076851748782002",1,101596,0,101596,0
MDI07-685-E E GOHAR DIVISION,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 77 Dt:21/04/2017] , Billno-MDI076851748782003",1,127858,0,127858,0
MDI07-685-E E GOHAR DIVISION,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 80 Dt:20/07/2017] , Billno-MDI076850300154334",1,25000,0,0,25000
MDI07-685-E E GOHAR DIVISION,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 95 Dt:24/11/2017] , Billno-MDI076850300154337",1,3000,0,0,3000
