DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
MDI09-213-PRINCIPAL GSSS FARSH,Total, ,131,7883766,2236948,466838,5179980
MDI09-213-PRINCIPAL GSSS FARSH,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 856 Dt:07/04/2017] , Billno-MDI09213032017-001",1,54872,0,2006,52866
MDI09-213-PRINCIPAL GSSS FARSH,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 857 Dt:07/04/2017] , Billno-MDI09213032017-002",1,59513,40000,60,19453
MDI09-213-PRINCIPAL GSSS FARSH,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 858 Dt:07/04/2017] , Billno-MDI09213032017-003",1,87273,0,5085,82188
MDI09-213-PRINCIPAL GSSS FARSH,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 859 Dt:07/04/2017] , Billno-MDI09213032017-004",1,88722,56000,60,32662
MDI09-213-PRINCIPAL GSSS FARSH,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1385 Dt:08/05/2017] , Billno-MDI09213042017-001",1,39084,0,2032,37052
MDI09-213-PRINCIPAL GSSS FARSH,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 4872 Dt:31/05/2017] , Billno-MDI092132017100011",1,2367,0,234,2133
MDI09-213-PRINCIPAL GSSS FARSH,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1386 Dt:08/05/2017] , Billno-MDI09213042017-002",1,60265,40000,5060,15205
MDI09-213-PRINCIPAL GSSS FARSH,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1387 Dt:08/05/2017] , Billno-MDI09213042017-003",1,111541,0,12214,99327
MDI09-213-PRINCIPAL GSSS FARSH,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1388 Dt:08/05/2017] , Billno-MDI09213042017-004",1,90731,56000,5090,29641
MDI09-213-PRINCIPAL GSSS FARSH,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 4873 Dt:31/05/2017] , Billno-MDI092132017100012",1,6746,6746,0,0
MDI09-213-PRINCIPAL GSSS FARSH,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 4874 Dt:31/05/2017] , Billno-MDI092132017100013",1,9872,9872,0,0
MDI09-213-PRINCIPAL GSSS FARSH,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 4875 Dt:31/05/2017] , Billno-MDI092132017100014",1,8341,0,833,7508
MDI09-213-PRINCIPAL GSSS FARSH,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 4876 Dt:31/05/2017] , Billno-MDI092132017100015",1,1050,0,108,942
MDI09-213-PRINCIPAL GSSS FARSH,08-2202-02-109-01-S00N-V-N-03-TRAVEL EXPENSES,"[TRVch# 3364 Dt:22/05/2017] , Billno-MDI092132017100007",1,688,0,0,688
MDI09-213-PRINCIPAL GSSS FARSH,08-2202-02-109-01-S00N-V-N-03-TRAVEL EXPENSES,"[TRVch# 3365 Dt:22/05/2017] , Billno-MDI092132017100008",1,218,0,0,218
MDI09-213-PRINCIPAL GSSS FARSH,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1404 Dt:07/06/2017] , Billno-MDI09213052017-001",1,39084,0,2032,37052
MDI09-213-PRINCIPAL GSSS FARSH,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1405 Dt:07/06/2017] , Billno-MDI09213052017-002",1,60265,40000,5060,15205
MDI09-213-PRINCIPAL GSSS FARSH,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1406 Dt:07/06/2017] , Billno-MDI09213052017-003",1,111541,0,12214,99327
MDI09-213-PRINCIPAL GSSS FARSH,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1407 Dt:07/06/2017] , Billno-MDI09213052017-004",1,90731,56000,5090,29641
MDI09-213-PRINCIPAL GSSS FARSH,08-2202-02-109-01-S00N-V-N-03-TRAVEL EXPENSES,"[TRVch# 2818 Dt:22/06/2017] , Billno-MDI092132017100018",1,486,0,0,486
MDI09-213-PRINCIPAL GSSS FARSH,08-2202-02-109-01-S00N-V-N-03-TRAVEL EXPENSES,"[TRVch# 2827 Dt:22/06/2017] , Billno-MDI092132017100024",1,1025,0,0,1025
MDI09-213-PRINCIPAL GSSS FARSH,08-2202-02-109-01-S00N-V-N-03-TRAVEL EXPENSES,"[TRVch# 2828 Dt:22/06/2017] , Billno-MDI092132017100026",1,1453,0,0,1453
MDI09-213-PRINCIPAL GSSS FARSH,08-2202-02-109-01-S00N-V-N-06-MEDICAL REIMBURSEMENT,"[TRVch# 2817 Dt:22/06/2017] , Billno-MDI092132017100017",1,1640,0,0,1640
