DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
MDI10-021-SUBJECT MATTER SPECIALIST HORTICULTURE KARSOG,Total, ,298,21140018,2781140,487090,17871788
MDI10-021-SUBJECT MATTER SPECIALIST HORTICULTURE KARSOG,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 1050 Dt:29/04/2017] , Billno-MDI100212017100018",1,450000,0,0,450000
MDI10-021-SUBJECT MATTER SPECIALIST HORTICULTURE KARSOG,00-8011-00-107-02-S00N-V-N-00- ,"[TRVch# 26 Dt:29/04/2017] , Billno-MDI100212017100013",1,84503,0,0,84503
MDI10-021-SUBJECT MATTER SPECIALIST HORTICULTURE KARSOG,12-2401-00-119-02-S00N-V-N-01-SALARIES,"[TRVch# 28 Dt:07/04/2017] , Billno-MDI10021032017-001",1,44804,0,12018,32786
MDI10-021-SUBJECT MATTER SPECIALIST HORTICULTURE KARSOG,12-2401-00-119-02-S00N-V-N-01-SALARIES,"[TRVch# 29 Dt:07/04/2017] , Billno-MDI10021032017-002",1,168888,48001,1932,118955
MDI10-021-SUBJECT MATTER SPECIALIST HORTICULTURE KARSOG,12-2401-00-119-02-S00N-V-N-01-SALARIES,"[TRVch# 30 Dt:07/04/2017] , Billno-MDI10021032017-003",1,19386,0,1849,17537
MDI10-021-SUBJECT MATTER SPECIALIST HORTICULTURE KARSOG,12-2401-00-119-05-S00N-V-N-01-SALARIES,"[TRVch# 31 Dt:07/04/2017] , Billno-MDI10021032017-004",1,27537,17000,15,10522
MDI10-021-SUBJECT MATTER SPECIALIST HORTICULTURE KARSOG,12-2401-00-119-11-S00N-V-N-01-SALARIES,"[TRVch# 32 Dt:07/04/2017] , Billno-MDI10021032017-005",1,79868,19000,1822,59046
MDI10-021-SUBJECT MATTER SPECIALIST HORTICULTURE KARSOG,12-2401-00-119-19-S00N-V-N-01-SALARIES,"[TRVch# 33 Dt:07/04/2017] , Billno-MDI10021032017-006",1,127572,31500,2629,93443
MDI10-021-SUBJECT MATTER SPECIALIST HORTICULTURE KARSOG,12-2401-00-119-02-S00N-V-N-01-SALARIES,"[TRVch# 186 Dt:22/05/2017] , Billno-MDI100212017100004",1,2115,0,213,1902
MDI10-021-SUBJECT MATTER SPECIALIST HORTICULTURE KARSOG,12-2401-00-119-02-S00N-V-N-01-SALARIES,"[TRVch# 187 Dt:22/05/2017] , Billno-MDI100212017100003",1,1928,0,192,1736
MDI10-021-SUBJECT MATTER SPECIALIST HORTICULTURE KARSOG,12-2401-00-119-02-S00N-V-N-01-SALARIES,"[TRVch# 188 Dt:22/05/2017] , Billno-MDI100212017100002",1,16776,16776,0,0
MDI10-021-SUBJECT MATTER SPECIALIST HORTICULTURE KARSOG,12-2401-00-119-02-S00N-V-N-01-SALARIES,"[TRVch# 189 Dt:22/05/2017] , Billno-MDI100212017100001",1,5130,0,513,4617
MDI10-021-SUBJECT MATTER SPECIALIST HORTICULTURE KARSOG,12-2401-00-119-02-S00N-V-N-01-SALARIES,"[TRVch# 64 Dt:08/05/2017] , Billno-MDI10021042017-001",1,45374,0,12075,33299
MDI10-021-SUBJECT MATTER SPECIALIST HORTICULTURE KARSOG,12-2401-00-119-02-S00N-V-N-01-SALARIES,"[TRVch# 65 Dt:08/05/2017] , Billno-MDI10021042017-002",1,171009,48001,1957,121051
MDI10-021-SUBJECT MATTER SPECIALIST HORTICULTURE KARSOG,12-2401-00-119-02-S00N-V-N-01-SALARIES,"[TRVch# 66 Dt:08/05/2017] , Billno-MDI10021042017-003",1,19628,0,1873,17755
MDI10-021-SUBJECT MATTER SPECIALIST HORTICULTURE KARSOG,12-2401-00-119-05-S00N-V-N-01-SALARIES,"[TRVch# 185 Dt:22/05/2017] , Billno-MDI100212017100005",1,3114,3114,0,0
MDI10-021-SUBJECT MATTER SPECIALIST HORTICULTURE KARSOG,12-2401-00-119-05-S00N-V-N-01-SALARIES,"[TRVch# 67 Dt:08/05/2017] , Billno-MDI10021042017-004",1,27883,17000,15,10868
MDI10-021-SUBJECT MATTER SPECIALIST HORTICULTURE KARSOG,12-2401-00-119-11-S00N-V-N-01-SALARIES,"[TRVch# 183 Dt:22/05/2017] , Billno-MDI100212017100007",1,2066,0,209,1857
MDI10-021-SUBJECT MATTER SPECIALIST HORTICULTURE KARSOG,12-2401-00-119-11-S00N-V-N-01-SALARIES,"[TRVch# 184 Dt:22/05/2017] , Billno-MDI100212017100006",1,6781,6781,0,0
MDI10-021-SUBJECT MATTER SPECIALIST HORTICULTURE KARSOG,12-2401-00-119-11-S00N-V-N-01-SALARIES,"[TRVch# 68 Dt:08/05/2017] , Billno-MDI10021042017-005",1,80873,22000,1846,57027
MDI10-021-SUBJECT MATTER SPECIALIST HORTICULTURE KARSOG,12-2401-00-119-19-S00N-V-N-01-SALARIES,"[TRVch# 180 Dt:22/05/2017] , Billno-MDI100212017100011",1,6534,0,0,6534
MDI10-021-SUBJECT MATTER SPECIALIST HORTICULTURE KARSOG,12-2401-00-119-19-S00N-V-N-01-SALARIES,"[TRVch# 181 Dt:22/05/2017] , Billno-MDI100212017100009",1,2745,0,279,2466
MDI10-021-SUBJECT MATTER SPECIALIST HORTICULTURE KARSOG,12-2401-00-119-19-S00N-V-N-01-SALARIES,"[TRVch# 182 Dt:22/05/2017] , Billno-MDI100212017100008",1,10746,10746,0,0
MDI10-021-SUBJECT MATTER SPECIALIST HORTICULTURE KARSOG,12-2401-00-119-19-S00N-V-N-01-SALARIES,"[TRVch# 69 Dt:08/05/2017] , Billno-MDI10021042017-006",1,129677,31500,3659,94518
