DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
MDI10-226-GSSS POKHI,Total, ,145,6025130,469950,598240,4956940
MDI10-226-GSSS POKHI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1024 Dt:07/04/2017] , Billno-MDI10226032017-001",1,26820,12000,15,14805
MDI10-226-GSSS POKHI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1025 Dt:07/04/2017] , Billno-MDI10226032017-002",1,87857,0,8367,79490
MDI10-226-GSSS POKHI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1026 Dt:07/04/2017] , Billno-MDI10226032017-003",1,16534,0,0,16534
MDI10-226-GSSS POKHI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1027 Dt:07/04/2017] , Billno-MDI10226032017-004",1,49441,0,4770,44671
MDI10-226-GSSS POKHI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1028 Dt:07/04/2017] , Billno-MDI10226032017-005",1,28579,14000,30,14549
MDI10-226-GSSS POKHI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1029 Dt:07/04/2017] , Billno-MDI10226032017-006",1,52060,0,3310,48750
MDI10-226-GSSS POKHI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1576 Dt:08/05/2017] , Billno-MDI10226042017-001",1,27157,12000,15,15142
MDI10-226-GSSS POKHI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1577 Dt:08/05/2017] , Billno-MDI10226042017-002",1,89109,0,8519,80590
MDI10-226-GSSS POKHI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1578 Dt:08/05/2017] , Billno-MDI10226042017-003",1,17434,0,0,17434
MDI10-226-GSSS POKHI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1660 Dt:08/05/2017] , Billno-MDI102262017100004",1,2993,2993,0,0
MDI10-226-GSSS POKHI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1661 Dt:08/05/2017] , Billno-MDI102262017100005",1,9929,0,994,8935
MDI10-226-GSSS POKHI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 4984 Dt:31/05/2017] , Billno-MDI102262017100006",1,350,0,0,350
MDI10-226-GSSS POKHI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1579 Dt:08/05/2017] , Billno-MDI10226042017-004",1,50063,0,6033,44030
MDI10-226-GSSS POKHI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1580 Dt:08/05/2017] , Billno-MDI10226042017-005",1,28941,14000,30,14911
MDI10-226-GSSS POKHI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1581 Dt:08/05/2017] , Billno-MDI10226042017-006",1,54579,0,10898,43681
MDI10-226-GSSS POKHI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1657 Dt:08/05/2017] , Billno-MDI102262017100001",1,5562,0,554,5008
MDI10-226-GSSS POKHI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1658 Dt:08/05/2017] , Billno-MDI102262017100002",1,3214,3214,0,0
MDI10-226-GSSS POKHI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1659 Dt:08/05/2017] , Billno-MDI102262017100003",1,3915,0,396,3519
