DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
MDI11-201-GSSS NARLA AT PADHAR,Total, ,191,57767736,14000393,3247402,40519941
MDI11-201-GSSS NARLA AT PADHAR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 1094 Dt:29/04/2017] , Billno-MDI112012017100001",1,575000,0,0,575000
MDI11-201-GSSS NARLA AT PADHAR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 1095 Dt:29/04/2017] , Billno-MDI112012017100002",1,400000,0,0,400000
MDI11-201-GSSS NARLA AT PADHAR,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1428 Dt:07/04/2017] , Billno-MDI11201032017-001",1,465979,225000,7534,233445
MDI11-201-GSSS NARLA AT PADHAR,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1429 Dt:07/04/2017] , Billno-MDI11201032017-002",1,388121,0,16070,372051
MDI11-201-GSSS NARLA AT PADHAR,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1430 Dt:07/04/2017] , Billno-MDI11201032017-003",1,84505,50000,120,34385
MDI11-201-GSSS NARLA AT PADHAR,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1431 Dt:07/04/2017] , Billno-MDI11201032017-004",1,1064645,409000,7939,647706
MDI11-201-GSSS NARLA AT PADHAR,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1432 Dt:07/04/2017] , Billno-MDI11201032017-005",1,51929,0,5068,46861
MDI11-201-GSSS NARLA AT PADHAR,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1433 Dt:07/04/2017] , Billno-MDI11201032017-006",1,311388,0,30995,280393
MDI11-201-GSSS NARLA AT PADHAR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 1079 Dt:31/05/2017] , Billno-MDI112012017100008",1,300000,0,0,300000
MDI11-201-GSSS NARLA AT PADHAR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 1080 Dt:31/05/2017] , Billno-MDI112012017100007",1,400000,0,0,400000
MDI11-201-GSSS NARLA AT PADHAR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 609 Dt:22/05/2017] , Billno-MDI112012017100006",1,400000,0,0,400000
MDI11-201-GSSS NARLA AT PADHAR,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1667 Dt:08/05/2017] , Billno-MDI11201042017-001",1,421715,218000,24504,179211
MDI11-201-GSSS NARLA AT PADHAR,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1668 Dt:08/05/2017] , Billno-MDI11201042017-002",1,454840,0,19710,435130
MDI11-201-GSSS NARLA AT PADHAR,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 3714 Dt:22/05/2017] , Billno-MDI112012017100003",1,7289,0,0,7289
MDI11-201-GSSS NARLA AT PADHAR,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 5841 Dt:31/05/2017] , Billno-MDI112012017100009",1,6526,0,5,6521
MDI11-201-GSSS NARLA AT PADHAR,08-2202-01-800-05-S00N-V-P-41-GIA GENERAL (Salary),"[TRVch# 3711 Dt:22/05/2017] , Billno-MDI112012017100005",1,81540,0,0,81540
MDI11-201-GSSS NARLA AT PADHAR,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1669 Dt:08/05/2017] , Billno-MDI11201042017-003",1,88121,50000,8120,30001
MDI11-201-GSSS NARLA AT PADHAR,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1670 Dt:08/05/2017] , Billno-MDI11201042017-004",1,1080981,405000,51024,624957
MDI11-201-GSSS NARLA AT PADHAR,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1751 Dt:08/05/2017] , Billno-MDI11201042017-005",1,52591,0,6134,46457
MDI11-201-GSSS NARLA AT PADHAR,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1752 Dt:08/05/2017] , Billno-MDI11201042017-006",1,317765,0,32021,285744
MDI11-201-GSSS NARLA AT PADHAR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 339 Dt:22/06/2017] , Billno-MDI112012017100019",1,30000,0,0,30000
MDI11-201-GSSS NARLA AT PADHAR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 340 Dt:22/06/2017] , Billno-MDI112012017100018",1,100000,0,0,100000
MDI11-201-GSSS NARLA AT PADHAR,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1699 Dt:07/06/2017] , Billno-MDI11201052017-001",1,423339,218000,24504,180835
MDI11-201-GSSS NARLA AT PADHAR,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1700 Dt:07/06/2017] , Billno-MDI11201052017-002",1,410846,0,12899,397947
MDI11-201-GSSS NARLA AT PADHAR,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1814 Dt:07/06/2017] , Billno-MDI112012017100011",1,17904,0,1800,16104
MDI11-201-GSSS NARLA AT PADHAR,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1815 Dt:07/06/2017] , Billno-MDI112012017100010",1,47045,47045,0,0
MDI11-201-GSSS NARLA AT PADHAR,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1701 Dt:07/06/2017] , Billno-MDI11201052017-003",1,88121,50000,8120,30001
MDI11-201-GSSS NARLA AT PADHAR,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1702 Dt:07/06/2017] , Billno-MDI11201052017-004",1,1086503,425000,51024,610479
MDI11-201-GSSS NARLA AT PADHAR,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1703 Dt:07/06/2017] , Billno-MDI11201052017-005",1,105676,0,12316,93360
MDI11-201-GSSS NARLA AT PADHAR,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1704 Dt:07/06/2017] , Billno-MDI11201052017-006",1,281706,0,28525,253181
MDI11-201-GSSS NARLA AT PADHAR,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1811 Dt:07/06/2017] , Billno-MDI112012017100015",1,9702,9702,0,0
MDI11-201-GSSS NARLA AT PADHAR,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1812 Dt:07/06/2017] , Billno-MDI112012017100016",1,6763,0,677,6086
MDI11-201-GSSS NARLA AT PADHAR,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1813 Dt:07/06/2017] , Billno-MDI112012017100014",1,28574,0,2863,25711
MDI11-201-GSSS NARLA AT PADHAR,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1816 Dt:07/06/2017] , Billno-MDI112012017100012",1,113136,113136,0,0
MDI11-201-GSSS NARLA AT PADHAR,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1817 Dt:07/06/2017] , Billno-MDI112012017100013",1,5838,0,582,5256
MDI11-201-GSSS NARLA AT PADHAR,08-2202-02-109-01-S00N-V-N-06-MEDICAL REIMBURSEMENT,"[TRVch# 3475 Dt:30/06/2017] , Billno-MDI112012017100020",1,1020,0,0,1020
MDI11-201-GSSS NARLA AT PADHAR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 968 Dt:31/07/2017] , Billno-MDI112012017100021",1,500000,0,0,500000
MDI11-201-GSSS NARLA AT PADHAR,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1589 Dt:10/07/2017] , Billno-MDI11201062017-001",1,480680,248000,25534,207146
MDI11-201-GSSS NARLA AT PADHAR,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1590 Dt:10/07/2017] , Billno-MDI11201062017-002",1,471225,0,12917,458308
MDI11-201-GSSS NARLA AT PADHAR,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1588 Dt:10/07/2017] , Billno-MDI11201062017-005",1,105676,0,12316,93360
