DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
MDI11-204-PR SSS ROPA,Total, ,225,23739318,4407880,883592,18447846
MDI11-204-PR SSS ROPA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1443 Dt:07/04/2017] , Billno-MDI11204032017-001",1,51727,10000,30,41697
MDI11-204-PR SSS ROPA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1444 Dt:07/04/2017] , Billno-MDI11204032017-002",1,185592,0,7427,178165
MDI11-204-PR SSS ROPA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1445 Dt:07/04/2017] , Billno-MDI11204032017-003",1,159138,100000,120,59018
MDI11-204-PR SSS ROPA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1446 Dt:07/04/2017] , Billno-MDI11204032017-004",1,313077,118000,285,194792
MDI11-204-PR SSS ROPA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1447 Dt:07/04/2017] , Billno-MDI11204032017-005",1,89013,0,1797,87216
MDI11-204-PR SSS ROPA,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 1088 Dt:31/05/2017] , Billno-MDI112042017100012",1,300000,0,0,300000
MDI11-204-PR SSS ROPA,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 596 Dt:22/05/2017] , Billno-MDI112042017100001",1,300000,0,0,300000
MDI11-204-PR SSS ROPA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1680 Dt:08/05/2017] , Billno-MDI11204042017-001",1,52380,10000,1030,41350
MDI11-204-PR SSS ROPA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1681 Dt:08/05/2017] , Billno-MDI11204042017-002",1,193398,0,7498,185900
MDI11-204-PR SSS ROPA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 3692 Dt:22/05/2017] , Billno-MDI112042017100003",1,5839,5839,0,0
MDI11-204-PR SSS ROPA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 3694 Dt:22/05/2017] , Billno-MDI112042017100002",1,6357,0,636,5721
MDI11-204-PR SSS ROPA,08-2202-01-800-05-S00N-V-P-41-GIA GENERAL (Salary),"[TRVch# 5852 Dt:31/05/2017] , Billno-MDI112042017100008",1,42390,0,0,42390
MDI11-204-PR SSS ROPA,08-2202-01-800-05-S00N-V-P-41-GIA GENERAL (Salary),"[TRVch# 5853 Dt:31/05/2017] , Billno-MDI112042017100009",1,27180,0,0,27180
MDI11-204-PR SSS ROPA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1682 Dt:08/05/2017] , Billno-MDI11204042017-003",1,156882,100000,15120,41762
MDI11-204-PR SSS ROPA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1683 Dt:08/05/2017] , Billno-MDI11204042017-004",1,346872,133000,9830,204042
MDI11-204-PR SSS ROPA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1684 Dt:08/05/2017] , Billno-MDI11204042017-005",1,124808,0,1866,122942
MDI11-204-PR SSS ROPA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 3690 Dt:22/05/2017] , Billno-MDI112042017100005",1,38151,38151,0,0
MDI11-204-PR SSS ROPA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 3691 Dt:22/05/2017] , Billno-MDI112042017100004",1,17829,17829,0,0
MDI11-204-PR SSS ROPA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 3693 Dt:22/05/2017] , Billno-MDI112042017100006",1,2066,0,209,1857
MDI11-204-PR SSS ROPA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 5850 Dt:31/05/2017] , Billno-MDI112042017100011",1,28071,8000,30,20041
MDI11-204-PR SSS ROPA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 5851 Dt:31/05/2017] , Billno-MDI112042017100007",1,12341,0,0,12341
MDI11-204-PR SSS ROPA,08-2202-02-109-01-S00N-V-N-02-WAGES,"[TRVch# 5849 Dt:31/05/2017] , Billno-MDI112042017100010",1,30200,0,0,30200
MDI11-204-PR SSS ROPA,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 588 Dt:30/06/2017] , Billno-MDI112042017100021",1,1000000,0,0,1000000
MDI11-204-PR SSS ROPA,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 589 Dt:30/06/2017] , Billno-MDI112042017100022",1,300000,0,0,300000
MDI11-204-PR SSS ROPA,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 595 Dt:30/06/2017] , Billno-MDI112042017100023",1,300000,0,0,300000
MDI11-204-PR SSS ROPA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1714 Dt:07/06/2017] , Billno-MDI11204052017-001",1,52380,10000,1030,41350
MDI11-204-PR SSS ROPA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1715 Dt:07/06/2017] , Billno-MDI11204052017-002",1,209703,0,7498,202205
MDI11-204-PR SSS ROPA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 2966 Dt:22/06/2017] , Billno-MDI112042017100019",1,10868,0,0,10868
MDI11-204-PR SSS ROPA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 2968 Dt:22/06/2017] , Billno-MDI112042017100016",1,11142,0,0,11142
MDI11-204-PR SSS ROPA,08-2202-01-800-05-S00N-V-P-41-GIA GENERAL (Salary),"[TRVch# 2969 Dt:22/06/2017] , Billno-MDI112042017100015",1,13590,0,0,13590
