DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
MDI12-247-PRINCIPAL ITI BHADROTA SARKAGHAT,Total, ,148,7175626,1497638,426160,5251828
MDI12-247-PRINCIPAL ITI BHADROTA SARKAGHAT,27-2230-03-003-05-S00N-V-N-01-SALARIES,"[TRVch# 44 Dt:07/04/2017] , Billno-MDI12247032017-001",1,83253,35000,60,48193
MDI12-247-PRINCIPAL ITI BHADROTA SARKAGHAT,27-2230-03-003-05-S00N-V-N-01-SALARIES,"[TRVch# 45 Dt:07/04/2017] , Billno-MDI12247032017-002",1,94414,37000,334,57080
MDI12-247-PRINCIPAL ITI BHADROTA SARKAGHAT,27-2230-03-003-05-S00N-V-N-01-SALARIES,"[TRVch# 46 Dt:07/04/2017] , Billno-MDI12247032017-003",1,115656,0,10756,104900
MDI12-247-PRINCIPAL ITI BHADROTA SARKAGHAT,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 191 Dt:08/05/2017] , Billno-MDI122472017100012",1,100000,0,0,100000
MDI12-247-PRINCIPAL ITI BHADROTA SARKAGHAT,27-2230-03-003-05-S00N-V-N-01-SALARIES,"[TRVch# 78 Dt:08/05/2017] , Billno-MDI12247042017-001",1,84319,35000,10060,39259
MDI12-247-PRINCIPAL ITI BHADROTA SARKAGHAT,27-2230-03-003-05-S00N-V-N-01-SALARIES,"[TRVch# 79 Dt:08/05/2017] , Billno-MDI12247042017-002",1,95613,42000,334,53279
MDI12-247-PRINCIPAL ITI BHADROTA SARKAGHAT,27-2230-03-003-05-S00N-V-N-01-SALARIES,"[TRVch# 80 Dt:08/05/2017] , Billno-MDI12247042017-003",1,117861,0,10880,106981
MDI12-247-PRINCIPAL ITI BHADROTA SARKAGHAT,27-2230-03-003-05-S00N-V-N-01-SALARIES,"[TRVch# 85 Dt:08/05/2017] , Billno-MDI122472017100003",1,9501,9501,0,0
MDI12-247-PRINCIPAL ITI BHADROTA SARKAGHAT,27-2230-03-003-05-S00N-V-N-01-SALARIES,"[TRVch# 86 Dt:08/05/2017] , Billno-MDI122472017100004",1,10588,10588,0,0
MDI12-247-PRINCIPAL ITI BHADROTA SARKAGHAT,27-2230-03-003-05-S00N-V-N-01-SALARIES,"[TRVch# 87 Dt:08/05/2017] , Billno-MDI122472017100005",1,11185,0,1120,10065
MDI12-247-PRINCIPAL ITI BHADROTA SARKAGHAT,27-2230-03-003-05-S00N-V-N-05-OFFICE EXPENSES,"[TRVch# 169 Dt:22/05/2017] , Billno-MDI122472017100023",1,2911,0,0,2911
MDI12-247-PRINCIPAL ITI BHADROTA SARKAGHAT,27-2230-03-003-05-S00N-V-N-06-MEDICAL REIMBURSEMENT,"[TRVch# 170 Dt:22/05/2017] , Billno-MDI122472017100022",1,1953,0,0,1953
MDI12-247-PRINCIPAL ITI BHADROTA SARKAGHAT,27-2230-03-003-05-S00N-V-N-06-MEDICAL REIMBURSEMENT,"[TRVch# 171 Dt:22/05/2017] , Billno-MDI122472017100021",1,1257,0,0,1257
MDI12-247-PRINCIPAL ITI BHADROTA SARKAGHAT,27-2230-03-003-05-S00N-V-N-06-MEDICAL REIMBURSEMENT,"[TRVch# 172 Dt:22/05/2017] , Billno-MDI122472017100019",1,771,0,0,771
MDI12-247-PRINCIPAL ITI BHADROTA SARKAGHAT,27-2230-03-003-05-S00N-V-N-06-MEDICAL REIMBURSEMENT,"[TRVch# 173 Dt:22/05/2017] , Billno-MDI122472017100018",1,500,0,0,500
MDI12-247-PRINCIPAL ITI BHADROTA SARKAGHAT,27-2230-03-003-05-S00N-V-N-06-MEDICAL REIMBURSEMENT,"[TRVch# 174 Dt:22/05/2017] , Billno-MDI122472017100017",1,1634,0,0,1634
MDI12-247-PRINCIPAL ITI BHADROTA SARKAGHAT,27-2230-03-003-05-S00N-V-N-06-MEDICAL REIMBURSEMENT,"[TRVch# 175 Dt:22/05/2017] , Billno-MDI122472017100016",1,1171,0,0,1171
MDI12-247-PRINCIPAL ITI BHADROTA SARKAGHAT,27-2230-03-003-05-S00N-V-N-06-MEDICAL REIMBURSEMENT,"[TRVch# 176 Dt:22/05/2017] , Billno-MDI122472017100015",1,2365,0,0,2365
MDI12-247-PRINCIPAL ITI BHADROTA SARKAGHAT,27-2230-03-003-05-S00N-V-N-06-MEDICAL REIMBURSEMENT,"[TRVch# 246 Dt:31/05/2017] , Billno-MDI122472017100024",1,74004,0,0,74004
MDI12-247-PRINCIPAL ITI BHADROTA SARKAGHAT,27-2230-03-003-05-S00N-V-N-06-MEDICAL REIMBURSEMENT,"[TRVch# 84 Dt:08/05/2017] , Billno-MDI122472017100006",1,22923,0,0,22923
MDI12-247-PRINCIPAL ITI BHADROTA SARKAGHAT,27-2230-03-003-05-S00N-V-N-06-MEDICAL REIMBURSEMENT,"[TRVch# 88 Dt:08/05/2017] , Billno-MDI122472017100001",1,277,0,0,277
MDI12-247-PRINCIPAL ITI BHADROTA SARKAGHAT,27-2230-03-003-05-S00N-V-N-06-MEDICAL REIMBURSEMENT,"[TRVch# 89 Dt:08/05/2017] , Billno-MDI122472017100002",1,489,0,0,489
MDI12-247-PRINCIPAL ITI BHADROTA SARKAGHAT,27-2230-03-003-05-S00N-V-N-06-MEDICAL REIMBURSEMENT,"[TRVch# 90 Dt:08/05/2017] , Billno-MDI122472017100008",1,2202,0,0,2202
MDI12-247-PRINCIPAL ITI BHADROTA SARKAGHAT,27-2230-03-003-05-S00N-V-N-06-MEDICAL REIMBURSEMENT,"[TRVch# 91 Dt:08/05/2017] , Billno-MDI122472017100009",1,1852,0,0,1852
MDI12-247-PRINCIPAL ITI BHADROTA SARKAGHAT,27-2230-03-003-05-S00N-V-N-06-MEDICAL REIMBURSEMENT,"[TRVch# 92 Dt:08/05/2017] , Billno-MDI122472017100010",1,2257,0,0,2257
MDI12-247-PRINCIPAL ITI BHADROTA SARKAGHAT,27-2230-03-003-05-S00N-V-N-06-MEDICAL REIMBURSEMENT,"[TRVch# 93 Dt:08/05/2017] , Billno-MDI122472017100011",1,1545,0,0,1545
MDI12-247-PRINCIPAL ITI BHADROTA SARKAGHAT,27-2230-03-003-05-S00N-V-N-01-SALARIES,"[TRVch# 53 Dt:07/06/2017] , Billno-MDI12247052017-001",1,84319,35000,10060,39259
MDI12-247-PRINCIPAL ITI BHADROTA SARKAGHAT,27-2230-03-003-05-S00N-V-N-01-SALARIES,"[TRVch# 54 Dt:07/06/2017] , Billno-MDI12247052017-002",1,95613,42000,5334,48279
MDI12-247-PRINCIPAL ITI BHADROTA SARKAGHAT,27-2230-03-003-05-S00N-V-N-01-SALARIES,"[TRVch# 55 Dt:07/06/2017] , Billno-MDI12247052017-003",1,117861,0,10880,106981
