DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
MDI13-002-SUB POST MASTER BALDWARA,Total, ,124,34011168,0,0,34011168
MDI13-002-SUB POST MASTER BALDWARA,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 2 Dt:07/04/2017] , Billno-MDI130021748658001",1,100000,0,0,100000
MDI13-002-SUB POST MASTER BALDWARA,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 40 Dt:29/04/2017] , Billno-MDI130021748658002",1,1000000,0,0,1000000
MDI13-002-SUB POST MASTER BALDWARA,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 41 Dt:29/04/2017] , Billno-MDI130021748658003",1,100000,0,0,100000
MDI13-002-SUB POST MASTER BALDWARA,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 44 Dt:31/05/2017] , Billno-MDI130021758658004",1,150000,0,0,150000
MDI13-002-SUB POST MASTER BALDWARA,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 45 Dt:31/05/2017] , Billno-MDI130021758658005",1,150000,0,0,150000
MDI13-002-SUB POST MASTER BALDWARA,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 46 Dt:31/05/2017] , Billno-MDI130021758658006",1,800000,0,0,800000
MDI13-002-SUB POST MASTER BALDWARA,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 47 Dt:31/05/2017] , Billno-MDI130021758658007",1,450000,0,0,450000
MDI13-002-SUB POST MASTER BALDWARA,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 48 Dt:31/05/2017] , Billno-MDI130021758658008",1,300000,0,0,300000
MDI13-002-SUB POST MASTER BALDWARA,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 49 Dt:31/05/2017] , Billno-MDI130021758658009",1,50000,0,0,50000
MDI13-002-SUB POST MASTER BALDWARA,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 6 Dt:08/05/2017] , Billno-MDI130021758658001",1,200000,0,0,200000
MDI13-002-SUB POST MASTER BALDWARA,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 7 Dt:08/05/2017] , Billno-MDI130021758658002",1,300000,0,0,300000
MDI13-002-SUB POST MASTER BALDWARA,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 8 Dt:08/05/2017] , Billno-MDI130021758658003",1,100000,0,0,100000
MDI13-002-SUB POST MASTER BALDWARA,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 34 Dt:30/06/2017] , Billno-MDI130021768658002",1,270000,0,0,270000
MDI13-002-SUB POST MASTER BALDWARA,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 35 Dt:30/06/2017] , Billno-MDI130021768658003",1,320000,0,0,320000
MDI13-002-SUB POST MASTER BALDWARA,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 36 Dt:30/06/2017] , Billno-MDI130021768658004",1,100000,0,0,100000
MDI13-002-SUB POST MASTER BALDWARA,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 37 Dt:30/06/2017] , Billno-MDI130021768658005",1,200000,0,0,200000
MDI13-002-SUB POST MASTER BALDWARA,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 38 Dt:30/06/2017] , Billno-MDI130021768658006",1,250000,0,0,250000
MDI13-002-SUB POST MASTER BALDWARA,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 39 Dt:30/06/2017] , Billno-MDI130021768658007",1,130000,0,0,130000
MDI13-002-SUB POST MASTER BALDWARA,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 40 Dt:30/06/2017] , Billno-MDI130021768658008",1,110000,0,0,110000
MDI13-002-SUB POST MASTER BALDWARA,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 41 Dt:30/06/2017] , Billno-MDI130021768658009",1,90000,0,0,90000
MDI13-002-SUB POST MASTER BALDWARA,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 5 Dt:07/06/2017] , Billno-MDI130021768658001",1,200000,0,0,200000
MDI13-002-SUB POST MASTER BALDWARA,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 18 Dt:31/07/2017] , Billno-MDI130021778658003",1,100000,0,0,100000
MDI13-002-SUB POST MASTER BALDWARA,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 19 Dt:31/07/2017] , Billno-MDI130021778658004",1,500000,0,0,500000
MDI13-002-SUB POST MASTER BALDWARA,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 20 Dt:31/07/2017] , Billno-MDI130021778658005",1,60000,0,0,60000
MDI13-002-SUB POST MASTER BALDWARA,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 21 Dt:31/07/2017] , Billno-MDI130021778658006",1,110000,0,0,110000
MDI13-002-SUB POST MASTER BALDWARA,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 22 Dt:31/07/2017] , Billno-MDI130021778658007",1,250000,0,0,250000
MDI13-002-SUB POST MASTER BALDWARA,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 23 Dt:31/07/2017] , Billno-MDI130021778658008",1,120000,0,0,120000
MDI13-002-SUB POST MASTER BALDWARA,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 5 Dt:10/07/2017] , Billno-MDI130021778658001",1,300000,0,0,300000
MDI13-002-SUB POST MASTER BALDWARA,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 6 Dt:10/07/2017] , Billno-MDI130021778658002",1,100000,0,0,100000
MDI13-002-SUB POST MASTER BALDWARA,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 11 Dt:24/08/2017] , Billno-MDI130021788658004",1,61168,0,0,61168
MDI13-002-SUB POST MASTER BALDWARA,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 12 Dt:24/08/2017] , Billno-MDI130021788658005",1,400000,0,0,400000
MDI13-002-SUB POST MASTER BALDWARA,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 18 Dt:31/08/2017] , Billno-MDI130021788658006",1,70000,0,0,70000
MDI13-002-SUB POST MASTER BALDWARA,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 19 Dt:31/08/2017] , Billno-MDI130021788658007",1,50000,0,0,50000
MDI13-002-SUB POST MASTER BALDWARA,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 20 Dt:31/08/2017] , Billno-MDI130021788658008",1,300000,0,0,300000
MDI13-002-SUB POST MASTER BALDWARA,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 3 Dt:09/08/2017] , Billno-MDI130021788658001",1,400000,0,0,400000
MDI13-002-SUB POST MASTER BALDWARA,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 4 Dt:09/08/2017] , Billno-MDI130021788658002",1,200000,0,0,200000
MDI13-002-SUB POST MASTER BALDWARA,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 5 Dt:09/08/2017] , Billno-MDI130021788658003",1,100000,0,0,100000
MDI13-002-SUB POST MASTER BALDWARA,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 23 Dt:29/09/2017] , Billno-MDI130021798658003",1,200000,0,0,200000
MDI13-002-SUB POST MASTER BALDWARA,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 24 Dt:29/09/2017] , Billno-MDI130021798658004",1,500000,0,0,500000
MDI13-002-SUB POST MASTER BALDWARA,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 25 Dt:29/09/2017] , Billno-MDI130021798658005",1,170000,0,0,170000
MDI13-002-SUB POST MASTER BALDWARA,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 26 Dt:29/09/2017] , Billno-MDI130021798658006",1,450000,0,0,450000
MDI13-002-SUB POST MASTER BALDWARA,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 27 Dt:29/09/2017] , Billno-MDI130021798658007",1,200000,0,0,200000
MDI13-002-SUB POST MASTER BALDWARA,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 7 Dt:08/09/2017] , Billno-MDI130021798658001",1,150000,0,0,150000
MDI13-002-SUB POST MASTER BALDWARA,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 8 Dt:08/09/2017] , Billno-MDI130021798658002",1,250000,0,0,250000
MDI13-002-SUB POST MASTER BALDWARA,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 34 Dt:31/10/2017] , Billno-MDI130021708658003",1,650000,0,0,650000
MDI13-002-SUB POST MASTER BALDWARA,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 35 Dt:31/10/2017] , Billno-MDI130021708658004",1,400000,0,0,400000
MDI13-002-SUB POST MASTER BALDWARA,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 36 Dt:31/10/2017] , Billno-MDI130021708658005",1,75000,0,0,75000
MDI13-002-SUB POST MASTER BALDWARA,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 37 Dt:31/10/2017] , Billno-MDI130021708658006",1,350000,0,0,350000
MDI13-002-SUB POST MASTER BALDWARA,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 38 Dt:31/10/2017] , Billno-MDI130021708658007",1,210000,0,0,210000
MDI13-002-SUB POST MASTER BALDWARA,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 39 Dt:31/10/2017] , Billno-MDI130021708658008",1,250000,0,0,250000
MDI13-002-SUB POST MASTER BALDWARA,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 4 Dt:09/10/2017] , Billno-MDI130021708658001",1,200000,0,0,200000
MDI13-002-SUB POST MASTER BALDWARA,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 40 Dt:31/10/2017] , Billno-MDI130021708658009",1,350000,0,0,350000
MDI13-002-SUB POST MASTER BALDWARA,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 41 Dt:31/10/2017] , Billno-MDI130021708658010",1,300000,0,0,300000
MDI13-002-SUB POST MASTER BALDWARA,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 5 Dt:09/10/2017] , Billno-MDI130021708658002",1,200000,0,0,200000
MDI13-002-SUB POST MASTER BALDWARA,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 15 Dt:30/11/2017] , Billno-MDI1300217A8658003",1,130000,0,0,130000
MDI13-002-SUB POST MASTER BALDWARA,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 16 Dt:30/11/2017] , Billno-MDI1300217A8658004",1,450000,0,0,450000
MDI13-002-SUB POST MASTER BALDWARA,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 17 Dt:30/11/2017] , Billno-MDI1300217A8658005",1,130000,0,0,130000
MDI13-002-SUB POST MASTER BALDWARA,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 3 Dt:08/11/2017] , Billno-MDI1300217A8658001",1,50000,0,0,50000
MDI13-002-SUB POST MASTER BALDWARA,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 4 Dt:08/11/2017] , Billno-MDI1300217A8658002",1,50000,0,0,50000
MDI13-002-SUB POST MASTER BALDWARA,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 10 Dt:30/12/2017] , Billno-MDI1300217B8658006",1,75000,0,0,75000
MDI13-002-SUB POST MASTER BALDWARA,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 11 Dt:30/12/2017] , Billno-MDI1300217B8658007",1,40000,0,0,40000
MDI13-002-SUB POST MASTER BALDWARA,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 12 Dt:30/12/2017] , Billno-MDI1300217B8658008",1,380000,0,0,380000
MDI13-002-SUB POST MASTER BALDWARA,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 13 Dt:30/12/2017] , Billno-MDI1300217B8658009",1,400000,0,0,400000
MDI13-002-SUB POST MASTER BALDWARA,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 2 Dt:06/12/2017] , Billno-MDI1300217B8658001",1,50000,0,0,50000
MDI13-002-SUB POST MASTER BALDWARA,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 6 Dt:30/12/2017] , Billno-MDI1300217B8658002",1,200000,0,0,200000
MDI13-002-SUB POST MASTER BALDWARA,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 7 Dt:30/12/2017] , Billno-MDI1300217B8658003",1,300000,0,0,300000
MDI13-002-SUB POST MASTER BALDWARA,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 8 Dt:30/12/2017] , Billno-MDI1300217B8658004",1,250000,0,0,250000
MDI13-002-SUB POST MASTER BALDWARA,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 9 Dt:30/12/2017] , Billno-MDI1300217B8658005",1,130000,0,0,130000
MDI13-002-SUB POST MASTER BALDWARA,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 25 Dt:22/01/2018] , Billno-MDI130021718658004",1,310000,0,0,310000
MDI13-002-SUB POST MASTER BALDWARA,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 4 Dt:09/01/2018] , Billno-MDI130021718658001",1,150000,0,0,150000
