DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
MDI13-208-GSSS  KOT-HATLI,Total, ,205,39062074,11316781,2058670,25686623
MDI13-208-GSSS  KOT-HATLI,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 1133 Dt:29/04/2017] , Billno-MDI132082017100003",1,300000,0,0,300000
MDI13-208-GSSS  KOT-HATLI,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 1139 Dt:29/04/2017] , Billno-MDI132082017100001",1,60000,0,0,60000
MDI13-208-GSSS  KOT-HATLI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1131 Dt:07/04/2017] , Billno-MDI13208032017-001",1,293364,125000,150,168214
MDI13-208-GSSS  KOT-HATLI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1132 Dt:07/04/2017] , Billno-MDI13208032017-002",1,152044,0,10223,141821
MDI13-208-GSSS  KOT-HATLI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1133 Dt:07/04/2017] , Billno-MDI13208032017-003",1,154782,28000,180,126602
MDI13-208-GSSS  KOT-HATLI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1134 Dt:07/04/2017] , Billno-MDI13208032017-004",1,597152,281100,540,315512
MDI13-208-GSSS  KOT-HATLI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1135 Dt:07/04/2017] , Billno-MDI13208032017-005",1,248831,0,20217,228614
MDI13-208-GSSS  KOT-HATLI,19-2235-60-200-12-S00N-V-N-20-OTHER CHARGES,"[TRVch# 118 Dt:29/04/2017] , Billno-MDI132082017100002",1,35000,0,0,35000
MDI13-208-GSSS  KOT-HATLI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 2019 Dt:08/05/2017] , Billno-MDI13208042017-001",1,227260,110000,7220,110040
MDI13-208-GSSS  KOT-HATLI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 2020 Dt:08/05/2017] , Billno-MDI13208042017-002",1,207475,0,13914,193561
