DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
MDI14-217-PRINCIPAL GSSS SHALLA,Total, ,135,11598492,2559300,751116,8288076
MDI14-217-PRINCIPAL GSSS SHALLA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1237 Dt:07/04/2017] , Billno-MDI14217032017-001",1,144650,50005,2627,92018
MDI14-217-PRINCIPAL GSSS SHALLA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1238 Dt:07/04/2017] , Billno-MDI14217032017-002",1,75358,25000,60,50298
MDI14-217-PRINCIPAL GSSS SHALLA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1239 Dt:07/04/2017] , Billno-MDI14217032017-003",1,220530,70000,6241,144289
MDI14-217-PRINCIPAL GSSS SHALLA,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 673 Dt:22/05/2017] , Billno-MDI142172017100005",1,150000,0,0,150000
MDI14-217-PRINCIPAL GSSS SHALLA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 2139 Dt:08/05/2017] , Billno-MDI14217042017-001",1,147076,60005,6153,80918
MDI14-217-PRINCIPAL GSSS SHALLA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 4066 Dt:22/05/2017] , Billno-MDI142172017100001",1,12267,12267,0,0
MDI14-217-PRINCIPAL GSSS SHALLA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 4071 Dt:22/05/2017] , Billno-MDI142172017100002",1,2296,0,233,2063
MDI14-217-PRINCIPAL GSSS SHALLA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 2140 Dt:08/05/2017] , Billno-MDI14217042017-002",1,76315,25000,6060,45255
MDI14-217-PRINCIPAL GSSS SHALLA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 2141 Dt:08/05/2017] , Billno-MDI14217042017-003",1,224686,72500,17389,134797
MDI14-217-PRINCIPAL GSSS SHALLA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 4069 Dt:22/05/2017] , Billno-MDI142172017100004",1,16062,16062,0,0
MDI14-217-PRINCIPAL GSSS SHALLA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 4070 Dt:22/05/2017] , Billno-MDI142172017100003",1,8445,8445,0,0
MDI14-217-PRINCIPAL GSSS SHALLA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 4152 Dt:22/05/2017] , Billno-MDI142172017100009",1,5950,0,595,5355
MDI14-217-PRINCIPAL GSSS SHALLA,08-2202-02-109-01-S00N-V-N-03-TRAVEL EXPENSES,"[TRVch# 4067 Dt:22/05/2017] , Billno-MDI142172017100007",1,2032,0,0,2032
MDI14-217-PRINCIPAL GSSS SHALLA,08-2202-02-109-01-S00N-V-N-03-TRAVEL EXPENSES,"[TRVch# 4068 Dt:22/05/2017] , Billno-MDI142172017100008",1,711,0,0,711
MDI14-217-PRINCIPAL GSSS SHALLA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 2222 Dt:07/06/2017] , Billno-MDI14217052017-001",1,147076,60005,6153,80918
