DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
MDI14-220-PRINCIPAL GSSS TAROUR,Total, ,117,9378869,2032955,492051,6853863
MDI14-220-PRINCIPAL GSSS TAROUR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 557 Dt:21/04/2017] , Billno-MDI142202017100001",1,300000,0,0,300000
MDI14-220-PRINCIPAL GSSS TAROUR,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1248 Dt:07/04/2017] , Billno-MDI14220032017-001",1,163755,53000,5611,105144
MDI14-220-PRINCIPAL GSSS TAROUR,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1249 Dt:07/04/2017] , Billno-MDI14220032017-002",1,71433,30000,60,41373
MDI14-220-PRINCIPAL GSSS TAROUR,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1250 Dt:07/04/2017] , Billno-MDI14220032017-003",1,41602,0,3925,37677
MDI14-220-PRINCIPAL GSSS TAROUR,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 2150 Dt:08/05/2017] , Billno-MDI14220042017-001",1,217122,68000,11998,137124
MDI14-220-PRINCIPAL GSSS TAROUR,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 4153 Dt:22/05/2017] , Billno-MDI142202017100005",1,18749,18749,0,0
MDI14-220-PRINCIPAL GSSS TAROUR,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 4158 Dt:22/05/2017] , Billno-MDI142202017100004",1,5753,0,0,5753
MDI14-220-PRINCIPAL GSSS TAROUR,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 2151 Dt:08/05/2017] , Billno-MDI14220042017-002",1,72342,32000,4060,36282
MDI14-220-PRINCIPAL GSSS TAROUR,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 2152 Dt:08/05/2017] , Billno-MDI14220042017-003",1,79648,0,10452,69196
MDI14-220-PRINCIPAL GSSS TAROUR,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 4154 Dt:22/05/2017] , Billno-MDI142202017100006",1,9424,0,856,8568
MDI14-220-PRINCIPAL GSSS TAROUR,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 4155 Dt:22/05/2017] , Billno-MDI142202017100007",1,8181,8181,0,0
MDI14-220-PRINCIPAL GSSS TAROUR,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 4157 Dt:22/05/2017] , Billno-MDI142202017100002",1,16951,0,0,16951
MDI14-220-PRINCIPAL GSSS TAROUR,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 4159 Dt:22/05/2017] , Billno-MDI142202017100003",1,17851,0,0,17851
MDI14-220-PRINCIPAL GSSS TAROUR,08-2202-02-109-01-S00N-V-N-02-WAGES,"[TRVch# 4156 Dt:22/05/2017] , Billno-MDI142202017100009",1,6300,0,0,6300
MDI14-220-PRINCIPAL GSSS TAROUR,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 2233 Dt:07/06/2017] , Billno-MDI14220052017-001",1,183407,68000,6405,109002
MDI14-220-PRINCIPAL GSSS TAROUR,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 2234 Dt:07/06/2017] , Billno-MDI14220052017-002",1,72342,32000,4060,36282
MDI14-220-PRINCIPAL GSSS TAROUR,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 2235 Dt:07/06/2017] , Billno-MDI14220052017-003",1,97499,0,10888,86611
MDI14-220-PRINCIPAL GSSS TAROUR,08-2202-02-109-01-S00N-V-N-02-WAGES,"[TRVch# 2263 Dt:07/06/2017] , Billno-MDI142202017100012",1,6510,0,0,6510
MDI14-220-PRINCIPAL GSSS TAROUR,29-2071-01-104-02-S00N-V-N-38-PENSIONS,"[TRVch# 63 Dt:07/06/2017] , Billno-MDI142202017100010",1,293591,0,0,293591
MDI14-220-PRINCIPAL GSSS TAROUR,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 2084 Dt:10/07/2017] , Billno-MDI14220062017-001",1,183407,68000,7831,107576
MDI14-220-PRINCIPAL GSSS TAROUR,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 2085 Dt:10/07/2017] , Billno-MDI14220062017-002",1,74480,32000,4060,38420
MDI14-220-PRINCIPAL GSSS TAROUR,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 2086 Dt:10/07/2017] , Billno-MDI14220062017-003",1,109794,0,11001,98793
MDI14-220-PRINCIPAL GSSS TAROUR,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1925 Dt:09/08/2017] , Billno-MDI14220072017-001",1,185158,68000,7831,109327
MDI14-220-PRINCIPAL GSSS TAROUR,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 3208 Dt:31/08/2017] , Billno-MDI142202017100013",1,65279,0,18,65261
MDI14-220-PRINCIPAL GSSS TAROUR,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1926 Dt:09/08/2017] , Billno-MDI14220072017-002",1,74480,32000,4060,38420
MDI14-220-PRINCIPAL GSSS TAROUR,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1940 Dt:09/08/2017] , Billno-MDI14220072017-003",1,117760,0,11323,106437
MDI14-220-PRINCIPAL GSSS TAROUR,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 3209 Dt:31/08/2017] , Billno-MDI142202017100014",1,858,0,0,858
MDI14-220-PRINCIPAL GSSS TAROUR,08-2202-02-109-01-S00N-V-N-02-WAGES,"[TRVch# 3196 Dt:31/08/2017] , Billno-MDI142202017100015",1,12810,0,0,12810
MDI14-220-PRINCIPAL GSSS TAROUR,08-2202-02-109-01-S00N-V-N-05-OFFICE EXPENSES,"[TRVch# 3210 Dt:31/08/2017] , Billno-MDI142202017100016",1,4855,0,0,4855
MDI14-220-PRINCIPAL GSSS TAROUR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 741 Dt:29/09/2017] , Billno-MDI142202017000001",1,262734,0,0,262734
MDI14-220-PRINCIPAL GSSS TAROUR,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 2127 Dt:08/09/2017] , Billno-MDI14220082017-001",1,224461,68000,7840,148621
MDI14-220-PRINCIPAL GSSS TAROUR,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 3291 Dt:29/09/2017] , Billno-MDI142202017100018",1,1190,0,0,1190
MDI14-220-PRINCIPAL GSSS TAROUR,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 2128 Dt:08/09/2017] , Billno-MDI14220082017-002",1,75728,32000,4060,39668
MDI14-220-PRINCIPAL GSSS TAROUR,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 2129 Dt:08/09/2017] , Billno-MDI14220082017-003",1,119694,0,11323,108371
MDI14-220-PRINCIPAL GSSS TAROUR,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 3292 Dt:29/09/2017] , Billno-MDI142202017100019",1,2380,0,0,2380
MDI14-220-PRINCIPAL GSSS TAROUR,08-2202-02-109-01-S00N-V-N-02-WAGES,"[TRVch# 2750 Dt:21/09/2017] , Billno-MDI142202017100017",1,6510,0,0,6510
MDI14-220-PRINCIPAL GSSS TAROUR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 726 Dt:31/10/2017] , Billno-MDI142202017100026",1,200000,0,0,200000
MDI14-220-PRINCIPAL GSSS TAROUR,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1960 Dt:09/10/2017] , Billno-MDI14220092017-001",1,178792,68000,6390,104402
MDI14-220-PRINCIPAL GSSS TAROUR,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1961 Dt:09/10/2017] , Billno-MDI14220092017-002",1,50983,0,1475,49508
MDI14-220-PRINCIPAL GSSS TAROUR,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 4649 Dt:31/10/2017] , Billno-MDI142202017100023",1,4113,0,125,3988
MDI14-220-PRINCIPAL GSSS TAROUR,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 4651 Dt:31/10/2017] , Billno-MDI142202017100021",1,22468,22468,0,0
MDI14-220-PRINCIPAL GSSS TAROUR,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1962 Dt:09/10/2017] , Billno-MDI14220092017-003",1,76976,32000,4060,40916
MDI14-220-PRINCIPAL GSSS TAROUR,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1963 Dt:09/10/2017] , Billno-MDI14220092017-004",1,95456,0,9650,85806
MDI14-220-PRINCIPAL GSSS TAROUR,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 4648 Dt:31/10/2017] , Billno-MDI142202017100024",1,9804,9804,0,0
MDI14-220-PRINCIPAL GSSS TAROUR,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 4650 Dt:31/10/2017] , Billno-MDI142202017100022",1,8413,0,737,7676
MDI14-220-PRINCIPAL GSSS TAROUR,08-2202-02-109-01-S00N-V-N-02-WAGES,"[TRVch# 4647 Dt:31/10/2017] , Billno-MDI142202017100025",1,6300,0,0,6300
MDI14-220-PRINCIPAL GSSS TAROUR,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 2032 Dt:08/11/2017] , Billno-MDI14220102017-001",1,178792,68000,6390,104402
MDI14-220-PRINCIPAL GSSS TAROUR,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 2033 Dt:08/11/2017] , Billno-MDI14220102017-002",1,50983,0,1475,49508
MDI14-220-PRINCIPAL GSSS TAROUR,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 2034 Dt:08/11/2017] , Billno-MDI14220102017-003",1,76976,32000,4060,40916
MDI14-220-PRINCIPAL GSSS TAROUR,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 2035 Dt:08/11/2017] , Billno-MDI14220102017-004",1,96015,0,9703,86312
MDI14-220-PRINCIPAL GSSS TAROUR,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 2036 Dt:08/11/2017] , Billno-MDI14220102017-005",1,19526,0,1852,17674
MDI14-220-PRINCIPAL GSSS TAROUR,08-2202-02-109-01-S00N-V-N-02-WAGES,"[TRVch# 3485 Dt:30/11/2017] , Billno-MDI142202017100027",1,6510,0,0,6510
MDI14-220-PRINCIPAL GSSS TAROUR,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1766 Dt:06/12/2017] , Billno-MDI14220112017-001",1,178792,68000,6630,104162
