DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
MDI15-001-B.D.O. DHARAMPUR,Total, ,132,13501160,3203060,398886,9899214
MDI15-001-B.D.O. DHARAMPUR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 585 Dt:21/04/2017] , Billno-MDI150012017100001",1,150000,0,0,150000
MDI15-001-B.D.O. DHARAMPUR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 586 Dt:21/04/2017] , Billno-MDI150012017100002",1,200000,0,0,200000
MDI15-001-B.D.O. DHARAMPUR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 587 Dt:21/04/2017] , Billno-MDI150012017100003",1,150000,0,0,150000
MDI15-001-B.D.O. DHARAMPUR,20-2515-00-102-01-S00N-V-N-01-SALARIES,"[TRVch# 30 Dt:07/04/2017] , Billno-MDI15001032017-001",1,36046,0,3833,32213
MDI15-001-B.D.O. DHARAMPUR,20-2515-00-102-01-S00N-V-N-01-SALARIES,"[TRVch# 31 Dt:07/04/2017] , Billno-MDI15001032017-002",1,418275,134000,300,283975
MDI15-001-B.D.O. DHARAMPUR,20-2515-00-102-01-S00N-V-N-01-SALARIES,"[TRVch# 32 Dt:07/04/2017] , Billno-MDI15001032017-003",1,79686,0,8133,71553
MDI15-001-B.D.O. DHARAMPUR,20-2515-00-102-01-S00N-V-N-01-SALARIES,"[TRVch# 50 Dt:29/04/2017] , Billno-MDI150012017100004",1,141904,60000,60,81844
MDI15-001-B.D.O. DHARAMPUR,20-2515-00-102-01-S00N-V-N-01-SALARIES,"[TRVch# 69 Dt:08/05/2017] , Billno-MDI15001042017-001",1,36505,0,3879,32626
MDI15-001-B.D.O. DHARAMPUR,20-2515-00-102-01-S00N-V-N-01-SALARIES,"[TRVch# 70 Dt:08/05/2017] , Billno-MDI15001042017-003",1,80682,0,8233,72449
MDI15-001-B.D.O. DHARAMPUR,20-2515-00-102-01-S00N-V-N-01-SALARIES,"[TRVch# 71 Dt:08/05/2017] , Billno-MDI15001042017-002",1,423290,154000,4285,265005
MDI15-001-B.D.O. DHARAMPUR,20-2515-00-102-01-S00N-V-N-02-WAGES,"[TRVch# 72 Dt:08/05/2017] , Billno-MDI150012017100005",1,15510,0,0,15510
MDI15-001-B.D.O. DHARAMPUR,20-2515-00-102-01-S00N-V-N-01-SALARIES,"[TRVch# 125 Dt:30/06/2017] , Billno-MDI150012017100015",1,2162,0,212,1950
MDI15-001-B.D.O. DHARAMPUR,20-2515-00-102-01-S00N-V-N-01-SALARIES,"[TRVch# 126 Dt:30/06/2017] , Billno-MDI150012017100012",1,5763,5763,0,0
MDI15-001-B.D.O. DHARAMPUR,20-2515-00-102-01-S00N-V-N-01-SALARIES,"[TRVch# 41 Dt:07/06/2017] , Billno-MDI15001052017-001",1,37636,0,3985,33651
MDI15-001-B.D.O. DHARAMPUR,20-2515-00-102-01-S00N-V-N-01-SALARIES,"[TRVch# 42 Dt:07/06/2017] , Billno-MDI15001052017-002",1,426274,154000,4285,267989
MDI15-001-B.D.O. DHARAMPUR,20-2515-00-102-01-S00N-V-N-01-SALARIES,"[TRVch# 43 Dt:07/06/2017] , Billno-MDI15001052017-003",1,80682,0,8233,72449
MDI15-001-B.D.O. DHARAMPUR,20-2515-00-102-01-S00N-V-N-01-SALARIES,"[TRVch# 44 Dt:07/06/2017] , Billno-MDI150012017100007",1,4131,0,414,3717
MDI15-001-B.D.O. DHARAMPUR,20-2515-00-102-01-S00N-V-N-01-SALARIES,"[TRVch# 45 Dt:07/06/2017] , Billno-MDI150012017100009",1,8876,0,892,7984
MDI15-001-B.D.O. DHARAMPUR,20-2515-00-102-01-S00N-V-N-01-SALARIES,"[TRVch# 46 Dt:07/06/2017] , Billno-MDI150012017100010",1,43094,41961,1133,0
MDI15-001-B.D.O. DHARAMPUR,20-2515-00-102-01-S00N-V-N-02-WAGES,"[TRVch# 47 Dt:07/06/2017] , Billno-MDI150012017100011",1,16027,0,0,16027
MDI15-001-B.D.O. DHARAMPUR,29-2071-01-115-01-S00N-V-N-38-PENSIONS,"[TRVch# 64 Dt:07/06/2017] , Billno-MDI150012017100006",1,18156,0,0,18156
MDI15-001-B.D.O. DHARAMPUR,20-2515-00-102-01-S00N-V-N-01-SALARIES,"[TRVch# 104 Dt:31/07/2017] , Billno-MDI150012017100024",1,13019,0,1245,11774
MDI15-001-B.D.O. DHARAMPUR,20-2515-00-102-01-S00N-V-N-01-SALARIES,"[TRVch# 105 Dt:31/07/2017] , Billno-MDI150012017100022",1,8520,0,822,7698
MDI15-001-B.D.O. DHARAMPUR,20-2515-00-102-01-S00N-V-N-01-SALARIES,"[TRVch# 39 Dt:10/07/2017] , Billno-MDI15001062017-001",1,37636,0,3985,33651
