DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
MDI15-207-GSSS  SIDHPUR,Total, ,195,19132755,2727021,890292,15515442
MDI15-207-GSSS  SIDHPUR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 594 Dt:21/04/2017] , Billno-MDI152072017100001",1,370000,0,0,370000
MDI15-207-GSSS  SIDHPUR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 595 Dt:21/04/2017] , Billno-MDI152072017100002",1,200000,0,0,200000
MDI15-207-GSSS  SIDHPUR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 596 Dt:21/04/2017] , Billno-MDI152072017100003",1,100000,0,0,100000
MDI15-207-GSSS  SIDHPUR,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1418 Dt:07/04/2017] , Billno-MDI15207032017-001",1,140332,42000,3451,94881
MDI15-207-GSSS  SIDHPUR,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1419 Dt:07/04/2017] , Billno-MDI15207032017-002",1,75203,50000,60,25143
MDI15-207-GSSS  SIDHPUR,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1420 Dt:07/04/2017] , Billno-MDI15207032017-003",1,324797,59000,9989,255808
MDI15-207-GSSS  SIDHPUR,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1421 Dt:07/04/2017] , Billno-MDI15207032017-004",1,183748,0,16050,167698
MDI15-207-GSSS  SIDHPUR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 202 Dt:08/05/2017] , Billno-MDI152072017100009",1,300000,0,0,300000
MDI15-207-GSSS  SIDHPUR,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 2226 Dt:08/05/2017] , Billno-MDI15207042017-001",1,106653,42000,2045,62608
MDI15-207-GSSS  SIDHPUR,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 2227 Dt:08/05/2017] , Billno-MDI15207042017-002",1,36045,0,3450,32595
MDI15-207-GSSS  SIDHPUR,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 2284 Dt:08/05/2017] , Billno-MDI152072017100004",1,10018,9307,711,0
MDI15-207-GSSS  SIDHPUR,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 2288 Dt:08/05/2017] , Billno-MDI152072017100008",1,4014,0,405,3609
MDI15-207-GSSS  SIDHPUR,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 2228 Dt:08/05/2017] , Billno-MDI15207042017-003",1,76165,50000,5060,21105
MDI15-207-GSSS  SIDHPUR,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 2229 Dt:08/05/2017] , Billno-MDI15207042017-004",1,293250,0,29489,263761
MDI15-207-GSSS  SIDHPUR,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 2230 Dt:08/05/2017] , Billno-MDI15207042017-005",1,229620,59000,1609,169011
MDI15-207-GSSS  SIDHPUR,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 2285 Dt:08/05/2017] , Billno-MDI152072017100005",1,8658,7792,866,0
MDI15-207-GSSS  SIDHPUR,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 2286 Dt:08/05/2017] , Billno-MDI152072017100006",1,13229,12591,638,0
MDI15-207-GSSS  SIDHPUR,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 2287 Dt:08/05/2017] , Billno-MDI152072017100007",1,30525,0,3075,27450
MDI15-207-GSSS  SIDHPUR,08-2202-02-109-01-S00N-V-N-02-WAGES,"[TRVch# 4283 Dt:25/05/2017] , Billno-MDI152072017100010",1,3800,0,0,3800
MDI15-207-GSSS  SIDHPUR,08-2202-02-109-01-S00N-V-N-02-WAGES,"[TRVch# 4285 Dt:25/05/2017] , Billno-MDI152072017100013",1,1900,0,0,1900
MDI15-207-GSSS  SIDHPUR,08-2202-02-109-01-S00N-V-N-02-WAGES,"[TRVch# 4287 Dt:25/05/2017] , Billno-MDI152072017100016",1,1900,0,0,1900
MDI15-207-GSSS  SIDHPUR,08-2202-02-109-01-S00N-V-N-03-TRAVEL EXPENSES,"[TRVch# 4284 Dt:25/05/2017] , Billno-MDI152072017100012",1,5514,0,0,5514
MDI15-207-GSSS  SIDHPUR,08-2202-02-109-01-S00N-V-N-06-MEDICAL REIMBURSEMENT,"[TRVch# 4286 Dt:25/05/2017] , Billno-MDI152072017100014",1,11132,0,0,11132
MDI15-207-GSSS  SIDHPUR,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 2301 Dt:07/06/2017] , Billno-MDI15207052017-001",1,106653,42000,2045,62608
MDI15-207-GSSS  SIDHPUR,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 2302 Dt:07/06/2017] , Billno-MDI15207052017-002",1,36045,0,3450,32595
MDI15-207-GSSS  SIDHPUR,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 2303 Dt:07/06/2017] , Billno-MDI15207052017-003",1,76165,50000,5060,21105
MDI15-207-GSSS  SIDHPUR,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 2304 Dt:07/06/2017] , Billno-MDI15207052017-004",1,242671,59000,1114,182557
MDI15-207-GSSS  SIDHPUR,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 2305 Dt:07/06/2017] , Billno-MDI15207052017-005",1,286073,0,29489,256584
MDI15-207-GSSS  SIDHPUR,08-2202-02-109-01-S00N-V-N-02-WAGES,"[TRVch# 2366 Dt:07/06/2017] , Billno-MDI152072017100024",1,1900,0,0,1900
MDI15-207-GSSS  SIDHPUR,08-2202-02-109-01-S00N-V-N-05-OFFICE EXPENSES,"[TRVch# 3094 Dt:22/06/2017] , Billno-MDI152072017100027",1,4245,0,0,4245
MDI15-207-GSSS  SIDHPUR,08-2202-02-109-01-S00N-V-N-05-OFFICE EXPENSES,"[TRVch# 3095 Dt:22/06/2017] , Billno-MDI152072017100028",1,750,0,0,750
MDI15-207-GSSS  SIDHPUR,08-2202-02-800-01-S00N-V-N-41-GIA GENERAL (Salary),"[TRVch# 2360 Dt:07/06/2017] , Billno-MDI152072017100018",1,14940,0,0,14940
