DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
MDI16-221-PRINCIPAL GOVT DEGREE COLLEGE REWALSAR,Total, ,102,15076276,3588626,2053342,9434308
MDI16-221-PRINCIPAL GOVT DEGREE COLLEGE REWALSAR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 235 Dt:10/05/2018] , Billno-MDI162212018100005",1,100000,0,0,100000
MDI16-221-PRINCIPAL GOVT DEGREE COLLEGE REWALSAR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 236 Dt:10/05/2018] , Billno-MDI162212018100004",1,200000,0,0,200000
MDI16-221-PRINCIPAL GOVT DEGREE COLLEGE REWALSAR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 479 Dt:22/01/2018] , Billno-MDI162212017100020",1,150000,0,0,150000
MDI16-221-PRINCIPAL GOVT DEGREE COLLEGE REWALSAR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 908 Dt:25/04/2018] , Billno-MDI162212018100001",1,900000,0,0,900000
MDI16-221-PRINCIPAL GOVT DEGREE COLLEGE REWALSAR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 954 Dt:25/04/2018] , Billno-MDI162212018100002",1,400000,0,0,400000
MDI16-221-PRINCIPAL GOVT DEGREE COLLEGE REWALSAR,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 1941 Dt:09/04/2018] , Billno-MDI16221032018-001",1,632935,170000,14214,448721
MDI16-221-PRINCIPAL GOVT DEGREE COLLEGE REWALSAR,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 1942 Dt:09/04/2018] , Billno-MDI16221032018-002",1,226003,0,18719,207284
MDI16-221-PRINCIPAL GOVT DEGREE COLLEGE REWALSAR,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 1943 Dt:09/04/2018] , Billno-MDI16221032018-003",1,117428,48000,90,69338
MDI16-221-PRINCIPAL GOVT DEGREE COLLEGE REWALSAR,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 1944 Dt:09/04/2018] , Billno-MDI16221032018-004",1,56406,0,3345,53061
