DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
MDI16-222-PRINCIPAL GOVT ITI BALH,Total, ,109,5582469,972652,246887,4362930
MDI16-222-PRINCIPAL GOVT ITI BALH,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 434 Dt:28/03/2018] , Billno-MDI162222017100064",1,40000,0,0,40000
MDI16-222-PRINCIPAL GOVT ITI BALH,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 473 Dt:28/02/2018] , Billno-MDI162222017100036",1,40000,0,0,40000
MDI16-222-PRINCIPAL GOVT ITI BALH,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 485 Dt:24/11/2017] , Billno-MDI162222017100015",1,55000,0,0,55000
MDI16-222-PRINCIPAL GOVT ITI BALH,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 486 Dt:24/11/2017] , Billno-MDI162222017100016",1,80000,0,0,80000
MDI16-222-PRINCIPAL GOVT ITI BALH,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 828 Dt:31/08/2018] , Billno-MDI162222018100016",1,90000,0,0,90000
MDI16-222-PRINCIPAL GOVT ITI BALH,27-2230-03-003-05-S00N-V-N-03-TRAVEL EXPENSES,"[TRVch# 544 Dt:31/03/2018] , Billno-MDI162222017100076",1,4233,0,0,4233
MDI16-222-PRINCIPAL GOVT ITI BALH,27-2230-03-003-05-S00N-V-N-06-MEDICAL REIMBURSEMENT,"[TRVch# 240 Dt:22/03/2018] , Billno-MDI162222017100051",1,21848,0,0,21848
MDI16-222-PRINCIPAL GOVT ITI BALH,27-2230-03-003-05-S00N-V-P-01-SALARIES,"[TRVch# 113 Dt:08/11/2017] , Billno-MDI162222017100003",1,11884,11884,0,0
MDI16-222-PRINCIPAL GOVT ITI BALH,27-2230-03-003-05-S00N-V-P-01-SALARIES,"[TRVch# 114 Dt:08/11/2017] , Billno-MDI162222017100004",1,12060,12060,0,0
MDI16-222-PRINCIPAL GOVT ITI BALH,27-2230-03-003-05-S00N-V-P-01-SALARIES,"[TRVch# 115 Dt:08/11/2017] , Billno-MDI16222102017-001",1,92047,40000,10120,41927
MDI16-222-PRINCIPAL GOVT ITI BALH,27-2230-03-003-05-S00N-V-P-01-SALARIES,"[TRVch# 116 Dt:08/11/2017] , Billno-MDI16222102017-002",1,241982,35000,9769,197213
MDI16-222-PRINCIPAL GOVT ITI BALH,27-2230-03-003-05-S00N-V-P-01-SALARIES,"[TRVch# 117 Dt:08/11/2017] , Billno-MDI16222102017-003",1,16950,0,0,16950
MDI16-222-PRINCIPAL GOVT ITI BALH,27-2230-03-003-05-S00N-V-P-01-SALARIES,"[TRVch# 117 Dt:10/05/2018] , Billno-MDI16222042018-001",1,99048,40000,13120,45928
MDI16-222-PRINCIPAL GOVT ITI BALH,27-2230-03-003-05-S00N-V-P-01-SALARIES,"[TRVch# 118 Dt:08/11/2017] , Billno-MDI162222017100005",1,11384,0,1136,10248
MDI16-222-PRINCIPAL GOVT ITI BALH,27-2230-03-003-05-S00N-V-P-01-SALARIES,"[TRVch# 118 Dt:10/05/2018] , Billno-MDI16222042018-002",1,258254,40000,10705,207549
MDI16-222-PRINCIPAL GOVT ITI BALH,27-2230-03-003-05-S00N-V-P-01-SALARIES,"[TRVch# 119 Dt:10/05/2018] , Billno-MDI16222042018-003",1,17900,0,0,17900
MDI16-222-PRINCIPAL GOVT ITI BALH,27-2230-03-003-05-S00N-V-P-01-SALARIES,"[TRVch# 168 Dt:24/11/2017] , Billno-MDI162222017100014",1,1130,0,0,1130
MDI16-222-PRINCIPAL GOVT ITI BALH,27-2230-03-003-05-S00N-V-P-01-SALARIES,"[TRVch# 197 Dt:22/02/2018] , Billno-MDI162222017100029",1,6762,6762,0,0
MDI16-222-PRINCIPAL GOVT ITI BALH,27-2230-03-003-05-S00N-V-P-01-SALARIES,"[TRVch# 198 Dt:22/02/2018] , Billno-MDI162222017100031",1,6479,0,646,5833
MDI16-222-PRINCIPAL GOVT ITI BALH,27-2230-03-003-05-S00N-V-P-01-SALARIES,"[TRVch# 202 Dt:22/02/2018] , Billno-MDI162222017100030",1,6836,6836,0,0
MDI16-222-PRINCIPAL GOVT ITI BALH,27-2230-03-003-05-S00N-V-P-01-SALARIES,"[TRVch# 237 Dt:22/03/2018] , Billno-MDI162222017100044",1,74588,74588,0,0
MDI16-222-PRINCIPAL GOVT ITI BALH,27-2230-03-003-05-S00N-V-P-01-SALARIES,"[TRVch# 238 Dt:22/03/2018] , Billno-MDI162222017100043",1,70644,0,0,70644
MDI16-222-PRINCIPAL GOVT ITI BALH,27-2230-03-003-05-S00N-V-P-01-SALARIES,"[TRVch# 239 Dt:22/03/2018] , Billno-MDI162222017100037",1,73522,73522,0,0
MDI16-222-PRINCIPAL GOVT ITI BALH,27-2230-03-003-05-S00N-V-P-01-SALARIES,"[TRVch# 251 Dt:22/03/2018] , Billno-MDI162222017100059",1,8280,0,0,8280
MDI16-222-PRINCIPAL GOVT ITI BALH,27-2230-03-003-05-S00N-V-P-01-SALARIES,"[TRVch# 68 Dt:09/04/2018] , Billno-MDI16222032018-001",1,96178,40000,120,56058
MDI16-222-PRINCIPAL GOVT ITI BALH,27-2230-03-003-05-S00N-V-P-01-SALARIES,"[TRVch# 69 Dt:09/04/2018] , Billno-MDI16222032018-002",1,255079,40000,9505,205574
MDI16-222-PRINCIPAL GOVT ITI BALH,27-2230-03-003-05-S00N-V-P-01-SALARIES,"[TRVch# 70 Dt:08/06/2018] , Billno-MDI16222052018-001",1,99048,40000,13120,45928
