DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
PNG00-003-PROJECT OFFICER ITDP PANGI,Total, ,174,34246925,1726325,143062,32357538
PNG00-003-PROJECT OFFICER ITDP PANGI,31-2053-00-796-03-S00N-V-N-01-SALARIES,"[TRVch# 15 Dt:13/04/2017] , Billno-1",1,474000,0,0,474000
PNG00-003-PROJECT OFFICER ITDP PANGI,31-2053-00-796-03-S00N-V-N-01-SALARIES,"[TRVch# 16 Dt:13/04/2017] , Billno-3",1,3948,0,395,3553
PNG00-003-PROJECT OFFICER ITDP PANGI,31-2053-00-796-03-S00N-V-N-01-SALARIES,"[TRVch# 17 Dt:13/04/2017] , Billno-2",1,10817,10817,0,0
PNG00-003-PROJECT OFFICER ITDP PANGI,31-2053-00-796-03-S00N-V-N-01-SALARIES,"[TRVch# 5 Dt:05/04/2017] , Billno-PNG00003032017-001",1,115152,33000,2563,79589
PNG00-003-PROJECT OFFICER ITDP PANGI,31-2053-00-796-03-S00N-V-N-01-SALARIES,"[TRVch# 6 Dt:05/04/2017] , Billno-PNG00003032017-002",1,20159,0,2360,17799
PNG00-003-PROJECT OFFICER ITDP PANGI,31-2053-00-796-03-S00N-V-N-02-WAGES,"[TRVch# 24 Dt:25/04/2017] , Billno-4",1,9881,0,0,9881
PNG00-003-PROJECT OFFICER ITDP PANGI,31-2053-00-796-03-S00N-V-N-01-SALARIES,"[TRVch# 7 Dt:01/05/2017] , Billno-PNG00003042017-001",1,99423,98000,745,678
PNG00-003-PROJECT OFFICER ITDP PANGI,31-2053-00-796-03-S00N-V-N-01-SALARIES,"[TRVch# 8 Dt:01/05/2017] , Billno-PNG00003042017-002",1,38220,29000,7807,1413
PNG00-003-PROJECT OFFICER ITDP PANGI,31-2053-00-796-03-S00N-V-P-03-TRAVEL EXPENSES,"[TRVch# 15 Dt:30/05/2017] , Billno-8",1,3550,0,0,3550
PNG00-003-PROJECT OFFICER ITDP PANGI,31-2053-00-796-03-S00N-V-P-05-OFFICE EXPENSES,"[TRVch# 14 Dt:25/05/2017] , Billno-5",1,7560,0,0,7560
PNG00-003-PROJECT OFFICER ITDP PANGI,31-2053-00-796-03-S00N-V-P-65-REMUNERATION TO OUTSOURCE EMPLOYEES,"[TRVch# 13 Dt:25/05/2017] , Billno-6",1,25022,0,0,25022
PNG00-003-PROJECT OFFICER ITDP PANGI,31-4055-00-796-02-S00N-V-P-37-MAJOR WORKS,"[TRVch# 1 Dt:26/05/2017] , Billno-3",1,1400000,0,0,1400000
PNG00-003-PROJECT OFFICER ITDP PANGI,31-4202-04-796-01-S00N-V-P-37-MAJOR WORKS,"[TRVch# 6 Dt:26/05/2017] , Billno-2",1,2946000,0,0,2946000
PNG00-003-PROJECT OFFICER ITDP PANGI,31-5053-80-796-02-S00N-V-P-37-MAJOR WORKS,"[TRVch# 1 Dt:26/05/2017] , Billno-4",1,796000,0,0,796000
PNG00-003-PROJECT OFFICER ITDP PANGI,31-5055-00-796-02-S00N-V-P-37-MAJOR WORKS,"[TRVch# 1 Dt:26/05/2017] , Billno-1",1,2500000,0,0,2500000
PNG00-003-PROJECT OFFICER ITDP PANGI,31-2053-00-796-03-S00N-V-N-01-SALARIES,"[TRVch# 5 Dt:01/06/2017] , Billno-PNG00003052017-001",1,99423,98000,745,678
PNG00-003-PROJECT OFFICER ITDP PANGI,31-2053-00-796-03-S00N-V-N-01-SALARIES,"[TRVch# 6 Dt:01/06/2017] , Billno-PNG00003052017-002",1,38807,29000,7864,1943
PNG00-003-PROJECT OFFICER ITDP PANGI,31-2053-00-796-03-S00N-V-N-02-WAGES,"[TRVch# 14 Dt:05/06/2017] , Billno-7",1,20207,0,0,20207
PNG00-003-PROJECT OFFICER ITDP PANGI,31-2053-00-796-03-S00N-V-P-05-OFFICE EXPENSES,"[TRVch# 29 Dt:27/06/2017] , Billno-14",1,12511,0,0,12511
PNG00-003-PROJECT OFFICER ITDP PANGI,31-2053-00-796-03-S00N-V-P-05-OFFICE EXPENSES,"[TRVch# 30 Dt:27/06/2017] , Billno-13",1,29690,0,0,29690
PNG00-003-PROJECT OFFICER ITDP PANGI,31-2053-00-796-03-S00N-V-P-05-OFFICE EXPENSES,"[TRVch# 8 Dt:02/06/2017] , Billno-10",1,20115,0,0,20115
PNG00-003-PROJECT OFFICER ITDP PANGI,31-2053-00-796-03-S00N-V-P-05-OFFICE EXPENSES,"[TRVch# 9 Dt:02/06/2017] , Billno-09",1,19265,0,0,19265
PNG00-003-PROJECT OFFICER ITDP PANGI,31-2053-00-796-03-S00N-V-P-65-REMUNERATION TO OUTSOURCE EMPLOYEES,"[TRVch# 7 Dt:02/06/2017] , Billno-11",1,12511,0,0,12511
PNG00-003-PROJECT OFFICER ITDP PANGI,31-8009-01-101-02-S00N-V-N-00- ,"[TRVch# 15 Dt:27/06/2017] , Billno-12",1,150000,0,0,150000
PNG00-003-PROJECT OFFICER ITDP PANGI,31-2053-00-796-03-S00N-V-N-01-SALARIES,"[TRVch# 21 Dt:13/07/2017] , Billno-21",1,4078,0,0,4078
PNG00-003-PROJECT OFFICER ITDP PANGI,31-2053-00-796-03-S00N-V-N-01-SALARIES,"[TRVch# 3 Dt:01/07/2017] , Billno-PNG00003062017-001",1,99423,98000,745,678
PNG00-003-PROJECT OFFICER ITDP PANGI,31-2053-00-796-03-S00N-V-N-01-SALARIES,"[TRVch# 4 Dt:01/07/2017] , Billno-PNG00003062017-002",1,38807,29000,7864,1943
PNG00-003-PROJECT OFFICER ITDP PANGI,31-2053-00-796-03-S00N-V-N-02-WAGES,"[TRVch# 20 Dt:13/07/2017] , Billno-20",1,9938,0,0,9938
PNG00-003-PROJECT OFFICER ITDP PANGI,"31-2053-00-796-03-S00N-V-N-30-MOTOR VEHICLES OS,POL,REPAIR","[TRVch# 1 Dt:01/07/2017] , Billno-16",1,49200,0,0,49200
PNG00-003-PROJECT OFFICER ITDP PANGI,"31-2053-00-796-03-S00N-V-N-30-MOTOR VEHICLES OS,POL,REPAIR","[TRVch# 2 Dt:01/07/2017] , Billno-15",1,10750,0,0,10750
PNG00-003-PROJECT OFFICER ITDP PANGI,"31-2053-00-796-03-S00N-V-N-30-MOTOR VEHICLES OS,POL,REPAIR","[TRVch# 25 Dt:24/07/2017] , Billno-24",1,19086,0,0,19086
PNG00-003-PROJECT OFFICER ITDP PANGI,31-2053-00-796-03-S00N-V-P-03-TRAVEL EXPENSES,"[TRVch# 26 Dt:28/07/2017] , Billno-26",1,12171,0,0,12171
PNG00-003-PROJECT OFFICER ITDP PANGI,31-2053-00-796-03-S00N-V-P-05-OFFICE EXPENSES,"[TRVch# 23 Dt:24/07/2017] , Billno-25",1,20100,0,0,20100
PNG00-003-PROJECT OFFICER ITDP PANGI,31-2053-00-796-03-S00N-V-P-05-OFFICE EXPENSES,"[TRVch# 24 Dt:24/07/2017] , Billno-23",1,17088,0,0,17088
PNG00-003-PROJECT OFFICER ITDP PANGI,31-2053-00-796-03-S00N-V-P-65-REMUNERATION TO OUTSOURCE EMPLOYEES,"[TRVch# 22 Dt:24/07/2017] , Billno-22",1,12511,0,0,12511
