DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
PNG00-204-PR GSSS PURTHI,Total, ,202,32862974,12098974,970837,19793163
PNG00-204-PR GSSS PURTHI,31-2202-02-796-02-S00N-V-N-01-SALARIES,"[TRVch# 104 Dt:11/04/2017] , Billno-PNG00204032017-001",1,83883,25000,120,58763
PNG00-204-PR GSSS PURTHI,31-2202-02-796-02-S00N-V-N-01-SALARIES,"[TRVch# 105 Dt:11/04/2017] , Billno-PNG00204032017-002",1,168870,46000,3695,119175
PNG00-204-PR GSSS PURTHI,31-2202-02-796-02-S00N-V-N-01-SALARIES,"[TRVch# 106 Dt:11/04/2017] , Billno-PNG00204032017-003",1,130527,0,7542,122985
PNG00-204-PR GSSS PURTHI,31-2202-02-796-02-S00N-V-N-01-SALARIES,"[TRVch# 130 Dt:25/04/2017] , Billno-22",1,6833,0,0,6833
PNG00-204-PR GSSS PURTHI,31-2202-02-796-02-S00N-V-N-01-SALARIES,"[TRVch# 83 Dt:11/04/2017] , Billno-4",1,336000,0,0,336000
PNG00-204-PR GSSS PURTHI,31-2202-02-796-02-S00N-V-P-01-SALARIES,"[TRVch# 107 Dt:11/04/2017] , Billno-PNG00204032017-004",1,45944,0,0,45944
PNG00-204-PR GSSS PURTHI,31-2202-02-796-03-S00N-V-N-01-SALARIES,"[TRVch# 108 Dt:11/04/2017] , Billno-PNG00204032017-005",1,102420,34000,60,68360
PNG00-204-PR GSSS PURTHI,31-2202-02-796-03-S00N-V-N-01-SALARIES,"[TRVch# 109 Dt:11/04/2017] , Billno-PNG00204032017-006",1,277800,0,23393,254407
PNG00-204-PR GSSS PURTHI,31-2202-02-796-03-S00N-V-N-01-SALARIES,"[TRVch# 129 Dt:25/04/2017] , Billno-23",1,15126,6957,0,8169
PNG00-204-PR GSSS PURTHI,31-2202-02-796-03-S00N-V-N-01-SALARIES,"[TRVch# 131 Dt:25/04/2017] , Billno-21",1,24272,15422,0,8850
PNG00-204-PR GSSS PURTHI,31-2202-02-796-03-S00N-V-N-01-SALARIES,"[TRVch# 132 Dt:25/04/2017] , Billno-20",1,29476,7615,0,21861
PNG00-204-PR GSSS PURTHI,31-2202-02-796-03-S00N-V-N-01-SALARIES,"[TRVch# 133 Dt:25/04/2017] , Billno-19",1,9468,9468,0,0
PNG00-204-PR GSSS PURTHI,31-2202-02-796-03-S00N-V-N-01-SALARIES,"[TRVch# 134 Dt:25/04/2017] , Billno-18",1,216000,0,0,216000
PNG00-204-PR GSSS PURTHI,31-2202-02-796-03-S00N-V-N-01-SALARIES,"[TRVch# 135 Dt:25/04/2017] , Billno-17",1,41042,0,3848,37194
PNG00-204-PR GSSS PURTHI,31-2202-02-796-03-S00N-V-N-01-SALARIES,"[TRVch# 136 Dt:25/04/2017] , Billno-13",1,40966,33000,7348,618
PNG00-204-PR GSSS PURTHI,31-2202-02-796-03-S00N-V-N-01-SALARIES,"[TRVch# 80 Dt:11/04/2017] , Billno-1",1,300000,0,0,300000
PNG00-204-PR GSSS PURTHI,31-2202-02-796-03-S00N-V-N-01-SALARIES,"[TRVch# 81 Dt:11/04/2017] , Billno-2",1,1293000,0,0,1293000
PNG00-204-PR GSSS PURTHI,31-2202-02-796-03-S00N-V-N-01-SALARIES,"[TRVch# 82 Dt:11/04/2017] , Billno-107",1,1032000,0,0,1032000
PNG00-204-PR GSSS PURTHI,31-2202-02-796-03-S00N-V-N-01-SALARIES,"[TRVch# 84 Dt:11/04/2017] , Billno-5",1,762000,0,0,762000
PNG00-204-PR GSSS PURTHI,31-2202-02-796-03-S00N-V-N-01-SALARIES,"[TRVch# 85 Dt:11/04/2017] , Billno-6",1,61418,20000,2120,39298
PNG00-204-PR GSSS PURTHI,31-2202-02-796-03-S00N-V-N-01-SALARIES,"[TRVch# 86 Dt:11/04/2017] , Billno-7",1,16444,0,0,16444
PNG00-204-PR GSSS PURTHI,31-2202-02-796-03-S00N-V-P-01-SALARIES,"[TRVch# 110 Dt:11/04/2017] , Billno-PNG00204032017-007",1,80508,0,7542,72966
PNG00-204-PR GSSS PURTHI,31-2202-02-796-02-S00N-V-N-01-SALARIES,"[TRVch# 19 Dt:02/05/2017] , Billno-PNG00204042017-001",1,87276,75000,8120,4156
PNG00-204-PR GSSS PURTHI,31-2202-02-796-02-S00N-V-N-01-SALARIES,"[TRVch# 20 Dt:02/05/2017] , Billno-PNG00204042017-002",1,172352,162000,3695,6657
PNG00-204-PR GSSS PURTHI,31-2202-02-796-02-S00N-V-N-01-SALARIES,"[TRVch# 21 Dt:02/05/2017] , Billno-PNG00204042017-003",1,133915,72000,7640,54275
PNG00-204-PR GSSS PURTHI,31-2202-02-796-02-S00N-V-P-01-SALARIES,"[TRVch# 22 Dt:02/05/2017] , Billno-PNG00204042017-004",1,47644,0,0,47644
PNG00-204-PR GSSS PURTHI,31-2202-02-796-03-S00N-V-N-01-SALARIES,"[TRVch# 23 Dt:02/05/2017] , Billno-PNG00204042017-005",1,62031,58000,2120,1911
PNG00-204-PR GSSS PURTHI,31-2202-02-796-03-S00N-V-N-01-SALARIES,"[TRVch# 24 Dt:02/05/2017] , Billno-PNG00204042017-006",1,103211,100000,60,3151
PNG00-204-PR GSSS PURTHI,31-2202-02-796-03-S00N-V-N-01-SALARIES,"[TRVch# 25 Dt:02/05/2017] , Billno-PNG00204042017-007",1,299107,206500,23681,68926
PNG00-204-PR GSSS PURTHI,31-2202-02-796-03-S00N-V-P-01-SALARIES,"[TRVch# 26 Dt:02/05/2017] , Billno-PNG00204042017-008",1,81196,72000,7640,1556
PNG00-204-PR GSSS PURTHI,31-2202-01-796-17-S00N-V-P-41-GIA GENERAL (Salary),"[TRVch# 156 Dt:13/06/2017] , Billno-31",1,29163,0,0,29163
PNG00-204-PR GSSS PURTHI,31-2202-01-796-17-S00N-V-P-41-GIA GENERAL (Salary),"[TRVch# 157 Dt:13/06/2017] , Billno-23",1,24277,0,0,24277
PNG00-204-PR GSSS PURTHI,31-2202-02-796-02-S00N-V-N-01-SALARIES,"[TRVch# 65 Dt:02/06/2017] , Billno-PNG00204052017-001",1,87276,75000,8120,4156
