DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
SML00-036-A.O. A.G.H.P. SHIMLA,Total, ,210,7645039411,0,0,7645039411
SML00-036-A.O. A.G.H.P. SHIMLA,00-8658-00-101-30-S00N-V-N-00- ,"[TRVch# 19 Dt:26/04/2017] , Billno-SML000361748658019",1,45780,0,0,45780
SML00-036-A.O. A.G.H.P. SHIMLA,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 18 Dt:26/04/2017] , Billno-SML000361748658018",1,64631517,0,0,64631517
SML00-036-A.O. A.G.H.P. SHIMLA,00-8658-00-109-00-S00N-V-N-00- ,"[TRVch# 1 Dt:03/04/2017] , Billno-SML000361748658001",1,5225953,0,0,5225953
SML00-036-A.O. A.G.H.P. SHIMLA,00-8658-00-109-00-S00N-V-N-00- ,"[TRVch# 10 Dt:06/04/2017] , Billno-SML000361748658010",1,1364,0,0,1364
SML00-036-A.O. A.G.H.P. SHIMLA,00-8658-00-109-00-S00N-V-N-00- ,"[TRVch# 11 Dt:07/04/2017] , Billno-SML000361748658011",1,294946,0,0,294946
SML00-036-A.O. A.G.H.P. SHIMLA,00-8658-00-109-00-S00N-V-N-00- ,"[TRVch# 13 Dt:17/04/2017] , Billno-SML000361748658013",1,25271,0,0,25271
SML00-036-A.O. A.G.H.P. SHIMLA,00-8658-00-109-00-S00N-V-N-00- ,"[TRVch# 14 Dt:17/04/2017] , Billno-SML000361748658014",1,1304,0,0,1304
SML00-036-A.O. A.G.H.P. SHIMLA,00-8658-00-109-00-S00N-V-N-00- ,"[TRVch# 15 Dt:17/04/2017] , Billno-SML000361748658015",1,2171,0,0,2171
SML00-036-A.O. A.G.H.P. SHIMLA,00-8658-00-109-00-S00N-V-N-00- ,"[TRVch# 16 Dt:19/04/2017] , Billno-SML000361748658016",1,150000,0,0,150000
SML00-036-A.O. A.G.H.P. SHIMLA,00-8658-00-109-00-S00N-V-N-00- ,"[TRVch# 17 Dt:19/04/2017] , Billno-SML000361748658017",1,325000,0,0,325000
SML00-036-A.O. A.G.H.P. SHIMLA,00-8658-00-109-00-S00N-V-N-00- ,"[TRVch# 9 Dt:06/04/2017] , Billno-SML000361748658009",1,561,0,0,561
SML00-036-A.O. A.G.H.P. SHIMLA,00-8009-01-101-01-S00N-V-N-47-ADVANCES,"[TRVch# 456 Dt:24/05/2017] , Billno-SML000361758009456",1,477539,0,0,477539
