DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
SML02-208-GSSS  KALBOG,Total, ,93,18280192,3021443,645715,14613034
SML02-208-GSSS  KALBOG,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1352 Dt:29/04/2017] , Billno-SML02208032017-001",1,292134,30500,4862,256772
SML02-208-GSSS  KALBOG,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1353 Dt:29/04/2017] , Billno-SML02208032017-002",1,488399,153000,16181,319218
SML02-208-GSSS  KALBOG,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1898 Dt:31/05/2017] , Billno-SML02208042017-001",1,283016,36500,5947,240569
SML02-208-GSSS  KALBOG,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 2019 Dt:31/05/2017] , Billno-SML022082017100002",1,18339,12618,570,5151
SML02-208-GSSS  KALBOG,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1899 Dt:31/05/2017] , Billno-SML02208042017-002",1,438886,139000,19698,280188
SML02-208-GSSS  KALBOG,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 2018 Dt:31/05/2017] , Billno-SML022082017100003",1,37569,31006,655,5908
SML02-208-GSSS  KALBOG,08-2202-02-109-01-S00N-V-N-06-MEDICAL REIMBURSEMENT,"[TRVch# 2075 Dt:31/05/2017] , Billno-SML022082017100006",1,75000,0,0,75000
SML02-208-GSSS  KALBOG,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 404 Dt:30/06/2017] , Billno-SML022082017100007",1,120000,0,0,120000
SML02-208-GSSS  KALBOG,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 759 Dt:30/06/2017] , Billno-SML02208052017-001",1,283976,36500,5947,241529
SML02-208-GSSS  KALBOG,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 760 Dt:30/06/2017] , Billno-SML02208052017-002",1,452023,139000,19703,293320
SML02-208-GSSS  KALBOG,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 828 Dt:30/06/2017] , Billno-SML022082017100005",1,2410,0,0,2410
SML02-208-GSSS  KALBOG,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 778 Dt:31/07/2017] , Billno-SML02208062017-001",1,283976,36500,5947,241529
SML02-208-GSSS  KALBOG,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 779 Dt:31/07/2017] , Billno-SML02208062017-002",1,491182,134036,21099,336047
SML02-208-GSSS  KALBOG,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 882 Dt:31/07/2017] , Billno-SML022082017100010",1,13056,0,0,13056
SML02-208-GSSS  KALBOG,08-2202-02-109-01-S00N-V-N-05-OFFICE EXPENSES,"[TRVch# 851 Dt:31/07/2017] , Billno-SML022082017100009",1,1808,0,0,1808
SML02-208-GSSS  KALBOG,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1311 Dt:05/08/2017] , Billno-SML02208072017-001",1,250361,36500,2720,211141
SML02-208-GSSS  KALBOG,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1312 Dt:05/08/2017] , Billno-SML02208072017-002",1,493109,134036,21099,337974
SML02-208-GSSS  KALBOG,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 758 Dt:05/09/2017] , Billno-SML02208082017-001",1,253166,36500,2770,213896
SML02-208-GSSS  KALBOG,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 759 Dt:05/09/2017] , Billno-SML02208082017-002",1,518416,134036,21099,363281
SML02-208-GSSS  KALBOG,08-2202-02-109-01-S00N-V-N-06-MEDICAL REIMBURSEMENT,"[TRVch# 807 Dt:05/09/2017] , Billno-SML022082017000001",1,7276,0,0,7276
