DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
SML03-500-DISTRICT TREASURY OFFICER SHIMLA,Total, ,351,58844,0,58844,0
SML03-500-DISTRICT TREASURY OFFICER SHIMLA,05-2030-01-101-01-S00N-V-N-20-OTHER CHARGES,"[TRVch# 136 Dt:29/04/2017] , Billno-SML035001742030003",1,10,0,10,0
SML03-500-DISTRICT TREASURY OFFICER SHIMLA,05-2030-01-101-01-S00N-V-N-20-OTHER CHARGES,"[TRVch# 140 Dt:29/04/2017] , Billno-SML035001742030007",1,20,0,20,0
SML03-500-DISTRICT TREASURY OFFICER SHIMLA,05-2030-01-101-01-S00N-V-N-20-OTHER CHARGES,"[TRVch# 143 Dt:29/04/2017] , Billno-SML035001742030010",1,10,0,10,0
SML03-500-DISTRICT TREASURY OFFICER SHIMLA,05-2030-01-101-01-S00N-V-N-20-OTHER CHARGES,"[TRVch# 148 Dt:29/04/2017] , Billno-SML035001742030015",1,20,0,20,0
SML03-500-DISTRICT TREASURY OFFICER SHIMLA,05-2030-01-101-01-S00N-V-N-20-OTHER CHARGES,"[TRVch# 152 Dt:29/04/2017] , Billno-SML035001742030019",1,20,0,20,0
SML03-500-DISTRICT TREASURY OFFICER SHIMLA,05-2030-01-101-01-S00N-V-N-20-OTHER CHARGES,"[TRVch# 155 Dt:29/04/2017] , Billno-SML035001742030022",1,20,0,20,0
SML03-500-DISTRICT TREASURY OFFICER SHIMLA,05-2030-02-102-01-S00N-V-N-20-OTHER CHARGES,"[TRVch# 134 Dt:29/04/2017] , Billno-SML035001742030001",1,60,0,60,0
SML03-500-DISTRICT TREASURY OFFICER SHIMLA,05-2030-02-102-01-S00N-V-N-20-OTHER CHARGES,"[TRVch# 135 Dt:29/04/2017] , Billno-SML035001742030002",1,800,0,800,0
SML03-500-DISTRICT TREASURY OFFICER SHIMLA,05-2030-02-102-01-S00N-V-N-20-OTHER CHARGES,"[TRVch# 137 Dt:29/04/2017] , Billno-SML035001742030004",1,40,0,40,0
SML03-500-DISTRICT TREASURY OFFICER SHIMLA,05-2030-02-102-01-S00N-V-N-20-OTHER CHARGES,"[TRVch# 138 Dt:29/04/2017] , Billno-SML035001742030005",1,480,0,480,0
SML03-500-DISTRICT TREASURY OFFICER SHIMLA,05-2030-02-102-01-S00N-V-N-20-OTHER CHARGES,"[TRVch# 139 Dt:29/04/2017] , Billno-SML035001742030006",1,40,0,40,0
SML03-500-DISTRICT TREASURY OFFICER SHIMLA,05-2030-02-102-01-S00N-V-N-20-OTHER CHARGES,"[TRVch# 141 Dt:29/04/2017] , Billno-SML035001742030008",1,1000,0,1000,0
SML03-500-DISTRICT TREASURY OFFICER SHIMLA,05-2030-02-102-01-S00N-V-N-20-OTHER CHARGES,"[TRVch# 142 Dt:29/04/2017] , Billno-SML035001742030009",1,440,0,440,0
SML03-500-DISTRICT TREASURY OFFICER SHIMLA,05-2030-02-102-01-S00N-V-N-20-OTHER CHARGES,"[TRVch# 144 Dt:29/04/2017] , Billno-SML035001742030011",1,100,0,100,0
SML03-500-DISTRICT TREASURY OFFICER SHIMLA,05-2030-02-102-01-S00N-V-N-20-OTHER CHARGES,"[TRVch# 145 Dt:29/04/2017] , Billno-SML035001742030012",1,100,0,100,0
SML03-500-DISTRICT TREASURY OFFICER SHIMLA,05-2030-02-102-01-S00N-V-N-20-OTHER CHARGES,"[TRVch# 146 Dt:29/04/2017] , Billno-SML035001742030013",1,340,0,340,0
SML03-500-DISTRICT TREASURY OFFICER SHIMLA,05-2030-02-102-01-S00N-V-N-20-OTHER CHARGES,"[TRVch# 147 Dt:29/04/2017] , Billno-SML035001742030014",1,100,0,100,0
SML03-500-DISTRICT TREASURY OFFICER SHIMLA,05-2030-02-102-01-S00N-V-N-20-OTHER CHARGES,"[TRVch# 149 Dt:29/04/2017] , Billno-SML035001742030016",1,2000,0,2000,0
SML03-500-DISTRICT TREASURY OFFICER SHIMLA,05-2030-02-102-01-S00N-V-N-20-OTHER CHARGES,"[TRVch# 150 Dt:29/04/2017] , Billno-SML035001742030017",1,100,0,100,0
