DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
SML04-201-PR SSS BOYS THEOG,Total, ,298,59208853,15058861,3496231,40653761
SML04-201-PR SSS BOYS THEOG,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 980 Dt:29/04/2017] , Billno-SML042012017100002",1,1100000,0,0,1100000
SML04-201-PR SSS BOYS THEOG,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 981 Dt:29/04/2017] , Billno-SML042012017100001",1,400000,0,0,400000
SML04-201-PR SSS BOYS THEOG,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1139 Dt:29/04/2017] , Billno-SML04201032017-004",1,228099,123000,412,104687
SML04-201-PR SSS BOYS THEOG,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1140 Dt:29/04/2017] , Billno-SML04201032017-005",1,143963,0,20785,123178
SML04-201-PR SSS BOYS THEOG,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1136 Dt:29/04/2017] , Billno-SML04201032017-001",1,81535,30000,120,51415
SML04-201-PR SSS BOYS THEOG,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1137 Dt:29/04/2017] , Billno-SML04201032017-002",1,1246272,550900,13316,682056
SML04-201-PR SSS BOYS THEOG,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1138 Dt:29/04/2017] , Billno-SML04201032017-003",1,317995,0,33901,284094
SML04-201-PR SSS BOYS THEOG,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 1000 Dt:31/05/2017] , Billno-SML042012017100008",1,75000,0,0,75000
SML04-201-PR SSS BOYS THEOG,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 954 Dt:31/05/2017] , Billno-SML042012017100003",1,25000,0,0,25000
SML04-201-PR SSS BOYS THEOG,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 958 Dt:31/05/2017] , Billno-SML042012017100004",1,130000,0,0,130000
SML04-201-PR SSS BOYS THEOG,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 2770 Dt:31/05/2017] , Billno-SML04201042017-001",1,238267,136000,9112,93155
SML04-201-PR SSS BOYS THEOG,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 2771 Dt:31/05/2017] , Billno-SML04201042017-002",1,145784,0,21989,123795
SML04-201-PR SSS BOYS THEOG,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 3075 Dt:31/05/2017] , Billno-SML042012017100006",1,16005,0,1607,14398
